dates,satname,nzd0271-0000,nzd0271-0001,nzd0271-0002,nzd0271-0003,nzd0271-0004,nzd0271-0005,nzd0271-0006,nzd0271-0007,nzd0271-0008,nzd0271-0009,nzd0271-0010,nzd0271-0011,nzd0271-0012,nzd0271-0013,nzd0271-0022,nzd0271-0023,nzd0271-0024,nzd0271-0025,nzd0271-0026,nzd0271-0027,nzd0271-0028,nzd0271-0029,nzd0271-0127,nzd0271-0128,nzd0271-0129,nzd0271-0130,nzd0271-0131,nzd0271-0132,nzd0271-0133,nzd0271-0135,nzd0271-0136,nzd0271-0137,nzd0271-0138,nzd0271-0139,nzd0271-0140,nzd0271-0141,nzd0271-0142,nzd0271-0143,nzd0271-0144,nzd0271-0145,nzd0271-0146,nzd0271-0147,nzd0271-0148,nzd0271-0154,nzd0271-0155,nzd0271-0156,nzd0271-0157,nzd0271-0158,nzd0271-0159,nzd0271-0160,nzd0271-0161,nzd0271-0134,nzd0271-0150,nzd0271-0151,nzd0271-0152,nzd0271-0153,nzd0271-0014,nzd0271-0015,nzd0271-0019,nzd0271-0020,nzd0271-0021,nzd0271-0030,nzd0271-0031,nzd0271-0149,nzd0271-0032,nzd0271-0033,nzd0271-0034,nzd0271-0035,nzd0271-0036,nzd0271-0037,nzd0271-0038,nzd0271-0039,nzd0271-0040,nzd0271-0041,nzd0271-0042,nzd0271-0043,nzd0271-0044,nzd0271-0162,nzd0271-0045,nzd0271-0117,nzd0271-0118,nzd0271-0120,nzd0271-0121,nzd0271-0122,nzd0271-0123,nzd0271-0124,nzd0271-0016,nzd0271-0017,nzd0271-0018,nzd0271-0046,nzd0271-0047,nzd0271-0048,nzd0271-0049,nzd0271-0050,nzd0271-0051,nzd0271-0052,nzd0271-0089,nzd0271-0090,nzd0271-0091,nzd0271-0092,nzd0271-0093,nzd0271-0094,nzd0271-0095,nzd0271-0096,nzd0271-0097,nzd0271-0111,nzd0271-0112,nzd0271-0113,nzd0271-0114,nzd0271-0163,nzd0271-0076,nzd0271-0077,nzd0271-0078,nzd0271-0079,nzd0271-0080,nzd0271-0081,nzd0271-0115,nzd0271-0116,nzd0271-0125,nzd0271-0126,nzd0271-0053,nzd0271-0054,nzd0271-0055,nzd0271-0056,nzd0271-0110,nzd0271-0119,nzd0271-0103,nzd0271-0104,nzd0271-0057,nzd0271-0058,nzd0271-0059,nzd0271-0060,nzd0271-0061,nzd0271-0062,nzd0271-0063,nzd0271-0064,nzd0271-0065,nzd0271-0066,nzd0271-0067,nzd0271-0068,nzd0271-0069,nzd0271-0070,nzd0271-0071,nzd0271-0072,nzd0271-0073,nzd0271-0074,nzd0271-0075,nzd0271-0082,nzd0271-0083,nzd0271-0084,nzd0271-0085,nzd0271-0086,nzd0271-0087,nzd0271-0088,nzd0271-0109,nzd0271-0101,nzd0271-0102,nzd0271-0098,nzd0271-0100,nzd0271-0099,nzd0271-0105
2001-04-04 21:44:06.948000,L7,291.85,279.92,277.32,272.47,263.87,260.47,257.55,255.05,256.81,243.75,244.80,240.64,237.20,235.08,323.69,335.54,325.27,322.54,311.49,300.35,300.66,297.79,,,,,,,,,,,,,304.78,308.63,306.65,293.31,327.04,369.94,378.72,395.61,,,361.57,402.37,393.13,390.46,376.14,344.42,321.32,,323.81,307.83,334.69,348.22,243.84,267.50,299.98,307.50,314.94,291.26,294.75,,296.22,296.22,314.25,320.07,328.87,333.29,344.16,342.19,337.21,341.78,340.92,340.39,,280.40,,,,,,,,,,290.16,293.67,,,,,,,,,,,,,,,,,,,,,249.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-20 21:44:10.657000,L7,295.12,291.96,278.75,274.45,294.41,293.30,281.08,263.92,255.64,234.39,247.50,252.55,251.64,249.96,,,,,,,,,,,,,,285.57,321.90,250.87,276.26,302.10,318.16,330.40,335.99,320.41,334.85,342.27,368.41,386.33,,,,,,,,,442.43,407.03,398.21,327.03,,,,,,,,,,,,,,,,,,,,,,,,,,305.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-22 21:43:54.652000,L7,285.25,269.40,342.18,331.41,309.61,313.67,312.45,301.29,295.55,221.82,225.92,228.16,223.33,222.21,319.91,320.42,312.51,301.75,298.21,290.57,288.87,289.01,,,301.93,311.59,311.47,324.15,326.34,353.04,336.46,332.66,339.38,339.29,331.38,328.48,341.86,352.09,361.28,379.13,393.54,430.55,431.92,383.89,384.01,398.83,405.47,400.43,388.26,359.86,333.66,339.66,401.21,417.26,345.82,381.16,253.16,,286.52,294.68,304.90,281.72,291.39,398.64,289.51,298.54,299.55,308.37,,,,,,,331.82,318.20,319.65,292.04,323.03,,,,,,,,261.02,275.14,283.34,330.66,326.66,332.65,332.04,342.67,,,,,,,,,,,,,,,,262.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-25 21:43:18.753000,L7,280.84,259.25,290.14,257.24,290.56,249.90,287.38,302.19,299.92,271.28,208.48,218.50,214.92,201.80,281.36,286.91,288.18,278.76,278.16,228.70,264.24,270.78,310.05,318.28,322.96,328.83,334.64,347.46,348.43,366.10,350.34,343.95,348.15,348.82,344.99,340.99,360.75,372.83,388.48,,,,,,,,,,,,,361.22,,,,,217.15,223.97,257.71,273.83,275.39,259.48,250.51,,257.42,267.91,267.10,277.70,283.75,295.59,301.66,310.76,306.70,291.25,290.00,289.67,289.36,,289.64,,,,,,,,245.29,247.53,257.77,294.56,300.87,305.46,299.02,301.12,318.71,326.14,,,,,,,,,,174.73,162.77,,,,,,,,,,,,,286.92,337.45,332.80,336.78,330.86,18.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-10 21:43:00.495000,L7,283.41,268.74,260.46,254.01,260.04,252.69,247.79,239.41,232.56,214.78,224.27,219.91,206.59,205.17,302.95,309.10,312.45,291.86,294.48,287.13,309.00,323.26,289.18,292.11,310.24,319.88,323.70,331.26,342.11,357.94,341.35,337.94,343.43,343.57,339.97,339.17,351.32,360.93,367.86,386.01,404.48,,,,,,,,,,390.49,345.75,,,,,232.82,237.18,297.62,284.62,289.22,300.46,267.85,,276.33,287.04,290.97,298.78,301.46,310.93,316.80,321.31,314.44,318.06,323.90,317.58,309.47,310.63,308.78,,,315.02,327.23,385.48,397.33,397.23,263.31,287.67,,306.14,313.66,319.34,317.71,,,,,,,,,,,,,,,,,362.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-11 21:42:38.257000,L7,286.24,271.68,263.60,262.53,258.27,257.25,253.36,248.51,250.98,254.87,234.32,232.40,218.09,214.54,308.63,315.70,311.57,294.96,288.41,280.72,277.00,284.01,,,287.41,305.08,287.71,324.87,319.78,,281.31,311.92,324.17,330.32,325.46,315.02,328.14,335.98,355.01,399.97,,,,401.70,408.33,,,,439.83,355.32,329.81,,389.81,427.11,418.39,390.42,227.19,245.18,281.54,290.47,296.18,295.44,279.73,374.16,287.02,290.29,298.45,299.61,313.41,329.46,316.42,320.99,317.42,316.07,312.93,312.92,307.60,317.19,306.00,,,321.37,323.95,378.20,386.49,396.90,254.51,265.71,275.97,315.74,309.46,312.00,310.60,320.44,332.77,341.15,,,,,,,,,,,,,,272.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-27 21:42:29.269000,L7,303.52,297.62,297.97,300.77,295.18,294.05,295.49,289.76,278.95,267.38,269.23,268.35,261.83,256.48,,,,,,,,,,,,,,,,,,,,,301.27,304.74,304.52,303.04,346.21,360.13,376.30,399.86,407.90,,366.86,380.27,382.79,380.51,366.60,346.66,326.81,,,,,,,,,,,,,312.39,,,,,,,,,,,,,,302.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-13 21:42:15.922000,L7,290.12,272.67,270.48,261.42,265.63,255.02,251.92,245.66,244.85,237.92,241.46,241.18,229.93,219.74,318.28,324.42,329.27,317.36,311.56,307.41,299.47,300.71,,,,301.52,284.44,325.99,323.73,341.23,317.62,328.11,328.22,325.52,310.58,315.82,322.04,331.02,362.49,416.52,,,,407.23,419.86,,,,,,,327.90,391.38,430.92,422.74,388.82,230.29,244.94,288.55,296.50,305.90,289.68,291.11,382.62,290.84,300.87,311.64,317.50,318.12,333.15,338.13,334.01,326.96,331.14,333.14,330.50,327.59,,331.86,,,,,,,,255.82,264.80,278.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-29 21:42:21.289000,L7,302.15,294.04,290.80,287.71,279.93,275.77,276.02,271.39,265.48,260.37,250.73,254.72,244.31,244.70,,,,,,,,,,,,,,,,,,322.57,333.47,338.80,344.77,312.41,322.72,328.27,362.73,391.57,,,,394.94,403.61,,,427.05,396.51,379.80,343.71,,382.64,420.97,407.66,384.19,247.88,267.56,,,,,,372.99,,,,,,,,,,,,,,367.06,,301.95,297.08,399.45,432.26,448.41,,,,,,,,,,,,,,,,,,,,,,,,,,305.63,,,,,,,,,,,,,,,,372.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-02 21:42:54.721000,L7,267.00,252.66,268.83,270.50,263.34,256.67,244.48,242.38,238.07,223.55,241.49,242.72,212.68,219.47,259.14,303.54,298.39,286.04,282.78,274.42,268.59,270.93,312.24,312.04,311.11,328.50,331.10,342.01,340.96,358.55,348.44,342.15,343.56,338.93,329.30,334.13,353.65,363.83,384.69,,,,,,,,,,,,,349.15,,,,,221.81,241.69,267.98,277.97,266.75,276.47,270.34,,268.26,274.00,283.36,303.05,301.15,310.63,307.60,311.36,309.94,310.47,305.39,307.79,313.59,,305.51,,,,,,,,258.93,267.52,267.72,299.16,304.87,313.43,313.50,311.23,325.35,334.25,,,,,,,,,,164.78,38.14,102.25,146.36,,,,,,,,153.52,,,,350.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-18 21:42:54.191000,L7,278.56,264.06,260.15,249.19,287.30,246.32,245.20,234.07,230.45,228.95,227.81,233.94,216.81,210.25,300.59,304.41,307.03,293.29,292.49,277.90,280.45,283.87,315.18,320.71,318.93,342.30,334.92,346.73,346.01,358.47,348.14,343.47,346.42,340.22,335.35,340.83,356.88,365.69,386.97,,,,,,,,,,,,,355.21,,,,,216.42,229.30,269.21,280.72,291.44,287.96,288.77,,266.74,283.34,282.42,292.74,292.18,308.14,330.06,328.01,323.71,340.12,332.77,331.79,,,329.26,,,,,,,,249.94,260.30,263.87,321.52,324.28,333.22,330.45,,,,,,,,,,,,,,,,,,,,,,,,,,,290.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-14 21:41:55.072000,L7,291.55,351.61,335.23,303.85,296.53,302.46,254.59,287.11,248.62,229.72,230.91,273.98,,245.97,313.58,336.68,317.46,305.08,305.10,,,,,,,,,,,,263.96,290.32,316.52,339.49,337.62,330.90,317.20,315.16,323.69,391.01,406.23,411.78,,314.48,347.68,411.59,406.00,404.11,418.58,,342.04,,,,,,243.75,257.50,287.34,294.06,301.16,,,,,,,,,,,,,,,,,332.04,,,,,,,,,253.61,275.60,285.70,,,,,,,,,,,,,,,,,,,,,302.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30 21:41:47.719000,L7,354.13,352.87,340.54,336.34,278.91,,,283.14,285.29,243.98,239.60,235.22,221.34,224.23,,,,,,,,,345.12,347.05,,301.03,359.01,359.76,299.31,366.84,358.06,340.97,342.36,350.20,343.67,347.88,340.38,333.42,374.42,,,,,,,,,,404.70,384.55,369.81,340.16,,,,,229.41,250.21,,,,,316.27,,302.97,304.77,317.30,321.65,326.12,332.63,345.68,346.80,350.40,347.27,342.13,345.35,,336.17,,,,,,,,,257.85,266.63,286.95,,,,,,,,,,,,,,,,,,,,,315.16,,,,,,,,,,317.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-01 21:41:54.382000,L7,294.67,270.43,283.91,280.50,270.38,261.97,262.29,256.32,253.82,245.25,239.70,218.49,,,,,,,325.70,311.28,306.19,314.92,,,,314.33,320.90,335.73,330.36,354.52,345.09,331.40,330.73,339.05,317.74,328.12,337.65,344.11,361.30,404.85,,,,,,,,,,,,330.57,,,,,,,,,,309.60,291.48,,,,,,,,,,,,,,,,,227.69,252.02,305.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.15,225.08,258.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-17 21:42:06.289000,L7,298.57,283.92,280.86,272.54,267.62,264.82,259.52,252.87,246.96,241.40,245.52,251.49,,,,,,,339.32,317.00,313.98,297.90,,,,,,272.80,271.18,284.98,286.23,293.40,303.90,,307.07,256.16,304.41,313.50,301.28,344.77,370.60,331.13,,,,,,,,,,284.61,,,,,,,,,,303.92,299.71,,307.87,310.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20 21:42:33.373000,L7,373.76,329.91,325.58,291.84,278.75,324.49,288.21,247.34,241.64,241.17,235.63,236.02,,,293.74,294.67,298.05,292.94,284.33,276.46,271.41,261.16,,,303.45,321.87,325.44,336.15,338.35,359.47,340.81,340.63,347.03,346.73,344.19,340.10,353.78,355.83,372.20,,,,,,,,,,,,,342.36,,,,,,,,,,264.51,267.22,,257.39,268.08,279.84,288.86,290.63,294.14,309.66,312.43,314.64,305.68,308.60,310.67,304.98,,283.62,,,419.29,409.49,341.36,411.32,414.77,,,,309.46,313.29,289.16,320.92,323.57,329.11,334.26,298.22,289.87,,,,,,,,,,,,,337.74,333.95,332.03,338.70,350.28,335.90,,,,,337.88,343.81,338.39,314.35,,,,,316.48,314.33,310.52,315.12,313.98,315.47,315.45,320.07,324.11,326.19,333.39,339.18,347.66,346.87,344.96,340.02,335.35,331.38,331.17,328.16,324.08,316.36,310.82,298.48,290.85,299.58,,,,,,,
2003-02-05 21:42:41.878000,L7,,,327.75,316.85,291.59,212.36,212.29,217.78,218.32,212.74,213.45,208.61,271.12,233.36,298.26,312.21,307.18,304.61,291.23,290.84,276.44,268.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.68,274.28,286.07,285.52,301.64,301.63,,296.38,305.26,317.81,330.43,305.80,312.87,322.65,327.90,318.99,321.20,316.81,317.50,319.45,,318.93,,,,,,,,242.76,256.74,260.17,320.44,329.26,323.16,323.14,338.89,298.32,310.36,285.69,286.44,290.51,286.30,292.44,293.91,297.45,316.69,325.18,95.87,,15.67,4.96,,311.14,330.88,330.19,337.36,341.37,331.68,102.51,,,,316.42,322.46,314.55,313.21,24.51,,181.20,167.38,313.69,312.32,309.19,311.85,308.82,316.12,311.47,320.12,327.61,326.95,335.35,334.50,336.33,339.25,331.45,329.13,333.52,328.02,322.83,321.29,303.39,314.09,300.64,291.42,286.13,288.98,,242.60,206.07,325.19,245.25,249.23,
2003-02-21 21:42:44.547000,L7,,,,,,,,,,,266.11,254.92,271.85,243.27,,,,,,,,,296.87,285.42,296.02,311.39,315.06,327.79,325.33,355.98,334.23,334.57,341.82,345.69,324.99,334.16,338.47,347.64,358.06,369.59,410.06,416.04,,371.78,385.86,396.39,389.30,388.58,402.92,398.04,371.56,334.50,,428.03,387.75,383.15,257.01,,,,,,,,,,,,,,,,,,,,,341.29,,282.07,287.80,415.08,400.47,,,,,,,,,,,,,,,,,,,,,,,,,,,322.70,,,,,,,,,,,,,,,,300.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-12 21:42:48.091000,L7,281.91,267.91,253.68,250.81,245.90,242.82,239.86,235.40,235.78,211.71,210.47,212.22,207.98,206.19,294.39,294.66,294.57,280.89,278.67,267.51,264.80,261.65,,,286.13,303.67,314.99,334.14,323.38,336.92,321.57,321.68,327.59,328.59,315.61,317.94,328.73,344.39,362.48,404.97,,,,394.25,414.95,,,,,,,331.43,390.48,425.83,412.14,390.55,222.66,234.00,262.33,279.41,287.23,260.71,264.63,387.37,267.42,273.13,284.20,281.53,293.65,299.38,306.93,303.50,308.98,304.51,298.38,298.13,300.51,,297.51,,,,,,,,246.00,254.41,252.78,289.83,302.07,310.65,302.98,308.55,319.44,327.07,,,,,,,,,,,,,,,,,,,,,,,,,336.96,336.67,332.40,336.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-28 21:42:46.560000,L7,309.61,288.80,270.00,254.95,270.43,255.30,256.39,260.01,,,,,,,,,,,,,,,,,309.53,321.63,323.46,336.23,336.63,356.08,334.38,330.90,337.98,334.67,333.28,329.47,349.70,360.48,384.56,,,,,,,,,,,,,343.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.54,300.20,307.09,306.98,317.56,312.90,320.88,,,,,,,,,,166.62,72.86,82.67,158.81,,,,,,,,,,,,326.89,339.62,336.54,336.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
