dates,satname,nzd0081-0000,nzd0081-0001,nzd0081-0002
2024-08-22 22:11:10.580000,L8,245.55,244.81,243.75
2024-08-22 22:11:34.534000,L8,249.11,245.66,244.54
2024-09-07 22:11:43.073000,L8,247.03,244.80,243.34
2024-12-04 22:12:00.480000,L9,268.57,255.32,255.68
2024-12-28 22:11:26.745000,L8,286.58,271.36,264.19
2024-12-28 22:11:50.695000,L8,284.54,266.44,263.13
2025-01-13 22:11:30.558000,L8,278.45,262.52,262.71
2025-01-13 22:11:54.516000,L8,259.22,252.74,253.76
2025-01-29 22:11:28.545000,L8,289.26,273.73,272.55
2025-01-29 22:11:52.495000,L8,289.94,275.38,273.66
2025-02-06 22:11:31.478000,L9,283.66,263.24,262.80
2025-03-10 22:11:52.276000,L9,235.69,241.10,242.61
2025-03-26 22:11:41.456000,L9,270.24,255.83,254.07
2025-05-13 22:11:22.590000,L9,257.83,239.29,244.12
2025-05-21 22:10:52.095000,L8,269.23,252.37,250.93
2025-05-21 22:11:16.046000,L8,268.88,252.46,250.95
2025-05-29 22:11:15.744000,L9,238.50,238.78,242.40
2025-06-22 22:11:07.771000,L8,275.32,258.00,255.31
2025-06-22 22:11:31.725000,L8,273.96,257.43,254.60
2025-07-16 22:11:36.965000,L9,261.40,244.47,239.89
2025-08-01 22:11:18.967000,L9,270.43,250.96,250.38
2025-08-09 22:11:25.572000,L8,263.94,246.46,242.47
2025-09-18 22:12:01.813000,L9,267.68,249.39,249.67
2025-10-04 22:12:06.102000,L9,286.86,263.17,264.25
2025-11-05 22:12:10.440000,L9,284.97,263.30,263.17
