dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
2005-04-05 21:54:19+00:00,,,,,,,,,,299.35,,301.8233333333333,,,,,,,351.05,,337.83,301.65999999999997,274.83000000000004,268.788,220.85666666666665
2005-04-21 21:54:22+00:00,,,,,,,,,,299.35,,301.8233333333333,,,,,,,351.05,,337.83,305.8875,274.28000000000003,268.69166666666666,223.2825
2005-05-23 21:54:36+00:00,351.87,,,,,,,,,299.35,252.92,301.0975,304.79,279.75,,,,,351.05,,337.83,303.308,270.71666666666664,266.01500000000004,221.08249999999998
2005-06-08 21:54:44+00:00,351.87,,,,,,,,,299.35,252.92,301.0975,304.79,279.75,,,,,351.05,,337.83,304.28166666666664,270.97285714285715,265.57000000000005,223.52999999999997
2005-07-10 21:54:55+00:00,351.87,,328.76,,,,,,,299.35,247.25499999999997,299.918,304.96000000000004,291.38,,,313.71,308.19,351.05,,337.83,304.28166666666664,270.84125,264.065,223.38333333333333
2005-08-20 21:49:06+00:00,342.94,334.22,323.145,,,,,,,299.35,247.25499999999997,305.83750000000003,304.96000000000004,291.38,,,313.71,308.19,,,,304.662,272.50857142857143,265.7542857142857,223.38333333333333
2005-08-27 21:55:20+00:00,342.94,334.22,323.145,,,,,,,299.35,247.25499999999997,305.83750000000003,304.96000000000004,291.38,,,313.71,308.19,,,,304.662,279.62,267.09875,223.38333333333333
2005-09-28 21:55:20+00:00,342.94,334.22,323.145,,,,,,,299.35,247.25499999999997,304.92666666666673,304.96000000000004,291.38,,,313.71,308.19,,,,307.30499999999995,282.7125,270.57,225.80333333333337
2006-02-19 21:57:51+00:00,,,,,,,,,,,,,,,,,,,,,,,312.03999999999996,296.0133333333333,246.65
2006-06-27 22:00:00+00:00,,,,179.34,176.78,192.49,182.67,,,,,,,,,,,,,,,301.61,261.84,284.87,222.23
2006-07-22 21:54:10+00:00,320.24,,,179.34,176.78,192.49,182.67,,,,,,,,,,,,,,,301.61,270.05999999999995,284.87,222.23
2006-09-15 22:01:03+00:00,314.96000000000004,,310.71,179.34,176.78,192.49,182.67,,,,,,329.82,307.18,,,,301.17,,,327.83,298.98,270.05999999999995,248.14,222.23
2006-11-02 22:01:32+00:00,322.97333333333336,,310.71,179.34,176.78,192.49,182.67,,,,,,329.82,307.18,,,,321.88,,,327.83,304.5333333333333,271.97999999999996,256.835,215.175
2007-01-05 22:02:04+00:00,322.97333333333336,,310.71,,,,,,,,,,329.82,307.18,,,,321.88,,,327.83,305.99499999999995,283.18666666666667,272.095,234.52999999999997
2007-01-21 22:02:09+00:00,324.34000000000003,,310.71,,,,,,,,,,329.82,307.18,,,,321.88,,,327.83,302.27666666666664,285.64,272.095,233.34
2007-01-30 21:56:00+00:00,308.33,327.74,310.71,,,,,,,,,,329.82,307.18,,,,321.88,,,327.83,302.27666666666664,291.67333333333335,275.73,243.8225
2007-02-06 22:02:11+00:00,308.33,327.74,310.71,,,,,,,,,,329.82,307.18,,,,321.88,341.79,,327.83,300.3075,283.375,266.2075,242.378
2008-02-25 21:57:37+00:00,,,,,,,,,,,,,,,,,,,352.42,,333.9,295.69,260.36,227.0,221.96
2008-12-09 21:51:18+00:00,,,,,,,,,,,,,,,,,,,,,343.44,300.02,262.27,240.7,238.75
2008-12-25 21:51:46+00:00,,,,,,,,,,,,,,,,,,,,,343.44,299.51,254.71999999999997,237.82999999999998,232.16500000000002
2010-01-29 21:58:05+00:00,,,,,,,,,,,,,,,,,,,,,330.17,294.94,287.8,235.18,247.21
2010-10-12 21:57:13+00:00,,,,,,,,,,,,,,,,,,,,,,,292.01,272.28,239.35
2011-09-13 21:55:45+00:00,,,,,,,,,,,,,,,,,,,,,,,284.52,280.48,242.73
2013-04-11 22:09:26+00:00,,,,,,,,,,,,,,,,,,327.6,339.02,312.89,324.63,293.03,277.09,262.21,239.9
2013-06-30 22:09:11+00:00,195.02,173.51,,177.43,179.02,188.65,173.55,,339.77,,,,,283.66,333.05,322.71,314.49,318.65,339.02,312.89,316.565,293.03,264.515,250.225,227.66
2013-09-02 22:09:16+00:00,195.02,173.51,,177.43,179.02,188.65,173.55,,339.77,,,,,283.66,333.05,344.53999999999996,319.065,320.03000000000003,337.075,312.94,322.58666666666664,295.90999999999997,264.43666666666667,252.43999999999997,224.0
2013-12-07 22:08:50+00:00,195.02,173.51,,177.43,179.02,188.65,173.55,,339.77,,,,,283.66,333.05,344.53999999999996,319.065,316.245,335.13,312.99,321.565,298.79,258.11,263.82666666666665,216.05
2014-03-13 22:07:45+00:00,,,,,,,,,,,,,,,,,,332.62,342.09,318.51,334.28,296.79,260.18,276.055,232.19
2014-04-30 22:06:58+00:00,,,327.83,,,,,,341.19,285.73,,310.4,,,344.47,329.36,317.95,322.565,325.225,309.36,323.505,296.79,251.27,258.54,222.63
2014-05-16 22:06:45+00:00,,,327.83,,,,,,341.19,285.73,239.54,298.2,,,344.47,345.95000000000005,321.08,320.70666666666665,322.89000000000004,308.12666666666667,321.71666666666664,296.79,255.51666666666665,255.97,221.80666666666664
2014-07-03 22:07:01+00:00,196.6,173.01,327.83,176.55,183.11,191.84,171.19,,341.19,285.73,239.54,298.2,,342.4,338.355,345.95000000000005,318.65000000000003,317.58500000000004,322.89000000000004,308.12666666666667,318.4375,296.79,257.9325,242.68,221.45499999999998
2014-08-04 22:07:14+00:00,196.6,173.01,327.83,176.55,183.11,191.84,171.19,,341.19,285.73,239.54,298.2,,342.4,338.355,345.95000000000005,318.65000000000003,317.58500000000004,322.89000000000004,308.12666666666667,318.4375,296.79,257.9325,247.6,224.42
2014-11-08 22:07:28+00:00,196.6,173.01,,176.55,183.11,191.84,171.19,,,,239.54,286.0,,342.4,332.24,362.54,319.0,312.6050000000001,318.22,305.66,313.37,,269.51,256.3425,229.1775
2014-12-26 22:07:18+00:00,196.6,173.01,,176.55,183.11,191.84,171.19,,,,,,,342.4,332.24,376.53,313.79,321.005,339.7,316.37,316.77,292.86,270.1333333333334,257.2625,230.35000000000002
2015-02-12 22:07:03+00:00,,,,,,,,,,,,,,,,376.53,,335.81,337.805,317.05,321.54499999999996,292.86,271.9633333333333,260.35999999999996,231.35
2015-02-28 22:07:00+00:00,,,,,,,,,,,,,,,,376.53,,338.61333333333334,337.805,316.8833333333334,320.99666666666667,292.86,271.6375,261.03999999999996,229.965
2015-04-01 22:06:37+00:00,,,,,,,,,,,,,,,,376.53,,338.61333333333334,337.805,317.0975,320.99666666666667,290.5,271.418,259.912,229.11599999999999
2015-06-20 22:06:32+00:00,190.28,172.87,,176.81,178.41,191.33,180.87,,,,,,321.47,,,376.53,316.92,331.255,337.805,317.0975,317.76,290.5,269.43750000000006,255.02000000000004,226.058
