dates,satname,nzd0299-0000,nzd0299-0001,nzd0299-0002,nzd0299-0003,nzd0299-0004,nzd0299-0005,nzd0299-0006,nzd0299-0007,nzd0299-0008,nzd0299-0009,nzd0299-0010,nzd0299-0011,nzd0299-0012,nzd0299-0013,nzd0299-0014,nzd0299-0015,nzd0299-0016,nzd0299-0017,nzd0299-0018,nzd0299-0019,nzd0299-0020,nzd0299-0021
2014-08-04 22:06:50.418000,L8,377.59,325.45,319.85,351.90,369.68,364.04,361.11,357.26,354.78,367.00,349.44,286.14,295.50,313.40,310.54,305.55,305.60,314.97,326.94,332.61,341.25,359.02
2014-08-20 22:06:54.640000,L8,381.73,391.52,369.40,371.60,374.60,364.63,358.06,363.44,354.54,365.19,362.25,361.75,324.48,318.35,317.45,312.58,319.99,317.13,353.50,331.58,342.79,363.39
2014-11-08 22:07:04.045000,L8,399.65,403.73,391.10,399.96,380.85,367.20,368.44,406.68,398.69,371.77,393.46,394.98,363.81,379.76,374.72,373.14,374.11,384.58,372.92,376.20,388.40,411.11
2014-12-26 22:06:54.981000,L8,387.57,387.32,397.55,375.97,369.54,367.43,368.58,379.28,373.95,373.28,373.91,362.39,359.39,374.07,374.04,371.39,367.44,375.88,360.59,370.61,373.01,374.95
2015-01-27 22:06:47.246000,L8,397.29,394.84,409.90,385.32,378.37,372.52,386.43,407.86,395.66,381.19,381.41,399.94,391.84,377.96,379.91,381.51,372.82,413.48,371.76,377.23,385.03,402.29
2015-02-12 22:06:39.159000,L8,368.11,371.34,357.13,321.70,257.57,322.15,321.69,352.48,350.94,346.61,355.95,353.09,351.23,351.60,356.78,357.95,358.01,358.16,364.27,371.96,372.55,368.39
2015-06-20 22:06:08.884000,L8,269.19,277.61,259.44,217.84,236.32,224.34,229.80,222.31,171.51,207.37,211.62,243.12,236.77,279.39,273.71,270.06,252.39,232.40,219.37,308.74,305.08,
2015-08-07 22:06:28.150000,L8,270.59,281.13,270.92,221.47,241.43,226.41,229.42,223.24,192.81,211.31,213.51,250.15,244.97,282.88,289.88,283.27,240.78,225.62,228.41,307.11,309.04,237.87
2015-08-23 22:06:36.490000,L8,371.65,364.59,371.97,368.31,365.73,360.24,358.85,357.01,354.71,353.35,361.39,359.16,359.13,316.90,315.16,309.28,314.57,309.81,351.00,330.02,339.45,361.73
2015-09-24 22:06:49.672000,L8,276.16,284.95,285.72,249.40,255.67,258.83,229.28,221.99,209.52,227.36,204.22,215.58,,,,,,,,,,
2015-10-10 22:06:50.850000,L8,375.13,370.47,368.86,364.58,366.38,361.45,359.94,362.82,374.16,367.96,381.35,369.92,384.68,379.37,375.99,367.40,363.88,358.69,365.73,364.54,371.15,378.20
2015-12-13 22:06:57.477000,L8,371.16,359.70,370.63,368.79,366.07,362.00,356.07,367.41,358.14,361.92,355.54,361.39,354.34,352.46,353.72,351.30,351.90,350.54,324.84,341.59,351.11,349.72
2016-01-14 22:06:54.937000,L8,357.37,352.68,351.34,345.62,343.51,339.86,342.45,338.84,336.19,340.75,350.17,346.62,341.67,344.90,338.75,341.50,342.71,345.92,347.70,349.47,356.67,349.96
2016-01-30 22:06:53.492000,L8,349.39,338.79,339.62,341.76,333.18,340.62,332.01,217.04,201.35,196.64,188.46,173.37,247.05,247.90,264.52,215.40,327.75,334.93,341.51,328.66,327.54,337.28
2016-03-02 22:06:43.439000,L8,405.49,407.01,381.46,376.53,372.47,368.51,364.48,360.59,369.82,362.49,368.11,363.52,369.07,364.52,388.60,369.12,371.99,370.16,378.72,381.36,374.31,369.37
2016-03-18 22:06:37.904000,L8,458.40,456.76,456.97,397.09,379.86,373.77,387.22,384.46,383.26,382.68,396.10,415.06,388.29,415.73,422.22,398.89,388.66,382.14,387.01,410.05,403.65,408.39
2016-04-19 22:06:22.901000,L8,306.36,302.91,309.09,277.18,326.12,331.23,264.33,262.44,259.38,276.50,322.18,258.09,180.11,,304.92,303.15,236.72,293.96,233.90,198.82,313.22,318.09
