dates,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
2005-09-10 22:08:55+00:00,270.42999999999995,259.905,246.95,297.47,253.7,271.78,303.51,295.91
2005-09-17 22:15:06+00:00,274.68666666666667,262.68666666666667,250.90666666666667,298.76,251.81000000000003,272.42333333333335,306.1375,308.88
2006-01-23 22:16:59+00:00,279.60749999999996,266.86,255.0675,305.115,255.41,274.90999999999997,315.7025,321.85
2006-03-12 22:18:01+00:00,290.24333333333334,276.87000000000006,264.8933333333334,314.7633333333333,272.30333333333334,280.6933333333333,317.54333333333335,321.85
2006-04-13 22:18:38+00:00,293.5733333333333,279.2966666666667,267.60333333333335,320.99666666666667,275.03333333333336,283.3233333333333,318.9666666666667,
2006-05-31 22:19:19+00:00,293.5733333333333,279.2966666666667,267.60333333333335,320.99666666666667,275.03333333333336,283.3233333333333,318.9666666666667,302.57
2006-08-28 22:14:23+00:00,285.07,270.2433333333333,259.34,313.87999999999994,269.8666666666667,283.39000000000004,319.44666666666666,302.57
2007-01-26 22:21:54+00:00,281.85,265.18499999999995,254.575,308.92999999999995,257.31500000000005,281.38,319.325,328.82
2007-02-04 22:15:45+00:00,277.9433333333333,263.7366666666666,253.09666666666666,308.24666666666667,256.5466666666667,282.07666666666665,321.18666666666667,328.82
2007-02-11 22:21:56+00:00,279.5925,265.28,254.3875,305.2025,255.0275,279.5125,319.1825,324.56
2007-10-02 22:13:42+00:00,268.6,259.47,244.99,285.77,253.8,281.01,,
2009-01-31 22:12:28+00:00,293.43,280.24,265.97,318.54,,285.96,319.21,
2010-11-02 22:16:48+00:00,296.63,282.31,265.63,312.25,261.36,288.0,317.14,
2010-12-20 22:16:50+00:00,296.2,283.28,266.3,319.185,259.65,287.29499999999996,318.28999999999996,
2011-01-21 22:16:54+00:00,295.79333333333335,282.6033333333333,266.6166666666667,321.0133333333333,270.43,287.17,318.82,
2013-05-02 22:28:46+00:00,,,,,,237.36,280.13,297.38
2013-08-22 22:29:00+00:00,280.66,264.71,255.92,277.98,322.37,250.5,296.3,308.96000000000004
2013-08-31 22:22:50+00:00,264.285,264.71,242.51,266.07,322.37,249.59333333333333,294.11333333333334,310.49
2013-09-23 22:28:51+00:00,268.5266666666667,262.15999999999997,244.78666666666666,266.76,322.37,251.8125,296.1625,310.74
2013-11-03 22:22:32+00:00,266.5075,255.74,244.64499999999998,266.0225,319.82,258.0525,304.2575,316.51
2013-12-28 22:28:23+00:00,270.61199999999997,261.55,247.37600000000003,268.82,321.10999999999996,259.91999999999996,305.76800000000003,317.092
2014-02-23 22:21:32+00:00,267.948,257.455,245.808,267.052,320.6333333333333,259.79200000000003,306.252,316.23
2014-04-12 22:20:49+00:00,271.6066666666666,256.7366666666667,250.19999999999996,270.9866666666667,322.9675,264.2366666666666,313.07,319.94
2014-06-22 22:26:41+00:00,277.20666666666665,262.78000000000003,253.11333333333334,264.98,324.8666666666666,265.19499999999994,313.35,315.155
2014-08-18 22:20:51+00:00,266.5133333333333,248.07333333333335,244.44000000000003,256.9766666666667,325.4549999999999,258.28499999999997,301.905,312.485
