dates,satname,nzd0224-0000,nzd0224-0001,nzd0224-0002,nzd0224-0003,nzd0224-0004,nzd0224-0005,nzd0224-0006,nzd0224-0007,nzd0224-0008,nzd0224-0009,nzd0224-0010,nzd0224-0011,nzd0224-0012,nzd0224-0013,nzd0224-0014,nzd0224-0021,nzd0224-0022,nzd0224-0023,nzd0224-0024,nzd0224-0026,nzd0224-0027,nzd0224-0028,nzd0224-0090,nzd0224-0091,nzd0224-0092,nzd0224-0093,nzd0224-0094,nzd0224-0015,nzd0224-0016,nzd0224-0017,nzd0224-0018,nzd0224-0019,nzd0224-0020,nzd0224-0030,nzd0224-0031,nzd0224-0032,nzd0224-0038,nzd0224-0039,nzd0224-0040,nzd0224-0041,nzd0224-0042,nzd0224-0056,nzd0224-0057,nzd0224-0058,nzd0224-0059,nzd0224-0060,nzd0224-0061,nzd0224-0062,nzd0224-0065,nzd0224-0066,nzd0224-0067,nzd0224-0068,nzd0224-0069,nzd0224-0070,nzd0224-0071,nzd0224-0072,nzd0224-0095,nzd0224-0096,nzd0224-0097,nzd0224-0098,nzd0224-0099,nzd0224-0100,nzd0224-0101,nzd0224-0104,nzd0224-0105,nzd0224-0106,nzd0224-0122,nzd0224-0123,nzd0224-0037,nzd0224-0086,nzd0224-0087,nzd0224-0088,nzd0224-0089,nzd0224-0103,nzd0224-0033,nzd0224-0034,nzd0224-0102,nzd0224-0127,nzd0224-0035,nzd0224-0064,nzd0224-0074,nzd0224-0075,nzd0224-0076,nzd0224-0077,nzd0224-0078,nzd0224-0082,nzd0224-0083,nzd0224-0084,nzd0224-0085,nzd0224-0121,nzd0224-0124,nzd0224-0025,nzd0224-0036,nzd0224-0063,nzd0224-0081,nzd0224-0111,nzd0224-0112,nzd0224-0113,nzd0224-0029,nzd0224-0073,nzd0224-0079,nzd0224-0080,nzd0224-0110,nzd0224-0107,nzd0224-0108,nzd0224-0115,nzd0224-0116,nzd0224-0117,nzd0224-0131,nzd0224-0132,nzd0224-0055,nzd0224-0043,nzd0224-0044,nzd0224-0045,nzd0224-0046,nzd0224-0047,nzd0224-0048,nzd0224-0125,nzd0224-0126,nzd0224-0114,nzd0224-0049,nzd0224-0050,nzd0224-0051,nzd0224-0052,nzd0224-0053,nzd0224-0129,nzd0224-0130,nzd0224-0119,nzd0224-0120,nzd0224-0128
2005-07-28 21:41:34.002000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.31,374.97,352.22,328.99,367.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-29 21:46:28.892000,L5,,,,,,,,,,,,,,,,,,,,,,,289.45,311.43,319.50,332.98,328.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.75,322.03,,,,,,,,,,,,305.06,283.17,310.34,283.38,,,,,,,,,,,,,,,,291.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-06 21:48:41.029000,L5,432.51,395.49,399.08,,,,,,,,,,,,,,,,,,,,,,,,,364.68,337.98,324.06,299.76,313.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-07 21:48:55.368000,L5,419.21,406.87,396.45,391.64,,,354.79,351.99,351.40,343.22,342.13,346.57,,,,,,,,,,,,,,,,361.23,338.66,340.10,322.38,348.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31 21:55:43.729000,L8,,,,,,,,,,,,,,,,,,,,,,,,334.71,341.49,336.74,339.32,275.72,263.88,271.65,297.70,372.12,,,,,402.75,372.38,368.69,,,,,,,,,,,,,,,,,,322.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11 21:54:32.873000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.88,374.08,365.90,335.50,378.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31 21:53:53.631000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.00,376.18,360.22,337.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-18 21:53:11.680000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.50,366.99,358.84,343.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-19 21:53:23.387000,L8,437.30,327.14,307.32,,,,,,,,,,,,,,,,,,,,334.05,364.94,332.41,,,271.10,264.83,265.84,291.06,313.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21 21:53:33.067000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.58,341.01,350.40,314.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06 21:53:41.801000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.23,320.30,363.21,321.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07 21:53:48.789000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.19,311.33,370.93,326.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-23 21:53:45.463000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.01,380.81,361.38,331.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-25 21:53:52.818000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.25,368.76,361.82,330.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
