dates,nzd0306-0000,nzd0306-0001,nzd0306-0002,nzd0306-0003,nzd0306-0004,nzd0306-0005,nzd0306-0006,nzd0306-0007,nzd0306-0008,nzd0306-0009,nzd0306-0010,nzd0306-0011,nzd0306-0012,nzd0306-0013,nzd0306-0014,nzd0306-0015,nzd0306-0016,nzd0306-0017,nzd0306-0018,nzd0306-0019,nzd0306-0020,nzd0306-0021,nzd0306-0022,nzd0306-0023,nzd0306-0024,nzd0306-0025,nzd0306-0026,nzd0306-0027,nzd0306-0028,nzd0306-0029,nzd0306-0030,nzd0306-0031,nzd0306-0032,nzd0306-0033,nzd0306-0034,nzd0306-0035,nzd0306-0036,nzd0306-0037,nzd0306-0038
2003-07-30 21:37:21+00:00,384.3566666666666,386.005,386.0133333333334,385.42500000000007,373.54,,,,,,,379.24,,321.36,322.33,313.95,340.67,342.57500000000005,334.64,348.78,,339.28,,322.76599999999996,343.69,346.27,353.2,,,,,358.0,365.58,,,,,,378.08
2003-08-15 21:37:36+00:00,376.84,377.17,386.0133333333334,385.42500000000007,373.54,,,,,,,379.24,,,,,340.67,338.7966666666667,334.64,348.78,,339.28,,327.73749999999995,343.69,346.27,353.2,,,,,358.0,365.58,,,,,,378.08
2003-10-18 21:38:36+00:00,374.555,369.63,368.635,370.11,365.525,,,,,,366.46,372.405,367.86,351.82,357.4,322.68,319.91,328.1933333333333,,,233.03,339.28,260.64,328.23999999999995,337.81,354.93,359.95,355.08,348.69,342.62,351.12,347.975,354.51,352.25,355.67,362.66,358.49,359.73,365.57
2003-11-28 21:32:58+00:00,378.73,362.09,361.03,361.16,357.51,,,,,,366.46,365.57,367.86,351.82,358.87,322.68,337.19000000000005,326.96,347.78,370.93,233.03,344.985,260.64,310.13,337.04499999999996,353.255,356.695,356.01,348.69,342.62,351.12,351.755,356.485,360.62,363.68,360.405,355.61,357.725,363.74
2003-12-14 21:33:02+00:00,381.19500000000005,366.625,366.895,366.125,363.86,373.85,,365.24,354.41,362.85,361.325,360.365,360.0,347.78499999999997,352.9666666666667,322.745,333.0733333333333,322.86,321.64,323.365,244.49,315.75,257.865,295.445,327.92,343.48333333333335,346.81333333333333,348.50333333333333,343.45,345.43,351.225,347.6433333333334,353.92,357.46000000000004,360.85999999999996,354.3566666666666,348.82,350.0,356.6466666666667
2003-12-30 21:33:12+00:00,379.9433333333333,364.5366666666667,365.00333333333333,364.9633333333333,363.53999999999996,373.85,,365.845,359.06500000000005,362.85,361.6066666666666,361.5833333333333,360.52666666666664,347.0833333333333,349.805,321.42,329.02750000000003,317.87600000000003,308.7833333333333,303.02,245.14,299.125,255.95333333333335,296.08,327.78,342.1275,345.47,345.735,341.68333333333334,344.4666666666667,348.85999999999996,342.7175,349.6125,355.65999999999997,360.2475,353.6925,349.14250000000004,349.5825,356.4
2004-01-15 21:33:14+00:00,379.795,366.28499999999997,366.895,364.9633333333333,366.0425,373.85,,365.845,360.40000000000003,362.85,361.155,363.03499999999997,360.2775,349.0375,349.04,323.4075,328.494,317.48333333333335,307.23,297.17,251.2325,292.954,254.5875,295.95,325.97200000000004,340.38800000000003,344.23400000000004,345.476,343.0625,348.6925,353.22749999999996,343.456,351.578,356.414,361.194,354.106,350.24,349.562,357.448
2004-03-19 21:33:35+00:00,379.946,366.28499999999997,367.498,364.9633333333333,366.0425,373.85,,365.845,360.40000000000003,362.85,361.442,362.284,360.928,349.48199999999997,349.76500000000004,324.86199999999997,327.845,313.60999999999996,304.344,292.316,248.842,274.47999999999996,253.07799999999997,296.046,326.17,340.5566666666667,344.2683333333334,345.795,344.79200000000003,349.274,354.282,343.69,350.65166666666664,355.73333333333335,360.52666666666664,354.3433333333333,350.15166666666664,349.21333333333337,357.4866666666667
2004-04-20 21:34:19+00:00,380.25,367.68333333333334,369.115,366.8649999999999,368.8866666666667,373.85,,365.845,360.40000000000003,362.85,360.1875,361.46250000000003,359.19499999999994,348.8975,348.238,325.40749999999997,334.20666666666665,315.75999999999993,304.344,292.316,252.79500000000002,274.47999999999996,251.18749999999997,296.046,323.842,337.68199999999996,341.132,343.938,343.8175,350.9375,355.0725,348.49666666666667,352.09399999999994,356.43,363.6266666666667,352.67999999999995,348.484,351.24333333333334,355.87
2004-06-23 21:36:10+00:00,379.1133333333333,358.19666666666666,360.07500000000005,346.78499999999997,368.225,334.58,336.87,347.17499999999995,351.42333333333335,341.41,361.52,363.56333333333333,361.5466666666666,341.9275,331.9475,315.235,331.4825,307.15333333333325,292.81333333333333,271.6166666666666,251.74333333333334,246.47249999999997,249.88666666666663,296.44666666666666,317.96500000000003,329.69,334.5,336.6775,338.76,343.01000000000005,349.0725,346.5,340.115,347.53999999999996,363.7125000000001,354.33,351.4833333333333,354.2975,350.1925
2004-07-25 21:37:01+00:00,380.55,336.125,344.7866666666667,330.1,,333.57,338.945,325.095,323.68,337.11,362.59,359.28,363.53,325.28333333333336,314.46999999999997,299.19,341.34000000000003,308.0,292.8,272.9,239.28,228.88,237.53,296.43,310.0733333333333,322.95666666666665,324.93666666666667,328.1133333333333,330.6266666666666,330.3066666666667,338.99666666666667,355.82500000000005,330.15000000000003,337.1366666666667,365.73000000000013,355.53,349.71,359.69,337.49666666666667
2004-10-20 21:45:16+00:00,,336.125,332.225,330.1,,333.57,338.945,325.095,323.68,337.11,,,,312.295,295.01,283.44499999999994,,331.25,,,,231.95333333333335,255.39,,301.53,313.735,315.185,318.47499999999997,320.085,319.65999999999997,342.3633333333334,360.34,322.21500000000003,329.54,,,,,327.405
2004-11-14 21:39:30+00:00,,336.125,332.225,330.1,,333.57,338.945,325.095,323.68,337.11,,,,312.295,295.01,283.44499999999994,,331.25,,,,241.505,261.64,331.6,301.53,313.735,315.185,318.47499999999997,320.085,319.65999999999997,342.3633333333334,358.905,335.5566666666667,341.46000000000004,,361.73,356.9,361.01,327.405
2005-01-17 21:40:37+00:00,375.76,344.93,343.89,346.62,361.52,352.08000000000004,341.02,322.29,341.56,354.385,362.52,364.77,364.18,328.005,321.57500000000005,304.29999999999995,321.61,316.53,288.93,270.21,260.8,249.79,261.65,316.83000000000004,315.075,331.3,329.365,328.735,332.12,334.26,349.98,349.51666666666665,342.6433333333334,351.5,364.13,360.305,353.58,358.18,344.105
2005-02-09 21:47:07+00:00,371.13,359.06,358.55,366.095,361.52,371.6,,,363.11,378.275,362.16499999999996,357.985,355.89,345.57000000000005,341.15999999999997,321.395,316.845,312.35999999999996,290.75,276.24,267.07000000000005,259.0175,271.6375,317.3566666666667,330.46500000000003,337.66499999999996,339.68,339.235,344.32500000000005,345.32500000000005,356.7266666666667,349.3075,352.44,361.49,365.875,360.00666666666666,352.99333333333334,357.22,354.21500000000003
2005-02-18 21:41:06+00:00,369.8,361.76666666666665,361.49,367.07666666666665,364.03999999999996,371.6,,,362.09,375.3233333333333,359.6366666666666,356.67,356.33,345.07666666666665,342.53999999999996,320.7833333333333,317.59666666666664,310.705,293.6333333333333,276.63,270.8,259.444,268.87399999999997,313.6025,325.6766666666667,335.8933333333334,338.20666666666665,341.03333333333336,343.83666666666664,345.84,357.7075,348.37600000000003,352.23249999999996,359.8875,364.84999999999997,358.74,351.8825,354.16,353.98333333333335
2005-05-25 21:41:52+00:00,360.3775,355.64750000000004,352.5825,351.01750000000004,345.6133333333333,350.07000000000005,,,362.09,364.2625,359.6366666666666,356.67,356.33,345.07666666666665,342.53999999999996,320.7833333333333,317.59666666666664,303.8566666666666,293.6333333333333,276.63,270.8,256.9766666666667,262.48999999999995,285.7325,316.1575,326.84749999999997,329.1125,333.39250000000004,334.3025,327.815,342.46750000000003,341.35666666666674,348.8966666666666,358.0833333333333,364.84999999999997,357.74333333333334,350.21000000000004,335.8,353.98333333333335
2005-06-01 21:48:06+00:00,357.162,351.952,349.05,346.63800000000003,341.8075,345.79333333333335,335.06,326.0,352.6675,358.378,359.6366666666666,356.67,356.33,345.07666666666665,342.53999999999996,302.385,309.2325,296.315,286.0525,270.3,270.8,256.9766666666667,262.48999999999995,277.052,311.096,322.106,325.078,329.67400000000004,329.76599999999996,316.476,337.154,330.06,339.28999999999996,349.2575,348.83,345.64750000000004,336.535,330.188,345.11
2005-06-10 21:42:00+00:00,355.53,351.09999999999997,347.4866666666667,345.0466666666667,340.31,343.4825,337.685,328.49,350.34000000000003,356.9883333333333,359.6366666666666,356.67,350.88,337.33,336.78499999999997,298.116,305.62,292.704,282.156,266.91999999999996,270.8,247.78000000000003,254.705,273.99,308.565,319.8883333333333,322.3883333333333,327.99,328.27500000000003,314.81166666666667,335.1116666666667,325.96400000000006,335.788,345.662,344.994,340.682,331.526,327.73833333333334,341.81399999999996
2005-06-26 21:42:04+00:00,354.39142857142855,349.3128571428571,345.9128571428572,340.4557142857143,335.88166666666666,339.798,335.43333333333334,324.4166666666667,350.34000000000003,353.89285714285717,359.6366666666666,356.67,350.88,330.06399999999996,336.78499999999997,295.07,305.62,292.704,282.156,266.91999999999996,270.8,247.78000000000003,254.705,273.99,308.565,319.8883333333333,322.3883333333333,326.8385714285714,327.0514285714286,313.6028571428572,334.6985714285714,320.7166666666667,332.2583333333333,342.925,344.994,333.74833333333333,325.96333333333337,324.04714285714283,336.835
2005-07-12 21:42:11+00:00,353.22,347.355,343.565,337.92375,331.83714285714285,337.32166666666666,335.43333333333334,321.81,350.34000000000003,353.89285714285717,359.6366666666666,356.67,350.88,324.4533333333333,336.78499999999997,295.07,305.62,292.704,282.156,266.91999999999996,270.8,241.988,249.98200000000003,273.99,304.93857142857144,318.6914285714286,320.9842857142857,326.82625,326.33125,312.80875000000003,334.04125,319.2257142857143,331.2157142857142,341.40000000000003,344.994,330.87,322.0128571428572,322.02875,334.94428571428574
2005-08-20 21:48:42+00:00,350.2483333333333,343.58833333333337,338.56,327.87166666666667,326.2583333333333,330.466,335.43333333333334,327.692,338.17333333333335,342.956,352.11,349.11,341.90999999999997,314.60749999999996,335.79999999999995,283.5975,300.43333333333334,289.1233333333334,276.88666666666666,261.55,252.37,224.36666666666667,236.25333333333333,254.22000000000003,295.76000000000005,305.79,314.60200000000003,318.302,315.82800000000003,292.99000000000007,329.425,311.896,326.212,334.954,329.4533333333333,319.24,310.032,311.75333333333333,326.832
2005-08-29 21:42:34+00:00,355.53999999999996,347.61,342.8971428571429,333.8228571428572,332.1557142857143,330.466,335.43333333333334,332.77000000000004,343.1525,346.8033333333333,355.665,351.385,345.72333333333336,321.692,340.59999999999997,292.906,307.615,296.125,283.52,267.2625,254.69000000000003,228.195,238.5375,262.52200000000005,300.1816666666667,313.22799999999995,319.52500000000003,324.08333333333337,315.82800000000003,303.81,329.425,318.455,331.6816666666667,339.96,337.31,324.98833333333334,316.27833333333336,317.7114285714286,331.64
2005-11-08 21:48:52+00:00,355.53999999999996,347.61,342.8971428571429,333.8228571428572,332.1557142857143,330.466,335.43333333333334,332.77000000000004,343.1525,346.8033333333333,355.665,351.385,345.72333333333336,321.692,340.59999999999997,292.906,307.615,296.125,283.52,267.2625,254.69000000000003,228.195,245.18400000000003,275.12000000000006,307.3414285714286,320.0466666666667,319.52500000000003,324.08333333333337,315.82800000000003,303.81,329.425,318.455,331.6816666666667,339.96,337.31,324.98833333333334,322.9642857142857,323.3025,336.74285714285713
2006-01-20 21:44:25+00:00,384.1466666666667,369.2066666666667,368.7733333333333,369.61999999999995,366.7966666666667,,367.53,356.55333333333334,353.8166666666666,366.0933333333333,355.8733333333334,354.30333333333334,353.31333333333333,354.44666666666666,353.93666666666667,334.0933333333333,329.7766666666667,319.53000000000003,304.76,283.26,255.63333333333335,238.28666666666666,251.60499999999996,307.22,328.0775,343.02666666666664,341.91333333333336,352.89,356.97,358.77,367.095,348.91333333333336,358.47666666666663,358.33,360.93,353.1566666666667,351.12,353.7475,357.545
2006-01-27 21:50:46+00:00,382.8975,368.7525,368.2525,370.5725,367.09000000000003,,367.53,358.6775,357.31999999999994,366.0933333333333,358.55,357.52750000000003,356.08500000000004,356.91249999999997,352.4625,334.34,329.255,318.4375,303.22749999999996,282.09,255.16000000000003,239.565,252.89399999999995,308.148,328.238,343.9475,343.56,352.6233333333333,354.28,360.2166666666667,367.42333333333335,348.1975,357.7875,359.2825,362.91999999999996,356.59,353.806,353.7475,357.545
2006-02-12 21:51:08+00:00,382.04200000000003,368.086,368.82399999999996,370.614,367.468,,367.53,359.61,357.84,367.175,359.13800000000003,358.008,357.312,355.09799999999996,352.648,335.03000000000003,329.27200000000005,317.248,302.28599999999994,281.546,256.02200000000005,240.696,252.79,307.6666666666667,326.765,342.356,343.086,351.1025,353.17333333333335,359.36,365.53999999999996,348.34000000000003,356.412,359.07,362.822,356.68199999999996,353.7933333333333,353.536,357.8
2006-02-21 21:45:08+00:00,381.27,368.11,369.2025,372.0,368.64250000000004,,367.53,361.7075,360.0275,368.40000000000003,360.895,360.23249999999996,359.3175,357.13749999999993,352.79,337.20750000000004,335.256,317.705,302.66249999999997,281.9475,256.93500000000006,242.3475,255.38166666666666,310.05,327.866,342.356,343.6725,351.1025,353.17333333333335,359.36,365.2366666666666,351.72200000000004,355.705,359.03249999999997,364.0425,357.5175,355.212,354.44,363.034
