dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,satname
2003-09-14 21:51:18+00:00,294.08,280.99,281.75,259.32,272.545,300.08,280.3,275.125,250.685,257.43,285.59666666666664,293.85999999999996,296.0,320.67,310.54,304.65,297.01,242.74,248.99666666666667,262.4933333333333,249.38499999999996,266.91,269.94666666666666,271.4266666666667,272.9866666666666,274.24333333333334,282.81999999999994,261.77,288.82666666666665,323.44,272.42333333333335,271.02666666666664,336.31,346.16,333.03,235.16,309.12,339.43,328.58,297.98333333333335,329.66,324.69,309.52,322.42,292.79,283.37,258.55333333333334,266.0833333333333,264.4266666666667,263.74,261.4266666666667,261.8533333333333,188.11,244.80666666666664,220.15999999999997,222.29500000000002,243.56000000000003,232.17499999999998,257.62333333333333,263.575,248.53999999999996,179.445,233.31,259.33500000000004,268.43,,262.645,269.905,253.01999999999998,241.32333333333335,257.215,258.645,268.98,274.28,290.11,290.63,L5
2003-11-17 21:52:09+00:00,297.205,281.565,284.495,269.66,282.2866666666667,308.26,295.0133333333333,294.1466666666667,250.685,275.4275,294.8725,301.9325,305.20666666666665,317.475,310.235,300.265,295.575,255.99,262.2,272.90999999999997,249.38499999999996,273.63,276.5575,277.005,281.085,281.42,289.7725,261.77,299.9,331.28999999999996,289.9425,289.97999999999996,343.22,347.045,332.82,235.16,315.7033333333333,336.3066666666667,328.56,306.7975,332.395,334.25,320.07,329.365,308.04,296.425,277.0325,277.545,275.5475,275.48249999999996,271.955,271.025,188.11,258.24,220.15999999999997,222.29500000000002,256.5,232.17499999999998,268.36,272.94,255.83,179.445,260.15333333333336,278.3433333333333,281.8075,,272.88000000000005,279.26,265.39,254.53250000000003,262.28,263.2766666666667,267.21500000000003,274.29499999999996,285.485,290.195,L5
2003-12-03 21:52:19+00:00,303.85999999999996,290.27666666666664,294.43,281.7775,292.2175,317.73333333333335,309.21,305.45500000000004,239.38,307.565,308.6125,324.7075,335.74,324.99333333333334,323.6333333333334,313.0566666666667,295.575,255.99,290.575,290.59,244.67,287.06500000000005,293.53749999999997,293.2575,301.08,297.515,305.74749999999995,248.83,318.925,343.84,325.8425,318.3425,343.60999999999996,347.6466666666667,338.1433333333334,,334.92,338.865,336.3,321.99,339.79333333333335,338.78333333333336,328.7,335.36,316.5475,315.43,312.12,307.125,296.45000000000005,300.22,297.7975,296.395,,289.34749999999997,218.52,221.44,281.89,229.08,283.9225,290.50333333333333,280.01,181.77,274.46500000000003,288.15,298.52750000000003,320.16,287.56,297.6925,289.41,278.9225,280.9266666666667,281.65000000000003,274.1433333333334,280.8933333333333,292.89000000000004,290.195,L5
2003-12-10 21:58:05+00:00,312.6875,299.03,305.605,293.588,302.714,330.3025,319.398,314.582,239.38,320.106,321.834,336.834,350.60749999999996,324.99333333333334,323.6333333333334,313.0566666666667,295.575,255.99,297.63800000000003,290.59,244.67,287.06500000000005,303.72799999999995,293.2575,301.08,297.515,316.092,248.83,328.674,351.2425,325.8425,325.02799999999996,346.1275,350.58000000000004,346.53499999999997,,334.92,338.865,336.3,329.566,339.79333333333335,345.5425,328.7,341.77,322.454,323.96,319.976,317.076,309.642,309.928,310.23400000000004,296.395,,304.66999999999996,218.52,221.44,295.942,229.08,295.77599999999995,301.505,294.155,181.77,285.332,288.15,306.596,320.16,304.56000000000006,309.884,299.092,292.3,280.9266666666667,281.65000000000003,286.855,291.4025,299.4525,304.45,L5
2004-04-25 21:53:47+00:00,318.89000000000004,305.0433333333333,313.5566666666667,316.43333333333334,322.82666666666665,340.3766666666667,345.4633333333333,340.8866666666667,,351.34,346.07666666666665,365.32666666666665,359.5566666666666,327.155,330.18000000000006,317.26,294.14,282.49,321.3233333333333,316.38499999999993,,302.2950000000001,323.9866666666666,313.595,323.60999999999996,321.03,338.01000000000005,244.53,352.8766666666666,360.51,346.66499999999996,346.8733333333333,349.40000000000003,352.05333333333334,351.03666666666663,,337.44,338.3,340.15999999999997,349.4633333333333,344.86,352.49333333333334,347.88,348.21999999999997,342.23,346.33666666666664,341.32,335.0766666666667,332.62,329.0799999999999,332.38000000000005,315.825,,331.68666666666667,220.87,223.86,326.34,226.35,317.31666666666666,308.65333333333336,303.49666666666667,172.32,320.0133333333334,316.9649999999999,325.75333333333333,320.16,332.5033333333334,336.5366666666667,321.27,319.05333333333334,284.135,284.00500000000005,292.81333333333333,297.10999999999996,302.56666666666666,311.35999999999996,L5
2004-05-18 22:00:14+00:00,329.97,331.81666666666666,338.87666666666667,337.5833333333333,345.6166666666666,352.345,355.975,350.64333333333326,,360.56666666666666,355.46000000000004,382.49,373.5833333333333,354.355,352.96500000000003,351.935,,,335.83666666666664,340.49499999999995,,319.9,336.7733333333333,331.37,337.835,333.53,343.0233333333333,244.53,353.74333333333334,362.1333333333334,351.06,348.18333333333334,350.67333333333335,351.37000000000006,356.0566666666667,,344.98,345.48,349.07,351.1766666666667,347.455,351.98,352.72,349.4266666666667,344.18666666666667,351.0133333333333,345.89333333333326,343.49666666666667,342.7066666666667,338.2,347.09,338.39,,346.2366666666667,220.87,223.86,344.1266666666667,226.35,328.26,320.66666666666663,321.9433333333333,172.32,323.1,317.57,323.7633333333333,320.16,349.78000000000003,351.63000000000005,336.81666666666666,335.19,308.605,310.38000000000005,311.96666666666664,310.98333333333335,312.61999999999995,325.26,L5
2004-07-05 22:01:39+00:00,333.57,362.46,363.2,353.79,307.03999999999996,234.53,241.9,301.07500000000005,237.02,294.09000000000003,296.315,377.64,365.7,368.68,355.5,365.23,,,345.35,292.81999999999994,233.89,288.685,334.75,329.29,333.83,327.95,288.1,243.5,298.88,297.805,316.44,318.28499999999997,314.98,313.07,314.94500000000005,262.91,343.95,344.42,346.36,300.725,309.37,309.345,315.32000000000005,305.515,295.22,294.845,293.89,282.74,276.29,275.58,289.115,290.635,247.41,285.90999999999997,220.595,219.92000000000002,348.68,226.35,333.4,327.71,325.75,172.32,,,315.97,,345.18,343.25,349.14,342.57,321.35,325.29,322.91,315.93,311.02,317.56,L5
2004-07-30 21:56:27+00:00,333.57,362.46,363.2,353.79,307.03999999999996,234.53,241.9,301.07500000000005,237.02,294.09000000000003,296.315,377.64,365.7,368.68,355.5,365.23,,,345.35,273.20666666666665,233.86,274.68666666666667,334.75,329.29,333.83,327.95,276.94,243.20333333333335,289.66333333333336,279.6333333333333,304.37666666666667,308.08666666666664,300.3066666666667,302.2133333333333,303.65333333333336,265.67500000000007,343.95,344.42,346.36,289.71999999999997,298.8433333333333,298.21666666666664,304.06333333333333,291.43,279.70666666666665,282.8933333333334,275.49666666666667,262.69666666666666,257.52333333333337,254.81333333333336,272.0566666666667,275.86333333333334,248.92000000000002,285.90999999999997,220.595,219.92000000000002,348.68,226.35,333.4,327.71,325.75,172.32,,,315.97,,345.18,343.25,349.14,342.57,321.35,325.29,322.91,315.93,311.02,317.56,L5
2004-08-15 21:56:49+00:00,333.57,362.46,363.2,353.79,287.93666666666667,236.64499999999998,244.04499999999996,283.8833333333334,240.335,279.4433333333333,284.0266666666667,377.64,365.7,368.68,355.5,365.23,,,345.35,273.20666666666665,233.86,274.68666666666667,334.75,329.29,333.83,327.95,267.4875,239.5675,279.755,267.225,295.94,300.155,292.48749999999995,294.8425,297.8025,266.68333333333334,343.95,344.42,346.36,283.0775,291.71500000000003,289.855,297.63,286.55,271.0775,275.5625,267.3025,256.6825,240.565,247.305,263.685,268.945,251.1,267.1566666666667,221.34666666666666,220.12333333333333,348.68,229.745,333.4,327.71,325.75,169.715,,,315.97,,345.18,343.25,349.14,342.57,321.35,325.29,322.91,315.93,311.02,317.56,L5
2004-08-22 22:02:48+00:00,333.57,362.46,363.2,353.79,278.2775,237.35666666666665,243.9933333333333,274.375,241.6833333333333,269.1825,277.43,377.64,365.7,368.68,355.5,365.23,,,345.35,263.59499999999997,235.32000000000002,268.69,334.75,329.29,333.83,327.95,266.038,241.898,275.946,263.192,291.858,296.062,288.764,290.816,294.21,267.75,343.95,344.42,346.36,281.66999999999996,288.922,287.79200000000003,295.86199999999997,284.07,268.448,273.228,265.72799999999995,252.204,237.14600000000002,241.234,258.99,265.25,251.0325,257.165,222.935,220.225,348.68,230.66,333.4,327.71,325.75,171.15666666666667,,,315.97,,345.18,343.25,349.14,342.57,321.35,325.29,322.91,315.93,311.02,317.56,L5
2004-10-18 21:58:23+00:00,333.57,362.46,363.2,353.79,271.994,237.0,244.04749999999999,266.836,243.395,264.456,274.07,377.64,365.7,368.68,355.5,365.23,,,345.35,259.78599999999994,232.345,264.81399999999996,334.75,329.29,333.83,327.95,265.39000000000004,245.51166666666666,274.4166666666667,262.59,291.05,294.9866666666667,289.0733333333333,291.43833333333333,294.25,273.002,343.95,344.42,346.36,282.63,288.73833333333334,287.79833333333335,294.4166666666667,282.81,270.22166666666664,273.00166666666667,264.2183333333333,250.76,237.14600000000002,237.68999999999997,256.7366666666667,263.6766666666667,251.19,250.53400000000002,223.914,221.644,348.68,233.21,333.4,327.71,325.75,171.15666666666667,,,315.97,,345.18,343.25,349.14,342.57,321.35,325.29,322.91,315.93,311.02,317.56,L5
2004-11-10 22:04:35+00:00,340.49,343.455,363.2,342.63,271.994,237.0,244.04749999999999,266.836,258.898,274.75333333333333,286.1566666666667,359.905,360.955,354.95000000000005,345.95,345.395,318.58,303.95,330.75,259.78599999999994,232.345,264.81399999999996,327.2,323.025,329.87,335.71000000000004,272.0571428571429,258.20166666666665,281.59285714285716,262.59,298.19,302.42428571428576,289.0733333333333,300.09857142857146,302.7114285714286,285.91833333333335,348.055,345.115,351.33000000000004,282.63,294.56714285714287,294.4214285714285,300.2214285714286,282.81,270.22166666666664,273.00166666666667,264.2183333333333,250.76,237.14600000000002,237.68999999999997,256.7366666666667,263.6766666666667,251.19,250.53400000000002,224.67499999999998,221.09,330.84000000000003,235.49666666666667,322.95,328.9,323.03,212.72333333333336,306.04,326.34,319.32000000000005,333.97,327.02500000000003,328.96500000000003,342.65,329.83500000000004,322.055,318.035,322.07500000000005,321.64,311.02,307.68,L5
