dates,nzd0408-0000,nzd0408-0001,nzd0408-0002,nzd0408-0003,nzd0408-0004
2023-09-06 22:07:38+00:00,321.44499999999994,324.21333333333337,328.74333333333334,294.71333333333337,331.4957142857143
2023-10-08 22:07:46+00:00,322.1114285714285,323.0614285714286,329.46125,279.8225,329.562
2023-10-24 22:07:51+00:00,326.45285714285717,324.33666666666664,330.84999999999997,272.48333333333335,329.9775000000001
2024-02-21 22:07:41+00:00,333.855,320.8833333333334,334.43000000000006,,334.69
2024-04-17 22:07:27+00:00,344.2,321.765,340.09,338.38,334.695
2024-04-25 22:07:04+00:00,,327.82,337.16999999999996,336.25,334.695
2024-05-03 22:07:13+00:00,315.37,327.265,332.0833333333333,328.74333333333334,333.45666666666665
2024-05-11 22:06:51+00:00,315.575,326.352,330.89,325.5025,334.0575
2024-05-27 22:06:40+00:00,316.99666666666667,326.16,328.912,323.694,334.034
2024-06-04 22:06:59+00:00,316.99666666666667,327.20714285714286,329.5233333333333,324.155,334.034
2024-06-20 22:06:42+00:00,317.03,327.07125,328.8385714285714,324.155,333.9116666666667
2024-06-28 22:06:55+00:00,318.562,327.08,328.76,324.06,333.6771428571428
2024-07-06 22:06:56+00:00,318.562,327.08,329.9455555555556,324.06,333.6771428571428
2024-08-23 22:07:23+00:00,317.64166666666665,328.6777777777778,328.767,322.675,334.42571428571426
2024-08-31 22:07:27+00:00,317.64166666666665,328.6777777777778,329.23454545454547,323.48777777777775,334.42571428571426
2024-09-24 22:07:25+00:00,320.78999999999996,329.206,329.7325,323.95500000000004,335.30875
2024-10-10 22:07:34+00:00,322.81624999999997,329.86909090909097,330.3761538461539,324.2827272727273,335.5877777777778
2024-11-03 22:07:36+00:00,325.75875,329.3722222222222,330.65818181818184,323.1688888888889,335.845
2025-02-23 22:07:31+00:00,338.95750000000004,336.68333333333334,336.322,329.222,339.9975
2025-04-12 22:07:12+00:00,339.6166666666667,338.48,336.3633333333333,330.10999999999996,340.7066666666667
2025-05-06 22:07:18+00:00,335.61333333333334,329.865,331.6333333333334,326.2966666666667,338.57
