dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0002,nzd0354-0012,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,,,,,,,412.36,411.55,405.37,405.08,400.11,395.51,402.03,385.71,377.65,394.12,384.12,380.47,379.10,382.20,374.93,370.68,350.61,358.28,368.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:54:55.882000,L7,,,,,,,,,,,,,,,,,,,417.21,409.94,405.04,403.46,398.36,421.08,409.82,412.24,406.83,398.48,392.47,393.11,383.61,392.71,339.75,343.46,388.54,375.29,305.24,321.67,,,,,,,,354.80,331.69,326.80,,,,,,,,,,,,311.01,288.33,,,,,
2002-10-30 21:55:01.471000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,415.01,404.73,394.08,385.54,377.02,372.41,370.62,359.40,354.35,348.56,349.00,340.03,344.47,339.29,330.00,326.41,323.88,323.66,317.01,308.47,304.37,301.38,295.55,,,,,,,,,,,,,,,,,,
2003-01-02 21:55:34.113000,L7,,,373.79,327.07,340.64,348.22,354.83,346.18,335.53,,,,,,344.64,332.26,382.64,375.81,417.19,413.59,410.10,411.42,408.00,408.03,400.99,395.16,305.34,310.23,302.73,300.27,292.31,281.58,351.54,352.82,345.54,338.40,341.19,332.92,331.94,333.93,318.85,314.93,307.28,302.21,304.82,,,,,,,391.01,373.14,,406.17,405.30,398.92,400.88,393.89,,,,,,,
2003-01-18 21:55:42.118000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.36,393.04,395.11,388.48,386.51,376.25,378.48,369.89,369.26,361.20,357.97,350.63,350.63,338.66,325.53,323.91,,,,,,,,,,,,317.53,315.73,307.82,287.47,286.40,,
2003-02-19 21:55:54.479000,L7,,,349.76,316.90,377.71,359.05,356.52,344.82,336.84,,,,390.75,388.61,388.11,382.80,385.04,374.66,378.24,349.71,345.79,366.27,360.36,355.43,374.57,365.78,351.13,347.84,349.42,350.17,343.54,350.35,329.65,345.49,332.45,334.56,310.07,311.26,315.43,303.16,302.35,289.43,284.04,320.48,314.37,305.39,292.72,295.55,,,320.10,,,,,,,402.67,387.83,,,,,,,
2003-03-23 21:55:52.571000,L7,,,,,,,,,,,,287.40,305.68,353.84,,,411.05,402.02,372.46,397.76,395.19,395.05,380.21,384.71,383.52,341.72,344.03,364.84,343.03,,,,,,,,,,,,,,,,,,,,,273.10,,,,,,,,,,,,,,,,
2003-04-08 21:55:59.443000,L7,,,,,,,,,,,,,,,,,407.08,408.53,400.54,397.25,398.32,390.46,389.11,382.96,371.71,359.27,355.93,362.17,357.72,339.73,,,,,397.82,390.17,388.43,377.51,386.95,411.29,401.83,396.68,378.91,370.82,378.62,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:55:58.309000,L7,,,,,,,,,,,,,,,,,417.13,403.42,393.03,393.55,389.23,394.75,391.13,384.61,373.83,372.88,366.97,361.33,349.65,352.41,297.10,338.11,307.29,322.05,303.27,293.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-21 21:43:45.776000,L5,,,,,,,320.95,315.97,367.19,345.33,347.51,367.84,362.69,,390.66,387.80,381.86,382.39,367.59,368.85,370.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.76,,,,,310.76,360.41,396.75,400.31,381.08,,,,,,,
2003-12-28 21:45:57.554000,L5,,,,,,,,,,,,,,,,,,,406.74,408.32,403.09,399.67,380.49,381.61,370.19,367.15,356.90,360.70,359.53,356.83,347.74,343.77,320.98,322.55,308.85,277.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-02 21:46:30.745000,L5,,,,,,,,,,,,,,,411.52,409.20,408.83,404.19,389.46,400.74,398.32,397.24,390.77,389.14,374.69,372.80,354.53,358.08,350.44,343.48,331.36,326.61,308.03,318.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:47:56.357000,L5,,,,308.48,264.38,,,,357.77,350.17,332.42,351.86,356.37,360.22,387.93,381.69,390.05,377.90,367.83,361.51,370.32,364.02,,350.74,343.25,333.99,316.75,324.52,315.85,,,,,,,,,,,,,,,,,,,,,349.49,,,,,,,404.10,391.37,387.07,,,,,,,
2004-06-05 21:48:24.950000,L5,,,,,,,,,,,,,,,393.89,387.36,386.82,374.37,373.25,374.46,379.04,368.66,371.91,358.63,356.81,340.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.65,360.43,413.56,403.01,387.48,,,,,,,
2004-07-23 21:49:45.084000,L5,,,,,,,,,,,322.28,346.65,360.99,364.73,398.72,392.42,389.88,378.33,368.99,369.94,371.48,366.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.32,,,,,,,,399.51,378.85,,,,,,,
2004-08-24 21:50:29.935000,L5,,,,,,,,,,,,,,,,,,,,,417.40,405.80,410.52,405.57,390.77,386.88,379.52,388.29,371.88,385.74,355.74,363.24,352.64,343.31,330.93,336.00,314.17,307.30,301.55,302.82,306.26,298.99,306.39,,,,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:51:19.231000,L5,,,,,,,,,,,,,,,,,,,413.93,411.19,413.17,405.94,405.64,403.50,398.19,393.39,386.95,375.44,374.34,360.32,352.53,349.68,336.26,339.41,327.30,316.18,309.53,313.91,306.89,308.77,292.98,292.98,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-27 21:51:59.516000,L5,,,360.11,358.45,,,,,,,,,,,400.68,395.62,396.10,390.64,377.91,385.08,379.11,364.47,303.70,352.48,341.86,348.08,337.49,343.26,337.02,330.01,318.31,320.03,281.71,,,,,,,,,,,,,,,,,,,,,,,,404.02,391.01,379.74,,,,,,,
