dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
2005-07-12 21:42:11+00:00,315.595,323.825,329.07857142857137,342.8614285714286,331.27714285714285,321.45714285714286,249.9,178.705,224.52249999999998,249.91199999999998,L5
2005-07-28 21:42:21+00:00,310.67,318.72,327.1614285714286,340.80285714285714,330.38142857142856,320.5128571428572,274.06333333333333,173.59,229.39,250.13199999999998,L5
2005-08-13 21:42:29+00:00,310.67,318.72,327.03875,340.58250000000004,330.66875,320.90000000000003,274.06333333333333,173.59,229.39,249.95000000000002,L5
2005-08-20 21:48:42+00:00,,321.425,326.08875,339.73625000000004,330.48375,321.3225,284.7075,176.90750000000003,230.23999999999995,249.9042857142857,L5
2005-08-29 21:42:34+00:00,,322.98,326.0455555555556,339.52000000000004,330.55555555555554,321.2477777777778,290.694,176.90750000000003,240.71,249.48375,L5
2006-02-12 21:51:08+00:00,310.69,322.72666666666663,331.6566666666667,341.66,332.93666666666667,324.33,314.18333333333334,206.28,275.96,244.99666666666667,L5
2006-02-21 21:45:08+00:00,310.69,321.75,336.8333333333333,343.98333333333335,333.3299999999999,324.74666666666667,310.96333333333337,,297.12,242.68,L5
2006-02-28 21:51:28+00:00,308.515,319.435,343.3566666666666,347.27,336.775,327.43333333333334,311.64,,308.02,238.82,L5
2006-04-10 21:46:04+00:00,308.515,321.1066666666666,343.3566666666666,347.865,336.39,327.29499999999996,311.565,182.85,308.02,237.79,L5
2006-04-26 21:46:20+00:00,308.515,321.1066666666666,341.3075,348.02,335.945,327.29499999999996,312.46,181.76999999999998,308.02,237.87,L5
2006-06-13 21:47:01+00:00,308.515,321.1066666666666,337.102,345.7716666666667,333.262,327.29499999999996,312.045,225.67333333333332,311.1433333333334,239.945,L5
2006-07-22 21:53:46+00:00,308.515,321.1066666666666,333.83166666666665,344.4742857142857,332.68833333333333,326.418,312.1328571428571,246.45749999999998,312.8275,239.31799999999998,L5
2006-08-23 21:54:11+00:00,306.34,310.39333333333326,329.192,342.19,331.645,325.01,312.76,256.202,316.71,238.67200000000003,L5
2006-09-01 21:48:07+00:00,,303.3566666666666,325.08000000000004,340.6133333333333,330.62833333333333,324.0525,312.1816666666667,265.84999999999997,320.3966666666667,241.01166666666668,L5
2006-10-10 21:54:44+00:00,319.59,297.2366666666666,323.58666666666664,338.18666666666667,329.83166666666665,322.1825,312.3666666666667,286.7633333333333,320.42,245.0916666666667,L5
2006-12-06 21:49:05+00:00,319.59,288.965,322.64666666666665,336.74,327.33,322.1825,311.632,288.42333333333335,297.32800000000003,245.4,L5
2007-01-30 21:55:36+00:00,314.66999999999996,287.52799999999996,327.512,340.562,331.01800000000003,321.94,313.22499999999997,277.0625,283.79,240.91800000000003,L5
2007-02-08 21:49:26+00:00,314.66999999999996,289.3933333333333,328.03499999999997,341.40000000000003,331.32166666666666,321.5325,313.22499999999997,277.0625,283.79,240.91800000000003,L5
2011-01-02 21:44:23+00:00,,306.16,339.28,352.65,340.16,331.88,319.95,218.03,217.83,232.57,L5
2011-01-18 21:44:24+00:00,,304.395,336.725,348.98,337.19500000000005,328.53,319.95,214.4,201.815,229.03,L5
2013-05-15 21:56:27+00:00,,,308.11,326.37,303.29,,,,193.32,259.59,L8
2013-05-31 21:56:31+00:00,,,309.21500000000003,323.8,301.67,,,,193.28,275.91499999999996,L8
2013-06-07 22:02:40+00:00,,,309.21500000000003,323.8,300.09999999999997,,,,193.28,281.68,L8
2013-06-23 22:02:34+00:00,,,312.93666666666667,324.17333333333335,302.245,,,268.59,237.70333333333335,293.79499999999996,L8
2013-07-18 21:56:26+00:00,,,311.51,324.17333333333335,300.67600000000004,,,268.59,237.70333333333335,293.79499999999996,L8
2013-07-25 22:02:13+00:00,257.48,,311.544,324.17333333333335,301.3283333333333,,,287.01,257.4325,297.216,L8
2013-10-29 22:02:22+00:00,276.0,292.79,311.2633333333333,324.82,302.50857142857143,295.66,299.33,293.82666666666665,269.744,298.2233333333333,L8
