dates,satname,nzd0083-0000,nzd0083-0001,nzd0083-0002,nzd0083-0003,nzd0083-0004
2023-09-05 22:11:46.771000,L8,274.92,279.79,289.08,294.90,276.41
2023-09-13 22:11:53.459000,L9,283.93,283.98,289.39,293.92,279.59
2023-10-07 22:11:57.146000,L8,277.70,277.25,279.71,288.20,275.96
2023-10-15 22:12:03.081000,L9,300.38,296.88,304.78,315.26,304.63
2024-01-11 22:11:56.446000,L8,275.12,277.23,279.93,,
2024-02-04 22:12:07.739000,L9,288.22,290.17,294.51,302.34,288.18
2024-04-16 22:11:19.307000,L8,284.89,289.25,292.16,296.75,285.39
2024-05-02 22:11:08.519000,L8,278.73,284.09,287.81,287.85,276.26
2024-05-10 22:11:24.784000,L9,308.64,310.40,316.85,321.30,305.26
2024-05-18 22:10:55.940000,L8,276.47,279.71,286.94,287.24,274.79
2024-05-26 22:11:12.218000,L9,276.25,281.56,285.25,285.31,273.30
2024-06-11 22:11:06.286000,L9,,,,,277.86
2024-08-06 22:11:21.454000,L8,276.81,279.02,286.12,285.76,268.47
2024-08-22 22:11:34.534000,L8,319.15,345.62,319.24,325.90,321.98
2024-12-04 22:12:00.480000,L9,274.10,271.81,275.11,279.87,
2024-12-28 22:11:50.695000,L8,295.04,293.69,299.17,305.31,296.38
2025-01-13 22:11:54.516000,L8,294.37,296.19,297.57,306.74,292.72
2025-02-06 22:11:55.429000,L9,299.89,297.97,302.26,313.83,300.60
2025-03-26 22:11:41.456000,L9,298.57,302.05,308.42,315.77,299.93
2025-05-05 22:11:12.639000,L8,281.64,289.32,301.26,301.67,289.02
2025-05-21 22:11:16.046000,L8,296.69,301.46,308.31,313.93,303.53
2025-06-22 22:11:31.725000,L8,289.31,294.20,301.19,303.91,296.22
2025-06-30 22:11:31.747000,L9,,,,,277.87
2025-07-16 22:11:36.965000,L9,,,,,274.89
2025-08-01 22:11:42.925000,L9,274.76,276.71,282.91,283.32,260.94
2025-08-09 22:11:49.526000,L8,272.24,273.77,280.85,281.76,259.78
2025-08-25 22:11:51.919000,L8,305.01,303.75,308.60,318.57,310.53
2025-11-05 22:12:10.440000,L9,303.97,300.50,307.50,314.21,306.98
2025-11-13 22:12:04.594000,L8,277.18,283.13,273.45,285.93,
