dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
2015-07-31 22:00:40.324000,L8,339.20,337.62,343.94,345.84,350.79,274.47,,,,,,,294.21,306.98,319.89,300.67,305.16,323.09,334.73,352.89
2015-08-16 22:00:46.699000,L8,382.55,364.98,371.52,388.97,373.67,354.49,279.92,277.41,316.66,335.61,349.13,347.62,345.36,340.81,343.34,351.78,349.88,355.49,361.72,369.68
2015-09-17 22:01:00.336000,L8,348.29,343.64,347.53,356.70,357.82,280.99,,,,,,318.69,311.28,312.51,329.78,340.03,333.51,336.52,347.64,356.73
2015-10-19 22:01:05.887000,L8,335.41,331.10,337.40,339.97,340.98,,,,,,,,,,,314.47,317.25,322.55,330.05,341.54
2015-12-06 22:01:10.909000,L8,352.98,347.55,353.15,351.81,344.77,325.23,276.13,289.14,309.07,322.69,330.64,328.55,322.06,319.88,353.93,349.83,347.95,332.62,338.68,358.72
2016-02-08 22:01:03.169000,L8,348.31,340.63,342.80,349.72,348.45,324.98,298.69,306.92,320.20,324.70,330.17,327.21,320.15,319.70,322.92,336.42,336.66,332.53,332.47,347.23
2016-02-24 22:00:56.902000,L8,351.31,342.62,344.54,351.42,351.72,333.37,310.83,315.36,327.64,329.38,334.57,332.27,323.83,322.85,326.19,343.00,357.58,341.16,337.49,363.77
2016-03-27 22:00:45.116000,L8,374.14,374.00,361.61,375.17,369.53,364.31,359.59,364.84,370.16,362.46,363.53,353.02,373.00,367.20,371.87,374.28,343.90,352.82,367.52,378.99
2016-04-28 22:00:37.466000,L8,,,,,385.66,367.21,359.77,364.90,369.95,367.08,365.01,376.41,351.31,360.54,374.19,358.63,378.27,379.87,,
2016-05-30 22:00:42.618000,L8,360.73,358.56,368.48,368.99,366.29,260.03,,,,,,,,,,,,,,
2016-06-15 22:00:44.975000,L8,389.37,378.00,380.42,389.78,393.23,382.03,367.26,365.33,370.54,362.38,364.48,361.29,354.85,344.27,358.27,368.74,360.98,361.88,373.79,377.50
2016-07-01 22:00:54.396000,L8,,,,,,,373.13,370.51,381.95,371.53,378.88,375.24,370.41,365.35,381.07,380.32,377.93,376.24,,
2016-11-22 22:01:23.648000,L8,348.09,333.73,337.91,345.89,343.73,322.93,299.80,271.04,313.26,318.37,326.13,326.24,317.99,320.94,321.45,331.69,333.23,330.57,336.55,351.52
2017-01-09 22:01:14.158000,L8,288.47,,,,,,,,364.89,369.74,368.02,352.94,350.51,347.25,356.23,362.55,349.27,330.23,337.64,343.33
2017-01-25 22:01:08.707000,L8,,,,,,,374.61,381.30,378.83,374.70,378.53,377.96,365.81,360.58,369.80,369.89,369.16,371.92,383.40,389.45
2017-02-10 22:01:00.454000,L8,378.54,370.62,345.29,355.87,347.06,345.95,319.44,315.35,317.65,321.69,327.85,334.57,341.73,341.59,355.77,360.62,358.53,362.57,338.19,342.27
2017-03-30 22:00:38.167000,L8,351.54,339.31,344.19,348.00,348.17,330.09,309.88,304.37,318.65,327.18,334.75,335.12,321.96,327.55,325.97,336.65,331.80,339.55,343.95,359.62
2017-04-15 22:00:30.050000,L8,370.08,354.91,361.62,368.68,368.95,362.98,341.25,346.99,345.83,352.92,363.65,354.00,344.97,340.50,348.29,349.59,339.04,347.43,365.47,365.90
2017-05-01 22:00:19.697000,L8,362.53,350.39,354.37,368.71,368.16,348.55,337.12,323.53,336.09,347.66,350.47,349.18,337.89,335.11,337.22,346.73,330.25,344.77,360.86,359.61
2017-06-18 22:00:46.718000,L8,383.26,369.87,372.98,378.57,378.04,358.96,339.10,346.81,357.73,354.60,352.84,353.21,355.29,365.43,355.77,361.53,351.70,354.48,377.47,372.09
2017-07-04 22:00:50.541000,L8,344.43,332.79,337.86,343.33,342.25,316.35,281.70,,,,,,,293.53,315.84,314.12,322.66,329.52,338.36,339.32
2017-09-06 22:01:09.877000,L8,340.38,328.98,334.71,341.73,340.26,303.12,287.92,,,,,,298.14,311.01,318.23,326.72,333.18,331.03,343.76,354.13
2017-09-22 22:01:13.818000,L8,386.30,376.13,375.42,368.18,371.88,362.98,357.21,361.85,351.34,357.61,366.74,376.44,361.81,347.38,359.44,364.80,360.27,362.45,373.96,378.31
2017-10-24 22:01:21.408000,L8,352.24,343.30,345.22,351.66,351.72,335.53,306.90,300.30,311.34,317.57,328.88,327.54,320.74,323.04,331.67,335.11,332.49,342.18,355.80,356.96
2017-12-11 22:01:12.448000,L8,349.96,340.83,344.16,349.54,350.24,323.96,308.93,313.74,322.03,325.90,327.30,324.63,319.74,319.16,322.09,335.79,334.75,350.06,334.48,342.03
2018-03-17 22:00:35.960000,L8,397.92,380.17,375.03,395.28,390.31,,,,,382.10,376.90,369.80,365.02,364.06,373.35,382.65,374.74,373.94,,
2018-04-18 22:00:19.528000,L8,327.11,320.11,323.59,336.02,334.11,298.88,285.08,,,,,,,,,,,,,
2018-05-20 21:59:59.627000,L8,368.83,377.36,356.88,371.07,369.48,350.87,333.67,341.07,348.35,346.81,377.61,349.97,342.90,336.78,337.85,360.34,347.74,343.33,354.62,371.94
2018-08-08 22:00:25.669000,L8,360.51,347.34,355.64,355.25,356.77,342.17,306.35,298.45,,,,,,,308.01,355.51,348.38,352.56,368.53,368.85
2018-08-24 22:00:33.638000,L8,366.07,368.95,364.60,368.88,371.74,345.12,322.55,307.21,320.42,338.94,351.58,344.00,343.44,340.82,350.74,360.44,360.09,362.53,372.82,372.58
2018-10-27 22:00:57.222000,L8,373.16,366.71,365.22,371.71,372.23,355.46,347.23,347.05,359.00,355.86,355.23,351.21,347.59,343.66,355.60,365.46,367.25,357.33,,
2018-11-12 22:00:59.324000,L8,364.71,364.24,361.81,363.18,362.93,355.37,322.78,329.33,352.99,334.72,339.50,347.49,340.92,339.60,351.25,357.35,348.31,350.28,364.44,363.35
2019-02-16 22:00:47.319000,L8,,,373.03,380.08,379.91,363.23,357.96,366.06,365.84,360.38,371.68,364.03,356.50,359.46,371.56,371.23,370.54,366.91,378.61,377.86
2019-03-04 22:00:42.823000,L8,350.01,340.74,344.04,347.79,352.95,325.64,315.25,314.87,321.14,327.77,334.81,332.94,321.17,322.42,323.27,344.24,342.42,338.26,346.30,354.96
2019-05-07 22:00:32.643000,L8,384.46,368.02,372.29,378.78,381.98,361.54,355.45,359.57,366.32,357.17,368.78,357.71,351.33,347.43,358.06,362.12,356.69,357.78,370.30,371.90
2019-05-23 22:00:42.651000,L8,371.87,359.63,366.71,371.41,376.10,354.26,346.52,351.27,356.22,351.73,362.83,352.76,347.02,335.91,347.01,354.58,363.42,352.38,368.30,
2019-06-08 22:00:50.322000,L8,339.95,334.04,333.53,339.18,333.49,308.45,291.80,288.90,302.92,305.70,322.07,,292.03,305.76,319.66,325.00,324.47,327.40,331.41,338.38
2019-07-10 22:00:59.262000,L8,386.45,378.24,378.40,387.57,377.32,356.33,348.11,354.44,354.76,356.27,357.61,349.57,341.83,355.44,366.43,364.08,352.98,356.66,372.55,370.11
2019-07-26 22:01:04.108000,L8,377.69,378.38,373.52,384.22,374.03,358.77,340.52,340.15,347.98,345.90,354.23,349.12,362.32,349.86,355.87,359.07,354.25,345.90,360.26,370.92
2019-08-11 22:01:10.247000,L8,365.38,366.85,365.39,375.70,370.04,357.78,326.81,312.26,331.97,289.47,,,,,,,,,,
2019-08-27 22:01:14.407000,L8,363.83,362.96,365.73,369.82,371.11,353.78,320.78,304.16,319.16,326.46,355.59,346.26,342.03,343.36,352.26,351.28,348.26,352.19,367.54,371.39
2019-10-30 22:01:26.665000,L8,348.03,340.12,344.10,348.42,347.27,321.92,296.94,296.26,308.72,301.87,326.37,313.69,317.09,321.17,319.05,343.78,331.38,336.92,341.08,353.99
