dates,satname,nzd0350-0000,nzd0350-0001,nzd0350-0004,nzd0350-0005,nzd0350-0006,nzd0350-0007,nzd0350-0008,nzd0350-0009,nzd0350-0010,nzd0350-0011,nzd0350-0012,nzd0350-0014,nzd0350-0015,nzd0350-0016,nzd0350-0017,nzd0350-0002,nzd0350-0003,nzd0350-0013
2017-01-25 22:01:08.707000,L8,348.43,,,233.36,336.42,321.10,294.92,312.67,213.98,282.74,275.03,214.83,238.78,322.53,319.39,,,248.00
2017-02-10 22:01:00.454000,L8,353.37,,,231.55,337.51,288.27,297.06,258.33,178.02,282.83,273.50,222.74,239.50,309.39,315.34,,,245.86
2017-02-26 22:00:55.430000,L8,334.70,,,,,,,,,,,,,,296.66,,,
2017-03-30 22:00:38.167000,L8,,,,,,,,,,,,,,248.41,295.57,,,
2017-05-01 22:00:19.697000,L8,350.13,,,,,,,,,,,,171.82,171.68,285.38,,,
2017-05-24 22:06:46.292000,L8,,,,,,,,,,,,,,,224.37,,,
2017-06-09 22:06:54.260000,L8,,,,,,,,,,,,,,232.39,278.86,,,
2017-06-18 22:00:46.718000,L8,,,,,,,,,,,,,,239.90,295.70,,,
2017-06-25 22:06:59.518000,L8,,,,200.61,162.96,242.85,180.82,,,,,,220.75,258.01,282.08,,,
2017-07-04 22:00:50.541000,L8,,,,,,,,,,,,,,240.51,293.18,,,
2017-08-21 22:01:07.834000,L8,,,,,,,,,,,,,,238.22,293.69,,,
2017-09-06 22:01:09.877000,L8,,,,,,,,,,,,,,236.98,294.85,,,
2017-10-24 22:01:21.408000,L8,350.82,,,179.94,332.03,249.27,294.50,259.04,157.39,281.04,264.27,211.74,222.95,314.79,308.72,,,246.62
2017-10-31 22:07:31.844000,L8,397.42,,,,356.80,326.56,,,184.04,240.87,254.03,,211.74,239.48,292.65,,,
2017-12-02 22:07:22.770000,L8,,,,,,,,,180.50,239.09,,,,232.72,288.45,,,
2017-12-11 22:01:12.448000,L8,351.99,317.97,317.77,155.41,343.96,336.32,331.07,331.42,327.95,287.55,285.05,308.03,249.87,326.51,332.93,,,256.02
2018-01-19 22:07:14.526000,L8,,,,,,,,,174.30,237.48,,,,235.13,285.15,,,
2018-01-28 22:00:58.125000,L8,350.55,,,180.88,312.57,288.55,294.14,307.99,152.94,279.35,273.36,205.17,232.85,264.76,317.30,,,251.55
2018-02-20 22:07:00.077000,L8,395.62,,,,320.88,335.02,268.02,,190.49,293.01,224.98,192.44,221.31,253.50,295.25,,,211.35
2018-03-17 22:00:35.960000,L8,349.74,,,159.57,311.77,280.30,,,,252.29,263.20,,,259.46,301.49,,,
2018-03-24 22:06:44.096000,L8,440.51,,454.54,,269.29,,,445.99,491.37,511.13,,,300.27,291.32,295.01,,,
2018-04-25 22:06:26.771000,L8,,,,181.74,162.62,243.78,216.59,,180.51,243.31,253.12,,216.79,245.95,284.12,,,
2018-06-28 22:06:16.147000,L8,,,,,,,,,,,,,,232.47,330.42,,,
2018-08-08 22:00:25.669000,L8,,,,230.50,175.29,,,,,,,,239.99,331.23,303.81,,,
2018-08-24 22:00:33.638000,L8,345.48,,,180.74,310.25,285.05,,,151.35,269.72,268.26,,223.32,250.25,303.80,,,
2018-08-31 22:06:47.157000,L8,,,,,,,,,,,,,,229.67,277.32,,,
2018-10-18 22:07:05.594000,L8,,,,196.72,163.74,244.34,219.78,,184.37,241.01,258.24,,207.23,245.36,290.04,,,
2018-11-12 22:00:59.324000,L8,346.59,,,,248.22,282.29,,,148.33,278.25,263.93,,219.08,255.28,325.94,,,
2018-12-21 22:07:06.566000,L8,,,382.40,372.35,368.90,333.98,301.27,342.53,199.18,279.92,261.06,185.00,226.03,312.89,298.39,,,212.03
2019-01-22 22:07:02.132000,L8,400.75,,383.73,198.96,371.23,334.23,294.29,338.38,254.11,294.80,267.02,224.87,232.67,348.65,298.56,,,214.27
2019-02-07 22:06:59.544000,L8,,,382.05,366.77,368.36,349.09,288.06,303.36,194.47,288.51,257.77,185.39,219.51,252.47,295.31,,,213.47
2019-03-04 22:00:42.823000,L8,353.10,333.29,319.10,320.73,342.49,338.36,322.23,328.74,315.16,283.38,282.45,283.56,248.92,352.97,324.27,,,257.68
2019-05-14 22:06:48.150000,L8,389.60,,,201.05,172.60,245.43,217.38,165.49,183.35,206.39,173.76,190.16,223.52,249.59,291.79,,,211.79
2019-06-15 22:07:03.775000,L8,380.80,,,365.63,367.30,242.75,216.09,276.54,263.78,212.35,183.94,,247.05,280.55,283.78,,,
2019-07-17 22:07:10.971000,L8,,,,198.34,165.95,,,,,,,,,241.54,239.57,,,
2019-08-02 22:07:17.867000,L8,,,,,,188.51,207.34,,,,,,,231.07,280.19,,,
2019-08-27 22:01:14.407000,L8,,,,,,,,,,,,,,240.00,296.82,,,
2019-10-05 22:07:36.198000,L8,,,,361.04,378.93,313.44,316.11,345.38,259.29,296.02,268.89,265.48,235.30,343.41,307.73,,,222.13
2019-10-21 22:07:37.761000,L8,,,,196.40,165.04,,,,,,,,,240.71,262.41,,,
2019-12-08 22:07:32.611000,L8,381.61,,382.71,372.67,376.57,249.33,220.75,339.75,256.27,294.30,259.34,325.74,231.83,312.88,298.98,,,212.62
2020-02-10 22:07:16.756000,L8,,,,260.51,197.50,337.20,228.89,255.55,264.16,292.83,218.60,255.23,239.92,253.89,302.81,,,226.63
2020-02-26 22:07:12.690000,L8,,,,,,,,,183.53,241.43,255.72,,232.19,251.09,297.56,,,
2020-03-06 22:00:58.462000,L8,,,320.98,347.14,344.90,338.08,301.77,166.94,222.02,283.93,277.80,290.46,244.89,324.77,326.53,,,251.06
2020-03-13 22:07:06.074000,L8,,,,,,,,,,,,,,,286.25,,,
2020-04-14 22:06:50.036000,L8,,,,,,,,,,,,,,233.06,283.57,,,
2020-04-23 22:00:35.031000,L8,,,,,,,,,,,,,,,235.03,,,
2020-05-09 22:00:26.885000,L8,,,,,,,,,,,,,,,234.47,,,
2020-06-10 22:00:39.456000,L8,,,,,,,,,,,,,,234.63,243.83,,,
2020-07-12 22:00:54.669000,L8,,,,,,284.58,301.95,299.14,305.92,,,207.25,200.72,243.61,315.22,,,226.34
2020-07-19 22:07:07.773000,L8,,,,196.19,161.29,,,,,,,,,233.62,277.70,,,
2020-08-29 22:01:11.546000,L8,,,,,,,,,,,,,,238.63,293.47,,,
2020-09-14 22:01:17.845000,L8,,,,,320.94,,,,,275.37,262.18,,,254.76,304.94,,,
2020-10-23 22:07:33.943000,L8,,,384.14,372.34,368.76,317.34,297.47,337.49,198.60,296.01,266.41,189.92,234.77,307.26,298.04,,,221.10
2021-01-04 22:01:18.489000,L8,,,483.53,502.81,501.52,345.23,,,,215.99,263.51,294.35,309.45,340.63,370.93,,498.76,258.69
2021-01-11 22:07:26.124000,L8,,,,,,,,,185.03,234.72,,,204.12,245.39,280.22,,,
2021-02-12 22:07:19.216000,L8,,,,,,,,,181.78,239.01,,,214.22,243.68,290.92,,,
2021-02-21 22:01:05.416000,L8,,,,,,,,,147.84,268.55,262.12,,160.03,248.20,301.77,,,
2021-03-16 22:07:03.784000,L8,394.14,,331.92,201.83,377.18,344.06,364.59,379.71,280.07,298.98,278.08,267.58,250.01,349.71,332.95,,280.53,267.49
2021-03-25 22:00:51.177000,L8,,,,,,,,,,268.23,270.89,,231.45,254.74,305.46,,,
2021-04-10 22:00:46.354000,L8,,,,,329.09,280.05,,,166.19,277.58,271.67,224.21,198.23,213.77,225.66,,,248.29
2021-04-17 22:06:54.118000,L8,,,,,,,,,,,,,,175.54,282.33,,,
2021-09-08 22:07:29.873000,L8,,,,,,,,,,,,,,,218.28,,,
2021-09-17 22:01:20.617000,L8,,,,,,,,,,,,190.33,227.22,176.09,216.13,,,
2021-11-18 22:00:34.762000,L9,348.94,,,184.03,339.95,321.39,287.38,301.42,332.14,291.68,278.86,308.77,247.49,362.88,327.67,,,264.76
2021-12-21 22:07:31.120000,L9,,,,,,,,,,,,,,,219.87,,,
2021-12-29 22:07:29.143000,L8,,,,,,,,,,,,,,,223.04,,,
2022-01-07 22:01:17.661000,L8,,,,,,,,,,,,,,,161.05,,,
2022-01-14 22:07:27.312000,L8,403.57,,392.77,368.27,386.88,500.25,494.16,492.52,477.96,297.43,285.92,303.69,278.25,354.69,311.57,386.19,379.21,277.03
2022-01-15 22:01:17.704000,L9,,,254.71,250.63,148.04,340.11,338.44,331.80,341.76,288.52,286.47,308.55,246.60,364.18,363.59,300.51,353.68,254.60
2022-01-30 22:07:22.237000,L8,,,,,,317.69,295.10,311.73,315.89,292.73,270.66,,224.17,257.20,295.01,,,
2022-02-15 22:07:18.025000,L8,395.86,,,,199.68,268.97,161.45,150.80,248.15,295.30,274.08,254.72,231.20,347.59,296.25,,,212.79
2022-02-16 22:01:14.119000,L9,,,,180.10,337.30,279.67,287.87,288.40,163.59,280.28,271.42,287.20,241.44,332.56,324.89,,,244.35
2022-02-23 22:07:19.963000,L9,,,,,,,,,193.42,286.67,234.30,,231.27,253.64,291.99,,,
2022-03-04 22:01:04.617000,L9,,,,183.87,183.58,192.87,245.34,288.57,303.69,279.95,271.77,278.61,238.72,320.50,327.47,,,245.99
2022-03-12 22:01:00.535000,L8,,,,,331.19,281.26,272.70,284.00,158.12,279.93,274.98,218.49,241.82,257.95,319.46,,,247.31
2022-04-13 22:00:53.360000,L8,,,,,,,,,,,,,,236.92,295.81,,,
2022-04-21 22:00:48.097000,L9,,,,,253.22,276.72,,,,,,,211.25,245.36,303.94,,,
2022-05-06 22:07:05.573000,L8,,,,176.82,171.64,244.69,220.93,,195.81,270.64,257.29,,233.13,319.96,304.98,,,
2022-05-22 22:07:10.472000,L8,,,,,,,,,,,,,,186.42,224.91,,,
2022-06-07 22:07:19.428000,L8,,,,,,,,,,,,,,,230.12,,,
2022-07-01 22:07:06.314000,L9,,,,,,,,,,,,,,,232.42,,,
2022-07-02 22:01:17.924000,L8,,,,183.74,176.50,253.90,241.25,241.92,155.79,264.91,188.48,220.36,244.37,336.65,326.07,,,238.07
2022-07-17 22:07:05.202000,L9,,,,,,,,,,,,,,,231.61,,,
2022-10-05 22:07:34.692000,L9,,,,,166.67,244.10,214.30,,,,,,,,159.00,,,
2022-10-21 22:07:41.412000,L9,395.72,,,373.68,388.37,344.60,308.10,357.60,365.60,301.05,275.82,257.33,242.13,349.03,344.77,,,274.37
2022-10-29 22:07:52.427000,L8,,,,290.24,375.93,379.98,296.91,315.55,192.47,291.71,261.08,188.36,232.73,285.07,296.70,,,209.99
2022-11-07 22:01:40.727000,L8,370.83,,322.19,184.18,343.16,337.80,307.35,331.35,335.27,294.21,300.77,303.53,309.29,324.42,330.68,,,259.09
2022-11-15 22:01:31.563000,L9,,,,179.99,331.66,282.57,278.12,289.22,308.56,281.94,273.92,216.84,237.58,327.19,323.20,,,245.05
2022-11-22 22:07:41.635000,L9,405.29,386.14,398.98,387.33,391.22,385.79,377.11,371.92,360.84,309.58,285.76,339.33,345.12,347.09,321.44,391.70,399.96,288.45
2022-12-25 22:01:26.931000,L8,,,,,,,,,,,,,,212.26,312.60,,,
2023-01-01 22:07:39.051000,L8,,,,197.34,355.64,233.68,220.28,310.16,295.65,243.84,252.95,,228.74,288.22,298.32,,,
2023-01-02 22:01:30.470000,L9,,,321.09,344.00,292.82,325.55,332.05,289.81,325.64,285.09,270.80,285.66,242.43,325.59,327.98,,,247.73
2023-01-17 22:07:30.257000,L8,,,,198.68,361.41,319.80,298.16,150.97,197.97,293.37,262.59,192.05,237.18,302.50,301.01,,,212.88
2023-02-10 22:07:44.308000,L9,400.84,374.36,394.05,381.61,384.69,379.02,363.23,356.08,369.68,376.86,381.78,314.09,331.83,349.89,367.15,386.52,383.44,355.51
2023-02-19 22:01:25.048000,L9,,,,179.48,263.58,280.56,276.60,285.06,293.16,276.94,267.74,,233.45,332.82,313.33,,,
2023-03-14 22:07:23.107000,L9,,,,325.65,367.40,327.52,293.63,147.13,194.66,294.25,259.99,194.49,236.13,314.48,309.29,,,212.69
2023-03-22 22:07:04.713000,L8,,,,,359.07,,,,,,,,218.83,325.84,292.95,,,
2023-04-16 22:00:35.409000,L8,,,,179.37,302.20,284.17,268.53,291.78,154.28,252.95,227.97,,,322.62,301.69,,,
2023-04-24 22:00:52.245000,L9,,,,,322.28,280.08,,,,,,,228.10,248.27,303.76,,,
2023-06-02 22:06:41.744000,L9,,,,,,,,,,,,,,,232.27,,,
2023-06-10 22:06:39.746000,L8,,,,315.29,267.07,,,,,,,,,,240.96,,,
2023-06-11 22:00:25.462000,L9,,,,,,,,,,,,,,,242.49,,,
2023-07-13 22:00:39.192000,L9,,,,,253.27,,,,,,,,219.33,243.12,307.04,,,
2023-07-28 22:07:02.846000,L8,,,,199.50,174.61,246.57,219.26,328.25,189.99,208.00,,,222.89,248.50,286.53,,,
2023-07-29 22:00:43.244000,L9,,,,181.53,174.20,254.57,252.39,238.53,155.54,266.36,272.01,,180.09,251.06,321.07,,,
2023-08-13 22:07:07.940000,L8,,,,,,,,,,,,,,,227.97,,,
2023-09-06 22:07:14.613000,L9,,,,,,,,,,,,,,,230.77,,,
2023-09-07 22:01:01.793000,L8,,,,180.28,323.86,,,,152.56,256.63,263.63,,219.80,256.05,307.53,,,
2023-10-08 22:07:22.193000,L9,,,,194.92,357.85,,,,,,,,217.96,243.37,280.97,,,
2023-10-09 22:01:12.515000,L8,,,,,,,,,,,,,,,233.39,,,
2023-10-17 22:01:17.972000,L9,351.08,,,156.77,339.94,337.23,331.56,291.66,167.97,284.89,273.22,221.24,240.02,319.80,330.92,,,246.69
2023-10-24 22:07:27.973000,L9,384.32,,,195.95,160.59,238.32,215.85,313.82,194.17,289.81,253.32,,230.19,253.26,292.15,,,
2023-11-10 22:01:11.260000,L8,,,,,335.73,278.80,274.71,288.48,156.69,280.97,181.45,213.86,234.35,257.90,318.20,,,198.71
2023-11-17 22:07:27.133000,L8,387.22,,,360.43,378.95,318.47,304.60,150.68,198.70,296.04,257.89,227.89,235.55,294.93,311.19,,,210.99
2023-11-26 22:01:17.763000,L8,,,,,342.09,285.26,278.81,288.67,178.36,285.33,274.92,217.07,240.12,306.08,325.09,,,248.15
2023-12-19 22:07:27.073000,L8,396.69,371.21,391.70,265.39,331.43,396.44,373.80,383.17,208.45,299.90,280.15,309.98,261.05,303.51,313.45,379.26,384.14,269.68
2024-02-05 22:07:19.904000,L8,,361.62,387.00,252.38,383.75,387.87,350.29,353.10,276.50,307.34,,253.29,290.61,302.25,354.63,384.01,373.41,206.35
2024-02-06 22:01:22.045000,L9,,,359.33,241.17,347.55,334.51,327.87,200.78,249.60,285.36,273.82,237.65,304.13,329.63,333.29,336.44,350.67,250.50
2024-02-13 22:07:29.811000,L9,403.36,,392.14,316.22,380.43,414.39,290.08,365.50,355.98,300.92,299.40,311.21,359.13,346.49,374.97,342.85,375.12,281.94
2024-02-21 22:07:17.333000,L8,,358.92,396.07,379.07,388.47,370.01,334.98,337.93,356.67,301.55,277.78,308.99,278.45,347.84,353.41,383.17,393.96,264.89
2024-03-08 22:07:05.574000,L8,,368.44,348.71,285.49,421.66,396.04,396.64,349.56,354.23,305.19,280.92,312.39,299.89,342.56,332.39,381.53,385.66,286.63
2024-03-16 22:07:23.404000,L9,,,,344.52,359.99,265.84,269.99,319.96,192.78,243.90,227.80,,,258.06,293.18,,,
2024-04-02 22:00:39.887000,L8,,,,,328.23,283.31,269.48,288.94,155.13,279.79,274.03,,240.94,263.40,308.37,,,
2024-04-17 22:07:03.684000,L9,388.03,,385.33,331.51,370.02,343.29,290.15,326.59,250.97,305.59,281.31,263.60,239.26,306.93,311.03,366.42,364.44,265.35
