dates,satname,nzd0347-0000,nzd0347-0001,nzd0347-0002,nzd0347-0003,nzd0347-0004,nzd0347-0005,nzd0347-0006,nzd0347-0007,nzd0347-0062,nzd0347-0063,nzd0347-0064,nzd0347-0065,nzd0347-0013,nzd0347-0014,nzd0347-0015,nzd0347-0016,nzd0347-0017,nzd0347-0018,nzd0347-0019,nzd0347-0020,nzd0347-0021,nzd0347-0022,nzd0347-0023,nzd0347-0024,nzd0347-0025,nzd0347-0026,nzd0347-0027,nzd0347-0028,nzd0347-0029,nzd0347-0067,nzd0347-0068,nzd0347-0069,nzd0347-0070,nzd0347-0008,nzd0347-0009,nzd0347-0010,nzd0347-0011,nzd0347-0012,nzd0347-0030,nzd0347-0031,nzd0347-0032,nzd0347-0033,nzd0347-0034,nzd0347-0035,nzd0347-0046,nzd0347-0047,nzd0347-0048,nzd0347-0049,nzd0347-0050,nzd0347-0051,nzd0347-0052,nzd0347-0053,nzd0347-0054,nzd0347-0066,nzd0347-0038,nzd0347-0039,nzd0347-0040,nzd0347-0041,nzd0347-0042,nzd0347-0043,nzd0347-0044,nzd0347-0045,nzd0347-0055,nzd0347-0056,nzd0347-0036,nzd0347-0037,nzd0347-0057,nzd0347-0058,nzd0347-0059,nzd0347-0060,nzd0347-0061
2006-01-27 21:51:10.462000,L5,,,,,,,,,,,,,,,364.22,348.37,360.22,377.26,380.92,381.90,396.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-10 21:55:08.811000,L5,379.28,379.74,347.05,369.43,371.17,360.00,349.68,367.97,,,,,365.45,340.40,340.15,335.07,346.84,347.87,353.82,354.91,364.20,383.09,382.18,373.43,395.05,391.21,385.00,385.02,385.74,,,,,372.38,370.47,376.48,368.43,365.52,398.90,403.02,380.33,376.78,366.23,275.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-07 21:49:43.456000,L5,,,,,,,,,,,,,,362.01,361.66,348.59,374.20,367.82,381.67,388.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-30 21:56:00.553000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.38,411.82,391.85,382.08,371.11,296.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-25 21:50:59.151000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.13,408.64,396.57,381.96,375.67,290.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-25 22:03:01.828000,L8,373.01,366.18,322.05,329.08,304.97,283.64,278.33,339.19,387.12,385.46,393.74,395.42,336.81,312.04,317.93,309.32,319.45,320.01,328.54,322.25,340.59,353.95,351.53,347.03,361.88,361.46,353.84,353.01,358.90,375.37,361.56,361.61,363.91,288.00,,284.39,330.44,317.43,372.37,369.08,343.17,330.97,330.23,,355.92,347.70,350.99,376.63,376.06,391.60,371.72,376.35,369.99,381.48,358.88,364.14,365.35,359.92,359.48,346.36,355.20,338.25,336.94,376.55,362.11,363.45,387.72,373.09,390.06,387.73,372.52
2013-10-29 22:02:46.185000,L8,369.27,365.76,341.53,355.91,359.26,333.13,332.16,350.75,393.13,,,,356.77,323.94,332.09,324.39,336.77,337.55,346.73,354.28,373.42,374.99,375.61,381.31,379.34,377.16,371.31,371.08,368.55,378.81,368.53,363.83,373.81,357.70,356.26,350.39,355.73,351.64,380.58,383.94,365.39,356.23,356.71,272.79,373.24,371.56,364.09,383.08,387.97,388.73,380.89,383.38,377.74,,383.56,383.92,384.27,385.61,382.34,371.48,376.60,367.06,371.09,371.82,386.89,386.83,382.41,377.75,382.17,387.27,387.55
2013-11-14 22:02:45.355000,L8,371.32,367.25,337.02,360.74,360.61,344.64,337.26,350.56,385.45,395.03,406.53,,355.56,324.21,331.77,321.43,338.68,339.85,344.64,355.39,371.99,373.74,374.44,381.57,378.38,374.89,370.75,367.94,366.72,378.09,373.09,366.02,375.92,359.73,360.26,351.56,354.32,352.99,381.86,385.58,369.29,359.18,354.50,269.04,370.64,368.69,363.73,379.19,385.96,385.86,378.79,380.36,375.41,,380.40,383.20,383.04,384.03,378.36,366.43,372.76,366.80,368.05,371.97,381.67,386.63,383.40,376.43,382.53,390.18,386.59
2013-11-30 22:02:40.518000,L8,370.55,362.95,339.45,352.58,358.66,344.63,333.36,348.42,381.89,401.97,,,356.42,320.79,330.83,327.82,336.89,335.78,342.39,348.32,369.33,370.31,371.58,376.10,375.68,373.28,367.95,367.21,364.59,380.16,369.85,368.33,377.26,358.50,357.59,350.26,353.80,351.87,376.75,384.63,369.55,359.94,351.95,267.43,368.93,365.66,361.44,373.37,381.63,382.16,376.74,377.77,372.41,,378.04,381.91,379.25,379.11,373.58,363.26,368.19,361.36,365.08,367.48,381.13,382.48,380.59,374.56,383.12,383.93,385.16
2014-02-02 22:02:05.518000,L8,365.12,363.86,333.24,362.19,355.82,342.56,334.47,348.45,383.41,393.92,401.18,397.29,346.86,315.52,324.24,313.97,331.63,328.45,333.05,334.43,368.25,362.69,363.46,353.65,369.31,364.45,362.41,362.93,362.09,,,,,355.16,357.65,347.94,349.50,347.16,373.91,379.18,362.71,356.76,343.72,252.37,358.05,352.79,355.64,378.21,378.95,378.08,375.22,377.93,374.16,,370.37,376.93,375.77,370.19,367.60,352.71,359.76,355.93,363.45,367.87,377.87,375.10,377.67,374.06,387.46,386.92,390.62
