dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,nzd0316-0005,nzd0316-0013,nzd0316-0027,nzd0316-0040,satname
2011-03-28 22:02:50+00:00,281.3925,265.29499999999996,265.11,261.71799999999996,258.738,251.9175,256.44,258.225,259.818,255.868,263.664,273.41999999999996,276.106,289.385,277.76599999999996,270.84000000000003,282.152,264.135,267.5525,278.8325,259.7,258.67,252.73333333333335,253.73333333333335,268.44666666666666,253.685,261.11,242.07000000000002,247.02666666666664,272.15999999999997,266.34,271.38,263.39,270.98,263.78333333333336,274.21500000000003,285.40333333333336,259.0625,259.9266666666667,258.8066666666667,276.254,276.302,277.67600000000004,244.8175,279.65,267.24333333333334,246.755,L5
2013-06-05 22:15:03+00:00,268.82,253.03,248.27,244.74,245.93,,241.16,244.55,226.52,216.8,235.41,,236.39,,,249.6,261.72,249.15,246.18,257.36,245.18,245.8,221.97,,,,,,,,,,,255.24,245.04,,,,,,,,,242.36,,,227.69,L8
2013-07-23 22:14:58+00:00,268.82,253.03,248.27,244.74,244.525,,240.10500000000002,243.89,228.005,215.36,229.70999999999998,242.07,238.555,,,254.765,265.605,245.765,248.425,248.455,245.18,245.8,221.97,,,,,,,,,,,255.24,245.04,,,,,,,,,242.36,,,227.69,L8
2013-09-25 22:14:53+00:00,276.2,262.875,257.1,254.03,250.5,261.37,248.96666666666667,251.25333333333333,240.9366666666667,215.36,229.70999999999998,242.07,249.84666666666666,273.27,283.04,263.90000000000003,271.3233333333333,256.01,256.9166666666667,261.1033333333333,261.53999999999996,259.555,240.60500000000002,267.88,264.23,263.95,260.91,259.34,268.06,275.13,278.34,280.06,274.3,265.23,261.27,,,261.95,269.79,264.05,282.02,276.46,277.13,251.73000000000002,265.28,263.81,249.22,L8
2013-10-27 22:14:43+00:00,279.34999999999997,265.95,262.5466666666667,258.25333333333333,253.91750000000002,261.605,253.8875,255.2275,247.69500000000002,229.98000000000002,244.40666666666667,257.82,254.435,264.15,282.83500000000004,268.9075,274.555,261.635,260.96500000000003,266.8,266.0833333333333,263.87,248.01666666666665,268.595,264.3,264.19,262.3,256.02,262.2,276.0,279.04999999999995,299.84000000000003,274.3,270.27333333333337,267.3,276.65,269.55,263.505,268.555,264.305,282.485,276.2,277.505,255.31333333333336,263.88,262.46500000000003,254.48666666666668,L8
2013-11-19 22:20:49+00:00,282.0875,269.88,269.65,262.5625,257.31800000000004,266.02,258.404,259.2,252.90600000000003,241.7725,255.45,265.99333333333334,260.18199999999996,270.29,286.76,275.832,277.866,266.472,264.562,272.654,272.2575,269.9075,259.4975,275.34,273.31333333333333,268.74,265.95,263.6933333333333,269.15000000000003,281.1666666666667,281.73333333333335,295.42,280.77,274.46000000000004,272.2075,281.625,276.53499999999997,268.44666666666666,274.06,264.305,282.485,276.2,277.505,263.02250000000004,270.3566666666666,275.1933333333333,261.3,L8
2013-11-28 22:14:37+00:00,285.034,274.46999999999997,278.96999999999997,270.712,263.3533333333333,277.67,262.865,261.805,255.84833333333336,247.26999999999998,260.008,269.6925,264.4116666666667,274.1875,286.92,277.6116666666667,279.6383333333333,269.035,268.22166666666664,276.2133333333333,274.812,272.56399999999996,264.108,277.97,275.3775,272.27,270.0,269.43,274.695,282.735,283.40999999999997,294.4275,285.8533333333333,278.482,276.23199999999997,286.91333333333336,289.25666666666666,270.1775,276.1425,267.5566666666667,283.73,279.03666666666663,280.7633333333333,271.66400000000004,272.6075,276.275,266.87600000000003,L8
2013-12-30 22:14:25+00:00,289.08750000000003,279.83,286.645,277.205,266.83799999999997,267.188,262.805,262.195,257.61333333333334,248.32200000000003,261.52,266.694,264.545,274.1875,286.92,277.235,279.2866666666667,269.06666666666666,268.9533333333333,276.16333333333336,275.55,272.096,274.6425,277.97,275.3775,272.27,270.0,269.43,274.695,282.735,276.37600000000003,283.598,285.8533333333333,277.21799999999996,284.03,286.91333333333336,289.25666666666666,261.31,276.1425,254.87,276.7275,272.645,273.8075,270.348,272.6075,276.275,276.6725,L8
2014-01-22 22:20:19+00:00,289.08750000000003,279.83,286.645,277.205,272.7675,267.188,267.556,265.988,263.238,256.9225,270.8975,272.85,269.31000000000006,274.1875,286.92,268.58166666666665,274.1766666666667,267.75166666666667,266.3433333333333,277.4633333333333,270.42333333333335,272.096,274.6425,277.97,275.3775,272.27,270.0,269.43,274.695,282.735,276.37600000000003,283.598,285.8533333333333,277.21799999999996,284.03,286.91333333333336,289.25666666666666,261.31,276.1425,254.87,276.7275,272.645,273.8075,270.348,272.6075,276.275,276.6725,L8
2014-02-23 22:19:56+00:00,288.27,277.73400000000004,281.746,273.54,270.148,265.95,266.60999999999996,265.41333333333336,263.0366666666667,256.56,269.95799999999997,271.36800000000005,269.1666666666667,272.13800000000003,284.524,268.58166666666665,274.64428571428573,267.95142857142855,266.58714285714285,277.6442857142857,270.64,271.835,271.492,275.598,272.168,272.27,270.0,269.43,274.695,282.735,276.37600000000003,283.598,285.8533333333333,277.21799999999996,284.03,286.91333333333336,283.4,261.24,273.64,254.87,276.7275,273.27,273.946,268.3483333333333,270.776,276.275,273.652,L8
