dates,nzd0078-0000,nzd0078-0001,nzd0078-0002,nzd0078-0003,nzd0078-0004,nzd0078-0005,nzd0078-0006
2018-08-06 22:11:10+00:00,293.125,290.44,316.67,276.455,298.96999999999997,293.0566666666667,301.0
2018-09-07 22:11:24+00:00,295.80333333333334,292.8666666666667,314.8825,280.9733333333333,298.21,294.19,288.8333333333333
2019-02-14 22:11:09+00:00,298.85,296.28,308.78,292.325,295.93,297.59,264.5
2019-03-02 22:11:05+00:00,297.22333333333336,294.95,307.78,291.24,294.53,297.565,279.07
2019-05-21 22:11:27+00:00,298.5,295.9433333333333,306.0233333333333,291.9866666666667,294.02,297.8,292.41999999999996
2019-06-06 22:11:35+00:00,297.0075,294.4275,303.4225,287.28,289.3866666666667,291.6433333333334,292.41999999999996
2019-06-22 22:11:17+00:00,296.544,293.748,302.4,283.8,287.595,287.8175,292.41999999999996
2019-07-08 22:11:20+00:00,297.30333333333334,293.6666666666667,302.5366666666667,284.11333333333334,288.51000000000005,289.344,287.59666666666664
2019-08-09 22:11:31+00:00,298.4557142857143,294.8757142857143,303.94428571428574,285.5,290.795,291.9066666666667,291.47249999999997
2019-09-10 22:11:39+00:00,301.2916666666667,296.72999999999996,303.61,284.965,292.14,293.27500000000003,291.5225
2020-01-16 22:11:59+00:00,306.67,302.2933333333333,310.0933333333333,295.4033333333333,301.33666666666664,303.83,297.2033333333333
2020-02-01 22:11:53+00:00,305.1975,301.635,310.19,295.74749999999995,302.1575,303.945,297.44
2020-04-21 22:11:21+00:00,298.23333333333335,295.94666666666666,302.94,286.2233333333333,293.9033333333333,302.655,296.40999999999997
2020-05-07 22:11:12+00:00,300.2575,297.1725,304.35249999999996,288.35749999999996,294.84749999999997,302.78,287.17333333333335
2020-06-08 22:11:24+00:00,300.2575,299.3,307.098,290.05,296.5,302.9,288.8725
2020-06-24 22:11:08+00:00,297.018,299.3,307.098,290.05,296.5,302.9,288.8725
2020-07-10 22:11:39+00:00,298.02500000000003,299.65833333333336,307.0366666666667,289.805,296.31166666666667,301.74799999999993,285.93
2020-07-26 22:11:44+00:00,297.7633333333333,299.7,306.86333333333334,288.835,295.1066666666667,301.58599999999996,285.666
2020-08-27 22:11:56+00:00,295.1166666666667,297.68666666666667,301.56166666666667,284.92333333333335,291.35999999999996,293.75,282.545
2020-09-28 22:11:43+00:00,296.63714285714286,298.23285714285714,302.5828571428571,286.1714285714286,292.6585714285714,294.95,284.6
2020-11-15 22:11:42+00:00,297.95666666666665,300.52,304.175,289.11833333333334,295.07,294.1133333333333,288.79
