dates,satname,nzd0001-0000,nzd0001-0001,nzd0001-0002,nzd0001-0003,nzd0001-0004,nzd0001-0005,nzd0001-0006,nzd0001-0008,nzd0001-0009,nzd0001-0010,nzd0001-0011,nzd0001-0012,nzd0001-0013,nzd0001-0014,nzd0001-0015,nzd0001-0016,nzd0001-0017,nzd0001-0020,nzd0001-0021,nzd0001-0022,nzd0001-0023,nzd0001-0024,nzd0001-0025,nzd0001-0007,nzd0001-0018,nzd0001-0019,nzd0001-0026,nzd0001-0027,nzd0001-0028,nzd0001-0030,nzd0001-0031,nzd0001-0032,nzd0001-0029
2016-04-01 22:17:14.685000,L8,,,,,266.70,308.90,328.27,330.53,323.49,308.97,301.09,307.29,305.05,235.69,,,,188.68,301.86,271.78,274.49,293.19,296.97,342.98,,,281.14,306.90,279.29,288.87,285.44,297.75,293.72
2016-05-03 22:17:13.318000,L8,,,,,257.56,291.34,315.44,278.96,304.57,266.36,242.28,254.91,252.90,207.14,,,,,260.70,261.26,254.30,257.68,255.49,323.08,,,256.93,275.09,274.97,279.87,270.91,258.66,280.91
2016-05-19 22:17:11.230000,L8,,,,,249.66,292.33,314.60,283.56,300.61,263.66,247.82,254.97,255.06,213.53,,,,,258.67,257.35,252.67,256.20,253.77,322.73,,,254.21,274.53,274.38,287.37,273.87,258.46,281.49
2016-06-04 22:17:16.433000,L8,,,,,,244.18,284.66,247.72,288.41,247.39,,,,,,,,,216.29,245.72,241.51,233.11,232.73,303.80,,,244.35,234.85,248.57,252.98,239.46,236.32,246.10
2016-07-22 22:17:35.206000,L8,,,,,,,,231.76,276.58,235.28,,,,,,,,,221.48,240.12,228.86,226.77,225.64,,,,231.59,222.86,234.62,,,,
2016-08-07 22:17:37.552000,L8,,,,,263.46,298.68,317.06,286.13,310.59,267.23,245.62,258.38,301.54,219.82,,,,,260.87,274.59,269.15,260.97,256.95,328.82,,,260.43,276.84,283.67,281.51,267.35,260.06,287.91
2016-09-08 22:17:48.858000,L8,,,,,,189.85,274.09,276.96,294.45,249.43,416.79,,,,,,,,,,,,270.70,281.36,,,229.12,219.86,257.77,286.74,260.39,295.92,334.27
2016-09-24 22:17:49.840000,L8,,,,,254.15,292.47,314.01,284.85,302.78,264.42,243.67,256.47,297.87,215.16,,,,,258.86,263.81,256.47,257.39,253.23,323.44,,,256.20,272.02,276.98,277.62,260.60,258.79,279.24
2016-10-10 22:17:54.274000,L8,,,,,262.00,299.96,318.24,286.00,310.19,271.34,250.78,260.60,303.78,225.46,,,,,260.94,268.34,261.06,260.04,255.47,329.31,,,259.37,275.93,281.94,282.08,262.65,259.34,283.29
2017-01-30 22:17:38.957000,L8,,,,,266.35,297.16,322.91,289.01,312.98,273.80,253.44,260.99,303.26,233.18,,,,,264.95,264.95,261.18,258.18,256.95,328.25,,,270.65,282.77,283.98,288.51,288.25,295.03,287.29
2017-03-03 22:17:25.727000,L8,225.14,270.34,275.15,286.28,295.75,315.20,333.92,336.21,335.64,333.21,330.16,307.29,318.10,320.74,308.70,225.43,261.10,232.83,314.49,327.03,326.41,320.78,306.46,347.92,257.38,247.10,322.68,335.74,327.40,329.23,329.81,341.54,329.18
2017-03-19 22:17:15.956000,L8,,,,,,,,,319.59,271.52,256.66,259.68,256.45,225.48,,,,,259.66,263.76,259.87,254.95,253.93,,,,257.86,270.88,273.16,271.29,263.95,264.70,277.78
2017-06-07 22:17:15.240000,L8,,,,,203.14,296.71,318.58,282.16,310.22,270.31,246.02,257.51,255.94,229.74,,,,,259.23,265.41,258.41,258.56,257.39,325.45,,,256.58,277.73,280.06,284.68,283.22,258.71,283.72
2017-07-09 22:17:23.906000,L8,,,,,,,,235.35,172.97,235.27,,,,,,,,,,,,,,,,,,,,,,,
2017-07-25 22:17:30.862000,L8,,,,,,,,,,,,,,,,,,,237.26,247.77,238.95,237.86,235.04,,,,245.17,250.18,249.68,250.69,227.16,235.95,234.56
2017-08-10 22:17:37.375000,L8,,,,,267.40,306.83,331.46,302.93,319.92,277.32,258.74,309.51,310.69,241.58,,,,,266.73,269.37,260.96,266.51,265.88,338.17,,,262.68,278.89,280.09,278.37,277.81,277.89,280.12
2017-09-11 22:17:42.311000,L8,,,,,,251.14,284.36,244.80,276.34,241.20,179.64,,,,,,,,234.30,245.26,223.88,223.63,210.84,304.02,,,212.23,,,,,,
2017-11-30 22:17:44.511000,L8,,,,,265.50,298.15,322.24,294.97,311.65,274.66,252.64,265.23,306.66,239.64,,,,,260.90,264.85,265.33,263.43,349.44,334.32,,,345.18,281.43,277.15,,,217.50,284.32
2018-02-02 22:17:27.894000,L8,,,,,255.44,287.82,308.56,278.65,297.40,262.20,241.92,251.97,244.98,208.81,,,,,253.50,255.44,253.38,243.10,274.07,321.90,,,,,,,,,
2018-02-18 22:17:22.771000,L8,,,,,,256.62,290.46,201.32,,,,,,,,,,,,,,,,307.73,,,,,,,,,
2018-04-07 22:16:59.037000,L8,,,,,,,,279.04,303.48,270.64,249.75,,,,,,,,261.40,264.77,259.41,254.70,253.49,,,,255.40,272.76,269.71,272.13,260.54,255.35,280.27
2018-05-25 22:16:28.178000,L8,,250.97,251.77,264.86,273.68,303.84,322.92,324.43,316.90,282.15,302.65,298.03,303.50,301.26,,,,294.38,304.06,275.92,266.92,287.29,287.90,336.29,292.30,291.41,289.58,289.17,294.33,293.44,289.17,293.74,289.70
2018-06-10 22:16:26.226000,L8,,,,,263.50,299.53,317.20,286.90,314.12,270.64,250.02,257.59,300.25,296.98,,,,,262.60,267.05,262.72,259.37,256.89,326.49,,,253.50,264.78,250.47,252.15,236.12,234.49,244.00
2018-06-26 22:16:36.823000,L8,,,,,,250.44,279.89,226.56,,,,,,,,,,,238.81,240.23,233.78,228.34,228.92,303.78,,,234.30,225.46,241.18,248.62,221.70,233.15,233.21
2018-08-29 22:17:08.269000,L8,,,,,282.17,309.33,338.08,335.43,322.09,281.95,258.75,300.06,305.57,275.11,,,,,270.58,268.61,263.41,261.11,261.85,337.15,,,260.41,279.85,283.43,280.77,264.07,260.19,283.56
2018-11-01 22:17:30.804000,L8,,,,,269.69,303.88,325.13,322.24,321.53,278.15,255.51,263.75,304.60,296.04,,,,,258.35,260.79,256.02,536.92,270.99,335.10,,,372.44,319.26,520.66,217.02,448.99,328.49,222.93
2018-11-17 22:17:31.986000,L8,,,,,266.48,303.60,325.29,289.75,318.63,273.67,253.53,262.33,304.02,238.84,,,,,265.36,264.61,260.97,258.05,256.08,333.36,,,258.64,283.13,280.85,282.37,260.71,257.92,286.21
2018-12-03 22:17:30.217000,L8,,,,,190.84,300.63,317.60,302.85,320.94,281.14,258.31,266.91,304.63,245.38,,,,,267.07,274.52,271.10,262.75,260.15,337.29,,,264.38,288.85,284.23,287.86,268.47,265.28,289.90
2019-01-04 22:17:27.803000,L8,,,,,269.07,302.81,321.14,295.22,312.39,275.82,256.94,264.73,302.81,244.57,,,,,270.52,274.13,270.29,264.05,260.69,333.16,,,264.84,290.12,287.85,287.55,291.03,295.50,291.88
2019-02-05 22:17:21.574000,L8,,,,,203.67,301.60,324.81,294.46,316.63,278.23,257.63,262.94,305.39,302.64,,,,,307.27,293.50,262.93,293.27,294.64,334.14,,,297.18,294.50,299.05,298.66,294.97,300.52,296.49
2019-03-25 22:17:09.739000,L8,,,,,269.17,305.97,325.47,288.88,325.54,277.02,255.88,260.91,310.58,304.03,,,,285.29,311.56,268.88,262.45,270.93,258.30,334.86,,,288.18,290.44,291.44,291.08,290.33,294.84,292.54
2019-04-26 22:16:59.330000,L8,,,,,262.38,297.88,317.25,282.54,310.40,268.83,246.21,255.56,300.03,237.17,,,,,261.54,261.69,255.63,255.28,255.90,325.69,,,255.20,280.15,284.82,287.53,286.12,288.99,283.99
2019-05-12 22:17:08.680000,L8,,,,,267.84,299.89,320.91,304.17,312.92,276.87,256.64,260.36,301.40,242.48,,,,,268.15,268.16,260.29,288.58,260.74,331.24,,,259.88,276.30,280.70,283.71,284.00,289.29,285.46
2019-05-28 22:17:17.913000,L8,,,,,274.02,305.81,323.89,318.29,319.14,281.72,260.31,295.76,305.43,294.17,,,,287.39,296.23,263.35,260.14,285.66,283.34,342.25,,,279.19,284.77,283.05,284.79,285.01,289.63,286.42
2019-11-04 22:17:58.697000,L8,,,,,216.99,296.16,317.62,285.08,300.70,269.83,251.91,258.85,305.54,243.36,,,,,261.02,263.42,258.62,256.36,253.32,323.80,,,258.07,272.52,271.41,269.24,259.14,255.74,281.73
2019-11-20 22:17:54.950000,L8,,,,,,,,247.01,255.84,243.52,240.71,250.75,247.96,236.87,,,,,,,,,,,,,,,,256.22,247.07,244.21,257.13
2019-12-22 22:17:51.823000,L8,,,,,269.09,305.19,323.48,296.90,321.96,280.08,259.31,264.62,306.24,302.36,,,,,315.49,289.85,264.74,298.01,300.21,334.07,,,313.41,296.39,302.95,324.85,288.94,280.25,302.16
2020-02-08 22:17:38.924000,L8,268.81,275.54,298.09,265.85,269.74,302.60,324.85,293.13,317.74,278.36,255.89,262.47,307.48,304.06,,,,,287.87,265.60,261.97,257.61,296.93,334.91,,,294.00,291.31,297.89,291.49,289.78,293.86,300.71
2020-02-24 22:17:35.189000,L8,,,,,263.21,295.98,316.85,284.20,304.24,270.62,247.76,258.24,254.94,241.54,,,,,263.88,262.69,259.94,245.59,252.81,323.61,,,255.53,275.71,289.31,285.05,287.49,257.16,292.80
2020-03-11 22:17:28.877000,L8,271.64,,,,267.87,298.26,316.91,284.95,314.17,275.42,248.76,258.54,302.09,301.18,,,288.25,304.01,311.53,287.54,260.77,298.17,296.17,329.17,293.26,292.45,295.80,310.59,305.04,318.43,290.48,296.33,307.58
2020-03-27 22:17:20.128000,L8,,,,,269.92,301.22,319.91,316.57,326.96,279.59,256.17,261.56,304.13,295.81,,,280.56,306.21,313.19,311.51,310.39,299.28,300.52,330.49,292.51,294.96,298.66,300.53,308.25,290.52,293.00,298.42,322.09
2020-09-03 22:17:46.393000,L8,209.77,209.76,,,271.06,299.93,317.83,288.31,309.15,272.70,252.92,259.33,304.96,242.74,,,,,263.46,268.46,263.12,260.05,257.71,332.97,,,257.33,272.66,274.28,275.92,266.32,257.94,282.09
2020-09-19 22:17:52.015000,L8,,,,,268.84,301.19,325.11,288.73,323.22,274.89,253.86,261.13,305.90,243.41,,,,,265.11,271.61,262.98,258.78,256.54,345.36,,,257.69,272.40,272.99,279.32,266.98,257.94,284.71
