dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
2004-06-28 21:56:04+00:00,,320.7,314.515,316.0,303.195,322.84,312.9,327.13,326.515,321.85,323.745,318.305,320.115,315.79999999999995,318.075,320.13,301.21500000000003,,,,,,,304.56,311.14,300.1,313.615,308.505,298.525,,298.82,291.32,265.91,283.51,302.295
2004-07-30 21:56:51+00:00,,324.07666666666665,318.7,321.1333333333333,310.45666666666665,329.15,320.00666666666666,331.58,330.95,327.33666666666664,328.88,322.8933333333334,324.56333333333333,320.14,320.5733333333333,324.24333333333334,293.81666666666666,295.38,,298.66,278.71,285.97,275.25,296.81,315.515,306.4066666666667,318.3566666666666,314.8,306.6333333333333,293.58,301.645,296.095,276.425,273.455,309.93
2004-08-15 21:57:13+00:00,,324.385,318.34000000000003,319.515,311.425,329.90333333333336,323.64250000000004,333.48,333.215,328.6825,329.8925,325.2025,326.2975,321.7125,321.53,325.5675,300.25,295.38,,298.66,278.71,285.97,275.25,301.71666666666664,315.37666666666667,308.5,320.3175,316.9225,308.6125,280.9,300.93666666666667,294.87666666666667,282.79,277.25333333333333,313.9175
2004-10-18 21:58:47+00:00,,324.38800000000003,318.684,319.79200000000003,313.038,329.24,324.962,333.38,335.486,331.16999999999996,330.928,326.592,327.312,323.002,322.32599999999996,324.934,301.396,295.38,,298.66,278.71,285.97,275.25,305.22249999999997,315.7725,310.334,320.82,318.67600000000004,310.88199999999995,279.8533333333333,300.345,293.72249999999997,283.28499999999997,279.635,316.56800000000004
2005-04-12 22:01:18+00:00,,324.4,320.06,320.9,319.49,327.25,330.24,332.98,344.57,341.12,335.07,332.15,331.37,328.16,325.51,322.4,305.98,,,,,,,315.74,316.96,317.67,322.83,325.69,319.96,277.76,298.57,290.26,284.77,286.78,338.65
2005-05-05 22:07:37+00:00,,324.73,323.1,320.2,317.51,328.98,327.03,333.2,332.61,329.08,322.83,321.84,323.34,316.28,312.01,317.63,301.11,307.13,,,,,,,305.09,301.39,313.1,312.95,306.5,,290.13,283.46,266.79,270.27,334.265
2005-06-22 22:07:59+00:00,,324.73,323.1,320.2,317.51,328.98,327.03,333.2,332.61,325.76,319.22,311.05499999999995,323.34,316.28,303.83500000000004,317.63,301.11,307.13,,,,,,,302.715,299.6,309.135,312.95,303.38,,290.13,283.46,266.79,270.27,334.265
2005-07-08 22:08:03+00:00,,324.73,323.1,320.2,317.51,328.98,327.03,333.2,332.61,325.76,319.22,311.05499999999995,323.34,316.28,303.83500000000004,317.63,301.11,307.13,,,,,,,302.715,299.6,304.27000000000004,312.95,301.13666666666666,,290.13,283.46,266.79,270.27,334.265
2005-10-05 22:02:17+00:00,,327.735,323.1,320.2,320.03,329.905,327.03,333.2,332.61,327.13666666666666,320.72,314.5,321.335,317.67499999999995,307.87,320.24,313.34000000000003,320.0,326.27,322.96,310.07,,,294.44,306.5566666666667,303.9533333333333,307.63,316.06,304.3175,286.47,299.3,292.65,281.74,280.92999999999995,334.34666666666664
2005-11-06 22:02:22+00:00,,325.98,318.62,317.74,319.42,326.385,327.04,345.31,349.47,331.16333333333336,326.42333333333335,316.2866666666667,304.505,321.445,309.26666666666665,322.85,325.57,332.87,326.27,322.96,310.07,,,306.805,313.96,311.48333333333335,312.675,323.07500000000005,308.0675,273.935,303.525,294.04499999999996,289.49,287.73,333.245
