dates,satname,nzd0209-0000,nzd0209-0001,nzd0209-0002,nzd0209-0003,nzd0209-0004,nzd0209-0006,nzd0209-0007,nzd0209-0008,nzd0209-0009,nzd0209-0010,nzd0209-0011,nzd0209-0012,nzd0209-0013,nzd0209-0014,nzd0209-0015,nzd0209-0016,nzd0209-0017,nzd0209-0018,nzd0209-0019,nzd0209-0020,nzd0209-0021,nzd0209-0022,nzd0209-0023,nzd0209-0024,nzd0209-0025,nzd0209-0026,nzd0209-0027,nzd0209-0028,nzd0209-0029,nzd0209-0005
2001-10-13 21:41:51.963000,L7,436.61,387.88,407.58,398.46,382.36,318.11,366.65,356.85,363.42,371.47,371.53,375.63,380.61,448.91,459.41,483.24,479.90,482.93,483.03,465.17,459.23,491.05,457.31,466.35,469.10,459.88,431.63,504.87,487.31,381.61
2001-10-29 21:41:57.341000,L7,397.10,353.61,316.55,307.96,290.43,213.83,335.56,335.46,339.01,345.10,336.40,341.01,349.81,348.61,336.50,331.83,332.89,334.55,334.24,328.09,326.84,320.83,320.27,325.10,321.64,320.49,323.68,522.69,441.94,
2002-02-18 21:42:30.251000,L7,279.01,291.86,265.86,272.83,266.19,190.52,334.85,323.17,330.01,331.92,315.62,337.94,349.73,356.52,346.99,343.24,343.00,349.42,351.83,348.82,304.17,337.52,341.32,321.39,328.83,279.74,280.76,262.13,246.74,
2002-08-29 21:41:39.340000,L7,379.47,346.98,372.54,367.16,283.81,194.33,331.45,335.11,336.86,350.92,329.21,349.94,352.38,353.17,342.00,343.84,341.06,333.40,342.19,347.98,351.01,342.81,346.30,385.99,382.23,368.63,325.04,361.00,304.93,
2002-09-14 21:41:31.043000,L7,379.93,356.37,348.71,370.26,293.95,196.98,336.45,342.57,349.15,345.99,345.36,359.39,359.99,361.57,357.49,364.98,340.32,361.51,386.94,351.47,343.09,324.20,309.58,337.56,349.02,331.42,328.88,314.29,317.13,
2002-10-16 21:41:24.730000,L7,356.70,300.01,262.05,278.46,264.96,,294.30,304.54,322.30,325.55,300.75,323.90,316.03,296.83,249.83,240.84,284.09,286.25,272.07,238.71,225.48,216.69,236.35,220.34,503.81,533.22,447.37,192.60,380.32,
2002-11-01 21:41:30.201000,L7,385.28,375.80,349.71,297.28,280.12,334.27,328.14,336.44,342.48,343.47,338.30,347.42,361.49,356.05,345.40,341.53,351.80,350.26,352.53,345.83,357.71,309.42,342.80,344.29,316.00,346.44,343.78,336.44,338.53,
2003-01-20 21:42:09.421000,L7,381.10,368.51,285.56,273.62,256.83,173.59,319.33,309.07,309.00,327.08,302.67,321.67,336.87,295.74,275.53,339.30,331.55,281.69,265.38,239.85,324.02,306.78,230.35,226.07,206.83,210.67,320.14,317.80,,
2003-02-21 21:42:20.469000,L7,394.91,391.48,376.74,282.89,267.53,182.95,332.70,325.19,326.46,332.00,323.92,337.82,390.47,393.41,392.21,387.43,339.22,328.89,342.93,331.50,331.76,316.83,315.61,242.83,267.96,214.21,161.09,318.90,310.91,
2003-04-10 21:42:26.045000,L7,230.33,210.42,167.32,173.15,232.97,,250.53,263.61,251.23,248.38,205.23,211.00,250.10,,,,213.41,219.81,,,,,,,,,,,,
2003-04-26 21:42:25.606000,L7,,,,,,,236.42,245.17,256.77,226.19,,,,,,,,,,,,,,,,,,,,
2003-05-28 21:42:22.600000,L7,,283.77,269.98,258.71,266.96,236.63,297.09,313.77,331.18,328.19,305.94,341.26,316.82,237.16,224.12,223.55,245.18,226.11,257.78,240.13,229.93,196.14,199.49,180.90,187.44,199.64,221.63,196.74,,
2003-07-23 21:30:14.355000,L5,356.23,280.25,275.31,281.86,278.70,216.40,304.56,345.61,345.66,350.70,354.90,365.69,350.45,297.42,262.85,281.33,317.70,342.82,298.75,262.30,271.54,217.16,235.10,302.25,243.16,235.92,222.27,241.46,203.11,191.43
2003-11-28 21:32:10.197000,L5,350.64,279.86,274.02,283.88,272.77,190.13,295.74,296.50,315.18,318.38,288.92,317.15,334.49,303.10,266.29,238.65,285.03,282.57,272.91,252.66,228.18,203.38,227.71,211.59,201.27,214.21,201.71,191.77,,
2003-12-30 21:32:24.694000,L5,360.67,268.22,254.36,271.72,255.84,170.04,288.02,302.74,324.68,332.47,290.51,325.06,329.19,273.18,237.14,219.45,249.71,249.71,250.09,233.12,230.00,208.63,223.25,215.53,206.40,205.01,182.45,,,
2004-01-15 21:32:26.348000,L5,419.63,370.00,359.75,287.29,265.60,184.13,286.49,301.87,324.19,329.58,277.80,320.38,325.20,262.51,235.72,226.25,237.88,244.52,249.52,223.37,238.63,218.46,224.04,226.04,200.10,326.74,180.03,411.46,488.55,
2004-05-22 21:34:26.036000,L5,,,,,,,259.82,263.37,271.55,225.74,177.07,,,,,,,,,,,,,,,,,,,
2004-06-07 21:34:54.755000,L5,,,,,,,265.82,272.42,281.06,243.33,217.42,206.62,,217.44,197.46,196.33,192.18,193.36,,,,,,,,,,,,
2004-06-23 21:35:22.995000,L5,356.46,292.60,278.32,294.22,259.98,178.72,307.70,309.87,324.16,333.67,303.63,333.71,345.96,306.41,264.12,247.73,281.91,276.57,277.90,270.86,280.18,223.43,240.85,240.50,225.44,232.97,217.09,209.56,183.14,
2004-07-25 21:36:14.167000,L5,362.68,288.06,278.80,276.62,281.54,,307.95,315.20,329.77,338.34,310.45,339.12,337.66,302.52,255.80,236.73,286.98,276.51,273.20,279.40,275.79,211.12,241.87,229.85,213.72,220.15,216.34,190.91,,
2004-12-16 21:39:23.215000,L5,366.39,291.70,278.02,295.67,263.15,,280.25,294.66,316.17,332.07,311.42,330.43,344.90,313.48,275.64,227.49,270.32,260.15,253.75,240.67,232.41,201.71,235.56,225.19,218.30,223.24,205.20,188.65,,
2005-02-18 21:40:18.476000,L5,349.12,278.51,269.13,278.86,259.65,,285.84,302.90,322.46,332.92,292.45,311.63,320.93,275.39,246.04,217.23,240.06,258.63,247.09,230.76,233.05,208.34,227.14,215.24,197.93,209.53,196.92,181.83,,
2005-05-09 21:40:56.205000,L5,354.28,278.44,270.22,273.99,262.37,,290.93,309.22,322.26,326.65,307.26,325.22,340.19,301.49,255.87,227.48,271.91,267.08,259.12,238.62,235.52,213.16,232.75,223.78,217.61,228.96,207.04,189.56,,
2005-06-10 21:41:12.271000,L5,341.90,284.04,275.72,286.51,263.87,,299.66,314.68,331.82,337.11,314.32,327.04,344.88,304.75,273.73,235.34,288.02,290.55,286.42,265.92,265.67,216.54,241.18,234.39,227.51,238.45,210.71,198.29,,
2005-06-26 21:41:16.724000,L5,340.99,282.80,276.65,286.82,268.49,,300.64,301.15,321.14,319.20,293.73,321.42,336.24,298.14,241.56,230.92,273.58,273.99,270.38,233.68,239.56,209.49,222.98,203.23,193.78,214.45,201.06,198.68,,
2005-07-12 21:41:23.560000,L5,334.75,267.60,261.58,280.41,258.58,,304.07,311.35,326.50,332.86,298.56,315.00,325.87,263.58,249.76,224.15,281.74,278.34,277.98,257.85,245.75,204.59,231.56,209.39,194.83,203.36,197.58,190.08,,
2005-08-29 21:41:46.875000,L5,305.39,244.09,178.34,242.33,251.07,,278.02,288.54,304.33,296.54,253.93,287.23,302.54,210.50,188.28,186.47,203.52,203.40,197.49,185.67,206.67,,,,,,,,,
2005-11-01 21:41:44.104000,L5,335.15,270.04,279.95,297.16,285.59,,301.80,296.46,313.07,316.33,292.27,314.03,331.01,311.71,265.00,230.81,271.19,276.95,287.81,242.32,232.48,195.48,219.24,196.32,186.22,203.74,200.03,187.48,,
2005-11-17 21:42:07.585000,L5,337.37,265.73,267.07,280.84,262.70,,299.39,305.46,328.35,340.24,289.37,317.84,335.66,290.01,249.99,226.44,286.66,282.22,288.44,266.00,265.53,212.36,236.13,210.80,197.34,211.83,191.87,309.65,399.98,
2006-01-20 21:43:37.291000,L5,351.62,283.94,275.36,284.39,265.36,,298.22,306.90,323.15,330.38,308.27,327.44,333.65,298.80,262.89,230.01,274.47,268.44,274.28,247.85,249.43,218.09,236.70,224.69,211.04,219.12,195.87,188.76,,
2006-04-10 21:45:17.175000,L5,,,,,,,273.79,284.92,298.66,301.34,258.29,285.02,304.44,256.78,221.70,201.08,210.23,212.29,185.05,160.91,,,,,,,,,,
2006-06-13 21:46:13.914000,L5,388.37,323.63,285.15,277.94,270.32,,315.64,327.41,334.77,349.86,331.74,345.51,353.90,347.98,314.11,286.36,316.47,307.03,321.40,304.53,313.29,267.97,304.32,284.67,279.86,267.62,272.98,237.03,182.81,
2006-09-01 21:47:19.401000,L5,368.04,301.11,255.29,256.76,270.33,,301.04,308.15,323.72,327.52,310.03,330.06,350.00,318.73,298.06,246.43,296.83,289.13,289.17,262.56,277.67,213.94,234.88,223.33,208.87,227.30,208.04,196.96,,
2006-09-17 21:47:31.164000,L5,363.13,307.40,253.49,265.88,269.57,,297.27,303.89,318.65,322.98,300.44,331.92,349.35,315.16,285.75,238.70,290.97,283.58,289.54,263.95,269.86,204.54,231.70,216.19,205.96,219.39,203.81,194.17,,
2006-10-03 21:47:41.787000,L5,362.09,308.06,276.96,383.97,325.88,351.61,359.18,363.31,356.12,349.10,334.01,337.57,356.20,332.13,296.99,242.23,302.09,302.94,304.89,288.93,288.07,216.50,246.68,224.10,215.11,222.27,205.39,191.86,,369.67
2011-03-07 21:43:36.874000,L5,274.65,259.19,260.44,254.07,249.81,,240.41,292.28,304.16,316.14,303.40,320.10,331.28,308.16,290.40,239.92,297.36,301.16,296.80,283.88,279.64,237.74,257.67,238.74,229.73,234.00,213.10,198.47,175.84,
2013-05-31 21:55:43.729000,L8,174.37,252.67,261.78,273.96,250.57,,235.12,282.99,300.76,319.32,309.66,315.48,333.10,319.86,305.98,263.70,307.86,306.22,304.29,289.50,283.21,260.36,269.12,234.85,238.64,233.97,230.57,210.13,204.30,
2013-08-19 21:55:42.209000,L8,253.21,252.94,269.84,269.65,263.36,,225.68,293.41,296.94,316.06,322.78,324.42,351.36,320.21,305.92,276.53,312.79,313.12,305.37,300.08,287.84,269.96,274.00,247.56,247.15,234.70,229.59,208.26,,
2013-09-04 21:55:42.619000,L8,257.38,263.46,264.05,268.63,256.46,,263.70,285.86,291.92,316.59,319.61,319.61,349.26,316.18,304.10,266.54,307.70,306.85,305.08,292.79,285.32,273.79,297.78,282.18,253.79,232.01,228.21,208.88,,
2013-10-06 21:55:33.702000,L8,267.26,263.00,266.73,271.27,254.78,,228.78,294.50,292.49,325.74,325.72,333.64,343.05,318.60,305.28,268.86,310.34,307.98,306.31,294.56,284.59,264.74,270.73,241.03,237.64,231.07,228.29,209.03,,
2013-12-09 21:55:16.438000,L8,277.41,265.83,270.44,271.90,256.68,,226.50,274.22,288.16,312.84,303.66,312.85,330.22,313.37,302.65,253.64,300.87,300.07,296.83,274.92,275.47,249.88,251.98,232.40,223.45,225.05,218.97,199.72,,
2014-01-10 21:54:55.235000,L8,264.35,270.06,263.62,270.13,256.22,,210.26,273.98,287.63,310.34,302.68,311.55,326.24,312.81,300.48,254.88,301.74,301.18,296.64,275.50,276.02,250.34,257.38,234.25,225.62,226.76,220.76,205.23,,
2014-02-11 21:54:32.873000,L8,271.10,252.50,258.24,269.11,262.01,,206.10,279.54,292.24,314.76,307.48,314.80,331.95,314.18,301.29,264.12,304.77,303.14,300.25,284.94,278.11,252.65,262.40,241.02,232.37,232.16,222.72,208.50,,
2014-03-31 21:53:53.631000,L8,374.64,237.28,260.97,267.62,246.13,,189.26,262.12,262.49,222.21,,,205.51,313.01,301.48,253.15,302.29,301.03,296.41,275.62,276.39,249.14,258.70,233.30,225.50,230.21,222.53,209.58,,
2014-05-18 21:53:11.680000,L8,245.09,269.56,264.47,264.64,244.94,,217.98,288.94,301.21,318.22,310.83,314.95,327.03,320.00,305.00,263.84,307.13,304.78,301.22,283.89,282.39,260.78,268.26,247.05,237.46,236.53,231.71,217.25,189.97,
2014-06-19 21:53:23.387000,L8,246.21,246.69,261.91,268.58,243.30,,213.77,292.10,300.72,325.02,314.59,315.44,333.01,321.03,306.73,271.53,310.41,307.30,308.04,293.01,285.84,266.75,273.88,257.60,242.66,240.75,232.78,214.66,200.19,
2014-07-05 21:53:29.728000,L8,241.26,251.47,259.44,264.36,238.88,,211.75,283.85,309.82,317.16,318.31,313.04,331.32,299.11,306.03,267.44,301.59,300.08,298.07,292.04,282.44,269.25,275.68,260.12,244.91,242.50,238.12,215.95,207.50,
2014-07-21 21:53:33.067000,L8,253.76,259.90,261.95,267.22,253.73,,218.67,297.46,304.41,325.77,322.95,326.56,336.26,321.94,311.47,280.08,311.35,309.66,307.43,298.93,288.01,274.30,280.46,259.81,248.30,242.58,234.60,213.65,194.05,
2014-08-06 21:53:41.801000,L8,254.74,262.66,265.23,264.28,264.04,,206.39,296.78,303.16,325.04,321.31,323.14,337.79,320.28,309.92,277.13,310.40,308.16,309.05,303.65,287.05,271.15,281.42,261.42,248.00,240.39,234.26,215.23,196.68,
2014-09-07 21:53:48.789000,L8,259.72,256.63,262.27,262.25,263.50,,205.67,287.13,298.64,320.11,317.63,320.11,337.52,321.53,310.92,270.63,309.11,306.45,307.04,295.52,289.72,268.99,273.82,260.96,241.90,236.36,232.14,210.33,,
2014-09-23 21:53:45.463000,L8,258.84,257.67,262.34,255.05,257.56,,200.08,283.13,291.78,315.37,319.39,320.21,330.30,317.03,305.73,265.00,305.71,304.03,303.25,293.02,283.60,261.34,268.60,250.71,236.60,232.02,228.34,208.29,,
2014-10-25 21:53:52.818000,L8,230.76,226.89,260.39,252.75,256.43,,218.76,286.77,296.47,323.96,321.22,331.14,342.28,319.78,309.53,258.00,308.15,305.77,306.65,294.40,289.28,260.28,272.97,253.08,227.93,231.60,229.52,206.55,,
2015-01-29 21:53:37.750000,L8,215.98,188.75,189.04,,,,,,,,,,239.67,246.49,283.88,214.53,285.74,286.42,261.54,199.40,256.12,200.76,216.45,207.89,201.18,216.82,180.22,189.26,,
2015-02-14 21:53:28.679000,L8,246.90,248.28,263.58,264.29,265.34,,196.69,270.84,285.95,306.86,305.41,310.69,324.92,317.02,302.07,248.60,300.07,299.20,294.01,272.02,277.07,249.62,255.87,249.65,221.33,227.55,215.14,206.47,,
2015-04-03 21:53:02.921000,L8,266.04,237.59,257.21,254.37,249.19,,199.03,275.51,288.76,306.11,303.58,245.32,315.08,315.40,305.31,248.00,302.05,298.50,297.72,276.10,281.22,250.23,256.74,248.74,225.46,228.03,220.25,212.45,,
2015-04-19 21:53:02.761000,L8,248.14,236.65,257.37,263.26,239.85,,200.96,286.78,297.78,321.08,314.94,315.30,334.31,320.96,305.18,261.79,306.01,302.57,301.71,284.23,281.54,256.86,271.37,253.34,237.09,283.91,273.31,249.23,240.73,
2015-05-21 21:52:43.676000,L8,234.66,287.61,299.32,293.19,394.47,206.92,370.36,287.92,295.66,319.21,318.40,316.71,337.85,318.22,306.61,256.72,301.67,304.38,301.67,277.19,271.22,250.90,267.25,237.87,229.52,232.98,228.90,209.75,190.39,350.45
2015-06-06 21:52:52.670000,L8,233.64,261.92,266.81,269.90,242.77,,199.69,298.01,303.66,330.79,335.39,333.07,344.36,340.21,313.97,280.56,337.92,316.09,317.07,304.19,297.27,283.67,287.58,263.36,253.41,248.93,246.61,229.82,193.74,
2015-08-25 21:53:27.637000,L8,261.66,259.50,270.98,270.14,268.76,,195.03,297.02,307.69,335.09,330.62,335.87,348.16,338.80,323.17,282.20,332.80,320.75,324.88,306.06,301.26,286.62,292.85,265.83,256.78,253.46,246.24,228.90,194.14,
2015-11-13 21:53:46.761000,L8,264.57,247.22,265.84,263.40,257.55,,489.49,375.52,324.30,328.45,335.85,339.97,349.37,352.09,318.17,271.22,311.08,312.48,312.32,300.01,298.07,270.39,283.55,266.31,250.68,246.97,239.75,215.95,,212.13
2016-01-16 21:53:45.577000,L8,249.72,252.29,259.34,258.04,257.88,,199.81,272.87,286.09,306.76,308.93,314.68,326.32,321.45,306.93,260.44,305.55,302.67,300.90,281.71,283.10,259.76,267.84,261.67,232.20,232.69,226.65,210.19,,185.96
2016-02-01 21:53:43.370000,L8,250.57,254.66,256.01,256.36,258.57,,207.40,271.79,285.97,307.76,310.68,315.09,326.78,320.09,307.16,253.04,304.69,302.89,299.90,281.11,283.64,257.25,262.58,259.69,226.00,231.15,226.64,211.75,,
2016-03-04 21:53:33.647000,L8,432.27,241.25,258.85,258.75,279.02,219.87,236.44,216.78,246.38,234.53,237.93,226.07,396.01,258.41,256.36,258.14,302.12,327.63,199.98,211.59,315.71,225.70,300.81,265.62,235.19,235.40,234.04,243.00,250.04,
2016-04-05 21:53:18.618000,L8,,,,,,,,,,,,,260.15,239.50,281.28,198.89,278.10,283.30,226.84,174.00,248.81,196.27,200.36,197.09,198.17,,,,,
2016-04-21 21:53:12.322000,L8,240.01,246.25,262.37,262.31,256.36,,208.08,273.27,289.13,313.65,312.56,315.99,328.01,323.31,311.07,263.62,308.75,306.58,302.86,287.25,287.44,263.69,273.17,260.47,241.75,240.98,232.77,214.43,194.35,
2016-07-26 21:53:40.722000,L8,248.94,252.99,268.37,277.17,261.18,,203.94,277.93,305.55,333.86,332.06,333.86,346.46,335.91,325.68,288.30,331.57,321.05,316.60,306.67,302.30,286.71,295.40,280.49,263.25,251.34,250.44,240.25,207.62,
2016-08-11 21:53:42.478000,L8,,,,,,,,229.09,252.94,219.39,175.94,,,,,,,,,,,,,,,,,,,
2016-08-27 21:53:50.127000,L8,243.30,234.04,253.83,245.68,253.36,,209.21,287.62,293.49,324.16,327.36,328.49,337.04,330.38,312.61,276.03,313.19,309.23,313.45,303.55,296.71,275.93,279.36,264.89,254.42,249.07,239.87,216.51,197.06,
2016-09-12 21:53:54.163000,L8,261.06,258.63,267.88,253.68,260.03,,201.60,281.17,292.84,323.77,327.28,328.77,351.32,332.25,318.99,280.87,314.59,313.08,331.97,303.45,296.95,281.78,287.93,264.89,256.22,248.03,239.77,218.66,,
2017-02-03 21:53:41.480000,L8,260.44,260.65,262.23,266.38,260.97,,190.22,265.03,284.21,311.33,312.63,318.27,331.08,327.68,310.66,269.23,308.99,305.90,303.00,286.45,287.19,267.44,273.48,263.75,243.21,243.79,232.80,216.48,,251.79
2017-04-24 21:53:01.304000,L8,272.02,290.33,281.09,280.98,279.19,,208.73,280.86,294.83,333.21,350.91,351.81,359.89,353.11,334.75,310.00,357.47,376.79,335.88,323.61,323.17,303.84,311.67,301.89,304.94,294.89,297.54,284.22,212.54,251.75
2017-06-11 21:53:21.571000,L8,245.17,258.41,265.11,270.82,259.58,,205.72,271.00,305.21,312.96,332.23,326.50,339.75,334.07,315.61,287.10,318.28,314.83,311.61,296.86,299.35,279.44,288.28,267.61,255.49,255.09,251.53,243.52,199.51,223.24
2017-07-29 21:53:37.367000,L8,242.61,246.36,262.65,261.76,266.37,,203.28,266.99,275.30,316.89,334.77,332.11,351.26,340.72,320.29,288.74,316.43,315.62,312.92,304.85,299.68,286.10,292.56,271.71,263.95,264.28,254.61,241.63,199.04,231.42
2017-08-14 21:53:43.292000,L8,253.83,257.13,267.69,262.80,270.30,,205.60,267.51,279.95,322.42,334.80,334.41,344.69,350.57,321.09,292.69,334.21,318.89,316.69,307.95,300.13,293.85,294.42,273.86,277.84,272.33,253.64,230.25,195.99,232.50
2017-10-01 21:53:54.824000,L8,272.39,254.71,269.91,275.35,269.45,,193.95,255.92,277.22,316.54,330.77,343.29,347.85,349.64,328.36,296.35,327.49,324.52,323.20,314.15,305.22,290.95,295.91,275.86,270.07,265.02,257.03,236.89,189.63,232.20
2017-12-04 21:53:49.317000,L8,255.94,246.51,255.26,257.88,255.74,,190.78,249.86,279.54,324.96,330.64,322.67,345.42,332.31,313.61,285.08,310.42,308.16,307.56,295.90,294.85,273.38,280.31,266.97,258.96,250.46,241.35,217.64,,216.66
2018-04-11 21:53:01.396000,L8,283.90,262.38,275.22,280.53,278.64,,193.77,256.00,282.77,323.42,334.03,330.76,341.67,344.77,326.85,299.35,325.69,324.96,321.50,307.36,302.60,291.01,296.21,281.73,276.79,270.28,258.79,242.29,193.72,240.02
2018-05-29 21:52:29.440000,L8,,200.42,237.47,236.07,234.49,,170.60,215.55,240.84,231.93,288.97,265.41,297.26,277.41,288.55,243.45,281.11,276.54,230.87,,,,201.38,205.45,215.58,222.97,222.89,198.79,,
2018-07-16 21:52:51.323000,L8,,,,,,,,211.35,244.39,270.31,289.87,,248.56,249.89,248.40,191.82,182.06,,,,,,210.40,208.08,216.65,225.75,219.07,189.18,,
2018-08-17 21:53:07.726000,L8,261.27,259.60,268.03,267.02,271.40,,199.60,245.27,282.31,318.21,334.98,331.15,349.83,349.03,332.94,311.65,333.29,327.00,323.74,311.16,303.15,299.00,300.97,281.83,289.48,280.55,266.99,246.55,211.14,234.86
2018-10-04 21:53:26.589000,L8,263.68,254.80,263.33,264.77,264.34,,190.68,238.72,278.31,300.68,331.91,331.16,344.17,351.28,323.04,305.66,319.72,318.67,317.05,303.98,301.63,291.92,290.84,277.40,280.40,269.75,253.75,238.38,192.55,236.09
2018-10-20 21:53:32.714000,L8,268.28,255.08,260.43,260.10,259.41,,189.93,236.36,269.54,297.84,327.02,330.43,340.48,344.76,321.75,303.04,315.06,314.61,313.21,301.70,300.10,286.25,286.67,277.41,276.18,262.69,247.73,230.33,197.67,228.63
2018-11-05 21:53:36.088000,L8,268.65,255.28,266.93,266.91,269.40,,185.85,241.59,269.17,300.88,325.57,329.83,339.04,344.08,324.49,305.12,316.83,317.69,316.19,302.72,300.91,286.95,288.51,281.05,276.17,267.59,252.23,229.45,199.73,238.60
2018-12-07 21:53:34.018000,L8,269.09,250.29,263.83,267.63,264.33,,189.87,233.87,266.24,295.12,323.71,330.44,345.64,338.00,319.88,298.16,314.97,315.88,313.03,300.52,298.92,281.64,286.49,280.22,270.52,253.37,248.76,234.13,,235.29
2019-01-24 21:53:28.041000,L8,232.53,233.28,243.83,246.51,240.59,,175.02,211.68,238.95,273.63,302.13,310.94,320.70,318.20,299.70,242.84,299.11,296.13,292.00,250.73,265.35,,,,,,,,,
2019-02-25 21:53:22.406000,L8,255.60,245.52,250.31,249.80,265.61,,182.65,226.71,263.68,291.78,336.16,335.50,345.53,333.74,312.92,282.50,311.97,308.46,310.10,288.31,291.09,268.52,278.08,266.59,239.89,244.11,242.54,231.82,,238.10
2019-04-14 21:53:08.330000,L8,271.63,269.02,266.73,272.92,275.88,,195.33,240.92,280.83,293.27,327.22,330.14,342.10,336.60,319.40,302.51,322.57,318.21,315.31,304.08,298.68,288.88,291.68,281.99,273.45,258.24,254.39,246.15,190.09,248.68
2019-06-01 21:53:24.564000,L8,257.29,269.59,279.74,283.32,299.18,,200.51,250.50,289.18,316.69,340.44,348.79,359.89,361.07,343.68,327.12,346.42,342.27,344.02,338.81,325.35,314.19,323.47,315.85,314.40,311.88,297.51,302.63,362.51,248.49
2019-06-17 21:53:30.969000,L8,239.43,257.63,274.15,278.35,274.40,,201.71,253.59,287.91,303.72,332.86,351.19,351.94,356.27,328.61,309.86,334.84,340.26,320.77,320.41,307.37,305.90,308.43,293.58,300.06,281.41,272.13,261.53,209.22,240.87
2019-08-04 21:53:45.137000,L8,249.44,274.43,270.88,277.95,258.27,,196.09,238.36,270.83,301.72,328.98,332.44,341.97,343.57,323.39,306.94,324.81,327.97,315.20,305.48,304.15,299.46,302.85,288.08,288.67,274.15,269.53,250.39,199.04,231.27
