dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
2004-06-12 21:53:11+00:00,309.99,334.6433333333334,331.19000000000005,305.98,163.94333333333333,,312.52750000000003,304.5175,321.07,322.3666666666667,333.5475,348.17749999999995,346.3833333333334,347.8766666666667,355.66333333333336,348.35999999999996,331.5233333333333,324.245,L5
2004-07-07 21:47:45+00:00,309.99,334.6433333333334,330.7375,305.98,163.94333333333333,,313.03200000000004,304.22999999999996,320.456,320.4875,332.002,347.484,345.9575,347.6,354.895,347.2575,330.1775,324.602,L5
2004-07-23 21:48:09+00:00,309.99,334.6433333333334,330.7375,305.98,163.94333333333333,,312.53000000000003,303.49666666666667,320.77500000000003,312.594,332.002,347.484,345.9575,347.6,354.895,347.2575,330.1775,324.602,L5
2004-07-30 21:54:28+00:00,309.99,334.38250000000005,331.61,298.8975,166.8425,,312.7628571428572,300.86857142857144,319.06,312.594,332.002,347.484,345.9575,347.6,354.895,347.2575,330.1775,324.602,L5
2004-09-25 21:49:43+00:00,309.99,341.00200000000007,336.865,310.42600000000004,166.8425,350.9,317.65125,307.45625,323.33,319.5,336.495,352.2133333333333,351.38,351.008,357.91999999999996,350.584,335.992,328.9833333333333,L5
2005-01-15 21:51:45+00:00,342.4,351.18666666666667,350.0466666666667,326.43666666666667,190.56,350.9,327.7975,316.7575,328.6725,323.77666666666664,350.145,371.655,367.505,361.19,369.05499999999995,359.705,351.485,340.15999999999997,L5
2005-01-22 21:58:02+00:00,342.4,351.18666666666667,350.0466666666667,326.43666666666667,190.56,350.9,333.72333333333336,322.4,330.77333333333337,345.155,334.38666666666666,355.54333333333335,355.25,351.1333333333334,358.93,350.36999999999995,337.92,329.25666666666666,L5
2005-02-07 21:58:15+00:00,337.255,356.16,353.3999999999999,346.60666666666674,198.54500000000002,350.9,330.99333333333334,330.09666666666664,333.62666666666667,335.16333333333336,336.9425,356.88,356.77750000000003,353.03,360.0275,352.67499999999995,334.28000000000003,327.4625,L5
2005-02-23 21:58:31+00:00,336.4533333333333,355.0475,351.8825,343.305,200.50333333333333,350.9,330.89,328.93,333.0425,332.68,336.742,356.212,355.456,352.576,358.806,352.35,333.312,326.738,L5
2005-03-11 21:58:44+00:00,327.99,355.0475,344.41999999999996,343.305,200.50333333333333,350.9,330.89,319.546,328.36199999999997,328.62600000000003,335.415,354.325,352.9533333333334,350.7316666666666,357.2583333333334,350.325,331.06333333333333,324.6433333333333,L5
2005-03-27 21:58:51+00:00,329.284,350.6825,341.67600000000004,337.745,197.91,,325.8025,312.854,323.74,324.968,333.4816666666666,353.2133333333333,350.99166666666673,349.81666666666666,357.4533333333333,349.01,326.62833333333333,320.67833333333334,L5
