dates,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028,satname
2018-03-06 22:19:38+00:00,223.84666666666666,227.90666666666667,238.055,239.21333333333334,249.97,247.64333333333335,222.9,244.3,230.17000000000002,236.27499999999998,249.56333333333336,232.095,217.6725,228.0875,215.51,212.52666666666667,181.40666666666667,,,,,362.16,,,,,,,161.4,308.35,,,,,,301.77,,L8
2018-08-20 22:25:39+00:00,271.82,230.25,,,,,237.07,254.2,233.865,242.99,261.55000000000007,254.11,220.79500000000002,233.885,229.95,234.265,187.655,,338.14,,,362.16,,,,,,,152.63,,,,,307.42,,301.77,,L8
2018-10-07 22:25:57+00:00,300.985,,,,,,237.07,254.2,235.07,240.53,259.48,254.28,219.62,235.29,234.33999999999997,226.565,189.37,,325.5,,,344.15,351.52,333.04,,327.47,,303.09,159.01,,300.59,305.53,303.29,305.84000000000003,,300.88,294.16,L8
2018-12-26 22:26:02+00:00,303.8833333333333,226.72,236.8,241.52,255.51,248.61,233.34,247.55,230.345,233.66,258.46500000000003,240.96500000000003,219.16,232.09666666666666,227.85,216.85999999999999,189.33333333333334,,325.5,,,344.15,351.52,333.04,,327.47,,303.09,159.01,328.88,300.59,305.53,303.29,305.84000000000003,,300.88,294.16,L8
2019-01-11 22:26:01+00:00,303.7,226.72,236.8,241.52,255.51,248.61,233.34,247.1,229.84,235.83,258.84,236.38333333333335,220.26666666666665,231.685,226.6325,217.74,195.54,371.32,325.5,,,344.15,351.52,333.04,,327.47,,303.09,158.94,320.405,300.59,305.53,303.29,305.84000000000003,,300.88,294.16,L8
2019-02-05 22:19:45+00:00,303.7,228.41,239.32,244.63,257.68999999999994,253.625,234.31000000000003,248.23499999999999,230.745,237.4875,260.5625,233.705,219.70749999999998,231.152,224.08800000000002,217.38000000000002,194.31,371.32,325.5,,,344.15,351.52,333.04,,327.47,,315.43499999999995,158.8525,322.08,300.59,305.53,303.29,305.84000000000003,,300.88,294.16,L8
2019-02-28 22:25:51+00:00,298.21666666666664,228.91666666666666,240.0666666666667,245.34666666666666,258.16333333333336,254.39666666666668,233.61,246.7775,230.22750000000002,236.63,261.1,227.57000000000002,219.76,230.91799999999998,223.28000000000003,216.902,195.596,371.32,312.86,,,344.15,351.52,333.04,,327.47,,320.71999999999997,160.92666666666665,325.975,300.59,305.53,303.29,304.26,,300.88,294.16,L8
2019-09-01 22:20:11+00:00,296.08,231.81,243.4,254.9,268.67,265.51,261.32,258.78,246.74,259.56,266.3,256.29,232.88,244.38,242.3,232.01,185.53,341.45,,,,,350.96,387.32,,375.05,,362.78,154.42,,,,,359.95,367.35,360.96,361.4,L8
2019-09-08 22:26:24+00:00,302.17499999999995,255.47,243.4,254.9,268.67,265.51,261.32,258.78,239.965,248.39499999999998,263.91499999999996,253.76,230.34,245.26,241.075,234.175,185.78,354.355,,376.48,,375.69,366.78,387.32,377.09,369.66499999999996,,360.37,154.42,320.47,353.91,,339.77,359.95,367.35,360.56,356.91499999999996,L8
2019-11-11 22:26:31+00:00,300.71,268.3533333333333,243.4,250.315,263.915,261.42499999999995,249.55,255.32,237.38333333333333,246.50333333333333,264.73,245.87,226.92666666666665,241.18999999999997,236.92,232.40333333333334,202.2266666666667,354.355,,376.48,,375.69,366.78,387.32,377.09,369.66499999999996,,360.37,154.42,317.395,353.91,,339.77,359.95,367.35,360.56,356.91499999999996,L8
