dates,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062,satname
2013-07-14 22:21:58+00:00,283.125,275.2366666666666,269.15000000000003,275.245,225.37666666666667,228.9,231.4,195.88,231.82,219.88,211.3,,,,,,224.63,231.27,246.87,239.72,231.63,223.59,222.78,222.69,228.175,229.10500000000002,208.01999999999998,182.26999999999998,165.66,168.82,180.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.93,333.69,L8
2013-09-16 22:21:57+00:00,286.25666666666666,276.155,270.4875,269.67333333333335,226.4275,230.52249999999998,227.45499999999998,192.005,226.53,214.405,211.3,,,,,169.9,220.755,225.44,243.095,234.22,227.94000000000003,223.38666666666666,221.24333333333334,221.67666666666665,227.37,228.62666666666667,204.40333333333334,179.26,165.66,168.82,180.85,,,,,,,,,,,,,,,,,,,,,,,,,,,210.81,,342.16,342.78,356.21000000000004,342.87,L8
2013-10-18 22:21:49+00:00,292.945,283.22799999999995,270.4875,269.67333333333335,226.4275,230.52249999999998,227.45499999999998,192.005,226.53,214.405,211.3,,,,,169.9,220.755,225.44,243.095,237.63666666666666,227.94000000000003,223.38666666666666,221.24333333333334,221.67666666666665,227.37,228.62666666666667,204.40333333333334,179.26,166.735,168.82,180.85,,,,,,,,,,,,,,,,320.36,315.11,,,,,,,,,,210.81,,333.84000000000003,342.78,356.21000000000004,342.87,L8
2013-12-21 22:21:27+00:00,291.848,280.464,268.71,261.8433333333333,224.6575,228.3875,225.4466666666667,189.79666666666665,226.36333333333334,214.50333333333333,195.21,,,,,174.9,219.25666666666666,225.15333333333334,242.61333333333334,235.885,226.48666666666668,222.47666666666666,220.99666666666667,220.9,226.41,228.6966666666667,204.81000000000003,178.09333333333333,167.39,,,,,,,,,,,,,,,,,,320.36,315.11,,,,,,,,,,210.81,,327.2033333333333,342.78,356.0233333333333,345.145,L8
2014-07-01 22:19:46+00:00,305.17,291.71,287.54,287.32,245.0,241.03,231.93,,,,,,,,,,,,,,,,,,228.07,245.01,243.41,186.34,167.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-07-17 22:19:52+00:00,303.125,289.2,285.32500000000005,282.97,243.12,240.635,231.89,,,,,,,,,,,,,,,,221.13,220.11,227.70499999999998,236.105,243.41,186.34,167.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-09-03 22:20:06+00:00,301.48333333333335,286.9533333333333,283.12,276.31666666666666,240.11,239.52333333333334,231.60666666666665,193.47,,,,,,,,172.23,207.26,222.0,238.35,225.4,221.41,217.24,219.655,219.82,227.03,233.0333333333333,227.825,184.48000000000002,167.755,180.53,,,,,,218.06,,,,,,,,,,,,,,,,,,,,,,189.71,258.35,265.31,317.07,329.99,334.5,L8
2014-11-06 22:20:13+00:00,300.355,285.225,281.3125,270.175,238.37,238.4675,231.1675,194.95499999999998,224.87,217.63,199.07,207.87,,202.12,167.69,175.425,206.975,218.695,234.64,220.485,218.72,218.365,219.18666666666664,219.46333333333334,226.5975,231.0375,220.35,183.60333333333332,167.96666666666667,178.42000000000002,,,,,,218.06,,,,,,,,,,,,,,,,,,,,,,207.125,259.475,267.365,320.26,330.78,335.91499999999996,L8
2014-12-24 22:20:05+00:00,298.27200000000005,283.656,280.108,266.526,238.004,238.166,231.17,193.10999999999999,226.46,218.20499999999998,202.03,203.75,,202.12,167.69,180.3033333333333,205.3166666666667,218.4333333333333,230.44333333333336,220.20000000000002,220.34,220.04333333333332,218.98250000000002,219.89,226.148,229.91199999999998,217.10250000000002,184.3025,168.4,178.29333333333332,,,,,,218.06,,,,,,,,,,,,,,,,,,,,,,213.98000000000002,260.78333333333336,269.6066666666666,319.3533333333333,330.91,336.24666666666667,L8
2015-02-10 22:19:50+00:00,293.9325,279.355,275.8275,254.40749999999997,234.3875,236.07500000000002,229.9925,193.87,226.60333333333332,217.63666666666666,202.04,204.2266666666667,,202.12,167.08499999999998,181.89249999999998,204.08249999999998,218.3075,234.4875,219.15,218.2475,218.7475,218.07,218.915,224.185,224.76999999999998,208.04500000000002,183.43,168.7475,178.45,,,,,,218.06,,,,,,,,,,,,,,,,,,,,,,215.1825,260.545,268.9325,319.0,330.73,334.7925,L8
