dates,satname,nzd0460-0000,nzd0460-0001,nzd0460-0002,nzd0460-0027,nzd0460-0028,nzd0460-0029,nzd0460-0055,nzd0460-0056,nzd0460-0057,nzd0460-0058,nzd0460-0059,nzd0460-0060,nzd0460-0061,nzd0460-0062,nzd0460-0063,nzd0460-0064,nzd0460-0065,nzd0460-0066,nzd0460-0074,nzd0460-0075,nzd0460-0076,nzd0460-0077,nzd0460-0078,nzd0460-0079,nzd0460-0080,nzd0460-0081,nzd0460-0082,nzd0460-0083,nzd0460-0084,nzd0460-0085,nzd0460-0003,nzd0460-0004,nzd0460-0013,nzd0460-0014,nzd0460-0015,nzd0460-0016,nzd0460-0017,nzd0460-0018,nzd0460-0019,nzd0460-0021,nzd0460-0022,nzd0460-0023,nzd0460-0024,nzd0460-0025,nzd0460-0026,nzd0460-0030,nzd0460-0031,nzd0460-0032,nzd0460-0033,nzd0460-0034,nzd0460-0035,nzd0460-0036,nzd0460-0037,nzd0460-0038,nzd0460-0039,nzd0460-0040,nzd0460-0041,nzd0460-0042,nzd0460-0043,nzd0460-0044,nzd0460-0045,nzd0460-0046,nzd0460-0047,nzd0460-0048,nzd0460-0049,nzd0460-0050,nzd0460-0051,nzd0460-0052,nzd0460-0053,nzd0460-0054,nzd0460-0067,nzd0460-0068,nzd0460-0069,nzd0460-0070,nzd0460-0071,nzd0460-0072,nzd0460-0073,nzd0460-0011,nzd0460-0012,nzd0460-0005,nzd0460-0006,nzd0460-0007,nzd0460-0008,nzd0460-0009,nzd0460-0010,nzd0460-0020
2016-08-05 22:32:46.763000,L8,388.33,199.85,165.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-09 22:33:04.659000,L8,389.27,243.94,221.27,,,,,,,,,,,,,,,,,,,,,,,312.31,227.76,217.71,,,170.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.64,217.34,198.27,182.91,174.19,163.77,,,,,,,,,,,,,,,,,,,,,,
2016-12-11 22:33:02.499000,L8,478.63,226.08,208.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.19,,201.84,179.70,181.72,,,,,,,,,,,,,,,,,,,,170.41,160.11,172.73,172.83,186.38,162.45,170.21,164.83,175.56,176.98,167.16,,,,,,,,,,,,,173.69,191.07,,,,,,173.04,
2017-03-17 22:32:26.652000,L8,418.16,209.14,186.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-26 22:26:10.766000,L8,335.44,245.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-02 22:32:18.852000,L8,429.59,213.15,177.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-04 22:32:03.123000,L8,399.89,370.43,184.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.13,,,,,,,,,,,,,,,,,,,,166.10,199.41,167.19,205.90,217.08,225.22,217.57,203.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-20 22:32:14.958000,L8,401.46,212.70,174.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-09 22:32:51.783000,L8,537.41,220.19,215.98,,,,,,,,,,,,,,,,,,,,,,235.19,223.79,202.07,,,,204.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-18 22:26:42.973000,L8,334.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04 22:26:49.608000,L8,350.43,265.99,201.68,,,,,,,,,,,,,,,,212.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.59,191.69,206.53,,,,,,,,,
2017-10-11 22:33:02.069000,L8,,,,347.15,381.04,366.87,,,,,,,,,,390.16,307.77,303.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.24,,,,365.30,367.48,371.55,385.25,381.73,271.55,282.28,305.98,341.42,,,,,443.13,426.64,377.79,,,,,,317.00,307.76,,,,,,,,,,,,,,
2018-02-16 22:32:32.886000,L8,356.92,222.14,179.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04 22:32:25.254000,L8,378.65,246.74,178.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05 22:26:09.170000,L8,338.84,250.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07 22:26:21.825000,L8,342.02,280.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14 22:32:35.417000,L8,,,,,,,,,,,,,,,,,281.08,317.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.16,231.86,224.37,238.41,387.96,375.77,279.95,,,,,,,,,,,,,,,
2019-02-19 22:32:28.626000,L8,427.21,210.00,198.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28 22:26:15.313000,L8,295.41,227.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-07 22:32:23.651000,L8,358.18,198.03,169.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.02,196.77,196.73,182.86,,,,,,,,,,,,,,,,,,,,,,
2019-06-04 22:26:19.798000,L8,338.04,247.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01 22:33:06.597000,L8,371.68,224.01,173.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:26:55.947000,L8,371.40,323.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-20 22:33:01.650000,L8,251.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03 22:26:14.440000,L8,508.38,527.12,493.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.13,405.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.47,,,,,,
2021-01-07 22:32:59.138000,L8,417.69,260.74,203.66,257.48,267.39,,261.45,260.14,280.68,,,,,,,,,,,,,,,,,,,,,,193.39,182.04,,,,,,,,,,,,233.64,255.29,,,,,,,,,,,,,,,,,,,,,232.39,266.80,222.58,,247.07,,,,,,,,,,165.08,223.33,221.21,,,,
2021-05-31 22:32:29.724000,L8,,,,,,,,,300.73,281.41,290.00,292.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18 22:32:41.619000,L8,402.11,232.85,184.23,,,,,,,340.09,323.81,347.50,309.28,269.60,,,,,,,,,,,,,,,,,175.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19 22:32:55.307000,L8,367.18,219.92,185.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-23 22:33:06.066000,L8,401.66,196.88,173.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 22:32:53.662000,L8,418.67,198.19,172.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19 22:32:54.101000,L9,481.22,246.98,231.04,,,,302.49,238.94,281.29,279.43,292.78,313.24,303.31,229.71,272.17,243.05,274.75,,,,,,,,,,,,,,223.07,234.49,240.65,244.47,240.75,,,,,,,,,,,,,,,,,,,,,,,,,,,226.21,270.39,270.62,278.61,294.27,294.08,301.15,321.50,326.18,,,,,,,,,217.98,240.05,,,,,,
2022-03-31 22:32:29.258000,L8,414.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-25 22:26:21.162000,L8,311.18,253.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11 22:26:28.751000,L8,303.74,257.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26 22:32:15.419000,L9,446.53,219.96,184.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-03 22:32:47.310000,L8,487.67,355.58,282.05,,,,,,,,,,,,,,,,243.54,230.85,238.71,261.23,195.94,189.04,,331.47,319.65,318.96,312.32,261.44,254.19,230.24,196.70,196.86,178.62,165.74,,,,,,,,,,,,,,,,,,,,253.76,263.03,214.56,299.50,,,,,,,,,,,,,,231.56,237.37,238.64,235.13,216.48,194.05,196.23,241.01,221.60,214.36,211.12,196.58,203.80,
2022-07-13 22:32:33.034000,L9,383.20,220.44,167.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-21 22:33:03.724000,L8,415.25,222.69,186.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-08 22:26:47.494000,L9,335.70,261.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23 22:33:24.233000,L8,434.14,188.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17 22:33:12.087000,L9,407.80,208.11,175.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10 22:33:21.090000,L8,427.30,214.17,174.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26 22:33:18.630000,L8,378.51,190.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13 22:33:05.294000,L8,447.79,259.23,244.22,,,,,,,,,,,,,,,,171.73,177.51,402.16,384.13,355.16,270.36,269.20,226.19,233.96,224.64,261.90,381.79,234.41,226.13,203.66,182.09,171.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.03,353.52,360.58,370.28,375.99,369.22,,,,486.46,488.06,498.10,512.10,481.98,221.95,199.17,189.06,225.88,224.16,211.09,209.38,207.78,203.92,
2023-01-22 22:26:55.025000,L8,325.60,258.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
