dates,satname,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0028,nzd0330-0029,nzd0330-0030,nzd0330-0031,nzd0330-0032,nzd0330-0033,nzd0330-0034,nzd0330-0035,nzd0330-0036,nzd0330-0037,nzd0330-0038,nzd0330-0039,nzd0330-0040,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,nzd0330-0019,nzd0330-0005,nzd0330-0006,nzd0330-0007
2003-01-11 21:49:02.380000,L7,320.94,300.83,284.52,324.34,321.85,,300.78,307.52,313.11,291.68,283.83,293.02,298.22,292.65,284.33,293.40,306.17,310.33,303.17,356.43,370.96,317.09,327.84,324.70,309.19,308.35,313.34,314.16,353.27,350.31,324.31,306.52,307.13,341.30,335.17,338.72,,378.63,369.05,364.43,354.52,341.85,337.85,333.14,340.59,347.86,352.86,357.09,350.20,359.70,377.55,366.15,362.19,357.52,353.63,354.65,371.22,358.22,354.20,307.11,278.55,,
2003-01-27 21:49:09.075000,L7,358.07,314.85,284.12,338.56,320.26,277.69,310.51,315.94,319.43,296.41,291.12,296.26,300.61,299.68,290.29,289.82,302.32,318.74,318.83,324.71,311.82,321.19,335.67,327.56,318.61,321.77,326.99,312.89,330.12,307.82,323.62,313.82,324.32,349.42,,,,,,361.99,351.83,353.33,308.97,352.20,349.08,339.03,357.37,361.32,352.53,364.18,377.92,330.46,340.71,341.77,344.22,356.76,356.10,358.66,348.60,316.64,279.61,,
2003-03-16 21:49:22.109000,L7,348.22,387.88,283.10,,,276.75,302.29,321.25,354.88,303.48,298.43,303.03,309.22,345.75,316.45,298.12,315.12,324.44,356.74,357.09,323.18,332.90,337.65,331.31,327.15,321.28,324.49,332.78,341.67,358.04,330.06,330.49,319.29,338.81,341.23,333.99,342.11,356.75,360.81,359.14,353.63,345.19,338.33,352.19,356.47,373.18,364.07,375.99,361.55,388.45,383.59,375.54,375.38,375.17,370.58,365.49,370.75,374.74,370.51,315.03,,,
2003-05-03 21:49:25.094000,L7,334.20,367.64,292.05,,,330.29,348.78,370.96,,372.15,369.83,360.80,364.43,350.90,316.54,357.07,357.86,,,348.12,354.52,345.17,352.78,335.39,332.52,,370.93,356.95,370.11,370.26,354.78,364.67,353.95,373.68,,379.85,367.71,361.87,358.65,365.80,354.51,375.63,,355.14,343.78,352.57,355.66,361.17,353.80,359.42,378.86,365.58,365.65,362.55,357.98,360.89,364.10,363.16,351.50,365.09,,,
2003-07-23 21:31:26.274000,L5,360.13,366.76,352.65,381.52,,329.72,344.54,367.26,366.59,366.45,355.76,351.71,361.60,354.49,352.88,357.93,360.80,357.92,367.51,361.37,351.35,354.08,356.70,356.40,347.33,347.80,347.73,343.93,356.27,349.72,353.12,341.63,341.10,354.48,363.86,360.65,346.26,360.28,365.88,370.50,358.37,360.01,361.67,361.16,348.16,366.81,376.39,376.53,369.82,390.14,397.23,399.56,387.69,,383.69,386.72,390.72,385.13,371.50,358.60,,,281.21
2003-07-30 21:37:21.273000,L5,363.91,373.99,361.96,381.76,377.42,324.74,345.49,373.40,364.17,348.21,349.55,345.73,344.74,349.48,341.86,351.49,352.61,362.64,353.62,355.65,351.78,354.13,358.69,356.28,349.67,345.27,345.94,348.13,348.35,349.92,349.57,345.62,344.50,358.69,361.64,361.50,347.50,358.29,361.34,361.83,361.60,356.43,357.19,352.73,349.58,363.36,374.39,375.75,370.70,368.44,394.71,386.33,380.53,373.88,370.48,368.07,384.54,374.94,368.04,358.95,293.60,,270.21
2003-08-15 21:37:36.307000,L5,366.43,366.85,338.69,375.64,370.42,320.56,346.14,354.23,367.23,342.02,336.18,347.45,349.92,346.16,341.94,349.41,350.59,358.00,351.96,351.17,348.00,345.41,356.20,363.88,351.05,348.30,342.22,345.07,347.74,341.92,334.27,344.94,338.64,351.77,355.17,356.62,349.32,356.72,353.23,359.16,350.29,353.54,340.59,343.67,331.25,352.39,357.46,361.49,351.33,369.90,381.98,386.97,377.51,371.28,363.49,355.68,364.93,361.52,357.29,351.64,304.29,286.71,352.64
2003-10-18 21:38:36.209000,L5,381.58,357.71,345.39,366.40,371.28,327.83,362.51,367.45,367.66,366.86,349.02,350.40,347.25,336.92,338.26,344.35,352.14,352.10,356.50,361.30,351.21,359.90,366.10,369.75,361.91,354.12,336.99,335.26,345.47,345.06,341.25,341.68,355.48,369.27,375.04,369.89,364.81,368.02,365.60,350.97,345.10,344.71,341.21,336.47,333.51,355.25,368.55,378.36,364.48,376.68,393.05,390.36,374.60,362.50,355.53,356.51,365.25,365.55,360.67,341.90,355.55,299.31,285.41
2003-12-14 21:33:26.453000,L5,356.64,338.86,325.37,358.41,357.14,297.26,331.86,354.50,354.57,336.53,328.36,330.82,323.57,318.74,317.10,308.87,327.64,338.98,333.77,347.16,336.07,345.27,342.46,347.20,332.94,333.11,330.08,324.58,338.45,330.93,332.50,335.11,338.25,354.83,359.06,352.04,346.33,358.66,357.31,355.80,351.19,344.41,341.24,335.22,336.10,355.09,363.07,365.38,354.67,362.07,381.84,379.03,370.70,362.43,347.90,358.39,366.13,365.94,365.64,325.27,322.56,,267.01
2003-12-30 21:33:36.470000,L5,371.30,361.57,360.72,374.30,372.11,334.95,350.47,360.58,358.58,345.87,349.48,344.69,343.87,347.46,345.43,350.56,357.61,355.32,352.43,354.01,344.83,345.01,355.84,365.52,358.01,349.27,347.02,349.27,360.16,355.67,346.47,342.04,338.73,349.64,356.72,356.16,353.45,360.01,362.78,365.15,361.84,354.69,351.93,343.81,338.04,356.86,360.36,365.52,354.79,375.58,388.72,389.93,378.98,373.77,366.23,371.18,374.51,368.93,362.03,362.88,320.73,288.02,295.41
2004-02-23 21:39:37.913000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.74,386.50,371.10,363.93,353.23,357.11,350.38,347.98,340.41,370.66,379.18,379.76,370.86,378.67,395.74,393.44,367.49,363.87,364.53,361.51,367.03,379.12,,,,,
2004-03-19 21:33:59.073000,L5,376.75,358.84,354.67,385.22,382.46,358.99,355.81,376.41,375.18,356.52,350.42,355.19,352.78,359.80,352.67,359.35,359.78,369.30,362.05,364.73,360.57,361.26,365.82,365.44,362.88,357.62,361.49,356.87,363.52,358.12,357.65,362.20,350.79,367.04,367.67,372.20,357.35,362.80,375.55,380.14,,,,,366.22,372.27,379.85,387.82,370.53,387.80,,,,,,,,,,353.29,380.71,296.42,301.38
2004-04-20 21:34:43.076000,L5,368.19,363.13,356.25,381.88,377.29,339.70,366.85,374.07,369.90,360.19,347.08,346.22,355.03,365.60,347.25,353.06,369.09,365.44,354.62,363.88,355.40,356.03,357.53,361.15,355.75,351.17,352.09,347.36,362.56,358.04,354.70,357.70,349.82,365.29,365.03,367.06,362.85,368.21,362.55,375.28,361.76,363.65,356.14,350.76,354.59,367.54,374.29,380.02,365.50,379.14,395.84,387.24,384.96,376.09,370.98,371.63,380.55,384.56,377.37,363.21,353.76,289.91,290.82
2004-06-23 21:36:34.771000,L5,350.41,349.45,340.32,374.48,363.87,329.83,346.68,360.47,352.55,337.39,337.01,336.56,341.08,332.59,330.65,336.56,347.35,356.36,348.33,353.14,344.12,347.33,347.22,351.04,342.59,339.46,339.48,338.72,344.90,343.90,343.23,338.78,343.57,348.34,355.27,356.22,344.87,354.06,357.73,360.46,355.67,354.06,345.98,344.87,337.11,355.25,360.16,366.31,359.61,364.40,377.45,379.34,372.86,364.10,359.87,362.66,371.00,372.03,364.18,346.97,275.78,,277.03
2004-07-25 21:37:25.800000,L5,,,,,,,269.12,286.18,284.51,271.01,261.35,279.29,278.78,270.53,,,283.34,294.05,301.33,301.91,289.41,299.63,303.58,307.08,257.26,290.71,301.26,286.12,,,,,,,,,,314.68,317.05,323.09,325.34,317.38,299.47,290.83,301.43,314.80,316.22,302.83,302.98,300.11,313.89,,326.17,298.10,304.38,300.12,331.75,331.41,329.74,295.58,,,
