dates,satname,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108
2001-12-30 21:56:13.010000,L7,,,,,,,,,,,307.34,288.94,,,,,,,,,,,,391.11,383.32,359.40,393.98,373.97,369.82,393.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.99,312.80,,372.40,,,,,,,,,,,,,,,,,,,,309.14,,,,,,,,,
2002-02-16 21:56:30.006000,L7,367.64,389.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:33.807000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.00,364.12,299.90,,,,319.85,369.55,,,,,294.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:02:37.357000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.88,324.08,298.44,381.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-30 22:02:25.514000,L7,,,,,,,,,,,,,360.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.28,301.75,,,,,,,,,,,,,,,,,,
2002-07-10 21:56:01.809000,L7,,,,,,,,,,,347.09,351.70,,,,,,,,,,,,,,,,,,,,,290.29,377.53,364.60,330.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-17 22:02:08.418000,L7,,,,,,,,,,,360.51,370.21,,,,,322.14,354.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.02,,,,,,,,,
2002-08-02 22:02:01.110000,L7,,,357.99,,,,,,,,,,,,,,324.03,283.36,,,,,,,,,,,,,,,,,,,,,,,,,351.06,315.65,310.12,,,,289.19,334.44,326.52,342.66,336.05,345.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:55:19.836000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.81,362.15,375.74,368.47,342.60,,377.51,359.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.21,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:56:06.129000,L7,,,,,,,,,,,318.43,322.22,,,,,,,,,,380.28,396.50,397.90,,,,,,,,,,,,,,,383.75,378.46,,,,,,,,,,,,,,,,295.31,372.16,369.03,,,,,,,,,,,,,,,,,339.84,,,,,389.61,344.93,342.51,373.95,363.88,,,,,,,,,,,,,,,,,381.28,,,,,,,,
2003-02-19 21:56:18.422000,L7,,,363.73,385.52,380.88,,,,,,,,,,,,,,,,,,,,,,,,,,322.74,285.24,,,,,,,,,,,,,,,,,,,,,,,,389.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.43,370.25,,,,,,,,,,,,,,,,
2003-04-24 21:56:22.271000,L7,335.23,388.51,,,,387.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.92,317.69,378.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-10 21:56:22.313000,L7,354.10,396.73,,,,381.12,383.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-05 21:52:40.789000,L5,320.89,377.44,,,,363.24,355.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.01,,,382.61,394.83,360.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-25 21:53:47.171000,L5,,,,,,,,,,,335.21,328.01,,,,,,,,,,,,,,,,,,,,,,,,,,,352.12,313.58,278.24,285.44,,,,,,,352.43,336.14,361.34,371.94,356.18,,304.89,,,,,,,,,,,,,,,,,,316.53,272.32,,,,,,,,,380.51,,,,,,,,,,,,387.65,,,,,359.08,,,,,,,,330.22,370.90
