dates,nzd0415-0000,nzd0415-0001,nzd0415-0056,nzd0415-0057,nzd0415-0058,nzd0415-0002,nzd0415-0003,nzd0415-0045,nzd0415-0046,nzd0415-0047,nzd0415-0110,nzd0415-0111,nzd0415-0041,nzd0415-0042,nzd0415-0043,nzd0415-0044,nzd0415-0093,nzd0415-0094,nzd0415-0095,nzd0415-0019,nzd0415-0020,nzd0415-0061,nzd0415-0062,nzd0415-0063,nzd0415-0066,nzd0415-0067,nzd0415-0068,nzd0415-0069,nzd0415-0070,nzd0415-0071,nzd0415-0075,nzd0415-0076,nzd0415-0077,nzd0415-0078,nzd0415-0079,nzd0415-0080,nzd0415-0081,nzd0415-0082,nzd0415-0087,nzd0415-0088,nzd0415-0089,nzd0415-0090,nzd0415-0053,nzd0415-0054,nzd0415-0055,nzd0415-0050,nzd0415-0051,nzd0415-0052,nzd0415-0100,nzd0415-0101,nzd0415-0102,nzd0415-0103,nzd0415-0104,nzd0415-0105,nzd0415-0099,nzd0415-0059,nzd0415-0028,nzd0415-0029,nzd0415-0004,nzd0415-0092,nzd0415-0005,nzd0415-0013,nzd0415-0014,nzd0415-0015,nzd0415-0016,nzd0415-0021,nzd0415-0022,nzd0415-0091,nzd0415-0009,nzd0415-0010,nzd0415-0011,nzd0415-0018,nzd0415-0097,nzd0415-0098,nzd0415-0060,nzd0415-0072,nzd0415-0064,nzd0415-0065,nzd0415-0024,nzd0415-0025,nzd0415-0026,nzd0415-0085,nzd0415-0086,nzd0415-0027,nzd0415-0012,nzd0415-0035,nzd0415-0036,nzd0415-0037,nzd0415-0038,nzd0415-0039,nzd0415-0040,nzd0415-0073,nzd0415-0074,nzd0415-0023,nzd0415-0096,nzd0415-0006,nzd0415-0007,nzd0415-0008,nzd0415-0017,nzd0415-0109,nzd0415-0084,nzd0415-0106,nzd0415-0083,nzd0415-0033,nzd0415-0034,nzd0415-0048,nzd0415-0049,nzd0415-0107,nzd0415-0108,satname
2003-04-24 21:56:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.24,,,,,,,,,,,323.92,317.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.43,,,,,,,,,,,,,,,,,,L7
2004-02-05 21:52:40+00:00,320.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-03-04 21:54:27+00:00,303.38,352.93,,,,349.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-05-30 22:01:15+00:00,303.38,352.93,,,,349.96,,,,,,,,,,,,,,330.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2005-08-27 21:55:43+00:00,303.38,352.93,,,,349.96,,,,,,,,,,,,,,330.22,,,,,,,,,,,,,,292.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2008-02-16 22:04:21+00:00,324.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2008-02-25 21:58:00+00:00,324.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.42,,316.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2010-01-13 21:58:24+00:00,,,333.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.24,332.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2011-02-17 21:57:36+00:00,,,,,,,,,,,,,,,,,319.12,331.93,328.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2011-03-12 22:03:43+00:00,,,,,,,,,,,,,,,,,319.12,331.93,328.42,344.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.3,307.81,323.43,329.86,336.59,,289.23,,,,,,,,,,,,,,,,,,,304.54,,,,,,,,,,,,,,,,,,,,,,,,,348.13,,,,,,,,,,,L5
2013-05-29 22:09:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.64,309.63,320.63,321.7,326.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-06-05 22:15:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.2,309.875,307.03,317.895,320.98,326.23,302.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-06-30 22:09:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.03499999999997,307.38,305.99,318.0566666666667,321.49333333333334,326.23,302.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-07-07 22:15:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.90000000000003,302.705,303.71000000000004,314.475,319.91999999999996,326.23,302.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-09-02 22:09:40+00:00,,,348.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.90000000000003,305.976,307.98,318.96,322.43,326.23,302.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-09-25 22:15:41+00:00,,,348.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.8225,305.6616666666667,307.91333333333336,318.8233333333333,322.7716666666667,326.23,302.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2013-10-11 22:15:41+00:00,,,348.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.38,332.41,321.23,,,,286.8225,305.6616666666667,307.91333333333336,318.8233333333333,322.7716666666667,326.23,302.48,,,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-01-24 22:08:45+00:00,,,348.55,,,,,,,,,,,,,,,,,,,,,,,,,349.36,,,,,,,,,,,,,,,326.38,332.41,321.23,,,,292.59,311.57500000000005,316.32,327.52,328.4750000000001,,,,,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-02-25 22:08:20+00:00,,,348.55,,,,,,,,,,,,,,,,,,,,,,,,,349.36,,,,,,,,,,,,,,,326.38,332.41,321.23,,,,292.59,311.57500000000005,317.5366666666667,319.5833333333333,328.4750000000001,,,,,307.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-04-30 22:07:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.36,,,,,,,,,,,,,,,,,,,,,294.57,306.4,315.77,313.66499999999996,322.37,,310.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-08-27 22:13:53+00:00,,,338.36,321.64,340.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.67499999999995,300.77,301.255,314.61,317.935,,289.71500000000003,316.47,,,,,,,,,,,,,,,,,,290.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-09-28 22:13:56+00:00,,,338.36,321.64,340.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.37,317.83,,,,283.89,291.51666666666665,301.5733333333333,312.3833333333334,316.2,,283.20666666666665,316.47,,,287.0,,287.36,,,,,,,,,,,,,291.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2014-11-08 22:07:51+00:00,,,338.36,321.64,340.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.37,317.83,,,,278.54999999999995,284.075,296.57500000000005,306.76500000000004,313.115,,269.635,316.47,,,287.0,,287.36,,,,,,,,,,,,,291.14,,,,,,,,,,,,,298.55,,,,,,,,,,,,,,,,,,,,,,,L8
2014-11-15 22:14:01+00:00,,,338.36,321.64,340.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.95,336.825,300.09000000000003,,,,278.54999999999995,284.075,296.57500000000005,306.76500000000004,313.115,,269.635,316.47,,,287.0,,287.36,,,,,,,,,,,,,291.14,,,,,,,,,,,,,298.55,,,,,,,,,,,,,,,,,,,,,,,L8
