dates,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0012,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0024,nzd0573-0005,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0013,nzd0573-0020,nzd0573-0023,nzd0573-0021,nzd0573-0022,satname
2023-11-17 22:07:27+00:00,198.4030769230769,182.325,220.93545454545455,217.71588235294118,222.88583333333335,214.10142857142858,214.1546153846154,209.70066666666668,188.10466666666665,220.38722222222222,215.67105263157896,219.2442105263158,221.47833333333335,226.56,224.14466666666667,197.70647058823528,195.39909090909094,197.5475,209.40058823529412,190.69555555555556,207.5211111111111,221.8181818181818,198.47636363636363,233.85,222.1966666666667,L8
2023-11-24 22:13:15+00:00,199.60333333333332,182.325,220.93545454545455,217.56375,222.65363636363637,214.55857142857144,214.6914285714286,209.88466666666667,188.10466666666665,220.67111111111112,215.57263157894738,219.55263157894737,222.01166666666666,226.30416666666667,224.05714285714288,198.77529411764706,199.716,197.614,209.69705882352943,192.14611111111108,207.84277777777777,221.8181818181818,200.4436363636364,230.47,221.9525,L8
2023-11-25 22:07:32+00:00,199.60333333333332,182.325,220.93545454545455,217.56375,222.65363636363637,214.55857142857144,214.6914285714286,209.88466666666667,188.10466666666665,220.67111111111112,215.57263157894738,219.55263157894737,222.01166666666666,226.30416666666667,224.05714285714288,201.7072222222222,199.716,197.614,209.69705882352943,192.14611111111108,207.84277777777777,221.8181818181818,204.86749999999998,230.47,221.9525,L9
2023-12-10 22:13:09+00:00,206.57999999999998,192.00857142857143,221.04875,216.8276923076923,220.85333333333335,213.98846153846154,213.9964285714286,209.67357142857142,187.06166666666664,220.46066666666667,214.85999999999999,219.451875,222.07066666666665,220.83,223.03181818181818,202.25857142857143,207.20874999999998,197.34916666666666,208.5471428571429,191.68785714285713,207.59066666666666,221.68555555555554,213.065,230.47,221.9525,L8
2023-12-18 22:13:20+00:00,206.57999999999998,192.00857142857143,221.04875,216.8276923076923,220.85333333333335,213.98846153846154,214.91466666666668,209.67357142857142,187.06166666666664,220.46066666666667,215.50529411764705,219.451875,222.07066666666665,220.83,223.03181818181818,203.79,207.20874999999998,197.34916666666666,208.5471428571429,193.89266666666666,208.255625,221.68555555555554,214.00909090909093,233.48000000000002,223.32399999999998,L9
2024-01-03 22:13:39+00:00,206.57999999999998,192.00857142857143,221.04875,216.8276923076923,220.85333333333335,213.98846153846154,215.475625,209.67357142857142,187.06166666666664,220.46066666666667,215.61777777777777,219.95823529411766,222.3375,220.83,223.03181818181818,204.9,207.20874999999998,197.34916666666666,209.41733333333335,194.91375,208.61470588235295,223.00099999999998,214.5875,234.2,223.72,L9
2024-01-11 22:13:32+00:00,206.57999999999998,192.00857142857143,221.04875,216.8276923076923,220.85333333333335,213.98846153846154,215.475625,209.67357142857142,187.06166666666664,220.46066666666667,215.61777777777777,219.95823529411766,222.3375,220.83,223.03181818181818,207.63588235294117,207.20874999999998,197.34916666666666,209.41733333333335,194.91375,208.61470588235295,223.00099999999998,217.10461538461539,239.61800000000002,227.85285714285715,L8
2024-01-12 22:07:30+00:00,206.57999999999998,192.00857142857143,221.59,217.1835714285714,220.85333333333335,214.6757142857143,215.84823529411764,210.57399999999998,187.06166666666664,221.01,215.7721052631579,220.29666666666668,222.49764705882353,220.83,223.03181818181818,208.01944444444445,209.73555555555555,197.34916666666666,210.008125,196.11176470588234,208.925,223.71545454545455,216.865,237.97166666666666,226.93375,L9
2024-01-28 22:07:30+00:00,212.87571428571428,195.33833333333334,221.64624999999998,217.35666666666665,220.71,215.7464285714286,216.14,211.56,187.023,220.90499999999997,215.88666666666666,220.9835294117647,222.83125,220.39875,222.27,210.63470588235293,209.73555555555555,197.353,210.454375,197.64499999999998,209.5435294117647,224.60666666666665,216.97533333333334,237.46,226.39666666666665,L9
2024-02-04 22:13:43+00:00,212.87571428571428,195.33833333333334,220.49571428571426,216.4090909090909,220.71,215.7464285714286,216.14,211.56,186.20777777777778,219.8707692307692,216.21555555555557,221.34529411764706,222.864375,220.39875,222.27,211.37882352941176,207.9975,194.65444444444447,209.88933333333335,197.0773333333333,210.11529411764707,224.60666666666665,217.355625,237.58125,226.73000000000002,L9
2024-02-05 22:07:19+00:00,212.87571428571428,195.33833333333334,220.49571428571426,216.4090909090909,220.71,215.7464285714286,216.14,211.56,186.20777777777778,219.8707692307692,216.6094736842105,221.8661111111111,223.32235294117646,220.39875,222.27,212.0988888888889,207.9975,194.65444444444447,209.88933333333335,197.0773333333333,210.50444444444443,224.60666666666665,217.66411764705884,237.2711111111111,226.75363636363636,L8
2024-02-12 22:13:06+00:00,218.98,195.33833333333334,220.98375,216.66363636363633,220.88125,216.24928571428572,216.5135294117647,212.29214285714286,186.5725,219.9253846153846,216.54631578947368,222.25,223.63125,220.34,218.90222222222224,213.19555555555556,209.75125,194.583,210.30866666666668,198.23000000000002,210.77882352941174,225.33727272727273,216.87588235294118,237.2711111111111,226.75363636363636,L8
