dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
2013-06-05 22:15:51+00:00,307.1666666666667,304.74666666666667,302.5,287.19,293.15000000000003,289.18,283.16,285.03,269.1433333333334,286.535,292.44,299.395,,,,,,,,,,
2013-07-14 22:21:34+00:00,307.1666666666667,315.24,312.28999999999996,299.06,303.5,289.18,292.9225,293.75,269.1433333333334,294.5266666666667,300.02,308.17,,,,,,,,,,
2013-09-16 22:21:33+00:00,307.96500000000003,313.812,310.956,299.714,302.96999999999997,290.8975,291.678,293.586,269.1433333333334,293.70500000000004,300.03499999999997,308.17,,268.87,279.34,284.48,282.95,250.19,283.8,282.38,293.58,
2013-10-18 22:21:25+00:00,308.06399999999996,312.4216666666667,310.26166666666666,299.5833333333333,302.935,291.604,290.16,288.15333333333336,257.77750000000003,292.11199999999997,298.256,306.275,,264.095,277.33,280.35,281.37,245.735,277.02,279.73,289.41499999999996,
2013-12-21 22:21:03+00:00,309.40999999999997,320.09666666666675,321.7875,317.8675,318.4975,295.24,303.025,297.7975,223.68,300.8875,306.4475,318.32,,286.2866666666667,293.2,295.94,295.93,245.735,277.02,279.73,303.9166666666667,338.33
2014-02-07 22:20:33+00:00,310.27,307.96000000000004,306.805,299.48,313.1466666666667,294.73333333333335,295.03249999999997,291.0325,244.485,296.37,302.05499999999995,314.62,,291.48,291.35749999999996,294.63,293.4975,249.0233333333333,279.57,281.46666666666664,303.8025,319.28499999999997
2014-05-14 22:19:08+00:00,311.70500000000004,310.37,309.47999999999996,297.25666666666666,315.52,302.66,300.28666666666663,301.8966666666667,273.37,301.77666666666664,307.2633333333333,317.25,,306.6766666666667,305.38499999999993,308.90999999999997,305.625,255.6,284.67,284.94,318.19000000000005,319.28499999999997
2014-08-27 22:13:53+00:00,311.46000000000004,309.815,310.96500000000003,295.935,296.345,306.63,286.78,296.56,279.16999999999996,294.775,302.665,299.85,,269.675,251.12,270.62,,,,,,
2014-09-03 22:19:42+00:00,310.89000000000004,309.46666666666664,309.32,296.7966666666667,296.5133333333333,301.44,282.77666666666664,292.21666666666664,279.16999999999996,294.775,302.665,299.95,,266.8066666666667,246.235,273.03999999999996,274.13,232.33,272.33,276.27,,
2014-09-28 22:13:32+00:00,311.405,309.6925,308.9625,296.8175,297.3125,299.68,283.47749999999996,292.9375,279.16999999999996,294.78000000000003,302.80333333333334,301.1175,175.41,267.665,256.78000000000003,276.9066666666667,278.245,241.335,276.615,278.96500000000003,295.94,
2014-12-01 22:13:36+00:00,311.3999999999999,309.44666666666666,307.40666666666664,297.38666666666666,298.0133333333333,295.70666666666665,281.3033333333333,300.97749999999996,276.89,304.5733333333333,301.81000000000006,299.54,175.41,262.7866666666667,256.78000000000003,276.9066666666667,278.245,241.335,276.615,278.96500000000003,295.94,365.75
2015-02-19 22:13:13+00:00,311.7075,309.13,304.6525,296.1625,296.815,293.985,282.7175,299.504,272.12,304.5733333333333,301.81000000000006,299.54,175.41,268.265,262.915,279.59749999999997,278.245,244.18666666666664,276.615,278.96500000000003,295.94,365.75
2015-02-26 22:19:22+00:00,311.77666666666664,307.8175,300.545,294.14,295.81,290.5475,282.8425,298.454,267.935,310.5,303.08,302.385,175.41,280.0525,270.6325,276.14,278.245,244.18666666666664,276.615,278.96500000000003,295.94,365.75
2015-03-14 22:19:11+00:00,312.9833333333333,308.4275,299.7925,293.425,295.8,291.0375,286.5425,300.33,268.2733333333333,303.6666666666667,297.48,302.945,175.41,292.1275,281.15250000000003,278.8175,282.615,265.21,280.495,283.53,298.495,365.75
2015-04-15 22:18:58+00:00,312.03,307.45,298.09,292.8325,294.5925,290.4875,286.655,300.034,268.175,301.13,291.845,300.685,,299.42333333333335,280.37,278.65250000000003,282.075,272.645,276.59,281.325,301.05,365.75
2015-05-26 22:12:52+00:00,311.69,306.844,298.446,292.81000000000006,292.858,288.774,284.72799999999995,294.5783333333333,268.175,301.13,291.845,300.685,,299.42333333333335,280.37,278.65250000000003,282.075,272.645,276.59,281.325,301.05,365.75
2015-07-20 22:19:10+00:00,310.894,306.6166666666667,298.7583333333333,292.2,292.858,287.4016666666667,283.54,286.4083333333333,268.175,288.59000000000003,291.845,300.685,,299.42333333333335,280.37,278.65250000000003,282.075,272.645,276.59,281.325,301.05,
2015-07-29 22:13:25+00:00,311.2383333333333,307.18,299.94,292.11571428571426,292.415,288.57,284.0157142857143,284.65285714285716,271.128,288.59000000000003,291.845,300.685,,299.42333333333335,280.37,278.65250000000003,282.075,272.645,276.59,281.325,301.05,
