dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
2003-12-30 21:32:24.694000,L5,378.62,354.18,327.61,319.50,267.45,312.83,248.81,364.70,385.92,384.67,405.36,396.65,375.88,370.26,381.97,391.28,382.63,379.50,385.89,384.91,360.80,353.35,338.37,331.50,332.43,336.67,356.20,377.14,392.23,394.73,333.96,164.45
2004-01-15 21:32:26.348000,L5,388.14,372.22,378.28,342.10,376.80,372.24,380.43,409.65,424.90,409.90,409.15,403.53,395.31,399.26,405.06,404.01,416.36,414.54,413.36,399.21,369.04,354.82,357.72,345.99,342.53,354.74,378.51,415.89,414.76,413.68,350.11,356.13
2004-05-06 21:33:58.336000,L5,400.81,373.09,331.95,338.29,292.48,326.04,254.79,379.66,396.21,384.95,406.05,394.45,387.54,391.61,401.07,401.96,395.89,382.72,389.91,377.03,360.95,355.73,353.76,346.30,343.50,346.71,369.54,401.90,396.84,394.56,346.70,184.80
2004-06-07 21:34:54.755000,L5,372.77,369.97,334.22,332.60,300.62,321.01,228.79,362.18,392.11,390.37,394.38,397.96,390.54,384.06,392.71,403.98,402.13,379.66,387.56,380.19,357.21,355.76,347.72,341.31,341.68,346.97,371.33,403.17,395.31,389.57,347.74,185.76
2004-06-23 21:35:22.995000,L5,378.54,374.55,338.25,340.85,302.38,322.91,228.07,361.79,390.67,386.56,398.43,398.10,392.40,384.09,388.79,410.09,399.58,391.41,386.61,384.71,357.29,361.65,352.31,345.00,342.49,347.67,372.04,396.12,396.16,394.08,347.77,178.48
2004-07-25 21:36:14.167000,L5,387.22,371.12,329.02,335.35,310.99,322.71,234.43,384.07,395.75,399.81,408.44,406.19,403.12,391.34,394.09,409.65,402.71,377.92,391.60,394.00,365.47,365.95,355.73,345.26,346.26,353.44,374.41,404.45,408.87,399.90,347.21,176.54
2004-08-10 21:36:32.804000,L5,341.72,337.77,302.66,319.77,,,,,,,,,,344.54,339.59,364.10,344.72,321.44,334.28,332.20,259.15,226.89,,304.04,303.91,304.19,342.98,333.45,303.79,334.23,,
2005-02-18 21:40:18.476000,L5,362.86,354.32,323.96,322.03,249.77,303.02,225.63,351.66,385.11,381.21,394.29,378.70,376.96,370.66,379.29,393.19,389.16,362.08,379.99,376.19,343.08,344.62,333.03,320.21,319.38,328.28,331.20,383.05,387.36,385.85,327.93,
2005-03-22 21:40:41.327000,L5,,,,,,,,300.15,350.84,351.49,315.64,348.19,349.36,343.06,355.39,367.12,366.61,347.01,364.10,359.01,323.26,325.25,319.27,310.02,308.88,315.31,338.04,358.83,363.89,368.86,314.97,
2005-05-09 21:40:56.205000,L5,378.18,372.09,335.94,334.78,304.63,319.02,238.88,370.03,391.44,390.23,394.13,402.14,397.18,387.09,395.59,403.99,404.14,386.88,387.73,386.73,363.68,359.39,355.70,343.63,342.71,348.38,370.21,393.68,401.21,396.72,349.87,182.58
2005-06-10 21:41:12.271000,L5,385.72,376.43,317.88,344.25,313.86,321.05,243.39,386.37,399.56,398.08,404.56,404.98,403.80,391.04,398.98,414.16,403.90,389.77,391.47,394.96,372.02,369.03,362.65,352.45,352.32,366.33,381.85,397.35,410.87,400.47,352.81,208.90
2005-06-26 21:41:16.724000,L5,330.67,325.73,301.74,240.27,,,,296.85,347.42,347.33,350.25,359.72,356.40,343.07,352.01,377.21,363.76,336.41,351.35,350.03,299.85,322.91,253.49,314.03,199.30,314.91,334.36,348.01,353.52,364.20,306.06,
2005-07-12 21:41:23.560000,L5,364.48,357.63,326.57,328.90,304.96,311.94,236.27,373.85,395.79,398.65,392.26,389.56,391.08,390.48,388.33,408.83,396.15,394.46,385.80,385.18,358.34,360.95,346.76,339.56,342.06,346.88,364.69,398.55,406.90,395.16,346.84,187.81
2005-07-28 21:41:34.002000,L5,282.35,324.03,288.07,296.92,,,,301.89,364.59,361.91,350.27,350.77,347.36,340.14,344.25,366.96,358.76,346.50,364.99,360.76,294.10,313.36,237.51,298.45,294.15,301.41,339.36,360.18,370.62,372.76,294.47,
2005-08-29 21:41:46.875000,L5,378.40,374.99,334.71,341.65,323.69,335.48,284.77,383.91,410.33,392.29,395.79,398.64,396.81,394.36,390.48,420.94,412.28,408.60,397.85,387.66,362.90,366.78,348.66,343.40,352.48,359.21,387.66,410.61,415.64,402.49,354.21,235.23
