dates,satname,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0015,nzd0421-0051
2003-07-21 21:44:09.463000,L5,,240.38,321.70,313.92,293.09,293.30,216.18,305.14,310.63,296.92,289.06,300.94,315.00,341.24,311.96,351.61,359.01,366.48,374.95,371.22,347.35,371.12,364.39,372.94,373.69,357.39,360.56,365.09,357.06,353.99,347.01,333.09,334.65,332.97,332.80,321.87,328.08,314.90,322.23,319.54,321.80,324.07,324.74,332.52,336.91,,,,,,,
2003-09-14 21:51:18.345000,L5,295.46,282.71,319.26,314.42,299.73,314.04,339.92,345.40,342.21,335.62,337.13,350.41,345.07,358.55,342.17,347.86,364.19,364.83,365.11,368.50,354.68,366.87,371.10,378.60,380.74,369.21,369.59,374.39,369.46,367.46,352.22,338.43,341.16,336.13,332.57,325.27,331.20,323.37,323.93,328.25,329.53,329.66,333.41,336.92,,,,,,,335.36,
2003-10-16 21:51:43.799000,L5,316.50,329.73,336.99,324.90,328.11,341.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-03 21:52:19.254000,L5,320.18,355.25,340.13,323.76,336.06,345.72,,,353.99,342.46,349.69,349.04,353.10,348.74,340.57,371.33,,,,,,,,,380.41,373.70,371.05,373.04,366.36,362.45,352.18,352.52,,,,,,,,,,,,,,,,,,,356.13,
2004-02-05 21:52:40.789000,L5,291.56,289.33,318.83,299.46,291.63,300.74,327.97,340.08,324.58,295.37,293.92,271.04,289.14,280.10,298.32,328.39,357.78,369.68,373.78,373.08,340.76,351.71,365.76,380.68,374.80,356.85,282.76,355.79,350.15,347.49,338.45,317.46,325.19,322.17,329.01,325.83,331.34,327.72,321.43,326.45,327.26,325.14,311.38,317.59,323.82,329.19,345.50,364.45,366.85,377.15,323.07,
2004-04-25 21:53:47.171000,L5,,258.60,307.31,285.71,268.23,283.83,,304.57,291.70,277.14,264.85,275.59,303.57,270.28,295.05,,,,,,,,,,,,,,,328.87,325.49,321.65,322.71,319.10,316.47,299.92,313.75,312.63,295.14,309.47,307.70,315.23,320.79,322.65,331.76,330.33,356.11,359.00,355.49,357.36,,346.48
2004-05-04 21:47:51.656000,L5,,247.38,333.28,309.22,285.76,292.79,322.78,335.80,323.77,294.46,333.58,302.97,317.16,300.18,306.12,346.41,372.99,372.08,372.77,373.60,340.96,365.94,366.43,379.93,375.50,360.16,352.96,374.99,368.18,360.63,349.54,331.51,345.98,329.74,340.54,326.06,332.96,323.80,324.57,322.58,329.50,331.78,330.39,338.61,,,,,,,,
2004-06-05 21:48:48.638000,L5,,,,,,,,281.20,321.59,296.19,292.26,299.13,325.42,288.24,323.29,353.39,348.99,371.08,374.36,377.22,364.44,376.46,368.70,378.74,379.40,373.35,376.02,377.31,373.38,363.68,350.83,341.79,347.87,,,,331.91,330.22,331.14,334.06,331.05,338.53,330.93,,,,,,,,,
2004-06-21 21:49:16.470000,L5,,,,,,,,290.60,320.15,300.13,296.85,301.60,321.70,294.38,362.26,355.95,362.82,362.57,373.91,379.16,302.57,,,,,373.23,376.76,367.00,369.20,363.27,352.92,346.29,348.47,352.16,345.88,,,,,,,,,,,,,,,,,
2004-07-07 21:49:44.929000,L5,,,,,,,,276.88,302.13,293.05,289.81,303.42,325.49,287.88,324.22,,355.65,364.10,371.84,369.05,,362.21,355.39,368.26,370.29,342.31,359.18,367.86,359.26,359.60,346.41,343.06,340.47,336.16,323.27,318.54,325.04,314.57,321.69,323.98,324.99,327.53,326.81,335.47,,,,,,,,
