dates,nzd0421-0000,nzd0421-0001,nzd0421-0002,nzd0421-0003,nzd0421-0004,nzd0421-0005,nzd0421-0006,nzd0421-0007,nzd0421-0008,nzd0421-0009,nzd0421-0010,nzd0421-0011,nzd0421-0012,nzd0421-0013,nzd0421-0014,nzd0421-0015,nzd0421-0016,nzd0421-0017,nzd0421-0018,nzd0421-0019,nzd0421-0020,nzd0421-0021,nzd0421-0022,nzd0421-0023,nzd0421-0024,nzd0421-0025,nzd0421-0026,nzd0421-0027,nzd0421-0028,nzd0421-0029,nzd0421-0030,nzd0421-0031,nzd0421-0032,nzd0421-0033,nzd0421-0034,nzd0421-0035,nzd0421-0036,nzd0421-0037,nzd0421-0038,nzd0421-0039,nzd0421-0040,nzd0421-0041,nzd0421-0042,nzd0421-0043,nzd0421-0044,nzd0421-0045,nzd0421-0046,nzd0421-0047,nzd0421-0048,nzd0421-0049,nzd0421-0050,nzd0421-0051,satname
2001-08-15 22:02:38+00:00,,,,,,,,168.04666666666665,244.8125,285.6933333333333,253.48,267.81,263.545,275.515,227.03,195.61,,290.105,197.18,201.56,276.12,175.17999999999998,312.04,317.04499999999996,265.3075,302.3825,224.64,262.74666666666667,268.6575,257.18,,192.2,270.02333333333337,,275.44,264.9925,226.71333333333334,253.65333333333334,,,275.35,,,244.87,213.57,,,290.45,277.83,292.4425,256.84000000000003,,L7
2001-08-24 21:56:24+00:00,,,,308.12,,,,179.0375,248.47799999999998,283.6325,255.41500000000002,269.92500000000007,270.46000000000004,278.33666666666664,233.2733333333333,206.115,,288.7966666666667,197.18,201.56,276.12,182.51,312.04,318.0333333333333,268.81600000000003,304.152,229.23000000000002,261.19,268.6575,257.18,,198.884,272.5975,,278.595,266.118,231.6375,256.985,267.95,,275.35,,,244.87,213.57,,,290.45,279.7,292.4425,256.84000000000003,,L7
2001-09-25 21:56:04+00:00,277.66,267.18,,308.12,296.76,285.63,,179.0375,248.47799999999998,288.528,255.41500000000002,269.92500000000007,270.46000000000004,280.24,233.2733333333333,197.12333333333333,,288.7966666666667,197.18,201.56,276.12,182.51,312.04,322.2025,268.81600000000003,304.152,229.23000000000002,261.19,268.6575,257.18,,198.884,281.218,,278.595,270.96999999999997,231.6375,264.682,267.95,,275.35,,,244.87,213.57,,,290.45,283.09999999999997,301.904,256.84000000000003,,L7
2001-10-02 22:02:04+00:00,280.66,272.8,,308.12,296.76,285.63,,179.0375,248.47799999999998,288.528,255.41500000000002,269.92500000000007,270.46000000000004,280.24,233.2733333333333,197.12333333333333,254.23,288.7966666666667,197.18,201.56,276.12,182.51,312.04,322.2025,268.81600000000003,304.152,229.23000000000002,261.19,268.6575,257.18,,198.884,281.218,,278.595,270.96999999999997,231.6375,264.682,267.95,,275.35,,,244.87,213.57,,,290.45,283.09999999999997,301.904,256.84000000000003,,L7
2001-12-14 21:56:17+00:00,280.66,272.8,,283.0,276.54499999999996,269.015,243.79,179.0375,245.35999999999996,287.75750000000005,245.52,260.16,262.6975,280.24,233.2733333333333,197.12333333333333,254.23,287.87,184.53,203.18,276.12,184.91666666666666,,315.65,270.2425,305.195,229.17200000000003,251.83666666666667,265.0166666666667,257.18,,196.54,282.20000000000005,,270.01,268.89,227.75,266.5625,267.95,,275.35,,,244.87,213.57,,,290.45,283.09999999999997,304.9675,256.84000000000003,,L7
2001-12-30 21:56:13+00:00,280.66,272.8,,283.0,276.54499999999996,269.015,243.79,179.0375,245.35999999999996,287.75750000000005,242.26250000000002,254.4275,259.348,280.24,226.42000000000002,197.12333333333333,254.23,287.87,184.53,203.18,276.12,184.91666666666666,,315.65,270.2425,305.195,229.17200000000003,251.83666666666667,265.0166666666667,257.18,,196.54,282.20000000000005,,270.01,268.89,224.44400000000002,266.5625,238.14499999999998,,275.35,,,244.87,213.57,,,290.45,283.09999999999997,304.9675,256.84000000000003,,L7
2002-01-22 22:02:40+00:00,281.67333333333335,270.3866666666667,,283.0,280.69,274.0266666666667,260.475,196.21999999999997,258.78,288.7066666666667,247.72799999999998,254.4275,259.6425,282.0125,239.4075,197.12333333333333,254.23,287.87,,203.18,276.12,189.82,,316.295,280.985,310.575,240.56666666666672,251.535,268.56,,,209.625,298.01000000000005,,270.01,272.515,229.21,274.8866666666667,238.14499999999998,,,,,,,,,,283.09999999999997,325.49,,,L7
2002-03-11 22:02:43+00:00,281.67333333333335,272.6975,,257.88,280.69,274.0266666666667,260.475,,,308.11,242.60333333333327,238.93,242.67999999999998,278.0,237.285,179.14,254.23,,,,,,,312.07500000000005,,,226.46,,,,,,315.7,,252.84,275.58000000000004,216.905,295.47,208.34,,,,,,,,,,289.9,339.75,,,L7
2002-05-07 21:56:27+00:00,283.7,272.59499999999997,,257.88,272.655,268.225,260.475,203.47,,280.85,243.4725,238.93,249.80333333333337,282.49,239.51666666666665,,291.62,291.79,,,,,,308.095,311.2,,226.46,,,,,,280.59,,252.84,255.93,230.42,265.58,208.34,262.23,,,,,,,,,283.61,,,,L7
2002-06-15 22:02:19+00:00,283.7,272.59499999999997,,,288.98,284.05,277.16,203.47,,268.315,249.38666666666666,237.23,255.00000000000006,275.64000000000004,239.51666666666665,,291.62,273.62,217.3,182.75,,173.24,,322.3,311.2,304.82,242.93,252.68,265.84,,,203.02,280.59,,281.55,269.62,235.33,255.90499999999997,215.025,262.23,,,,,240.64,,,,261.45,,258.14,,L7
