dates,satname,nzd0503-0000,nzd0503-0001,nzd0503-0002,nzd0503-0003,nzd0503-0004,nzd0503-0005
2020-06-08 22:14:11.756000,L8,208.10,176.88,139.93,281.91,284.18,297.60
2020-07-10 22:14:27.456000,L8,216.59,178.23,180.76,291.69,293.73,306.47
2020-07-26 22:14:32.385000,L8,211.41,184.15,252.29,288.78,288.82,300.02
2020-08-27 22:14:44.105000,L8,212.32,208.51,267.73,281.29,282.78,284.45
2020-10-14 22:14:56.808000,L8,246.88,234.00,266.14,279.22,278.27,278.41
2021-02-19 22:14:39.648000,L8,218.38,243.58,268.82,277.10,278.25,282.08
2021-05-26 22:14:18.793000,L8,,,,281.52,281.11,288.43
2021-06-11 22:14:25.766000,L8,,,,274.15,146.00,195.77
2021-06-27 22:14:29.908000,L8,202.01,,,273.58,148.94,194.19
2021-07-13 22:14:31.246000,L8,203.44,178.63,173.22,280.85,284.66,297.76
2021-08-14 22:14:45.391000,L8,213.59,203.57,263.48,286.55,291.96,305.67
2021-08-30 22:14:49.951000,L8,202.45,204.31,251.73,272.65,268.46,
2021-11-18 22:14:56.496000,L8,238.93,217.44,256.84,270.91,267.21,269.70
2021-12-12 22:14:55.412000,L9,326.52,318.50,322.11,318.68,329.66,334.03
2021-12-20 22:14:55.954000,L8,312.45,236.58,267.55,294.98,297.98,300.57
2022-01-13 22:14:50.477000,L9,274.31,240.90,273.84,283.83,284.78,287.09
2022-01-28 22:20:55.692000,L8,263.21,235.29,273.88,286.33,286.87,289.04
2022-02-06 22:14:44.088000,L8,268.01,234.52,273.66,283.80,285.59,287.90
2022-02-13 22:20:52.491000,L8,261.08,244.15,275.27,284.16,286.71,290.97
2022-02-22 22:14:38.338000,L8,250.29,215.84,255.51,269.66,271.81,272.57
2022-03-02 22:14:37.725000,L9,257.81,233.98,275.13,287.24,287.98,294.41
2022-04-02 22:20:31.499000,L8,227.69,215.11,262.29,276.91,278.69,278.46
2022-05-05 22:14:18.830000,L9,211.75,192.56,262.76,283.02,284.88,288.54
2022-06-22 22:14:26.439000,L9,,,,247.84,281.92,306.90
2022-06-30 22:14:51.348000,L8,233.36,183.74,159.15,250.58,281.70,300.40
2022-08-09 22:14:46.212000,L9,,,224.67,239.68,247.50,261.83
2022-09-10 22:14:51.402000,L9,211.55,207.89,245.45,248.94,256.63,272.89
2023-01-08 22:15:00.142000,L8,257.87,216.09,247.66,251.50,254.68,271.96
2023-01-15 22:21:05.646000,L8,249.03,210.78,245.72,250.13,251.92,265.28
2023-02-17 22:15:01.258000,L9,268.60,223.77,261.89,262.22,273.82,307.63
2023-02-25 22:14:39.957000,L8,255.83,219.46,256.89,260.62,269.91,284.46
2023-03-05 22:14:49.135000,L9,261.63,225.53,264.74,267.80,281.18,308.10
2023-04-06 22:14:33.046000,L9,209.34,204.14,244.71,250.38,255.13,264.68
2023-04-14 22:14:09.763000,L8,205.03,205.61,244.43,248.51,253.04,266.09
2023-05-24 22:14:04.912000,L9,211.15,186.16,199.57,257.47,267.20,299.91
2023-06-01 22:13:55.021000,L8,210.15,180.54,177.64,253.78,270.31,297.22
2023-06-09 22:14:00.612000,L9,213.89,174.23,139.79,246.08,259.95,279.34
2023-07-03 22:14:15.167000,L8,215.89,180.94,165.18,243.70,266.93,289.94
2023-07-11 22:14:12.102000,L9,214.78,188.90,185.10,244.07,244.92,282.93
2023-07-27 22:14:14.688000,L9,209.75,182.23,190.05,237.49,235.31,256.15
2023-08-12 22:14:23.119000,L9,202.11,191.69,237.82,237.40,235.04,255.09
2023-09-05 22:14:34.496000,L8,,,,,,235.64
2023-11-24 22:14:51.719000,L8,263.16,215.78,247.42,246.86,241.72,250.05
2023-12-10 22:14:45.117000,L8,273.66,225.68,261.14,258.41,258.45,284.08
2024-01-11 22:14:44.166000,L8,272.72,227.43,259.08,256.66,250.69,280.10
2024-02-04 22:14:55.450000,L9,265.06,224.31,258.74,257.32,253.89,275.13
2024-02-12 22:14:41.937000,L8,254.49,212.34,246.56,246.12,241.55,244.97
2024-03-07 22:14:47.781000,L9,233.33,206.31,241.14,241.38,234.06,
2024-04-16 22:14:07.010000,L8,200.82,205.25,242.16,242.21,237.65,220.27
2024-04-24 22:14:13.960000,L9,209.27,202.59,245.75,243.00,240.92,259.60
2024-06-03 22:13:41.381000,L8,200.38,172.82,137.08,,,254.48
2024-06-11 22:13:53.980000,L9,,,,239.61,243.88,274.12
2024-06-19 22:13:49.014000,L8,,,,,,267.21
2024-07-05 22:13:57.118000,L8,209.75,174.56,181.49,237.09,241.36,272.27
2024-08-06 22:14:09.174000,L8,211.99,200.77,241.62,247.21,247.50,304.01
2024-08-30 22:14:23.037000,L9,204.82,206.97,238.68,241.98,239.08,262.04
2024-09-07 22:14:30.806000,L8,210.29,208.82,241.67,243.95,242.84,261.79
2024-09-23 22:14:30.418000,L8,257.80,222.08,256.38,263.47,261.37,287.35
2024-10-09 22:14:33.271000,L8,255.93,227.78,258.26,268.98,267.88,281.71
2024-11-02 22:14:41.503000,L9,246.27,209.45,241.93,241.86,239.57,256.52
2024-11-10 22:14:37.391000,L8,262.45,223.75,261.68,261.03,259.55,286.02
2024-12-04 22:14:48.196000,L9,254.74,210.66,239.74,240.25,238.67,260.37
2025-01-05 22:14:42.782000,L9,250.21,205.78,236.30,234.68,230.42,
2025-01-21 22:14:48.959000,L9,254.14,209.49,239.55,241.73,237.48,188.59
2025-04-03 22:14:16.015000,L8,240.92,229.41,330.32,331.02,335.83,339.71
2025-04-11 22:14:29.386000,L9,210.10,206.68,242.00,250.11,243.75,277.17
2025-05-05 22:14:00.333000,L8,207.89,189.34,244.26,252.10,246.79,281.44
2025-05-13 22:14:10.289000,L9,,,197.75,240.74,240.78,275.47
2025-05-29 22:14:03.472000,L9,,,,246.30,246.91,282.03
2025-06-22 22:14:19.462000,L8,211.37,172.64,137.26,237.69,249.14,286.87
2025-06-30 22:14:19.484000,L9,212.92,193.25,191.04,251.88,255.12,298.46
2025-08-25 22:14:39.643000,L8,204.50,203.82,240.34,246.56,240.04,280.99
2025-09-02 22:14:47.227000,L9,222.38,213.21,251.33,266.75,254.02,301.19
2025-09-10 22:14:44.053000,L8,229.29,220.81,263.43,283.28,263.48,308.87
2025-09-18 22:14:49.542000,L9,230.27,216.89,247.50,259.34,250.84,283.16
