dates,satname,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
2011-02-08 22:04:35.159000,L5,,,,,,,,,,,,,,,,,,,,356.51,358.76,358.74,353.80,354.98,348.24,357.81,358.66,342.96,340.41,338.30,327.18,324.28,331.66,304.70,284.40,255.09,165.30,148.83
2011-03-12 22:04:31.079000,L5,,266.44,350.75,337.59,330.70,341.53,349.28,357.20,351.97,353.44,343.11,347.13,350.17,349.54,359.15,360.91,364.81,368.34,369.43,365.98,362.91,359.82,354.50,353.00,354.10,351.35,351.25,352.63,351.76,343.98,336.89,331.10,328.72,306.13,296.91,299.24,320.35,320.14
2013-05-11 22:22:42.945000,L8,,347.62,321.13,326.66,321.93,327.43,346.19,349.38,346.38,351.62,347.85,345.37,348.96,345.93,350.83,350.27,351.41,370.93,373.52,361.59,358.01,352.80,347.00,341.03,342.26,335.14,333.07,337.69,342.26,334.34,328.25,321.38,317.92,288.10,267.62,269.19,267.34,270.52
2013-07-07 22:16:35.929000,L8,,348.53,322.16,328.04,323.05,329.81,341.53,344.49,342.69,346.71,340.68,335.41,341.55,337.28,344.44,367.02,360.37,358.80,373.82,357.56,350.34,346.23,340.68,340.22,341.05,336.16,336.28,338.74,339.38,338.82,331.56,321.67,316.04,288.18,273.96,269.15,269.64,273.23
2013-08-31 22:22:50.245000,L8,,323.56,313.40,311.37,317.36,326.32,233.78,337.64,333.49,338.45,331.22,328.69,328.26,305.16,340.09,341.88,343.94,346.78,348.20,343.33,340.49,337.18,334.43,332.39,332.79,331.53,329.59,329.30,330.90,327.29,320.60,312.42,308.07,283.78,268.63,265.86,266.66,268.79
2013-09-25 22:16:28.938000,L8,,337.78,245.74,320.85,321.78,328.56,335.80,336.89,330.94,340.54,329.36,326.98,328.21,304.10,337.57,343.31,345.89,349.39,354.44,347.93,348.58,339.19,336.17,334.88,339.76,334.07,333.51,332.27,333.85,330.70,320.76,314.56,311.38,287.87,273.63,270.98,272.45,273.79
2013-10-02 22:22:40.460000,L8,,339.01,319.89,322.47,322.70,330.10,337.51,339.12,337.31,341.31,334.74,330.83,330.90,306.89,337.64,345.18,345.26,346.13,351.48,344.12,342.17,338.92,337.05,336.56,337.70,333.86,334.68,333.12,332.75,329.51,322.69,316.50,313.11,290.90,275.30,272.16,273.50,273.74
2013-10-11 22:16:29.291000,L8,,324.80,316.37,315.45,319.32,225.68,335.60,336.35,334.60,337.57,330.33,327.47,328.13,304.96,334.61,338.92,344.03,343.58,348.14,343.93,341.12,337.53,334.67,335.32,333.79,333.53,331.97,332.11,333.12,329.50,322.48,316.72,311.81,297.25,303.43,285.61,,
2013-11-03 22:22:32.045000,L8,,322.92,314.24,319.02,318.60,329.85,338.71,342.00,341.26,344.87,337.64,334.44,335.40,330.89,340.51,344.44,347.54,348.98,352.25,345.76,344.38,339.54,338.19,339.68,340.32,335.04,335.45,334.01,333.42,329.84,322.29,317.34,314.31,290.84,273.14,269.21,270.59,272.50
2013-11-12 22:16:19.914000,L8,,329.60,319.72,322.10,208.48,329.25,339.22,342.06,342.87,344.60,338.09,334.40,337.59,332.58,342.53,344.25,347.83,354.93,357.80,348.99,346.65,340.44,338.86,340.46,343.40,334.41,335.46,335.50,337.19,335.11,325.07,318.80,316.41,294.42,276.89,274.70,273.37,275.16
2013-11-19 22:22:25.407000,L8,,331.66,315.47,320.30,319.36,327.99,338.33,341.53,342.68,344.28,338.68,334.35,336.68,332.01,341.12,344.11,347.15,349.85,351.89,346.39,343.07,339.75,339.51,338.82,338.18,334.89,333.97,333.73,336.78,331.75,324.70,317.91,315.82,292.94,275.22,272.05,271.23,274.42
2014-02-23 22:21:32.043000,L8,,324.43,311.07,312.32,311.60,319.54,330.92,332.48,331.75,340.15,331.35,329.63,332.68,325.97,337.23,339.86,343.95,348.30,350.76,348.47,337.20,334.74,330.98,329.07,329.93,326.17,328.41,327.16,332.34,329.02,320.72,316.27,313.82,284.74,270.48,270.26,269.38,272.76
2014-03-11 22:21:19.920000,L8,,338.67,319.39,321.83,320.19,327.74,339.63,341.80,342.78,346.29,338.19,335.94,342.69,342.07,345.98,345.07,351.12,353.16,359.57,347.77,341.07,340.50,336.24,336.30,335.61,331.53,334.94,333.89,336.09,333.12,324.39,317.12,315.56,288.91,273.60,270.70,271.53,272.61
2014-03-20 22:15:01.497000,L8,190.93,337.82,318.94,322.12,320.83,328.02,340.24,245.85,343.91,344.64,339.17,335.96,341.98,338.05,344.17,345.10,348.87,349.86,352.16,346.39,344.52,341.10,335.20,336.84,335.57,331.91,335.65,334.79,336.33,334.49,324.34,317.00,314.26,289.28,274.67,271.13,271.69,273.04
2014-04-12 22:20:49.109000,L8,,329.98,318.36,320.44,319.66,328.93,337.54,336.59,339.04,346.09,341.67,337.53,345.42,340.07,345.97,349.29,353.03,354.03,355.70,347.23,344.54,341.26,337.99,333.20,331.92,329.24,331.93,332.25,333.97,333.84,326.54,321.52,317.91,285.67,273.85,273.67,273.48,277.73
2014-04-21 22:14:29.865000,L8,,332.23,318.62,323.53,210.70,327.69,337.21,340.28,336.04,333.09,323.55,326.36,334.47,334.74,340.68,342.32,345.39,348.76,351.57,347.16,344.02,340.73,335.63,334.98,331.98,329.32,342.63,335.63,338.42,340.59,323.64,316.06,313.61,286.20,272.81,270.63,271.19,273.84
2014-07-17 22:20:39.943000,L8,,299.34,324.59,326.59,323.13,229.23,341.32,339.32,339.16,332.98,322.71,321.36,331.24,317.78,336.15,343.98,341.65,348.80,353.58,344.30,344.09,342.06,339.06,333.45,333.49,330.79,335.22,331.30,334.37,333.39,325.95,316.86,311.90,282.76,263.35,261.18,261.73,265.01
2014-08-02 22:20:46.799000,L8,,,307.04,305.98,310.42,314.67,318.80,315.52,,311.22,301.96,296.99,304.35,279.06,316.14,326.96,325.82,330.94,335.23,325.77,327.41,325.28,320.77,312.28,309.55,310.45,306.71,293.12,218.56,199.43,203.08,202.47,206.28,201.39,168.24,,,
2014-08-11 22:14:39.696000,L8,,,313.03,315.56,316.13,319.92,326.96,325.33,276.36,320.85,311.36,306.03,312.81,294.40,324.75,332.73,331.79,336.44,341.17,333.35,331.81,329.93,325.00,316.67,306.93,310.89,308.91,288.17,210.14,203.70,205.65,210.83,215.72,210.58,166.44,,,
2014-08-18 22:20:51.886000,L8,,300.77,323.04,326.71,324.47,329.24,340.99,345.63,339.63,333.02,324.32,322.79,328.94,319.34,336.02,340.83,341.53,344.22,351.00,344.42,339.18,339.70,332.39,326.39,319.56,313.78,332.76,328.00,345.59,342.80,324.80,314.31,302.00,280.22,265.13,265.43,264.78,271.05
2014-09-19 22:20:54.477000,L8,,294.55,319.69,320.80,320.78,327.97,338.48,230.21,339.30,332.36,322.91,323.01,331.11,322.49,333.52,341.05,341.56,342.55,349.40,340.65,333.49,335.16,325.19,316.41,309.06,298.71,324.57,306.45,320.18,323.08,322.19,309.90,299.32,282.65,266.63,268.07,268.51,273.62
2014-09-28 22:14:44.621000,L8,,284.01,316.28,316.18,318.00,326.83,335.59,338.61,338.32,329.45,319.48,318.36,325.90,313.88,330.93,338.02,340.66,341.06,345.32,335.00,329.84,330.60,320.43,312.23,307.10,295.76,316.38,303.74,314.22,318.82,319.83,305.68,296.89,282.61,265.93,267.39,265.36,271.67
2015-01-02 22:14:38.674000,L8,187.15,299.24,316.99,319.30,317.56,328.83,343.79,343.52,343.44,332.56,327.12,331.84,332.66,335.12,436.85,431.54,495.77,345.69,349.52,343.86,332.29,333.87,328.92,327.93,326.52,316.88,327.70,309.26,338.90,329.88,325.96,320.30,314.59,291.29,399.53,300.78,,
2015-03-14 22:20:23.206000,L8,,295.42,313.73,318.68,318.12,326.51,234.32,340.42,340.09,328.63,327.18,328.61,329.55,331.96,333.08,334.71,338.82,340.82,345.09,344.73,336.28,335.98,333.10,338.39,332.13,319.13,330.22,319.17,333.03,335.26,322.77,318.37,312.17,286.76,273.98,273.43,273.74,275.00
2015-04-15 22:20:10.505000,L8,,304.25,319.47,323.78,322.40,328.99,350.77,347.28,347.46,337.65,382.02,363.67,352.91,353.92,337.71,351.95,350.70,355.03,356.15,363.85,360.32,348.62,347.99,345.34,355.87,360.29,334.53,348.25,350.71,350.33,349.40,346.39,334.45,333.49,317.14,321.67,321.50,283.25
