dates,nzd0512-0000,nzd0512-0001,nzd0512-0002,nzd0512-0003,nzd0512-0004,nzd0512-0005,nzd0512-0006,nzd0512-0007,nzd0512-0008,nzd0512-0009,nzd0512-0010,nzd0512-0011,nzd0512-0012,nzd0512-0013,nzd0512-0014,nzd0512-0015,nzd0512-0016,nzd0512-0017,nzd0512-0018,nzd0512-0019,nzd0512-0020,nzd0512-0021,nzd0512-0022,nzd0512-0023,nzd0512-0024,nzd0512-0025,nzd0512-0026,nzd0512-0027,nzd0512-0028,nzd0512-0029,nzd0512-0030,nzd0512-0031,nzd0512-0032,nzd0512-0033,nzd0512-0034,nzd0512-0035,nzd0512-0036,nzd0512-0037,nzd0512-0038,nzd0512-0039,nzd0512-0040,nzd0512-0041,nzd0512-0042,nzd0512-0043,nzd0512-0044,nzd0512-0045,nzd0512-0046,nzd0512-0047
2005-10-05 22:02:41+00:00,277.3875,273.155,272.1225,272.28999999999996,261.63,267.45,269.2,267.09833333333336,275.7975,261.37,274.125,273.8725,272.77750000000003,274.885,268.8575,271.97,281.545,291.12,285.8975,283.7975,261.1475,245.875,295.148,301.476,307.64,310.28000000000003,309.0175,312.0925,314.1625,293.86,285.164,284.088,294.46,314.24,316.08,,,,,314.15,307.5225,305.85999999999996,307.025,295.8,,,,
2005-11-13 22:09:08+00:00,276.87199999999996,272.56800000000004,274.808,273.604,265.298,270.354,271.98400000000004,269.57142857142856,277.386,265.554,275.816,276.392,275.37399999999997,277.244,271.642,274.328,284.03200000000004,292.1333333333334,286.98199999999997,285.326,264.73,246.372,295.495,301.99333333333334,308.378,310.14,307.95,311.696,313.118,293.86,285.164,287.76,297.71,315.045,315.23,313.96,312.41,319.92,319.9,314.15,307.5225,308.1825,309.27799999999996,301.1433333333334,314.12,288.01,,242.4
2006-03-14 22:05:42+00:00,274.09666666666664,270.56,277.37,273.2766666666667,270.11666666666673,273.62333333333333,276.7966666666667,275.52333333333337,278.31,271.58666666666664,277.24,279.10333333333335,278.34999999999997,282.58,276.45,279.74666666666667,285.71999999999997,291.12333333333333,286.7633333333333,284.18333333333334,263.17,242.84,294.615,299.96,307.1433333333333,305.23333333333335,289.80333333333334,304.45,308.65000000000003,312.04499999999996,311.77,306.66,307.8433333333333,313.91,313.2833333333333,313.28999999999996,311.13,320.03499999999997,319.9,312.505,306.635,306.735,309.56666666666666,311.09000000000003,314.12,288.01,,233.805
2006-04-15 22:06:18+00:00,272.65000000000003,272.40333333333336,275.72,274.0233333333333,266.72,271.4166666666667,275.9166666666667,271.07,277.3866666666667,273.15333333333336,271.67333333333335,276.3,277.56666666666666,279.73,277.87666666666667,276.59666666666664,281.9833333333333,289.6766666666667,286.17,285.06,269.3833333333334,245.48000000000002,293.52,301.30333333333334,309.3233333333333,307.0833333333333,298.8733333333334,308.9266666666667,309.6366666666667,312.105,311.895,307.43666666666667,306.3233333333333,313.8933333333334,312.44,312.99,310.79,318.8566666666666,317.515,312.675,308.435,309.38,312.33,309.35999999999996,314.12,288.01,,233.805
2006-07-27 22:13:58+00:00,273.58333333333337,271.5333333333333,271.56,268.4066666666667,258.57,263.96333333333337,269.44,262.49,269.6233333333334,264.1333333333334,265.6933333333334,265.46000000000004,270.9866666666667,271.5466666666667,270.48999999999995,270.26,271.67,287.43499999999995,283.595,281.87,263.00333333333333,246.57000000000002,291.66,299.59,308.32,305.83500000000004,301.5733333333333,310.7166666666667,311.62666666666667,312.105,311.895,308.095,304.13,312.915,311.47,312.505,309.98,318.32499999999993,315.13,312.675,308.04333333333335,303.61,309.34999999999997,308.125,,,,225.21
2006-08-05 22:07:55+00:00,273.7325,269.56,270.40250000000003,265.385,257.14500000000004,260.5,264.8025,261.93,265.4775,261.83250000000004,262.595,262.6775,267.7425,267.6625,268.235,267.7225,268.9425,283.27666666666664,283.595,281.87,260.3825,246.845,289.9175,298.6975,304.7033333333333,306.7266666666667,302.315,310.885,311.78,311.7366666666667,311.895,308.095,304.13,312.915,311.47,312.505,309.98,318.32499999999993,315.13,310.27333333333337,306.2025,297.08500000000004,309.34999999999997,308.125,,,,225.21
2006-08-28 22:14:23+00:00,273.18,269.532,270.86,265.436,257.072,261.178,265.24399999999997,262.084,266.546,261.482,263.286,260.87800000000004,265.71999999999997,265.338,268.198,268.918,270.416,283.2475,283.595,281.87,259.12800000000004,248.026,288.96,297.77,304.895,306.1025,302.92600000000004,310.73400000000004,311.78,311.7366666666667,311.895,308.095,304.13,312.915,311.33,312.84666666666664,310.01,316.38999999999993,316.03499999999997,311.48,306.2025,297.08500000000004,309.34999999999997,308.125,,292.42,,225.21
2006-09-13 22:14:35+00:00,274.54,269.61199999999997,270.23,265.174,256.32,261.008,262.79799999999994,261.746,264.28599999999994,261.122,261.696,256.278,260.45,258.27799999999996,265.71799999999996,267.32800000000003,270.256,280.6925,284.315,279.885,259.898,248.796,287.268,296.996,304.0425,307.5325,306.714,312.17400000000004,312.65250000000003,312.005,312.85,309.49,305.96,314.19,312.29999999999995,312.96000000000004,310.09000000000003,314.51,317.38,311.4375,305.45500000000004,297.08500000000004,278.785,305.9,308.08,295.055,,
2006-10-08 22:08:40+00:00,275.6166666666667,271.575,271.40000000000003,267.81166666666667,258.6933333333333,264.0133333333333,265.59166666666664,264.68833333333333,266.63,262.7316666666667,263.4716666666667,255.8033333333333,258.8283333333333,256.1666666666667,267.3016666666667,268.81666666666666,272.06666666666666,281.62800000000004,285.5566666666667,280.71333333333337,262.35833333333335,248.26999999999998,288.35833333333335,297.2416666666667,304.398,308.082,306.5783333333333,312.29333333333335,312.54,312.005,312.85,309.94000000000005,305.96,314.19,312.29999999999995,312.96000000000004,310.09000000000003,314.51,317.38,311.4375,305.45500000000004,297.08500000000004,278.785,305.9,308.08,295.055,,
2006-10-31 22:15:04+00:00,277.10833333333335,269.74666666666667,273.0516666666667,268.895,262.09166666666664,267.5683333333333,267.52000000000004,269.255,267.56333333333333,264.94,266.01500000000004,254.12333333333333,255.16333333333333,257.22166666666664,268.3283333333333,271.2366666666667,274.8866666666667,282.46999999999997,287.22666666666663,282.36,262.77333333333337,248.605,290.1466666666667,298.59166666666664,302.14,300.21799999999996,302.49833333333333,312.16,312.6775,311.0,310.75,305.415,303.25,,311.13,312.115,309.75,312.52,318.505,312.12333333333333,305.36666666666673,290.56,251.52,,306.04499999999996,291.11,,229.36
