dates,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020
2014-11-15 22:13:37+00:00,283.165,298.0083333333333,286.22666666666663,272.8566666666667,271.445,268.856,260.26,263.558,256.896,265.936,264.9016666666667,269.40166666666664,272.0416666666667,305.784,304.654,292.9866666666667,299.26666666666665,303.885,303.645,286.392,306.95
2014-11-22 22:19:45+00:00,283.64714285714285,298.35714285714283,286.00142857142856,272.57000000000005,271.95714285714286,271.17833333333334,264.072,264.77,260.5416666666667,269.21166666666664,268.8757142857143,272.7371428571428,273.81,307.65333333333336,305.43,296.17428571428576,301.79857142857145,303.885,306.2528571428571,291.5883333333333,310.1925
2015-01-25 22:19:32+00:00,286.68857142857144,299.92571428571426,287.3342857142857,274.70714285714286,274.4885714285714,274.295,268.646,268.2966666666667,264.49499999999995,274.24499999999995,282.67,282.165,281.11333333333334,304.7242857142857,302.8,305.735,311.46,318.71,314.7416666666667,307.54799999999994,306.706
2015-02-19 22:13:13+00:00,286.68857142857144,303.26374999999996,289.80375,278.01,276.74875,278.53714285714284,273.54333333333335,271.98857142857145,264.49499999999995,274.24499999999995,282.67,286.92285714285714,281.11333333333334,304.7242857142857,306.28,312.57428571428574,316.7657142857143,318.71,314.7416666666667,307.54799999999994,306.706
2015-02-26 22:19:22+00:00,288.10125,303.0433333333333,289.4166666666667,276.80111111111114,279.04999999999995,281.0775,272.55285714285714,275.5725,264.49499999999995,278.0828571428571,285.8014285714286,286.01625,284.53285714285715,304.7242857142857,309.9577777777778,316.05625,319.24,322.658,315.58,307.54799999999994,304.97
2015-03-14 22:19:11+00:00,290.04375,303.89,290.4811111111111,280.3811111111111,283.97777777777776,285.43875,278.2371428571428,281.0725,266.668,281.0333333333333,287.945,288.23285714285714,292.10714285714283,307.15333333333336,313.8977777777778,321.115,322.935,329.164,318.9771428571429,311.51,310.024
2015-04-15 22:18:58+00:00,293.62333333333333,305.50857142857143,293.56624999999997,281.68428571428575,287.45142857142855,288.25428571428574,280.3283333333333,283.74142857142857,262.78999999999996,284.81,287.40500000000003,290.695,292.986,307.50250000000005,315.9157142857143,323.6516666666667,327.34166666666664,337.0925,322.8216666666667,317.2366666666666,314.285
2015-05-26 22:12:28+00:00,284.4925,299.99799999999993,290.15333333333336,275.468,281.034,282.14,273.634,288.27500000000003,237.8,281.55,289.2300000000001,277.9875,288.0,277.19,320.4375,331.25000000000006,314.412,313.28666666666663,301.16499999999996,280.36,294.5250000000001
2015-09-06 22:19:26+00:00,277.80499999999995,289.0999999999999,289.82000000000005,272.71000000000004,276.195,272.645,271.39,301.57,224.75,,,243.99,270.90333333333336,253.59500000000003,324.71,336.56,287.06666666666666,289.90666666666664,288.16333333333336,267.71500000000003,
2016-01-05 22:13:29+00:00,287.42,296.85,281.12,266.73,264.35,264.03,262.14,254.95,248.88,258.24,273.83,258.16499999999996,252.99000000000007,264.695,290.19,299.87,282.06,283.31,285.65,283.765,301.73
