dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
2002-07-01 22:00:15.186000,L7,243.66,201.86,170.73,242.77,266.51,266.59,268.15,332.97,327.05,325.61,379.69,349.16,345.64,324.66,350.76,354.96,136.61,73.11,348.49,350.08,342.01,119.07,,,361.77,374.86,369.10,361.28,362.49,358.83,335.36,332.90,332.35,337.34,330.43,340.40,395.34,357.60,108.56,140.20,158.91,175.85,291.27,,,,,,,,,,,,,,,,
2002-07-17 22:00:08.747000,L7,,,350.53,239.63,264.63,264.61,264.95,256.19,236.33,363.37,359.90,359.20,366.07,392.50,365.92,81.84,148.30,86.95,86.89,117.23,122.01,131.58,,367.17,371.18,351.11,378.78,378.22,368.97,382.66,416.65,386.71,378.70,379.42,367.44,398.01,372.49,368.39,125.51,152.01,229.30,178.03,192.32,199.30,,,,,,,,,,,,373.67,338.00,344.49,310.11
2002-08-02 22:00:01.321000,L7,259.37,211.92,,355.69,411.33,358.60,320.19,332.48,369.92,304.01,,136.27,90.98,,,,,,,,,,,,,,,,,,,,,,,,,,,135.96,146.84,171.18,177.02,192.67,,,,,,,,,,,,,,,
2002-09-19 21:59:35.083000,L7,,,,,,,,340.45,336.23,339.81,,,348.65,345.04,354.06,362.34,356.87,,,,,,,347.55,339.40,361.78,,368.50,376.03,336.80,365.02,,,,,,,,,,207.19,205.39,279.03,113.30,143.99,169.47,137.83,83.22,92.86,,,,,,,,,304.04,339.48
2002-10-21 21:59:36.443000,L7,332.28,331.21,341.90,316.56,315.37,314.77,307.52,306.40,179.35,149.66,111.70,73.94,38.50,,,378.86,364.13,358.80,360.99,361.56,355.60,355.61,356.37,374.89,372.48,367.10,367.41,365.49,355.52,350.93,355.70,357.21,356.13,354.79,355.99,354.53,355.06,353.56,353.78,350.41,352.07,353.10,348.77,352.11,350.04,350.75,351.32,352.16,351.71,354.78,355.28,355.36,345.48,340.45,337.50,345.27,380.36,,
2002-11-06 21:59:41.879000,L7,359.21,359.57,349.57,338.39,337.43,336.25,332.02,325.74,324.44,325.31,329.06,329.24,342.96,338.95,339.87,341.91,342.79,339.66,338.72,336.90,341.91,338.41,338.86,343.09,355.45,356.57,353.08,353.88,347.64,349.22,349.59,348.55,347.35,343.91,346.37,349.96,349.69,350.26,348.49,347.74,343.52,341.89,340.40,346.34,342.49,349.50,410.84,404.82,346.06,348.62,316.35,338.80,379.63,,,,386.74,308.45,304.83
2002-12-24 22:00:09.147000,L7,374.39,325.01,355.02,323.13,344.02,341.58,338.77,326.52,322.81,339.90,330.37,356.62,349.70,343.52,329.95,322.97,287.78,,,401.02,330.92,333.00,337.29,340.50,345.39,343.96,351.51,340.67,,,,355.43,354.32,357.71,,,354.89,334.40,101.36,121.01,151.69,155.63,173.48,,,,,,,,,,,,,,,,
2003-01-25 22:00:18.779000,L7,367.91,353.29,322.23,319.58,358.22,374.09,374.85,,319.23,338.87,303.57,307.58,306.04,311.38,310.83,313.83,317.15,321.84,383.62,337.46,325.85,327.48,331.26,332.17,393.93,398.42,399.34,389.83,365.75,411.84,409.59,360.10,359.16,360.18,387.43,382.88,398.09,375.17,368.12,354.09,348.67,357.63,368.84,359.66,369.35,361.04,369.89,363.10,372.80,359.46,357.67,359.81,349.78,347.21,338.78,342.14,328.92,320.60,327.15
2003-03-30 22:00:31.029000,L7,261.38,367.36,335.09,373.30,230.68,158.95,,302.96,258.19,275.25,393.59,395.98,352.19,351.73,385.17,386.65,398.78,393.68,391.87,413.13,380.98,95.10,,,,,,,,,,,339.69,331.89,335.66,384.92,421.71,,,,411.69,357.01,406.98,416.00,380.33,372.99,395.13,,294.87,428.46,406.11,,,,,,,,
2003-08-13 21:48:45.123000,L5,,,,,,,,,,,,,,,128.78,169.68,,,,,,,,,,,,,,,,,,,,,,,,,,245.72,190.00,212.58,237.84,199.79,,,,,,,,,,,,,
2003-09-14 21:49:18.766000,L5,,,,,256.43,268.32,264.89,256.12,,,,,,,,,143.42,101.19,93.81,97.43,105.25,105.53,,,,,,,,,,,,,,,,,,,124.08,141.61,156.25,173.24,,,,,,,,,,,,,,,
2003-09-30 21:49:30.432000,L5,,,,,,,,,,,,,,152.09,124.32,150.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-17 21:50:09.452000,L5,,,,,,,,208.26,216.01,217.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.10,146.59,165.32,170.17,,,,,,,,,,,,,,,
2004-07-30 21:54:28.143000,L5,,,,,272.83,285.24,280.33,180.25,189.60,144.17,142.14,121.65,66.49,46.17,,,128.37,89.43,79.77,95.33,104.60,103.56,,,,,,,,,,,,,,,,,,,134.26,142.05,155.11,173.47,,,313.36,317.53,318.20,311.71,320.17,316.05,307.54,301.90,297.18,314.53,308.91,293.27,289.38
2004-09-16 21:55:41.721000,L5,,,,,,,,,,,,,,144.70,109.10,133.56,,,,,,,,,,,,,,,,,,,,,,,,,,91.65,117.63,239.69,156.85,172.90,157.63,87.53,108.83,,,,,,,,,,
2004-10-18 21:56:23.891000,L5,,,,,293.03,281.73,172.30,196.84,206.54,180.25,133.50,128.26,72.55,50.56,,,,,,,,,,,,311.98,317.70,319.10,302.30,323.51,323.60,323.87,298.67,323.16,324.97,303.06,,,,,,311.53,319.10,318.38,318.98,309.22,323.54,325.67,322.53,321.10,325.36,310.08,306.58,294.73,,,,,
2004-11-03 21:56:42.977000,L5,,,,,277.77,276.93,267.33,257.43,117.34,120.66,190.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.93,136.96,161.53,164.55,,,312.38,313.09,311.57,308.94,316.88,311.00,294.08,,,,,,
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.14,334.59,341.59,318.57,323.12,303.80,297.06,313.63,276.26,,
2005-01-22 21:58:02.481000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.24,174.83,189.95,,,,,,,,,,,,,,,
2005-02-23 21:58:31.621000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.12,272.78,276.81,,,,,,,,,,,,,,,
2005-03-11 21:58:44.158000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.45,117.68,210.48,203.75,,,,,,,,,,,,,,
2005-03-27 21:58:51.619000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.56,259.81,214.64,,,,,,,,,,,,,,,
