dates,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058,satname
2005-03-11 21:58:44+00:00,,,,,,,,,,,,,,,,,,261.64000000000004,234.84666666666666,239.89666666666668,228.85333333333335,184.61,207.875,190.35333333333332,231.09,281.6225,283.9225,226.1675,272.6,277.4733333333333,263.07666666666665,274.7633333333334,,287.3666666666666,298.7133333333333,,,292.68,,,194.525,291.1433333333334,288.2766666666667,293.2233333333333,275.9425,275.6975,302.1025,298.41999999999996,298.505,304.5075,305.7425,302.1475,294.90999999999997,283.6,277.77750000000003,300.18333333333334,282.28,283.985,273.34,L5
2005-07-17 21:59:35+00:00,,,,,,,,,,,,,,,,,,256.055,226.32999999999998,241.115,238.965,207.345,211.635,207.07,233.79666666666665,287.93333333333334,284.95,209.61666666666667,267.565,244.33499999999998,267.27,262.34000000000003,,263.65,299.42499999999995,,,300.86,,,195.425,298.78499999999997,292.99,287.07,259.1333333333333,273.45000000000005,298.07,293.50666666666666,292.04,300.19666666666666,304.56333333333333,305.51666666666665,299.71333333333337,289.2033333333333,282.26,304.35333333333335,287.69,289.43,277.2833333333333,L5
2006-05-17 22:03:57+00:00,,,,,,,,,,,,,,,,,,236.29,228.69,235.8,213.47,191.2,,,,,,,,,,,,,299.76,,,,,,183.58,295.39,285.69,283.39,,270.02,300.37,302.38,302.14,304.44,305.1,303.89,298.3,286.6,283.56,304.3,285.45,283.28,280.06,L5
2006-08-21 22:05:19+00:00,,,,,294.94,297.34,303.2,291.16,291.05,273.28,,,275.34,,265.78,283.97,,236.29,228.69,235.8,213.47,191.2,,,,323.46,324.13,,,319.05,,,314.74,,316.54499999999996,321.27,311.8,333.28,332.42,332.95,183.58,314.11,285.69,301.34000000000003,,292.41999999999996,317.565,314.54499999999996,314.19,319.925,319.8,317.94,313.03,299.48,300.19,315.65999999999997,301.4,298.27,290.34000000000003,L5
2006-12-11 22:06:52+00:00,,,,,294.94,297.34,301.565,291.16,291.05,273.28,,,275.34,,265.78,283.97,,,247.22,274.67,210.12,,,,243.43,323.46,324.13,,,319.05,,,314.74,,333.33,321.27,311.8,333.28,332.42,332.95,,332.83,,319.29,,314.82,334.76,326.71,326.24,335.41,334.5,331.99,327.76,312.36,316.82,327.02,317.35,313.26,300.62,L5
2009-02-02 21:57:22+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.04,,,,268.61,278.02,298.07,292.73,284.99,301.69,308.35,300.96,296.98,285.6,282.95,302.03,280.08,275.34,269.27,L5
2010-02-21 22:02:44+00:00,,,,,,,,,,,,,,,,,,,,,174.25,183.44,193.26,190.4,204.8,259.95,,,,,,,,,,,,,,,193.27,,,,,266.67,286.86,284.73,271.75,293.09,301.6,302.81,298.59,289.23,281.25,298.67,278.22,276.49,263.94,L5
2011-01-07 22:01:44+00:00,,,,,,,,,,,,,,,,,,216.24,231.17,200.64,178.62,192.84,204.71,203.26,229.28,278.56,297.61,254.15,,284.7,247.31,,,281.78,306.63,,,,,,202.98,309.14,296.49,289.32,297.94,289.71,302.34,304.45,296.6,307.09,312.74,307.57,300.97,296.42,293.54,307.21,298.54,292.76,286.39,L5
2011-03-12 22:01:43+00:00,,,,,,,,,,,,,,,259.46,,,216.24,249.175,219.91,193.115,205.22,216.86,203.26,242.61,286.405,302.38,273.34,294.97,295.71500000000003,270.615,301.72,292.69,292.95,310.31,298.11,300.86,314.03,296.64,308.28,255.28499999999997,312.24,302.745,296.405,301.68,298.86,308.29999999999995,304.45,296.6,307.09,312.74,307.57,300.97,296.42,293.54,307.21,298.54,292.76,286.39,L5
2011-04-13 22:01:34+00:00,,,,,,,,,,,,,,,259.46,,,216.24,249.175,219.91,193.115,205.22,216.86,203.26,242.61,286.405,302.38,273.34,294.97,295.71500000000003,270.615,301.72,292.69,292.95,310.31,298.11,300.86,314.03,296.64,308.28,255.28499999999997,312.24,302.745,296.405,301.68,288.6033333333333,303.53,300.02,295.07000000000005,302.595,308.28499999999997,307.125,298.88,289.72,287.81,304.245,291.22,286.01,281.84000000000003,L5
2013-04-11 22:07:51+00:00,,,,,306.24,,329.79,303.76,,,,,268.74,,275.8,279.83,,253.79,251.16,191.85,,241.85,272.64,202.04,247.39,288.37,295.63,238.2,293.85,290.39,288.13,279.08,295.84,295.53,299.36,293.95,294.13,294.51,293.52,296.33,297.1,294.78,291.65,291.57,291.19,292.52,299.07,296.58,291.48,297.71,297.97,290.88,284.24,278.65,281.96,285.68,252.6,266.48,261.95,L8
2013-06-05 22:13:51+00:00,,,,329.16,318.82500000000005,336.1,330.345,312.91499999999996,316.4,,,317.06,268.74,327.66,275.8,297.23,339.7,253.79,232.89999999999998,184.51,,241.85,272.64,200.07999999999998,247.445,283.74,294.47,235.155,292.35,289.83,286.78,276.7,293.94,281.945,297.915,293.155,293.19,294.21500000000003,294.08,296.245,297.37,294.42999999999995,291.775,290.9,289.90999999999997,292.35,297.82,295.55499999999995,289.53,297.17499999999995,297.52,291.03499999999997,284.975,279.575,283.17999999999995,289.70000000000005,266.74,268.58500000000004,265.395,L8
2013-06-21 22:13:43+00:00,,,,295.55,293.24,336.1,308.8333333333333,312.91499999999996,316.4,,335.75,251.12,265.53,287.885,275.8,297.23,341.2,252.97,226.76999999999998,184.59333333333333,,241.85,269.97,202.30666666666664,247.22,284.34,294.28,235.46,291.3066666666667,289.6166666666666,277.68,272.76666666666665,293.7266666666667,280.8966666666667,296.21333333333337,292.3566666666666,291.64000000000004,293.9866666666667,292.89,295.8566666666666,297.19666666666666,294.31333333333333,291.78999999999996,290.91333333333336,289.59999999999997,291.44,297.5933333333333,295.70666666666665,289.49333333333334,297.10999999999996,297.4266666666667,291.12,283.82666666666665,279.78666666666663,284.2733333333333,291.33666666666664,262.11,270.11333333333334,267.3766666666666,L8
2013-07-07 22:13:48+00:00,,,,283.96,280.7575,303.375,297.77,312.91499999999996,316.4,,335.75,230.70666666666668,264.02666666666664,275.14000000000004,275.8,297.23,341.2,252.97,226.76999999999998,184.59333333333333,,241.85,269.97,202.30666666666664,247.22,284.34,294.365,235.6625,291.11,289.655,273.27250000000004,270.515,293.5875,278.625,296.21333333333337,292.3566666666666,291.64000000000004,294.1075,293.3425,295.705,297.44,294.12,292.22749999999996,290.9975,289.33500000000004,291.265,297.505,295.7625,289.3925,297.05,297.2875,291.265,283.655,279.47749999999996,286.1525,292.355,263.38,270.7,268.075,L8
2013-10-11 22:13:41+00:00,,,,280.505,265.075,291.5133333333333,287.09666666666664,322.07,316.4,,335.75,220.19,257.9433333333333,267.3175,,314.63,341.2,252.64,213.75,183.36333333333332,,,267.3,198.13333333333335,247.20666666666668,282.26666666666665,293.2775,233.985,289.96000000000004,288.8125,263.40250000000003,265.19,291.73,275.74,294.5833333333333,291.04999999999995,289.25666666666666,293.18,292.3825,295.08000000000004,296.975,293.6225,291.40250000000003,289.7925,288.0825,290.62,296.7375,295.19,288.35249999999996,296.745,296.8625,291.52,284.03749999999997,279.65,286.905,293.915,270.7875,272.0,269.91499999999996,L8
2013-12-14 22:13:21+00:00,,,,254.515,238.42499999999998,269.21999999999997,264.1366666666666,,,,335.75,190.16250000000002,256.94,247.79749999999999,242.74,271.96,342.7,252.53666666666666,211.59333333333333,186.01,,,267.3,198.14000000000004,247.06,283.84499999999997,294.0175,234.295,290.19,288.8825,264.025,254.8125,291.935,281.2375,294.8866666666667,291.24333333333334,288.55,293.185,291.6375,295.16499999999996,296.9125,293.9975,291.2,289.6725,288.295,290.4225,297.335,295.5725,288.44,296.7325,297.055,291.7775,284.04499999999996,279.78249999999997,286.7875,293.3825,270.245,272.0925,270.25,L8
2014-01-31 22:12:52+00:00,,,,247.67000000000002,234.16,267.79,262.02,,,,312.09,191.88333333333333,254.53333333333333,247.40666666666667,245.16500000000002,277.74,,264.27333333333337,212.29666666666665,187.57000000000002,,,273.25,189.46,248.89,286.04499999999996,295.25333333333333,233.22333333333336,291.87333333333333,289.3766666666666,275.71000000000004,256.94666666666666,292.3433333333333,289.9666666666667,296.69000000000005,292.8533333333333,290.75,293.71666666666664,292.06,296.17,298.32666666666665,295.2966666666666,291.04333333333335,289.87666666666667,287.98,291.21333333333337,298.11999999999995,295.09,287.0166666666667,296.81,297.5633333333333,291.1266666666666,285.3833333333334,279.92,283.0366666666667,290.37666666666667,270.6933333333333,270.78000000000003,270.51666666666665,L8
2014-03-20 22:12:13+00:00,,,,247.67000000000002,234.16,267.79,262.02,,,,312.09,191.88333333333333,254.53333333333333,247.40666666666667,245.16500000000002,277.74,,264.27333333333337,212.29666666666665,187.57000000000002,,,273.25,189.23666666666668,242.9,277.93,294.16499999999996,232.205,289.5525,288.89,275.71000000000004,260.055,292.04,289.5975,295.7325,291.97,290.1725,292.305,291.13,295.69,297.85,294.4575,290.4325,289.92,287.3825,290.31,297.4925,294.855,286.935,296.205,296.41749999999996,290.06,284.255,279.92,283.0366666666667,290.37666666666667,270.6933333333333,270.78000000000003,270.51666666666665,L8
2014-04-05 22:11:58+00:00,,,,247.67000000000002,234.16,267.79,262.02,,,,312.09,191.88333333333333,254.53333333333333,247.40666666666667,245.16500000000002,277.74,,264.27333333333337,212.29666666666665,187.57000000000002,,,273.25,189.23666666666668,240.2775,273.2375,292.394,232.205,288.26599999999996,287.84,275.71000000000004,260.54200000000003,291.39,285.036,295.45200000000006,291.97,289.67,291.462,291.07,295.69,292.81600000000003,294.4575,289.808,289.498,286.944,289.942,296.49,294.14,286.098,295.714,295.55,289.446,283.608,278.22499999999997,280.8525,287.505,264.7525,268.40500000000003,267.1275,L8
2014-04-21 22:11:42+00:00,,,,225.2,224.81,270.49,264.88,,,,312.09,191.58333333333334,258.8333333333333,250.9466666666667,246.04666666666665,277.8233333333333,,266.16333333333336,213.97,185.2166666666667,,,273.25,193.15333333333334,240.4175,276.1325,293.544,231.27,289.18600000000004,288.748,288.55,264.932,292.722,287.994,295.826,292.9875,291.428,292.56399999999996,292.36800000000005,296.755,293.71000000000004,295.3375,291.10200000000003,290.586,287.62,290.32,296.85,294.406,286.314,296.148,295.98999999999995,289.246,283.358,279.405,280.02250000000004,286.8925,264.91499999999996,268.195,266.6275,L8
2015-04-24 22:11:08+00:00,,,,238.79,199.82,264.55,261.33,,,,,,,,,,,,,,,,,201.13,243.64,260.82,288.94,228.11,282.63,282.38,259.28,265.25,288.47,,,254.04,,288.16,292.03,294.35,295.32,292.93,289.12,287.61,285.54,290.33,293.62,291.91,286.15,294.83,295.04,289.94,284.49,277.8,276.13,280.13,252.29,266.37,262.73,L8
2015-05-10 22:10:52+00:00,,,,238.79,199.82,264.55,261.33,,,,,186.34,249.62,247.85,,269.73,,255.52,210.34,,,,,201.1,245.595,270.32,291.12,229.62,283.745,283.41999999999996,268.965,247.385,290.35,284.15,298.66,273.295,289.02,289.845,293.05999999999995,295.0,295.66499999999996,293.67,289.27,288.46000000000004,286.28499999999997,290.05499999999995,295.375,292.545,286.05499999999995,294.61,295.83000000000004,290.5,284.745,278.505,276.66999999999996,281.475,252.515,267.3,262.73,L8
2015-07-29 22:11:25+00:00,,,,248.305,212.78,265.77,262.2,,,,,187.775,250.485,247.85,,269.73,,255.52,210.34,,,,,201.1,245.595,270.32,291.5366666666667,231.09,283.90000000000003,283.57,268.1766666666667,256.23,291.16333333333336,277.78,296.06500000000005,278.99,287.935,290.3533333333333,292.0,294.84,295.2366666666667,293.6933333333333,289.29333333333335,288.93,286.34,289.4733333333333,295.44,293.03000000000003,285.5833333333333,294.36999999999995,295.93666666666667,290.52666666666664,283.7966666666667,278.82666666666665,277.77,281.34,252.4466666666667,267.7766666666667,263.12,L8
2016-03-09 22:11:40+00:00,,,,,,,,,,,,,,,,,,,205.95,169.21,,,,,,,,,,,,,284.35,262.53,292.36,,,,288.85,293.17,294.98,292.32,287.57,287.91,286.57,288.2,294.0,290.75,285.94,292.05,294.21,288.71,282.07,276.99,277.9,276.46,239.8,258.84,258.84,L8
2016-03-25 22:11:32+00:00,,,,,,,,,,,,,265.89,259.44,260.89,271.78,,256.98,215.16,187.63,,,265.34,214.53,246.17,261.75,289.71,232.85,278.19,283.95,267.69,265.08,289.135,276.09,296.39,295.26,290.74,292.15,292.84000000000003,295.245,297.145,294.40999999999997,290.35,289.855,287.255,290.56,295.53499999999997,292.28999999999996,288.3,295.21500000000003,296.76,291.17999999999995,285.765,280.5,281.02,281.825,246.51,267.495,263.92499999999995,L8
2016-04-26 22:11:21+00:00,,,,,,,,,,,,,265.89,259.44,260.89,271.78,,253.04500000000002,213.42333333333332,184.6833333333333,,,265.34,209.61,239.58999999999997,259.995,288.585,229.945,277.225,282.405,241.54500000000002,265.395,289.9766666666667,273.4433333333333,295.87,295.26,288.71000000000004,289.27,292.12,294.94,296.25333333333333,293.92,290.3333333333333,289.31666666666666,287.05,290.5833333333333,295.4433333333333,292.15000000000003,288.23333333333335,295.10999999999996,296.19,290.74666666666667,285.34999999999997,280.0133333333333,279.91333333333336,281.55,247.32333333333335,266.84666666666664,263.57,L8
2016-05-12 22:11:20+00:00,,,368.08,262.09,196.74,270.72,264.79,,,,,185.04,262.84000000000003,254.81,260.89,271.78,,252.92666666666665,214.0975,184.9575,,,265.34,208.26333333333332,241.3033333333333,261.78000000000003,289.51666666666665,230.76999999999998,279.8,282.5,245.78333333333333,267.2133333333333,291.235,273.54249999999996,295.4325,293.645,289.84666666666664,289.25666666666666,291.7625,295.055,296.51250000000005,293.66499999999996,290.6875,289.6,286.72249999999997,290.5875,295.4375,292.44,287.4525,295.295,296.2025,290.6625,285.1475,280.2675,280.0025,282.1175,248.5675,267.58,264.6925,L8
2016-06-13 22:11:30+00:00,,,368.08,262.09,196.74,270.72,264.79,,,,,185.04,262.84000000000003,254.81,260.89,271.78,,252.92666666666665,214.0975,184.9575,,,265.34,208.26333333333332,241.3033333333333,261.78000000000003,289.51666666666665,230.76999999999998,274.585,282.5,245.78333333333333,267.2133333333333,291.235,273.54249999999996,295.4325,293.645,289.84666666666664,289.25666666666666,291.7625,295.055,296.51250000000005,293.66499999999996,284.934,284.12800000000004,285.68199999999996,288.302,294.1,290.258,283.12600000000003,293.78000000000003,294.698,289.628,283.704,278.52200000000005,278.674,280.654,248.538,266.28,263.74,L8
2016-07-15 22:11:46+00:00,,,368.08,263.245,216.905,271.535,264.96500000000003,,,256.16,,185.04,262.84000000000003,255.00666666666666,260.2,271.73,,253.305,214.458,187.54000000000002,,,265.34,208.765,242.39749999999998,265.62,290.1,230.95749999999998,276.102,282.85,253.8125,267.27,291.738,277.01,296.216,292.9733333333333,290.8025,290.05,293.01800000000003,295.498,297.084,294.118,286.49333333333334,285.44,286.1166666666667,288.94,294.6666666666667,290.70666666666665,283.91,294.0183333333334,295.0683333333333,290.2316666666666,284.615,279.0516666666667,280.05,282.315,254.37166666666667,267.4733333333333,264.7733333333333,L8
