dates,satname,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0009,nzd0019-0010,nzd0019-0011
2021-03-30 22:17:22.624000,L8,391.15,365.66,365.02,364.01,383.21,377.09,,,,,,
2021-04-15 22:17:16.883000,L8,388.31,363.35,361.92,363.46,341.68,378.30,,,,,,
2021-05-01 22:17:07.841000,L8,389.21,363.69,365.37,364.00,343.53,384.08,,,,,,
2021-05-17 22:17:12.707000,L8,389.89,365.77,364.37,363.09,382.83,378.64,,,,,,
2021-05-26 22:11:07.110000,L8,377.11,338.43,324.93,339.19,336.23,363.40,,,,,,
2021-07-04 22:17:29.944000,L8,401.26,368.28,367.24,364.57,384.42,387.20,363.75,327.73,366.94,364.07,,343.12
2021-10-24 22:18:01.850000,L8,390.25,362.28,358.73,351.29,340.03,340.20,,,,,,
2021-11-25 22:17:57.047000,L8,398.72,369.22,366.04,379.57,387.15,358.24,379.30,375.27,373.03,370.90,363.28,362.77
2021-12-19 22:17:52.616000,L9,387.99,361.06,361.13,346.71,335.87,334.14,,,,,,
2022-02-21 22:17:43.336000,L9,390.81,365.21,363.62,361.29,352.58,346.14,,,,,,
2022-04-18 22:17:25.504000,L8,402.78,379.73,382.49,377.31,391.40,397.50,388.76,377.36,371.51,374.12,370.99,413.43
2022-05-04 22:17:26.026000,L8,384.52,356.46,334.46,330.26,321.67,,,,,,,
2022-05-12 22:17:13.223000,L9,392.72,364.99,365.05,366.21,384.40,362.21,,,,,,
2022-06-05 22:17:39.656000,L8,397.36,368.59,366.36,366.18,384.50,385.27,,,,,,
2022-06-13 22:17:12.050000,L9,401.44,367.82,366.12,364.23,383.97,383.55,,,,,,
2022-06-14 22:11:35.206000,L8,378.24,342.15,339.06,341.77,365.60,368.43,,,,,,349.82
2022-06-21 22:17:48.970000,L8,403.74,370.02,366.79,364.63,385.37,386.68,368.64,371.04,366.03,,,
2022-07-15 22:17:24.696000,L9,380.35,343.84,301.92,312.03,,,,,,,,
2022-07-31 22:17:39.593000,L9,402.13,361.30,358.57,354.40,356.32,373.51,,,,,,
2022-08-09 22:11:34.517000,L9,384.71,337.12,333.03,339.64,360.82,363.95,,,,,,
2022-08-25 22:11:39.043000,L9,386.56,334.14,310.56,320.83,327.44,331.87,,,,,,
2022-09-09 22:18:11.619000,L8,398.10,361.19,358.21,354.08,340.75,338.92,,,,,,
2022-09-17 22:17:54.625000,L9,395.42,361.24,359.86,356.04,349.82,346.21,,,,,,
2022-10-19 22:18:03.080000,L9,396.20,365.09,362.00,361.66,379.73,378.64,,,,,,
2022-11-04 22:18:00.514000,L9,394.00,360.19,346.99,331.72,324.48,324.27,,,,,,
2022-11-12 22:18:10.437000,L8,378.19,344.73,307.53,315.59,306.59,,,,,,,
2022-12-22 22:17:59.519000,L9,396.71,363.90,359.82,359.26,357.10,347.89,,,,,,
2023-01-15 22:17:53.980000,L8,385.74,354.14,333.60,330.92,325.94,,,,,,,
2023-01-31 22:17:58.841000,L8,391.67,357.09,352.87,353.31,341.00,338.34,,,,,,
2023-02-08 22:18:06.517000,L9,395.35,360.54,360.29,352.99,340.97,344.73,,,,,,
2023-02-16 22:17:50.035000,L8,392.52,361.37,354.08,354.24,370.91,347.58,,,,,,
2023-03-04 22:17:37.574000,L8,397.04,360.37,360.01,353.81,377.66,346.57,,,,,,
2023-03-28 22:17:33.498000,L9,394.88,359.99,359.48,356.65,377.81,348.50,,,,,,
2023-04-13 22:17:27.047000,L9,400.86,363.62,358.78,360.02,380.42,381.23,,,,,,
2023-05-15 22:17:12.111000,L9,402.39,367.21,357.99,360.35,380.39,382.75,,,,,,344.12
2023-05-23 22:16:53.942000,L8,396.77,361.34,360.07,352.66,349.00,344.60,,,,,,
2023-05-31 22:17:04.101000,L9,404.45,366.55,361.52,357.99,380.41,378.97,,,,,,341.01
2023-06-08 22:17:00.359000,L8,400.57,365.28,362.25,355.81,378.34,374.69,,,,,,
2023-07-02 22:17:05.775000,L9,385.52,344.17,306.14,,,,,,,,,
2023-07-10 22:17:17.518000,L8,384.54,348.28,313.30,317.56,304.39,,,,,,,
2023-07-11 22:11:00.406000,L9,398.45,338.91,329.88,337.61,351.31,361.37,,,,,,
2023-07-18 22:17:12.131000,L9,406.84,371.38,367.43,370.94,384.36,380.68,371.64,365.42,363.15,363.82,358.05,348.15
2023-09-20 22:17:40.026000,L9,393.59,359.85,357.41,355.92,377.96,372.38,,,,,,
2023-09-28 22:17:43.092000,L8,399.40,365.65,363.31,358.47,380.58,375.72,,,,,,
2023-10-14 22:17:45.774000,L8,392.40,357.90,355.46,353.45,342.28,343.62,,,,,,
2023-10-15 22:11:39.127000,L9,374.47,330.24,321.87,326.22,329.61,341.18,,,,,,
2023-10-22 22:17:50.479000,L9,395.09,358.03,359.46,356.66,379.97,373.58,,,,,,
