dates,nzd0160-0000,nzd0160-0001,nzd0160-0002,nzd0160-0003,nzd0160-0004,nzd0160-0005,nzd0160-0006,nzd0160-0007,satname
2017-12-02 22:05:46+00:00,293.5266666666667,293.1333333333334,324.005,259.17,297.095,282.61,255.67,287.44,L8
2017-12-18 22:05:49+00:00,287.055,286.11,323.0133333333333,262.105,282.1333333333333,281.08666666666664,255.67,289.3833333333333,L8
2018-01-19 22:05:38+00:00,269.19,268.0233333333333,321.8,263.4066666666667,268.40000000000003,276.15000000000003,,293.44,L8
2018-03-08 22:05:15+00:00,270.22,268.0233333333333,321.95,263.4066666666667,278.89,272.2225,279.16,293.44,L8
2018-04-25 22:04:50+00:00,278.104,268.0233333333333,322.51,263.4066666666667,283.986,279.342,291.19000000000005,294.75333333333333,L8
2018-05-27 22:04:28+00:00,280.86833333333334,267.52750000000003,322.37833333333333,262.1275,287.83666666666664,283.68833333333333,291.19000000000005,294.825,L8
2018-06-28 22:04:40+00:00,290.96799999999996,268.30000000000007,323.976,262.15,299.59000000000003,295.70200000000006,296.09000000000003,296.1625,L8
2018-08-31 22:05:35+00:00,290.804,266.53,323.51599999999996,261.38,307.238,296.942,296.09000000000003,297.0133333333334,L8
2018-10-02 22:05:47+00:00,294.97999999999996,267.68333333333334,323.01800000000003,261.38,306.77599999999995,305.326,298.81666666666666,296.5825,L8
2018-10-18 22:05:53+00:00,295.56,267.68333333333334,323.12333333333333,267.54,307.4033333333333,305.3433333333333,300.24,296.742,L8
2019-01-06 22:05:29+00:00,287.6566666666667,268.505,321.45666666666665,259.85666666666674,306.535,301.15250000000003,293.28666666666663,296.9166666666667,L8
2019-01-22 22:05:26+00:00,285.0975,271.2266666666667,323.14,262.0575,305.93,302.878,293.9275,297.75,L8
2019-04-12 22:05:30+00:00,290.15333333333336,296.58000000000004,325.32666666666665,271.16,306.6825,304.23,297.8325,298.3125,L8
2019-06-15 22:05:27+00:00,294.89000000000004,304.11333333333334,326.54,279.895,306.1325,305.03,297.9575,298.3275,L8
2019-07-17 22:05:59+00:00,291.28,306.02250000000004,326.1775,294.78,307.51,308.88666666666666,301.2733333333333,298.41,L8
2019-09-19 22:05:56+00:00,296.65749999999997,315.715,325.40749999999997,311.1433333333334,308.1525,307.3966666666667,303.07,296.96333333333337,L8
2019-11-22 22:06:21+00:00,290.055,314.29999999999995,324.3775,297.59666666666664,307.315,305.73,302.18,296.29333333333335,L8
2019-12-08 22:05:56+00:00,285.968,305.88199999999995,324.416,289.0175,307.315,305.14,302.18,296.4625,L8
2020-01-25 22:06:09+00:00,276.08000000000004,291.87,322.0575,275.985,305.65,303.97666666666663,300.765,295.6775,L8
2020-02-10 22:06:04+00:00,276.08000000000004,291.87,325.53599999999994,275.985,312.7,311.7125,309.9266666666667,300.37600000000003,L8
2020-09-21 22:06:18+00:00,268.38,,324.05,265.02,307.01,301.81,,,L8
2021-01-11 22:05:50+00:00,267.175,273.68,323.73,265.47,307.01,301.81,,297.46,L8
2021-04-01 22:05:48+00:00,266.24,269.47,321.87,262.235,,,,295.82,L8
2021-05-03 22:05:08+00:00,263.67,269.49666666666667,320.8833333333334,259.67333333333335,,,,283.01,L8
2021-05-19 22:05:16+00:00,275.5375,281.94,322.04,259.67333333333335,309.61,308.52,302.58,287.2025,L8
2021-07-22 22:05:36+00:00,286.41999999999996,292.91249999999997,322.6225,256.54999999999995,309.36,309.445,302.51,286.7675,L8
2021-09-24 22:05:56+00:00,288.91999999999996,296.568,322.85,256.54999999999995,307.26,307.84666666666664,302.51,288.518,L8
2021-12-05 22:06:01+00:00,292.0133333333333,311.73333333333335,325.24666666666667,,305.87333333333333,307.4066666666667,303.43,297.6466666666667,L9
2022-02-15 22:05:42+00:00,280.21,297.18333333333334,325.0,,305.07,304.8833333333333,304.42,298.33666666666664,L8
2022-02-23 22:05:44+00:00,277.2375,292.5625,324.5133333333333,265.94,305.11,303.8675,304.42,297.53,L9
2022-05-06 22:05:29+00:00,269.16499999999996,293.84749999999997,323.78999999999996,262.025,305.79333333333335,303.6066666666667,304.42,298.2,L8
2022-05-22 22:05:34+00:00,266.888,293.84749999999997,323.28999999999996,260.81333333333333,305.645,303.1925,296.95000000000005,297.3275,L8
2022-06-07 22:05:43+00:00,265.29,289.6499999999999,322.565,260.5175,305.4975,302.28,289.48,295.86999999999995,L8
2022-06-15 22:05:39+00:00,265.29,295.745,322.942,271.166,306.182,302.88199999999995,295.61,295.91999999999996,L9
2022-08-10 22:06:08+00:00,263.93666666666667,298.022,322.9783333333333,278.7583333333333,306.182,302.88199999999995,295.61,295.91999999999996,L8
2022-08-26 22:06:34+00:00,257.522,301.35,319.9583333333333,287.6616666666667,306.59499999999997,305.11,297.99333333333334,295.66333333333336,L8
2022-10-21 22:06:05+00:00,266.1166666666666,304.63800000000003,320.77,292.6471428571428,307.358,304.718,299.3325,296.135,L9
2022-11-30 22:06:11+00:00,271.088,305.20200000000006,321.62999999999994,308.9683333333333,308.34000000000003,306.656,302.77,297.115,L8
2023-02-18 22:05:50+00:00,282.7925,305.735,320.9975,321.3125,309.14,307.07,302.9975,297.34749999999997,L8
2023-03-06 22:05:38+00:00,288.895,312.9425,325.125,318.905,308.77500000000003,298.3075,303.07666666666665,296.9325,L8
2023-03-14 22:05:47+00:00,287.36,313.758,324.616,318.905,308.242,298.88800000000003,301.385,296.54200000000003,L9
2023-03-22 22:05:28+00:00,285.52500000000003,314.51,325.065,318.38199999999995,307.555,300.2316666666666,301.338,296.6116666666667,L8
2023-03-30 22:05:59+00:00,285.52500000000003,317.02,327.93142857142857,321.25333333333333,311.1414285714286,304.2557142857143,305.1766666666667,300.21999999999997,L9
2023-04-23 22:05:33+00:00,279.1166666666666,316.75999999999993,327.6642857142857,320.992,310.46000000000004,304.44,305.54200000000003,299.8614285714286,L8
2023-05-25 22:05:20+00:00,277.9085714285714,316.96125,327.1975,321.08166666666665,310.48375,304.44,305.54200000000003,299.43875,L8
