dates,nzd0249-0000,nzd0249-0001,nzd0249-0002,nzd0249-0003,nzd0249-0004,nzd0249-0005,nzd0249-0006,nzd0249-0007,nzd0249-0008,nzd0249-0009,nzd0249-0010,nzd0249-0011,nzd0249-0012,nzd0249-0013,nzd0249-0014,nzd0249-0015,satname
2006-01-20 21:44:01.121,336.9771428571429,320.524,323.65625,326.515,316.76625,302.80333333333334,336.5175,333.0275,306.68833333333333,327.95,304.0357142857143,318.57125,312.4916666666667,327.5083333333334,318.5116666666667,321.17125,L5
2006-02-21 21:44:44.561,321.78999999999996,324.716,306.3533333333333,308.1066666666667,306.255,305.4166666666667,311.56,305.52,313.4166666666667,308.01500000000004,303.33,295.42833333333334,317.32666666666665,331.68833333333333,322.09,304.0,L5
2006-04-10 21:45:17.175,327.3066666666667,332.0266666666667,309.98,311.18,306.0625,303.5675,308.4475,300.90500000000003,309.8325,303.50750000000005,300.075,296.67999999999995,318.64,334.9075,327.7475,306.4625,L5
2006-04-10 21:45:40.863,326.5125,331.47,311.678,312.93600000000004,307.28,305.68,309.566,301.324,310.056,303.538,300.38,296.34399999999994,319.552,335.374,328.276,307.974,L5
2006-04-26 21:45:56.580,331.254,335.432,317.355,318.1766666666667,313.9533333333333,313.055,315.42,301.324,310.056,309.17,306.44,302.30333333333334,325.0466666666667,340.39833333333337,332.68333333333334,313.25333333333333,L5
2006-05-12 21:46:09.770,322.8066666666667,335.432,317.355,311.3542857142857,307.57,306.9757142857143,315.42,301.324,310.056,309.17,306.44,302.30333333333334,325.0466666666667,340.39833333333337,332.68333333333334,313.25333333333333,L5
2006-06-13 21:46:13.914,320.6714285714285,331.96,317.355,310.8775,307.20124999999996,306.9725,315.42,300.76500000000004,309.06166666666667,306.9971428571429,306.44,302.30333333333334,323.36428571428576,338.93142857142857,330.60714285714283,312.45714285714286,L5
2006-06-13 21:46:37.602,323.4075,333.84285714285716,320.39428571428573,313.7988888888889,311.2322222222222,311.23,320.04,300.76500000000004,309.06166666666667,310.34000000000003,309.82428571428574,305.8542857142857,326.6075,342.05625000000003,333.035,314.9575,L5
2006-06-29 21:46:28.892,323.4075,333.84285714285716,320.39428571428573,313.7988888888889,307.816,308.122,320.04,296.2057142857143,302.8071428571429,304.5055555555556,303.60875,298.49875,320.02555555555557,342.05625000000003,333.035,314.9575,L5
2006-06-29 21:46:52.580,323.4075,333.84285714285716,320.39428571428573,313.7988888888889,305.44545454545454,305.94363636363636,320.04,293.34375,298.90999999999997,300.51800000000003,299.69666666666666,293.77555555555557,315.384,342.05625000000003,333.035,314.9575,L5
