dates,nzd0564-0000,nzd0564-0001,nzd0564-0002,nzd0564-0003,nzd0564-0004,nzd0564-0005,nzd0564-0006,nzd0564-0007,nzd0564-0008,nzd0564-0009,nzd0564-0010,nzd0564-0011,nzd0564-0012,nzd0564-0013,nzd0564-0014,nzd0564-0015,nzd0564-0016,nzd0564-0017,nzd0564-0018,nzd0564-0019,nzd0564-0020,nzd0564-0021,nzd0564-0022,nzd0564-0023,nzd0564-0024,nzd0564-0025,nzd0564-0026,nzd0564-0027,nzd0564-0028,nzd0564-0029,nzd0564-0030,nzd0564-0031,nzd0564-0032,nzd0564-0033,nzd0564-0034,nzd0564-0035,nzd0564-0036,nzd0564-0037,nzd0564-0038,nzd0564-0039,nzd0564-0040,nzd0564-0041,nzd0564-0042,nzd0564-0043,nzd0564-0044,nzd0564-0045,nzd0564-0046,nzd0564-0047,nzd0564-0048,nzd0564-0049,nzd0564-0050,satname
2001-01-03 22:03:48+00:00,215.79,213.135,212.515,208.16000000000003,213.08999999999997,204.06,206.18,213.695,210.39666666666668,213.6875,219.36666666666667,215.32000000000002,224.7,197.15333333333334,219.54666666666662,213.17999999999998,178.48,173.325,186.66,197.03400000000002,198.0675,199.87,201.22333333333333,215.39500000000004,158.495,198.59333333333333,195.4625,175.228,172.39,177.74,182.372,189.4875,185.012,188.7425,186.33800000000002,184.294,189.588,187.894,199.78666666666666,196.19333333333336,190.656,186.66,186.068,186.538,186.6275,182.574,173.535,177.71,183.035,171.16799999999998,172.262,L7
2001-02-20 22:03:24+00:00,215.79,196.63333333333333,193.16333333333333,190.41666666666666,192.36666666666665,185.6833333333333,206.18,213.695,198.29,205.43,207.6875,226.085,224.7,187.2925,219.54666666666662,226.17,174.745,161.26,178.9766666666667,194.38,189.226,213.19333333333336,214.23499999999999,215.39500000000004,150.775,209.62,185.12600000000003,171.814,168.424,175.36399999999998,179.39000000000001,180.42000000000002,181.23600000000002,179.878,180.01,179.24,184.118,181.572,199.78666666666666,209.95500000000004,185.974,183.024,181.70999999999998,183.03799999999998,183.1925,177.746,166.024,168.41,174.796,169.002,170.07999999999998,L7
2001-04-02 21:57:18+00:00,215.79,187.1525,184.1125,181.145,182.96249999999998,176.44,206.18,213.695,191.622,199.72833333333332,201.21800000000002,226.085,224.7,186.86399999999998,223.0075,226.17,175.93999999999997,162.9,175.6325,189.525,184.21833333333333,213.19333333333336,214.23499999999999,215.39500000000004,151.70333333333335,209.62,178.72500000000002,167.975,163.91,170.10833333333332,174.56333333333336,175.26833333333335,176.42999999999998,175.21,175.01,174.31000000000003,178.10333333333332,177.465,199.78666666666666,209.95500000000004,180.12666666666667,177.38,176.865,178.1916666666667,178.58800000000002,174.58,162.59666666666666,163.73,170.58,164.835,165.21666666666667,L7
2001-06-05 21:56:52+00:00,217.36,176.70666666666668,143.10000000000002,142.05,138.16,135.29,196.33,204.8,171.19333333333336,174.20666666666662,176.21333333333337,233.17,218.55,179.85750000000002,226.25,233.47,175.93999999999997,162.9,161.36666666666665,159.8766666666667,157.20666666666665,220.87,224.13,224.09,151.70333333333335,209.22,146.45000000000002,143.6866666666667,137.70666666666668,144.21666666666667,148.7166666666667,148.20666666666668,149.65999999999997,148.32666666666668,147.51666666666665,146.07000000000002,150.8133333333333,152.13999999999996,213.45,230.37,150.70666666666665,149.90999999999997,148.1533333333334,150.0566666666667,156.17333333333335,151.66666666666666,138.53666666666666,137.71333333333334,148.33,144.56333333333333,141.11999999999998,L7
2001-07-07 21:56:36+00:00,228.97,134.57000000000002,113.28000000000002,113.38999999999999,110.4675,109.01,,208.45,163.46,176.86333333333332,178.21333333333334,211.175,218.55,185.4566666666667,226.25,233.47,179.54333333333332,172.5666666666667,165.04333333333332,163.42333333333332,167.70666666666668,220.87,224.13,224.09,152.51333333333332,209.22,145.61666666666667,145.86,140.42000000000002,142.92333333333332,148.50666666666666,152.36666666666667,149.51000000000002,150.5,148.59,149.2566666666667,150.48,155.20666666666668,213.45,230.37,153.18666666666664,149.62333333333333,150.89,152.29,158.5,156.06333333333336,141.38666666666668,137.41333333333333,145.07333333333335,142.53666666666666,139.90333333333334,L7
2001-07-14 22:02:45+00:00,228.97,134.57000000000002,113.28000000000002,113.38999999999999,110.4675,109.01,,208.45,163.46,176.86333333333332,178.21333333333334,211.175,218.55,185.4566666666667,226.25,233.47,179.54333333333332,172.5666666666667,165.04333333333332,163.42333333333332,167.70666666666668,220.87,224.13,224.09,149.4975,209.22,143.53750000000002,143.5675,136.50500000000002,138.1175,145.70499999999998,147.13,144.53,150.5,148.59,141.905,151.355,151.01,213.45,230.37,150.255,145.59,145.655,147.565,155.97,157.3375,136.8775,137.41333333333333,145.07333333333335,144.0975,140.5325,L7
2001-08-15 22:01:50+00:00,223.245,114.135,101.63400000000001,103.91599999999998,100.376,99.56800000000001,,208.45,163.46,189.49,192.365,216.73666666666668,217.25,193.01500000000001,224.96,234.20499999999998,192.7625,186.5125,180.065,177.8875,179.65250000000003,216.64499999999998,218.89999999999998,220.115,161.924,207.57999999999998,155.272,153.78,148.456,150.324,157.01399999999998,159.204,157.118,164.39,162.8225,141.905,162.982,162.69,212.165,219.67000000000002,161.478,156.748,155.934,158.76999999999998,166.324,166.316,136.8775,149.51749999999998,156.465,152.8,149.314,L7
2001-09-25 21:55:40+00:00,223.245,94.47999999999999,88.394,89.396,87.474,87.76,,208.45,164.95,199.3725,203.585,214.1525,209.73000000000002,201.45,217.6775,225.12,202.1425,194.66750000000002,190.83249999999998,188.625,190.91250000000002,206.87666666666667,207.50333333333333,207.17333333333332,169.708,195.16333333333333,160.11999999999998,159.704,155.442,154.048,162.464,165.004,163.198,170.79250000000002,171.64,148.4,170.282,168.62199999999999,198.67,206.58333333333334,166.348,161.652,161.702,164.318,172.82,171.158,142.5525,155.085,162.4325,156.266,153.11,L7
2001-10-11 21:55:21+00:00,223.245,73.07,71.2525,73.4125,70.655,72.52250000000001,224.73,221.64499999999998,,218.89499999999998,213.0,214.1525,209.73000000000002,206.8833333333333,212.44000000000003,225.12,210.08,204.16333333333333,199.24333333333334,196.41666666666666,201.49,206.87666666666667,207.50333333333333,212.3125,173.745,195.16333333333333,163.47,174.1,158.96750000000003,156.6025,165.4725,181.748,178.00799999999998,187.10500000000002,190.3125,166.405,187.38400000000001,183.978,206.75,212.98,182.158,176.456,175.30599999999998,177.384,175.9825,185.656,159.7175,160.00333333333333,177.9875,170.56199999999998,165.95600000000002,L7
2001-12-30 21:55:49+00:00,212.65,73.07,70.0,71.4075,70.7625,72.59,224.73,234.84,,219.016,216.52499999999998,211.485,205.22,205.49333333333334,210.28666666666666,221.89,214.4025,208.05249999999998,202.6,201.4475,201.85,200.31333333333336,199.25,205.78499999999997,179.256,190.83333333333334,170.052,176.375,158.96750000000003,156.6025,169.26,183.69499999999996,180.82833333333335,188.53000000000003,190.542,170.726,189.05333333333337,186.06833333333336,201.96249999999998,203.865,184.68499999999997,179.16166666666666,177.15666666666667,178.68999999999997,179.132,186.93833333333336,163.592,163.915,178.142,171.88,168.145,L7
