dates,satname,nzd0279-0000,nzd0279-0001,nzd0279-0002,nzd0279-0003,nzd0279-0004,nzd0279-0005,nzd0279-0006,nzd0279-0007,nzd0279-0008,nzd0279-0009,nzd0279-0010,nzd0279-0011,nzd0279-0012,nzd0279-0013,nzd0279-0014,nzd0279-0015,nzd0279-0016,nzd0279-0017,nzd0279-0018,nzd0279-0019,nzd0279-0020,nzd0279-0021,nzd0279-0022,nzd0279-0023,nzd0279-0024,nzd0279-0025,nzd0279-0026,nzd0279-0027,nzd0279-0028,nzd0279-0029,nzd0279-0030,nzd0279-0031,nzd0279-0032,nzd0279-0033,nzd0279-0034,nzd0279-0035,nzd0279-0036,nzd0279-0037,nzd0279-0038,nzd0279-0039,nzd0279-0040,nzd0279-0041,nzd0279-0042,nzd0279-0043,nzd0279-0044,nzd0279-0045,nzd0279-0046,nzd0279-0047,nzd0279-0048,nzd0279-0049,nzd0279-0051,nzd0279-0052,nzd0279-0053,nzd0279-0054,nzd0279-0055,nzd0279-0056,nzd0279-0057,nzd0279-0058,nzd0279-0059,nzd0279-0060,nzd0279-0061,nzd0279-0062,nzd0279-0063,nzd0279-0064,nzd0279-0065,nzd0279-0066,nzd0279-0067,nzd0279-0068,nzd0279-0069,nzd0279-0070,nzd0279-0071,nzd0279-0072,nzd0279-0073,nzd0279-0074,nzd0279-0075,nzd0279-0076,nzd0279-0077,nzd0279-0078,nzd0279-0079,nzd0279-0080,nzd0279-0050
2002-11-01 21:41:54.382000,L7,385.97,382.30,373.91,381.89,384.93,391.55,397.76,403.15,420.83,425.26,433.29,420.92,437.61,421.83,,,,368.68,357.02,350.20,346.67,335.89,369.48,372.98,364.38,356.98,362.74,361.96,364.63,373.99,368.65,379.24,381.55,335.98,332.73,304.75,310.42,332.71,387.13,397.64,283.10,353.42,363.22,356.17,358.42,334.11,345.50,333.88,330.41,332.86,315.02,334.76,332.90,329.74,331.23,327.42,326.20,329.76,322.46,319.79,322.99,322.85,324.15,337.18,329.87,327.11,331.39,338.95,344.79,352.19,329.74,23.81,71.18,115.50,157.23,162.10,188.59,213.62,223.03,227.20,296.57
2002-11-17 21:42:06.289000,L7,,,,,,,,,,,,,,,,,,,,356.70,347.89,349.64,331.90,329.98,324.33,327.01,325.58,,,,,,,329.92,337.79,314.19,320.85,340.34,345.34,375.50,,358.16,379.39,382.78,374.89,359.55,364.11,370.39,363.49,342.26,348.53,342.25,346.54,342.32,338.88,344.59,,,,,,,,,,,,,,,,66.00,89.57,131.57,163.32,178.31,206.41,221.69,227.84,394.40,336.49
2003-01-20 21:42:33.373000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.85,359.52,353.82,354.85,362.93,368.68,375.22,377.09,393.62,365.04,380.30,370.21,370.85,347.88,357.88,351.98,342.29,349.66,325.60,339.45,342.52,343.61,347.32,344.29,340.61,340.39,338.70,341.70,338.45,335.76,340.03,341.66,344.35,345.74,343.15,352.69,362.11,364.82,344.66,372.04,383.66,386.91,392.71,389.73,389.05,385.66,389.18,381.35,306.79
2003-02-05 21:42:41.878000,L7,401.49,385.68,379.72,383.37,385.90,393.94,399.18,418.73,,,,,,,,,,,372.41,361.39,362.86,351.67,351.38,345.72,347.13,335.34,351.08,349.75,352.91,350.12,360.59,355.66,360.17,363.73,358.82,357.92,362.49,369.89,382.99,386.24,395.81,349.01,363.57,353.34,352.27,329.22,342.53,336.41,324.12,333.16,314.59,323.73,331.34,328.93,327.59,327.44,320.20,318.09,320.67,322.00,325.23,322.35,327.35,326.50,328.78,331.87,330.26,343.35,347.72,8.18,46.69,295.36,366.13,374.02,27.14,32.12,46.66,86.79,90.07,72.04,378.15
2003-02-21 21:42:44.547000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.05,344.94,327.93,379.77,,,363.10,330.29,363.40,360.89,367.96,373.96,396.19,391.22,399.08,381.98,,404.83,391.60,369.61,383.24,365.92,365.22,,,,,,,,356.47,362.60,354.11,,,,,,338.59,340.93,352.93,351.71,364.02,335.86,160.03,146.37,380.84,15.99,44.11,89.16,108.50,123.58,134.57,
2003-05-12 21:42:48.091000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.58,410.19,381.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.30,91.67,138.82,180.56,199.70,214.71,236.35,245.88,254.67,
2003-08-24 21:31:12.559000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.49,362.79,349.16,341.60,318.68,251.93,334.84,267.96,339.78,348.37,353.21,344.95,359.12,,,,361.50,347.78,348.66,355.17,351.96,359.74,360.29,360.46,18.82,89.80,123.26,169.77,196.59,217.03,393.29,392.44,388.48,375.87,313.74
2003-09-25 21:31:42.973000,L5,,,,,,,,,,,,,,,,,,,,,,,367.95,375.95,370.87,364.46,362.90,364.68,368.99,366.39,377.74,,,,,,,,,,,384.73,404.05,401.84,393.16,384.28,382.27,379.52,371.83,366.53,335.30,353.61,363.43,366.21,357.12,358.33,355.82,,,,,,,,,,,,,,,53.90,107.30,153.84,184.47,201.60,224.96,230.40,247.06,397.57,342.01
2003-11-28 21:32:34.027000,L5,,,,,415.85,413.46,404.32,409.33,414.59,425.92,433.39,421.71,409.52,415.46,411.24,405.18,394.35,390.21,379.18,361.24,348.14,342.80,330.61,339.90,326.97,333.22,334.12,347.91,354.54,347.46,356.61,361.66,356.90,347.54,344.86,324.84,318.61,318.20,358.98,370.13,,369.21,395.90,384.24,377.42,350.28,350.54,347.14,334.62,339.34,313.10,329.52,351.74,357.07,340.15,343.95,350.39,345.22,353.52,338.88,334.95,344.46,345.22,343.43,342.10,340.34,346.70,361.42,366.73,372.15,379.63,286.55,379.22,382.64,14.28,42.02,66.42,108.45,123.81,147.97,300.71
2003-12-14 21:32:38.364000,L5,,,,,410.91,408.64,403.33,404.23,402.93,419.42,426.43,415.60,394.93,396.81,400.46,396.38,379.66,385.73,371.86,355.49,340.15,332.84,320.24,324.18,317.24,308.38,311.16,327.51,341.21,331.24,349.79,338.86,341.57,,,,,,,,,348.33,388.72,376.39,371.24,335.08,340.38,,,,,312.47,334.53,347.23,311.11,334.47,268.83,338.63,283.41,,321.21,336.21,274.16,331.41,335.96,325.71,336.54,355.08,354.65,363.89,364.52,,129.68,371.31,11.64,37.68,61.23,98.60,118.36,138.08,
2003-12-30 21:32:48.382000,L5,,397.39,386.10,393.30,393.33,403.42,409.67,411.72,422.92,418.98,436.18,417.85,393.62,383.35,382.55,381.81,369.44,366.32,371.12,361.41,355.84,335.63,325.90,329.03,315.55,314.18,292.44,299.37,306.83,272.95,281.29,281.30,271.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.74,348.34,344.75,344.40,340.14,329.77,335.42,26.14,30.54,44.78,54.30,,,366.92,390.80,373.35,373.89,379.32,379.72,137.75,
2004-01-15 21:32:50.035000,L5,388.92,313.15,317.79,321.13,388.51,400.02,400.30,360.21,,,,,304.20,374.63,380.42,391.92,386.69,379.13,374.63,357.68,353.41,322.77,306.80,311.02,317.15,304.51,286.86,298.97,324.58,323.97,294.22,283.81,274.19,,,,,,,,,,,,,,,,,,,,,,,315.67,339.50,300.06,334.85,,334.01,327.63,329.10,328.28,326.60,317.57,328.30,330.91,,,,,,312.27,19.17,44.51,61.29,105.51,119.93,137.23,
2004-03-19 21:33:10.985000,L5,,,,,,,,,,,,,,,,,,,,,,,371.20,376.71,361.50,357.98,362.60,367.21,372.04,364.27,368.28,378.51,378.84,381.97,377.19,373.76,370.39,378.87,392.26,401.39,295.04,392.52,412.75,414.41,396.21,385.41,382.22,382.57,379.86,372.62,358.87,369.82,,,,,,,,,,,,,,,,,,,27.47,147.87,109.79,150.55,186.23,203.87,228.65,244.84,256.86,268.06,365.18
2004-05-06 21:34:22.023000,L5,,,,,,,,415.62,420.00,430.55,439.72,423.82,416.47,391.47,395.11,387.58,383.85,377.34,357.29,355.34,351.44,335.61,326.11,331.03,320.11,316.35,299.66,322.20,332.64,329.34,333.84,281.94,299.75,,,,,,,,,,,,,,,,,,,,,,319.55,342.90,346.84,339.36,343.45,326.98,337.55,345.93,339.50,336.55,335.52,337.67,339.36,348.75,357.06,355.95,,,,360.37,10.72,40.36,65.37,104.09,129.51,335.66,
2004-06-23 21:35:46.683000,L5,,406.64,401.04,405.93,407.96,400.67,407.60,413.40,410.74,426.33,434.37,421.92,394.35,407.66,394.21,388.95,388.87,378.24,372.39,356.67,342.33,331.21,326.16,335.54,340.84,328.44,306.87,319.47,320.58,272.14,328.66,337.18,273.76,340.73,,,,,,,,,,,,,355.49,338.33,329.82,307.12,261.75,307.89,337.51,345.73,296.53,238.80,342.00,338.85,334.53,317.23,339.38,347.24,338.78,338.48,338.99,327.31,326.52,328.31,348.37,279.61,,,,296.37,378.32,349.37,365.61,372.40,372.64,,
2004-07-25 21:36:37.854000,L5,396.37,381.72,361.70,366.20,361.03,364.09,353.10,389.01,369.24,379.06,,,377.44,381.92,385.41,377.00,372.78,283.83,328.85,343.15,335.20,,288.29,311.29,293.86,292.78,261.02,250.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.65,52.08,67.76,104.50,,,
2004-08-10 21:36:56.635000,L5,,,,,,,,,,,,,,,,,,,,,,,,371.81,371.94,372.88,361.14,364.24,365.12,364.06,364.64,364.97,373.37,367.48,378.71,364.99,354.47,365.59,389.78,403.75,318.66,386.56,405.70,397.20,385.46,366.93,381.92,382.74,368.85,360.95,346.24,362.75,370.89,,,,,,,,,,,,,,,,,380.23,386.49,312.66,387.08,399.72,184.31,206.95,235.11,253.02,267.32,276.32,354.68
2004-09-11 21:37:49.351000,L5,,,,,,,,,,,,,,,,,,,,,,,,376.70,370.92,362.46,350.40,357.36,362.44,365.49,362.73,365.15,375.46,373.97,374.61,360.71,354.13,361.07,382.24,393.35,295.46,372.51,400.91,397.44,385.31,368.26,374.67,379.76,366.54,361.97,345.94,348.79,356.46,364.81,348.30,351.18,357.81,348.85,355.00,,,,,,,367.16,359.76,366.65,374.23,383.16,27.56,152.43,110.27,147.19,184.10,203.16,230.01,248.06,259.79,399.77,356.00
2005-02-18 21:40:42.163000,L5,,,,,,,,,,,,,,,,,,,,,,373.69,366.59,362.27,363.81,359.36,365.01,360.06,366.05,376.28,384.09,,,,384.37,375.29,365.78,374.33,394.64,393.43,275.80,395.23,419.49,416.40,408.90,396.11,398.07,392.12,385.15,377.51,361.42,375.04,373.06,,,,,,,,,,,,,,,,,,32.52,157.12,111.56,151.80,188.33,207.82,225.69,246.76,258.28,274.26,358.37
2005-05-09 21:41:19.893000,L5,,,,,401.52,409.53,413.37,419.80,427.59,430.76,446.56,428.63,404.72,398.19,401.12,390.97,380.26,365.73,371.49,363.69,357.44,355.09,344.52,346.43,338.11,333.02,330.37,328.89,346.37,332.08,341.47,344.20,358.30,360.37,365.55,281.15,,334.82,368.56,368.58,,360.13,390.10,374.96,368.94,344.29,364.77,357.26,351.57,339.42,316.20,333.80,351.27,345.44,334.31,338.87,347.63,333.46,350.04,338.52,336.20,345.11,351.95,346.77,346.92,342.73,337.54,344.80,348.02,359.17,,,369.49,371.99,23.33,47.66,73.99,110.30,381.29,340.56,323.35
2005-05-25 21:41:28.038000,L5,,,,,402.39,411.27,418.31,417.77,425.76,412.69,430.35,426.28,390.95,410.06,395.26,388.80,385.01,366.74,362.81,366.36,359.33,345.93,336.65,327.06,317.07,319.75,306.20,333.36,330.76,330.36,349.26,347.69,360.24,361.12,358.99,327.93,320.23,324.04,364.71,369.11,,,,,,,,,,,315.81,335.96,349.75,345.25,269.82,340.46,344.57,342.28,340.47,339.18,343.04,342.61,350.85,337.74,333.16,335.45,342.61,343.34,349.54,358.33,,,,322.28,16.59,47.62,69.05,117.42,373.73,348.74,
2005-06-10 21:41:36.102000,L5,,405.88,401.53,400.74,404.02,406.27,411.94,412.60,423.53,428.81,439.27,422.16,396.76,398.87,401.26,388.69,376.30,361.82,363.67,366.44,356.63,347.61,344.30,338.73,333.46,329.46,314.34,328.78,335.55,332.32,347.96,348.62,363.16,362.76,362.53,,,,,,,,,,,,,,,,318.03,337.49,347.61,346.65,328.70,334.80,345.67,319.34,348.27,333.79,346.90,354.33,349.42,351.26,333.70,335.33,333.76,344.69,350.21,314.11,,,,360.14,384.98,319.51,253.18,381.84,380.48,313.02,
2005-06-26 21:41:40.412000,L5,,,,,409.66,410.44,418.17,421.78,424.20,434.84,431.78,445.66,424.39,421.36,410.78,405.11,387.69,386.61,379.60,366.36,365.17,362.81,357.18,360.45,362.60,356.31,359.17,351.02,360.39,360.78,361.35,363.69,370.41,365.28,367.42,355.74,357.21,370.45,387.94,395.79,292.47,392.08,413.99,407.03,380.74,368.97,392.06,379.18,364.08,359.50,353.07,,,,,,307.57,352.46,305.45,337.55,332.43,356.98,,345.34,347.08,359.76,355.37,356.87,259.33,12.95,10.52,,,,,,,,,,359.49
