dates,nzd0559-0000,nzd0559-0001,nzd0559-0002,nzd0559-0017,nzd0559-0018,nzd0559-0019,nzd0559-0020,nzd0559-0021,nzd0559-0022,nzd0559-0023,nzd0559-0024,nzd0559-0025,nzd0559-0026,nzd0559-0029,nzd0559-0030,nzd0559-0031,nzd0559-0032,nzd0559-0033,nzd0559-0034,nzd0559-0035,nzd0559-0036,nzd0559-0037,nzd0559-0038,nzd0559-0039,nzd0559-0040,nzd0559-0041,nzd0559-0042,nzd0559-0043,nzd0559-0044,nzd0559-0045,nzd0559-0046,nzd0559-0047,nzd0559-0048,nzd0559-0049,nzd0559-0050,nzd0559-0051,nzd0559-0052,nzd0559-0053,nzd0559-0054,nzd0559-0055,nzd0559-0056,nzd0559-0057,nzd0559-0058,nzd0559-0059,nzd0559-0060,nzd0559-0061,nzd0559-0073,nzd0559-0074,nzd0559-0075,nzd0559-0076,nzd0559-0077,nzd0559-0079,nzd0559-0080,nzd0559-0081,nzd0559-0082,nzd0559-0083,nzd0559-0084,nzd0559-0085,nzd0559-0086,nzd0559-0087,nzd0559-0088,nzd0559-0089,nzd0559-0090,nzd0559-0091,nzd0559-0092,nzd0559-0093,nzd0559-0094,nzd0559-0095,nzd0559-0096,nzd0559-0097,nzd0559-0098,nzd0559-0099,nzd0559-0100,nzd0559-0101,nzd0559-0102,nzd0559-0103,nzd0559-0104,nzd0559-0105,nzd0559-0106,nzd0559-0003,nzd0559-0004,nzd0559-0005,nzd0559-0006,nzd0559-0007,nzd0559-0008,nzd0559-0009,nzd0559-0010,nzd0559-0011,nzd0559-0012,nzd0559-0013,nzd0559-0014,nzd0559-0015,nzd0559-0016,nzd0559-0027,nzd0559-0028,nzd0559-0062,nzd0559-0063,nzd0559-0064,nzd0559-0065,nzd0559-0066,nzd0559-0067,nzd0559-0068,nzd0559-0069,nzd0559-0070,nzd0559-0071,nzd0559-0072,nzd0559-0078
2014-12-15 22:27:04+00:00,,,,321.97,343.87,337.11,328.63,323.16499999999996,321.83000000000004,304.065,260.53999999999996,255.17000000000002,325.76,279.85333333333335,260.26,263.05499999999995,291.7366666666667,299.00666666666666,284.9,305.83,,,,299.29,282.54,,307.36,313.01,,,,,,,,,,,236.98,,,,294.0,302.66999999999996,295.21333333333337,256.89750000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,347.78,,339.04499999999996,,,,320.89,224.3,224.718,213.45333333333335,210.77666666666664,235.77666666666664,272.6166666666667,263.57,289.575,264.5,296.54,304.33000000000004,312.145,322.505,304.895,284.394,259.9166666666667,262.7366666666667,255.21,242.75,250.04000000000002,238.685,245.7375,241.24333333333334,246.89,273.785,,,
2014-12-31 22:26:59+00:00,,,,321.97,343.87,337.11,328.63,323.16499999999996,321.83000000000004,304.065,260.53999999999996,255.17000000000002,325.76,279.85333333333335,260.26,263.05499999999995,291.7366666666667,299.00666666666666,284.9,305.83,,,,299.29,282.54,,307.36,313.01,,,,,,,,,,,236.98,,,,294.0,302.66999999999996,295.21333333333337,262.538,,,,,,,,,,,,,,,,,,,,,,,,,,,347.78,364.03,339.04499999999996,,,,326.16499999999996,224.3,224.718,213.45333333333335,210.77666666666664,235.77666666666664,272.6166666666667,263.57,289.575,264.5,296.54,304.33000000000004,312.145,322.505,304.895,284.394,259.9166666666667,260.8575,252.6157142857143,241.86999999999998,249.5716666666667,238.82333333333335,243.42,241.215,246.89,273.785,,,
2015-01-16 22:26:59+00:00,,,,,343.87,,329.35,328.06,323.97,313.63,261.51,258.3,325.76,281.845,,266.08,292.845,300.075,284.9,305.83,,,,299.29,282.54,,307.36,313.01,,,,,,,,,,,,,,,299.31,305.83,293.915,267.865,,,,,,,,,,,,,,,,,,,,,,,,,,,348.065,358.87,337.49,,,,324.63,216.51,231.03249999999997,212.87,207.83999999999997,233.79999999999995,266.66,263.79,289.28,267.25,296.79,304.72,311.01,323.99,321.31,291.73,257.89,261.486,250.26142857142855,244.12,251.57571428571427,238.82333333333335,240.16249999999997,237.75333333333333,243.60666666666665,273.785,,,
2015-03-14 22:20:23+00:00,,,,,,,,,,,,,325.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.65500000000003,278.7725,,,,,,,,,,,,,,,,,,,,,,,,,,,348.065,358.87,337.49,,,,324.63,,263.8433333333333,,,,,,,,,,,,,315.32500000000005,,262.57499999999993,246.13333333333333,242.53166666666664,245.76166666666666,241.91000000000003,240.32499999999996,242.10000000000002,249.58,278.41,,,
2015-04-06 22:26:20+00:00,,,,,,,,,,,,,325.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.0733333333333,290.835,,,,,,,,,,,,,,,,,,,,,,,,,,,348.065,358.59999999999997,337.49,,,309.48,323.6275,,262.9,,,,,,,,,,,,,333.61,,264.14,247.22571428571428,243.93428571428572,247.17142857142858,241.91000000000003,240.32499999999996,242.10000000000002,249.58,278.41,,,
2015-08-21 22:20:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.91,284.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.06,,,,309.48,320.62,,274.71500000000003,,,,,,,,,,,,,,,268.65999999999997,245.12333333333333,234.57333333333335,233.17999999999998,238.72,243.63,237.23,243.62,273.44,,,
2015-09-29 22:26:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.91,284.01,,,,,,,,,,,,,,,,,,,,,,,,,,314.08,,358.06,,282.55,,309.48,320.62,,279.91,,,,,,,,,,,,,,,268.65999999999997,252.14499999999998,242.54500000000002,241.86499999999998,238.72,243.63,237.23,243.62,273.44,,,
2015-10-24 22:20:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.23,,,,,,,,,,,,,,,,,,,,,,,,,,314.08,,,,282.55,,,,,279.91,,,,,,,,,,,,,,,266.92,250.51,232.74,228.1,237.66500000000002,243.63,237.23,243.62,273.44,,,
2015-10-31 22:27:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.23,,,,,,,,,,,,,,,,,,,,,,,,,298.1,314.08,,,,282.55,,,,,279.91,,,,,,,,,,,,,,,266.92,250.51,232.74,228.1,237.66500000000002,243.63,237.23,243.62,273.44,,,
2016-01-19 22:27:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.23,,,,,,,,,,,,,,,,,,,,,,,,,298.1,314.08,,,327.05,282.55,,,314.41,,279.91,,,,,,,,,,,,,,,266.92,250.51,232.74,228.1,237.66500000000002,243.63,237.23,243.62,273.44,,,
2016-04-08 22:26:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.2,290.74,,,,,,,,,,,,,,,,,,,,,,,,,298.1,,,348.53,327.05,,,,314.41,,,,,,,,,,,,,,,,,275.16,258.62,255.5,258.73,236.61,,,,,,,
2016-06-11 22:26:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.2,290.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.45,327.05,,,,314.41,,,,,,,,,,,,,,,,,275.16,258.62,255.5,258.73,,,,,,,,
2016-07-06 22:20:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.2,290.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.45,327.05,,,,314.41,,289.07,,,,,,,,,,,,,,,275.16,258.62,255.5,258.73,,,,,,,,
2016-11-11 22:21:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.37,,,,,,,279.64,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-04 22:27:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.16,366.37,334.95,,304.28,,,,279.64,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-22 22:26:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.68,267.86,,,,,,,,,,,,,,,,,,,,,,,,,,,346.1,345.32,337.16999999999996,,304.5,304.54,318.68,,270.21,,,,,,,,,,,,,,,256.34,226.93,247.58,249.5,245.29,238.78,236.12,,,,,
2017-04-04 22:20:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.68,267.86,,,,,,,,,,,,,,,,,,,,,,,,,,,346.1,345.32,337.16999999999996,,304.5,304.54,318.68,,280.645,,,,,,,,,,,,,,,256.34,226.93,247.58,249.5,245.29,238.78,236.12,,,,,
