dates,satname,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0006,nzd0171-0007,nzd0171-0005,nzd0171-0008,nzd0171-0009
2010-12-31 21:55:56.533000,L5,359.49,352.20,340.70,328.28,320.95,320.02,316.13,317.34,302.55,316.43
2011-01-07 22:01:44.406000,L5,338.84,335.36,312.46,306.84,207.42,218.58,203.96,231.70,277.00,273.71
2011-01-16 21:55:58.174000,L5,316.81,314.18,218.33,260.63,275.52,,,,,
2011-03-12 22:01:43.554000,L5,323.31,310.77,292.03,274.16,282.10,224.57,272.67,280.34,253.58,
2011-04-13 22:01:34.017000,L5,336.92,318.97,291.77,283.30,,,273.77,,256.67,252.88
2011-09-04 22:00:27.603000,L5,319.09,311.42,289.66,273.86,271.67,,,,,
2013-04-11 22:08:15.067000,L8,319.85,320.68,301.53,294.66,287.17,277.55,289.04,279.62,,
2013-04-27 22:07:47.557000,L8,306.93,,288.39,246.35,276.66,,,,,
2013-05-13 22:07:59.284000,L8,313.74,307.16,295.95,247.23,283.47,277.04,287.38,,,
2013-05-29 22:08:05.425000,L8,,,,,,280.49,287.25,,232.72,
2013-06-05 22:13:51.261000,L8,308.50,305.28,294.83,287.12,280.64,279.62,287.00,277.47,266.93,267.57
2013-06-21 22:13:43.313000,L8,309.80,303.87,290.20,245.01,278.50,,,,,
2013-06-30 22:07:36.163000,L8,232.13,214.98,288.61,239.94,,272.40,254.94,,,
2013-06-30 22:08:00.117000,L8,308.84,306.70,294.26,247.13,283.74,278.93,287.55,,250.00,268.40
2013-08-08 22:13:49.700000,L8,306.25,297.51,292.04,247.46,280.62,278.85,216.67,,205.45,220.36
2013-08-17 22:08:03.120000,L8,312.78,305.60,295.19,278.19,283.15,279.81,286.73,280.76,231.32,266.68
2013-09-02 22:07:40.639000,L8,310.34,296.28,294.18,290.12,276.42,280.09,287.03,279.81,267.33,263.96
2013-09-02 22:08:04.598000,L8,308.63,293.93,292.55,245.27,270.48,278.61,214.68,276.00,210.41,221.26
2013-10-11 22:13:41.596000,L8,311.76,308.85,296.89,291.90,284.02,283.64,289.14,283.20,246.39,267.84
2013-10-27 22:13:31.854000,L8,304.34,297.02,229.63,246.04,274.15,276.66,279.61,,234.40,
2013-11-05 22:07:22.900000,L8,327.96,313.38,306.19,221.39,284.92,279.34,286.76,,240.10,
2013-11-05 22:07:46.855000,L8,328.13,312.33,305.72,248.73,284.02,202.85,286.13,,239.79,
2013-11-12 22:13:32.202000,L8,313.17,304.18,291.34,285.37,280.96,278.87,285.17,278.63,243.53,267.07
2013-11-21 22:07:13.797000,L8,311.67,196.28,291.71,248.75,284.00,269.34,275.10,,,
2013-11-21 22:07:37.752000,L8,313.74,307.44,293.04,249.99,284.08,273.37,278.38,,233.92,
2013-12-14 22:13:21.591000,L8,305.44,297.90,290.23,221.14,277.89,275.29,285.50,,235.46,
2014-01-08 22:06:55.162000,L8,,,,,,239.05,279.48,,,
2014-01-08 22:07:19.116000,L8,,,,,,231.33,277.33,,,
2014-01-24 22:06:45.554000,L8,311.17,304.69,291.89,246.96,282.52,270.41,285.22,,235.01,266.42
2014-01-24 22:07:09.509000,L8,311.03,304.66,291.52,246.43,282.16,256.36,284.17,,232.80,
2014-01-31 22:12:52.806000,L8,308.14,301.70,290.81,246.87,274.55,,,,,
2014-02-09 22:06:33.299000,L8,311.11,305.39,295.49,247.35,282.00,275.24,286.41,,242.57,263.92
2014-02-09 22:06:57.254000,L8,308.57,303.31,293.27,220.68,185.06,271.51,222.20,,238.04,
2014-02-16 22:12:38.819000,L8,307.04,298.06,226.27,248.45,282.34,256.70,286.57,,235.25,228.69
2014-03-20 22:12:13.789000,L8,323.37,312.87,294.72,167.72,,252.98,283.19,,,
2014-03-29 22:05:52.007000,L8,,,,543.89,343.34,509.04,515.97,333.79,519.25,468.71
2014-03-29 22:06:15.961000,L8,352.66,347.86,341.31,324.48,300.27,306.34,303.61,301.90,279.53,284.29
2014-04-05 22:11:58.702000,L8,317.13,315.14,298.16,290.96,285.11,269.19,189.18,239.58,232.42,258.92
2014-04-21 22:11:42.175000,L8,311.52,304.17,294.93,288.17,282.87,257.68,286.72,,230.87,
2014-04-30 22:05:22.578000,L8,316.39,218.71,295.89,250.31,282.88,273.14,280.35,,,
2014-04-30 22:05:46.536000,L8,309.29,,,,,,,,,
2014-07-26 22:11:43.162000,L8,193.37,227.14,293.75,245.87,282.21,199.18,285.82,,,
2014-08-20 22:05:42.763000,L8,311.94,306.56,294.27,247.12,283.20,276.38,286.24,274.17,231.75,
2014-08-20 22:06:06.726000,L8,194.00,172.33,290.51,242.42,,268.56,283.00,,,
2014-10-14 22:12:02.705000,L8,308.31,297.10,287.95,247.52,281.85,278.08,286.47,276.93,234.57,
2014-10-30 22:11:58.859000,L8,309.07,295.78,290.13,221.37,276.45,276.82,284.63,,,
2014-11-08 22:05:52.173000,L8,319.51,318.10,296.90,253.07,180.40,187.12,288.32,251.95,244.41,267.46
2014-11-08 22:06:16.124000,L8,317.58,314.80,295.24,251.62,284.24,280.28,287.39,274.97,242.38,265.44
2014-12-01 22:12:00.318000,L8,309.30,296.10,285.01,215.72,180.65,189.55,281.80,231.05,186.63,226.84
2014-12-26 22:05:43.117000,L8,322.17,325.28,303.04,294.47,289.33,287.41,291.80,287.37,255.38,271.66
2015-01-02 22:11:50.958000,L8,310.42,298.73,289.37,246.15,273.80,276.62,283.53,,238.56,
2015-02-28 22:05:24.487000,L8,319.60,316.64,301.05,296.83,287.54,279.03,289.35,280.42,247.07,271.64
2015-02-28 22:05:48.437000,L8,319.21,315.56,300.65,296.30,287.18,277.99,288.84,279.22,246.15,270.93
2015-03-07 22:11:30.209000,L8,304.20,293.72,288.71,244.66,275.52,224.60,253.10,,,
2015-03-16 22:05:13.611000,L8,313.58,305.72,297.09,247.74,283.86,199.35,263.72,,230.58,
2015-05-03 22:04:48.802000,L8,197.27,,291.21,248.27,248.97,,,,,
2015-05-19 22:04:40.718000,L8,314.44,313.86,296.35,253.14,285.26,282.63,288.27,280.94,239.72,265.67
2015-05-19 22:05:04.672000,L8,314.28,313.73,296.26,253.04,284.77,282.28,287.92,279.85,239.76,262.99
2015-07-22 22:05:13.606000,L8,197.02,,290.18,249.79,251.47,,,,,
2015-07-22 22:05:37.569000,L8,312.60,307.76,294.80,252.85,283.23,279.34,,278.30,,
2015-07-29 22:11:25.856000,L8,296.15,,,,,,,,,
2015-08-07 22:05:16.273000,L8,228.72,,,,,,,,,
2015-08-07 22:05:40.232000,L8,263.92,282.06,292.92,251.46,282.20,280.36,286.28,278.60,230.56,265.83
2015-08-23 22:05:24.610000,L8,311.93,295.27,292.70,250.79,282.51,280.66,205.06,283.59,198.53,222.93
2015-08-23 22:05:48.569000,L8,312.41,296.18,293.18,251.30,283.05,281.12,201.81,283.88,194.61,220.36
2015-10-26 22:05:43.801000,L8,310.50,297.75,291.63,250.49,279.50,278.48,207.85,278.59,198.65,226.07
2015-10-26 22:06:07.756000,L8,304.50,290.15,243.72,244.12,259.84,242.50,279.97,,,
2015-12-13 22:05:45.605000,L8,317.33,312.79,297.77,294.17,182.35,183.55,291.03,223.31,248.21,271.13
2015-12-20 22:11:57.501000,L8,307.07,294.35,285.63,246.95,275.31,265.20,276.92,237.69,233.55,
2015-12-29 22:05:45.209000,L8,313.17,307.28,295.09,254.06,285.88,275.55,286.08,,242.21,262.02
2015-12-29 22:06:09.164000,L8,309.79,299.42,291.56,251.06,,266.27,258.87,,,
2016-02-22 22:11:42.580000,L8,312.15,306.17,290.89,250.01,185.66,274.12,284.28,,,
2016-03-02 22:05:31.567000,L8,455.94,450.80,380.27,320.92,300.21,360.70,300.24,317.27,280.90,278.05
2016-03-02 22:05:55.525000,L8,344.28,348.49,328.97,312.51,298.54,296.28,297.31,307.82,279.03,275.42
2016-03-09 22:11:40.902000,L8,312.35,302.87,293.72,250.01,282.92,278.63,286.17,276.99,247.07,257.55
2016-03-25 22:11:32.353000,L8,240.77,297.96,292.06,247.44,282.57,,,,,
