dates,satname,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0045,nzd0513-0046,nzd0513-0043,nzd0513-0044,nzd0513-0039,nzd0513-0040,nzd0513-0041
2001-02-20 22:05:00.525000,L7,371.45,345.04,343.45,344.00,352.76,345.89,339.41,343.58,339.35,332.16,325.08,330.31,326.10,331.55,324.35,321.86,323.73,325.85,331.10,329.32,329.21,328.22,324.30,330.80,330.26,335.33,326.60,323.77,314.03,325.65,329.91,328.90,316.85,308.21,309.30,319.49,325.10,331.04,332.18,336.81,340.16,340.44,334.69,344.90,348.58,347.12,348.24,341.85,354.33,356.44,359.11,363.98,366.82,359.98,364.16,359.91,356.04,356.78,358.80,359.30,371.88,370.47,366.96,350.26,342.00,326.48,292.78,335.20,354.26,354.82,354.12,354.41,358.63,363.01,351.68,352.83,341.30,278.52,270.01,327.00,344.54,345.76,341.80,340.63,343.25,343.60,338.36,,,,,,,,,,,,,
2001-02-27 22:11:06.137000,L7,,379.98,382.19,354.05,363.32,361.36,358.65,353.88,350.12,343.03,343.80,341.14,347.59,351.39,343.58,338.96,341.04,343.99,343.12,350.23,348.47,343.56,346.82,349.71,350.26,350.91,347.10,384.03,382.83,399.22,412.70,406.49,402.18,417.79,424.30,418.72,418.97,419.04,419.07,411.49,407.16,404.47,409.09,410.16,408.88,394.51,390.51,397.66,403.25,400.22,405.98,380.66,382.76,381.09,379.97,376.14,378.12,375.71,379.01,378.31,391.17,390.64,387.77,372.72,362.76,349.59,316.76,352.90,367.76,376.62,374.67,373.94,379.78,378.87,373.68,370.51,365.94,314.60,313.79,346.38,358.58,362.70,358.44,356.70,358.32,360.14,348.84,401.03,406.39,407.01,399.75,405.65,408.90,413.99,421.21,,416.94,406.25,393.54,
2001-04-09 22:04:41.882000,L7,346.86,355.45,345.34,345.40,355.12,351.15,349.74,346.71,340.74,343.18,335.49,333.86,339.22,340.75,334.00,332.20,332.87,338.01,334.73,333.30,336.80,333.62,326.72,338.28,350.36,348.11,327.05,335.12,312.37,325.85,323.06,342.91,309.83,,,319.89,332.35,335.41,339.90,341.26,353.30,344.99,343.13,361.84,412.95,413.10,359.33,353.71,355.74,361.09,361.56,370.40,372.43,370.19,369.53,365.58,359.81,362.44,364.82,359.51,346.99,374.86,378.14,361.87,353.82,339.18,291.27,339.12,354.05,363.74,361.54,361.16,363.31,365.35,358.60,354.82,351.09,301.34,320.43,326.71,347.11,344.14,347.90,337.89,344.03,352.22,344.71,,,,,,,,,,,,,
2001-04-16 22:10:54.636000,L7,311.35,327.75,332.55,341.12,303.92,321.63,336.06,331.61,313.32,287.82,,245.64,275.63,297.06,318.88,315.35,313.60,264.70,326.71,317.38,306.49,308.95,298.79,310.96,315.65,267.23,,,,,,,,,,,,,,,,,,,304.64,297.48,330.47,332.76,337.21,331.28,345.43,338.01,340.36,350.55,345.92,312.61,344.98,344.08,354.40,357.25,,,338.67,336.57,323.83,,,312.88,335.01,343.35,347.18,346.99,351.52,346.19,346.52,339.07,252.06,,,,,318.45,330.50,333.42,335.53,336.11,329.75,,,,,,,,,,,,,
2001-08-15 22:03:26.328000,L7,329.39,340.91,350.30,349.76,317.02,331.16,345.36,345.21,315.07,309.60,330.36,328.82,332.73,338.49,331.48,326.13,327.79,326.28,334.68,338.82,340.87,332.31,340.71,337.23,349.06,341.11,328.48,314.65,314.05,338.38,342.60,340.76,297.74,,,,,,341.65,346.60,354.09,,,,,311.79,327.52,326.21,342.78,337.72,343.93,339.17,334.72,368.06,353.10,342.69,344.41,346.74,340.85,356.66,361.55,360.47,364.09,339.74,324.40,337.46,290.74,339.25,344.58,347.44,362.32,359.28,366.54,367.54,347.51,353.45,342.63,293.84,266.98,322.13,330.00,350.19,348.86,348.18,348.00,348.85,338.70,,,,,,,,,,,,,
2001-12-12 22:09:26.650000,L7,,,,,,,,,,364.10,362.31,365.03,342.22,368.08,360.84,358.06,362.89,370.17,367.71,372.18,367.05,338.22,373.10,372.89,344.77,345.57,386.33,378.43,386.89,396.70,394.00,385.66,405.52,370.53,379.54,376.78,381.28,390.93,348.37,376.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.47,349.71,349.67,349.73,343.10,404.41,386.07,399.97,405.73,397.07,391.07,382.72,368.91,388.11,385.55,398.76,404.51,366.76
2002-01-29 22:09:33.112000,L7,,,,,,,,,358.17,364.74,368.08,367.68,370.15,368.93,363.95,361.77,363.92,368.04,371.35,374.22,374.15,372.35,373.05,342.66,376.08,384.04,383.83,380.21,382.22,347.09,402.21,392.63,405.47,329.22,327.29,335.26,343.41,353.59,351.57,354.95,361.20,353.55,354.42,361.58,364.10,362.45,361.33,359.67,360.09,365.28,364.92,367.31,371.80,372.81,367.01,367.93,365.64,361.70,363.26,374.81,379.50,384.65,382.44,368.07,361.79,347.43,319.06,351.23,366.70,371.99,372.90,374.09,375.45,371.92,370.71,363.34,358.22,,302.09,340.68,356.61,361.48,354.10,354.58,356.93,355.31,344.18,414.65,419.14,419.91,417.87,408.33,400.67,383.22,392.98,358.07,378.91,403.09,394.50,382.95
2002-03-11 22:03:31.366000,L7,360.88,359.56,353.31,362.70,361.21,368.99,362.28,361.35,345.69,335.79,335.83,331.38,338.96,333.38,333.56,328.46,331.42,337.66,333.63,338.42,341.26,334.05,328.53,336.48,339.70,341.03,334.00,330.92,325.32,340.40,341.89,341.55,339.58,322.83,325.85,330.56,340.21,346.15,345.86,349.90,354.06,356.65,349.32,356.91,363.08,360.13,354.64,353.48,351.81,357.13,360.19,365.13,368.61,369.58,358.87,362.82,357.59,354.12,362.13,367.88,368.45,373.28,377.70,361.36,349.96,334.40,304.35,341.67,358.00,366.97,365.55,365.99,368.89,366.57,360.82,356.52,351.66,322.66,315.13,335.92,347.46,352.38,350.66,346.96,349.06,348.44,339.70,339.82,348.22,351.86,350.81,353.16,349.19,,,,,,,
2002-04-12 22:03:25.302000,L7,351.78,349.13,352.42,360.78,352.51,354.49,355.86,353.48,349.69,340.58,337.11,336.16,339.90,345.05,340.60,336.05,334.35,340.75,335.54,344.18,345.96,342.88,339.63,345.62,351.43,346.16,341.16,339.77,338.00,343.91,354.14,345.77,340.20,322.55,329.07,332.18,340.88,351.70,351.42,352.76,356.95,356.40,360.31,361.84,364.71,360.97,363.42,354.31,352.84,356.68,359.61,364.39,369.00,369.90,367.67,370.21,365.16,357.50,361.36,369.64,370.45,383.29,378.95,363.51,354.26,340.87,301.08,341.07,359.47,365.13,366.30,355.17,369.00,365.24,360.46,362.59,356.47,308.21,316.77,330.77,347.06,353.75,346.71,349.26,350.51,350.84,337.06,345.15,351.02,355.20,356.22,348.97,332.12,,,,,,,
2002-05-05 22:09:37.985000,L7,,,,,,,,,,,,,,,,,,310.32,321.86,303.38,300.11,299.54,294.16,302.29,316.95,337.19,305.31,,,,,,,102.96,142.02,212.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.56,327.05,316.14,336.09,301.28,262.58,,,,,,,,,,,,,,,,,,,,,,
2002-06-22 22:09:15.051000,L7,,,,,,,,,,,320.23,297.96,316.22,336.39,283.17,288.25,317.12,335.76,346.49,351.49,302.04,342.85,321.67,333.06,351.43,266.56,277.77,,,345.01,359.53,360.09,355.61,201.21,229.84,,,,,,,,,,,,,,,,,287.86,303.17,336.37,349.18,310.17,292.30,272.15,,,,,,,,,,318.70,327.25,293.28,315.09,334.21,342.46,349.06,364.88,331.64,304.52,293.03,269.75,,,322.23,274.15,341.91,345.54,353.39,339.12,,,,,,,100.55,120.09,,,,,
2002-09-10 22:08:43.416000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.19,368.79,353.69,370.48,409.16,408.80,371.63,372.65,368.18,372.54,374.18,375.08,380.70,382.73,,,,,,,380.71,371.97,363.79,367.89,382.06,389.99,386.95,393.19,370.66,386.61,388.75,393.47,382.06,382.86,391.37,387.42,373.02,364.31,348.50,328.93,352.30,367.74,377.87,376.20,373.37,375.75,375.91,373.48,369.47,365.32,355.41,340.15,340.21,357.59,358.09,357.91,354.44,357.52,357.83,346.28,418.27,355.81,365.51,361.69,356.35,354.09,382.05,377.59,359.84,368.43,380.51,370.61,318.86
2002-11-29 22:09:01.492000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,364.60,363.34,371.36,373.17,374.32,377.88,387.14,332.74,335.93,336.55,349.52,353.71,353.54,358.32,360.67,353.02,356.61,357.30,356.89,356.48,360.16,361.07,361.00,362.48,368.12,373.86,376.95,377.05,373.42,371.30,370.45,364.36,371.11,378.01,382.08,391.16,387.85,371.76,364.34,349.92,317.21,355.52,368.22,377.14,375.05,374.09,379.99,379.92,373.46,369.00,360.51,315.73,332.78,345.19,360.07,363.37,361.00,356.83,360.53,362.37,348.68,397.49,357.68,403.06,397.40,391.12,387.45,378.76,378.93,378.64,380.34,396.62,379.41,374.09
2002-12-24 22:02:57.022000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.70,371.00,332.31,331.85,336.05,347.67,354.27,354.68,356.84,360.51,353.83,355.34,358.89,357.92,357.70,359.25,356.02,358.25,357.41,367.62,372.45,375.33,372.90,370.23,372.30,367.05,363.19,369.23,376.67,382.09,,,,381.38,365.16,317.06,357.91,375.98,379.00,374.55,378.82,395.90,384.29,374.17,364.61,359.56,305.81,296.92,344.51,358.31,361.17,357.60,356.06,360.11,358.84,392.66,376.09,380.47,388.97,382.92,382.15,383.77,380.96,378.93,365.96,375.67,387.24,379.40,350.79
2003-02-01 22:09:21.746000,L7,,,,,,,,,,361.62,359.03,360.55,361.01,363.01,362.72,350.49,,,,370.37,373.12,366.16,368.96,368.18,366.58,369.37,368.73,376.60,335.57,346.32,350.44,347.47,343.11,327.81,330.42,335.32,347.92,353.53,353.63,354.67,359.40,353.35,352.77,360.53,357.75,357.36,358.88,356.59,356.02,355.18,365.02,370.80,373.43,373.99,369.17,370.40,366.37,362.36,367.60,377.53,379.86,385.38,385.22,368.98,361.18,348.30,306.66,351.09,372.20,377.45,375.28,373.79,379.33,377.49,372.96,364.93,358.45,310.71,288.28,343.64,355.46,361.77,357.06,356.70,358.19,359.81,348.45,344.03,352.46,357.24,358.69,353.72,349.59,,,,,,,
2003-08-13 21:51:32.649000,L5,362.62,355.90,368.07,368.23,357.30,360.73,364.03,355.73,354.64,340.83,342.84,351.42,358.25,361.37,349.84,354.94,354.98,360.05,360.22,364.60,359.33,359.68,360.71,361.15,369.17,364.08,359.58,356.69,360.43,364.49,372.96,363.21,365.36,354.06,355.31,356.06,362.79,369.91,369.04,376.34,366.95,369.88,362.89,375.01,374.90,364.92,368.99,362.13,362.45,367.16,379.76,370.09,383.72,383.29,384.64,382.98,376.70,382.53,380.60,388.56,,,,,,,,,,,389.71,392.48,392.75,388.74,386.82,386.26,374.52,320.55,321.29,,,380.34,373.86,380.75,376.22,379.64,379.14,367.73,376.40,380.55,376.19,381.55,366.62,,341.22,,,,,
2003-08-29 21:51:49.928000,L5,371.16,362.29,365.17,364.28,364.63,363.32,364.26,357.21,355.71,343.10,344.24,347.22,356.60,364.00,353.57,355.36,356.21,358.73,360.81,366.41,362.15,357.22,358.80,363.63,363.49,364.65,364.16,355.77,358.84,368.52,367.78,364.87,365.84,354.64,356.06,358.97,370.22,368.37,371.24,371.57,372.80,366.78,367.25,371.31,375.39,371.87,370.73,365.51,368.61,374.49,376.81,375.18,383.99,380.11,381.42,382.40,381.51,379.06,378.90,385.01,396.61,,,380.52,371.29,352.53,343.16,379.00,388.57,386.18,390.54,393.61,395.63,,,,,,,,375.11,380.09,377.01,372.62,375.27,379.98,375.23,368.67,371.22,378.76,377.66,379.76,357.53,,343.11,,,,,
2003-09-30 21:52:18.101000,L5,,261.03,300.53,330.05,320.98,332.90,336.96,336.75,331.87,318.98,304.73,305.28,322.36,327.06,319.53,323.12,327.37,322.82,333.30,333.49,325.12,322.72,331.49,332.40,345.87,334.34,333.96,332.81,331.51,337.68,339.43,329.40,330.41,,,,,,,333.38,326.96,313.60,317.46,300.10,310.47,335.51,335.84,339.08,344.82,347.89,353.55,355.99,359.18,362.74,358.99,345.97,350.25,346.92,266.64,306.82,304.63,325.78,338.24,331.87,333.63,307.81,289.41,310.33,326.26,,,,,,,,,,,,,,,,,,,338.00,346.74,356.31,357.52,352.56,,,,,,,,
2003-10-07 21:58:35.519000,L5,373.94,370.23,370.86,368.74,373.95,370.87,368.04,366.05,363.94,358.51,355.44,352.83,357.96,362.15,353.17,351.75,359.57,359.78,360.05,368.89,360.82,355.97,360.58,365.48,366.78,363.51,361.95,359.66,360.17,366.93,370.82,364.70,363.74,349.66,354.07,358.47,366.90,369.75,369.95,372.02,371.85,364.20,361.35,370.56,373.71,372.18,373.62,369.10,376.46,375.70,381.94,383.90,393.98,387.76,385.47,378.85,380.90,383.14,382.83,386.03,393.02,,,378.71,374.21,356.72,344.74,367.77,385.59,384.46,388.51,390.91,390.59,389.59,386.33,383.15,373.90,322.55,308.16,,,379.27,377.47,368.88,377.14,376.17,369.96,366.62,376.74,374.35,378.47,375.70,351.15,,330.54,,,,,
2003-11-17 21:52:57.120000,L5,367.81,369.73,366.82,370.96,371.78,367.58,366.99,368.65,365.49,361.86,358.34,357.53,360.52,358.42,355.00,353.14,358.05,355.95,359.89,363.86,355.54,351.55,351.05,357.55,359.23,356.69,353.35,350.97,351.13,356.42,362.33,355.91,358.38,354.53,356.66,358.57,358.86,363.22,364.61,365.51,362.56,361.94,358.85,365.75,370.33,362.48,371.46,369.90,370.65,374.01,378.11,381.43,380.34,384.96,388.16,391.00,388.98,390.25,391.49,393.94,,,,,,,,,389.89,386.99,388.39,384.51,390.78,389.01,386.15,378.81,369.93,327.92,302.47,358.29,370.57,374.24,368.11,371.27,380.28,381.47,378.59,358.66,366.06,372.39,382.81,372.96,,,342.86,,,,,
2003-12-26 21:59:30.091000,L5,373.36,369.29,369.26,371.43,375.52,372.47,368.92,366.92,363.80,365.64,355.98,353.93,357.81,362.19,355.16,354.43,362.92,361.31,363.62,371.65,359.97,355.41,357.26,366.52,368.85,366.59,365.20,363.44,354.04,363.67,366.48,362.01,360.22,349.47,355.69,360.07,367.96,369.53,371.66,371.97,374.60,367.75,369.81,376.12,378.89,376.66,377.68,373.84,378.68,382.66,384.71,394.36,385.62,383.63,384.50,382.88,379.94,384.53,385.16,390.19,394.23,,,,,,,,,,,,,,,,,,,,,381.58,382.33,373.94,373.05,373.92,367.63,373.69,365.42,371.28,372.17,362.23,349.18,,321.01,,,,,
2004-01-27 21:59:38.149000,L5,369.15,363.39,365.79,366.40,363.95,366.25,354.21,347.74,345.68,357.38,357.23,355.59,358.42,358.86,354.42,351.57,359.12,358.24,358.95,368.47,360.01,357.58,359.17,365.02,365.96,363.47,364.05,354.13,356.12,361.67,365.38,361.90,360.86,352.38,350.77,359.33,366.60,372.82,378.36,376.93,374.44,386.91,392.51,377.53,371.99,367.88,374.16,372.18,371.12,378.41,379.80,381.51,388.80,381.27,379.95,383.27,381.84,382.04,383.64,389.61,397.00,,,,,,,,,,394.20,389.95,387.89,386.67,382.72,386.54,373.24,320.26,310.88,360.97,375.07,377.24,374.61,374.08,373.48,375.36,366.72,366.14,371.25,375.16,375.12,371.51,349.65,,340.78,,,,,
2004-03-31 21:59:59.745000,L5,328.70,335.65,338.48,340.04,334.60,332.28,339.71,335.63,327.63,316.40,308.73,314.87,328.13,323.09,318.95,321.72,324.23,322.08,334.51,328.84,318.37,323.25,324.99,328.97,337.64,335.88,324.51,321.86,313.91,326.92,314.95,309.51,311.11,,,,,,,330.74,332.60,326.35,324.74,331.35,303.77,333.13,332.70,337.66,333.41,340.85,272.89,315.45,300.23,299.55,308.91,292.35,344.30,347.00,345.46,345.12,354.17,339.49,360.26,346.26,330.95,311.98,290.63,341.87,353.51,361.18,363.93,356.82,361.23,360.69,356.54,351.39,332.09,288.84,279.19,,334.56,340.03,336.69,338.44,344.39,343.11,336.62,323.70,320.50,,,,,,,,,,,
2004-04-25 21:54:35.260000,L5,,,,,,,,,,,291.36,300.57,312.99,313.32,310.91,318.65,314.50,314.38,320.03,321.88,311.41,311.28,301.89,317.62,327.96,323.99,,,,,,,,,,,,,,,,,278.80,309.79,292.45,308.15,317.43,320.50,328.57,322.98,328.32,,,,,340.37,335.15,339.70,336.25,330.59,321.38,332.43,352.56,330.60,324.55,286.66,,332.43,339.20,315.12,347.41,344.16,354.02,334.59,344.29,331.58,321.59,275.60,,,272.86,318.32,325.85,337.48,334.25,334.85,331.63,,,,,,,,,,,,,
2004-05-18 22:01:26.569000,L5,360.61,348.69,367.59,358.75,342.89,342.14,356.69,357.48,346.93,340.57,341.09,349.52,351.87,357.61,350.63,352.18,353.94,364.41,367.13,364.58,362.57,355.98,360.48,361.86,368.55,364.51,361.01,352.65,361.24,365.92,366.76,373.85,366.75,355.55,357.46,353.81,366.20,370.36,369.79,368.93,374.96,373.31,364.54,367.05,374.26,373.61,373.36,367.70,355.22,349.25,358.98,354.89,379.70,392.21,391.00,383.08,378.32,373.27,381.91,391.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.62,378.64,383.31,380.38,381.41,360.71,,342.25,,,,,
