dates,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0045,nzd0513-0046,nzd0513-0043,nzd0513-0044,nzd0513-0039,nzd0513-0040,nzd0513-0041,satname
2003-10-07 21:58:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.7866666666667,355.685,357.8333333333333,366.9,369.3433333333333,370.07666666666665,373.955,,364.2,361.35,,,,,,,,,,,,,,,,,,,,,,,,343.95000000000005,,,,,393.045,,,,,,321.55,314.725,,,,,,,,377.185,367.175,373.81,380.55,,,351.15,,338.29,,,,,,L5
2003-11-17 21:52:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.7866666666667,355.685,357.8333333333333,366.9,369.3433333333333,370.07666666666665,373.955,,364.2,361.35,,,,,,,,,,,,,,,,,,,,,,,,343.95000000000005,,,,,393.045,,,,,,323.67333333333335,310.64000000000004,,,,,,,,377.185,367.175,373.81,380.55,,,351.15,,338.29,,,,,,L5
2003-12-26 21:59:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.9575,355.685,357.8333333333333,366.9,369.3433333333333,370.07666666666665,373.955,,364.2,361.35,,,,,,,,,,,,,,,,,,,,,,,,343.95000000000005,,,,,393.045,,,,,,323.67333333333335,310.64000000000004,,,,,,,,377.185,367.175,373.81,380.55,,,351.15,,333.97,,,,,,L5
2004-03-31 21:59:59+00:00,,,,,,,,,,316.4,308.73,314.87,,323.09,318.95,,,,,,318.37,,,,,,324.51,321.86,313.91,326.92,314.95,309.51,311.11,349.56499999999994,,358.47,366.9,369.75,369.95,330.74,332.6,345.275,343.045,331.35,303.77,333.13,332.7,337.66,333.41,340.85,,315.45,,,,292.35,344.3,347.0,345.46,345.12,354.17,339.49,360.26,346.26,330.95,311.98,344.74,341.87,353.51,361.18,363.93,356.82,361.23,360.69,356.54,351.39,332.09,313.10333333333335,296.60666666666674,,334.56,340.03,336.69,338.44,344.39,343.11,336.62,345.15999999999997,320.5,,,,351.15,,325.77500000000003,,,,,,L5
2004-04-25 21:54:35+00:00,,,,,,,,,,316.4,300.045,307.72,312.99,318.205,314.93,,314.5,314.38,,321.88,314.89,311.28,301.89,317.62,,323.99,324.51,321.86,313.91,326.92,314.95,309.51,311.11,349.47,,,,,,330.74,332.6,326.35,324.74,320.57000000000005,298.11,320.64,325.065,329.08000000000004,330.99,331.915,328.32,315.45,,,,316.36,339.725,343.35,340.855,337.855,337.775,335.96000000000004,356.40999999999997,338.43,327.75,299.32000000000005,,337.15,346.355,361.18,355.67,350.49,357.625,347.64,350.415,341.485,326.84,297.4533333333333,290.83000000000004,,303.71000000000004,329.17499999999995,331.27,337.96000000000004,339.32,338.98,334.125,323.7,320.5,,,,,,321.01,,,,,,L5
2004-05-18 22:01:26+00:00,,,,,,,,,,316.4,300.045,307.72,312.99,318.205,314.93,,314.5,314.38,,321.88,314.89,311.28,301.89,317.62,,323.99,324.51,321.86,313.91,326.92,314.95,309.51,311.11,352.51,357.46,353.81,366.2,,,330.74,332.6,326.35,324.74,320.57000000000005,298.11,320.64,325.065,329.08000000000004,330.99,337.6933333333333,343.65,335.16999999999996,,,,316.36,339.725,343.35,340.855,337.855,337.775,335.96000000000004,356.40999999999997,338.43,327.75,299.32000000000005,,337.15,346.355,361.18,355.67,350.49,357.625,347.64,350.415,341.485,326.84,282.22,279.19,,303.71000000000004,329.17499999999995,331.27,337.96000000000004,339.32,338.98,334.125,323.7,320.5,,,,360.71,,331.63,,,,,,L5
2004-06-12 21:55:59+00:00,,,,,,,,,,316.4,300.045,307.72,317.83500000000004,320.9166666666667,312.7766666666667,313.31,317.265,314.38,,321.88,310.2866666666667,312.495,311.88,317.62,,323.99,318.41499999999996,321.86,313.91,326.92,314.95,309.51,311.11,352.51,357.46,353.81,366.2,,,330.74,332.6,326.35,324.74,320.57000000000005,298.11,323.5733333333333,321.8433333333333,325.0366666666667,329.9666666666667,331.26250000000005,339.58666666666664,335.16999999999996,,,,316.36,339.2,342.75333333333333,338.8966666666667,335.84,337.775,335.96000000000004,356.40999999999997,338.43,327.75,299.32000000000005,,333.5,340.56,342.175,344.60999999999996,345.4766666666667,348.97333333333336,337.34,350.415,326.53,326.84,282.22,279.19,,305.01,328.24333333333334,329.57,336.3533333333333,341.27666666666664,338.83666666666664,333.92,323.7,320.5,,,,360.71,,331.63,,,,,,L5
2004-07-30 21:57:15+00:00,,,,,,,,,,316.4,300.045,307.72,317.83500000000004,320.9166666666667,312.7766666666667,313.31,317.265,314.38,,321.88,310.2866666666667,312.495,311.88,317.62,,323.99,318.41499999999996,321.86,313.91,326.92,314.95,309.51,311.11,354.635,357.58,356.895,366.2,,,330.74,332.6,326.35,324.74,320.57000000000005,298.11,323.5733333333333,321.8433333333333,325.0366666666667,329.9666666666667,331.26250000000005,339.58666666666664,335.16999999999996,,,,316.36,339.2,342.75333333333333,338.8966666666667,335.84,337.775,335.96000000000004,356.40999999999997,338.43,327.75,299.32000000000005,,333.5,340.56,342.175,344.60999999999996,345.4766666666667,348.97333333333336,337.34,350.415,326.53,326.84,282.22,279.19,,305.01,328.24333333333334,329.57,336.3533333333333,341.27666666666664,338.83666666666664,333.92,323.7,320.5,,,,360.71,,339.21500000000003,,,,,,L5
2004-10-18 21:59:11+00:00,,,,,,,,,,,291.36,300.57,317.83500000000004,319.83000000000004,309.69000000000005,313.31,317.265,314.38,,321.88,306.245,312.495,311.88,317.62,,323.99,312.32,,,,,,,354.635,354.48,356.895,366.2,,,,,,,309.79,292.45,318.795,316.41499999999996,318.725,328.245,328.0666666666667,339.58666666666664,354.89,,,,340.37,336.65,340.63,335.615,331.2,321.38,332.43,352.56,330.6,324.55,286.66,339.53,329.315,334.08500000000004,323.17,334.94999999999993,339.80500000000006,342.845,325.66499999999996,344.29,314.09999999999997,321.59,275.6,,,290.235,322.35,326.01,335.30999999999995,339.71999999999997,336.7,344.1366666666666,,,,,,353.17999999999995,,335.49,,,,,,L5
2004-11-10 22:05:47+00:00,,,,,,,,,,,,,322.68,326.34,308.47,313.31,320.03,,,,301.08,313.71,321.87,,,,312.32,,,,,,,354.635,354.48,356.895,366.2,,,,,,,,,329.44,315.4,316.95,327.92,330.61000000000007,345.22,354.89,,,,,338.15,341.56,334.98,331.81,,,,,,,339.53,326.2,328.97,323.17,322.49,335.45,331.67,316.74,,296.62,,,,,307.61,326.38,326.17,333.14,345.19,338.55,350.38999999999993,,,,,,353.17999999999995,,337.165,,,,,,L5
2005-01-13 22:06:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.45500000000004,352.99,359.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.53,,,,,,,,,,,,,,,,,,,,367.27,,,,,,345.65,,331.745,,,,,,L5
2005-02-14 22:07:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.27,345.225,348.11,355.45,359.5,360.85,362.6,,362.38,362.55,,,,,,,,,,,,,,,,,,,,,,,,339.625,,,,,,,,,,,327.09,313.11,,,,,,,,372.66499999999996,,,,,,347.62,,327.86249999999995,,,,,,L5
