dates,satname,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071
2017-04-20 22:16:59.468000,L8,,,,,,,,,,,,,,,180.72,211.54,227.43,241.21,214.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.49,253.79,235.11,233.96,245.81,,,,,,,,,,,,244.40,258.31,178.64,205.66,,225.43,255.46,261.36,,
2017-05-06 22:16:55.401000,L8,,,,,,,,,,,,,,,183.78,214.91,230.38,245.29,223.16,256.68,250.47,255.63,251.99,,,,,,,,,,,,,,,,,,,,,,,,245.83,256.78,243.39,231.95,254.60,251.21,251.64,,,,,,,,,255.40,271.79,261.80,254.97,263.01,256.84,259.61,260.50,270.96,,
2017-09-27 22:17:48.664000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.00
2017-12-16 22:17:46.727000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.56,222.26,231.60,221.17,,,,,,,,,,,,,247.29,249.54,248.96,,,,,,,
2018-02-18 22:17:22.771000,L8,,,,,,,,,,,,,,,187.28,212.65,226.55,208.28,227.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.06,239.66,249.72,207.44,,,,,,
2018-04-07 22:16:59.037000,L8,,,405.23,465.15,246.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.60,228.89,253.39,,,,555.13,,211.39,338.86
2018-05-09 22:16:40.331000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.29,230.79,,,
2018-06-10 22:16:26.226000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.05,228.05,251.55,,,,,,,
2018-11-17 22:17:31.986000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.47,249.10,224.66,210.33,225.44,242.31,248.62,252.52,225.07,389.35
2018-12-03 22:17:30.217000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.29,240.00,,,,,,,,
2019-02-05 22:17:21.574000,L8,,,,,,,,,,,,,,,186.03,217.07,233.33,244.91,240.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.95,256.38,,,229.27,244.91,255.70,265.56,,
2019-04-26 22:16:59.330000,L8,,,,,,,,,,,,,,,186.22,219.35,236.28,248.18,248.52,247.31,250.09,252.24,240.89,,,,,,,,,,,,,,,,,,,,,,,,,,237.11,226.97,193.86,,,,,,,,,,,,240.28,236.51,250.83,252.54,,254.67,261.05,267.37,,389.95
2019-05-28 22:17:17.913000,L8,,,,,,,,,,,,,,,186.78,213.56,231.22,243.34,212.70,,248.02,216.45,202.22,,,,,,,,,,,,,,,,,,,,,,,,237.05,216.16,,,,,,,,,,,,,,,199.42,256.97,253.09,251.61,253.71,253.31,259.41,268.34,,
2019-11-04 22:17:58.697000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.03,236.94,198.47,206.80,,237.58,242.30,261.93,,405.83
2019-11-20 22:17:54.950000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.33
2020-01-23 22:17:43.927000,L8,236.61,,,,,,,,,,,,,,187.16,218.32,236.88,246.27,240.48,,244.53,245.68,230.50,,,,,,,,,,,,,,,,,,,,,,,,208.29,217.83,237.33,221.18,233.13,,,,,,,,,,,,252.89,256.75,219.09,242.96,238.26,248.27,249.43,262.98,215.29,260.39
2020-02-08 22:17:38.924000,L8,,,,,,,,,,,,,,,177.19,214.40,231.88,244.41,204.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.80,229.74,247.59,,,265.60,246.71,257.57,210.93,259.02
2020-02-24 22:17:35.189000,L8,,,,,,,,,,,,,,,186.89,221.27,235.87,248.61,245.07,245.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.31,262.07,251.67,205.30,270.90,269.72,257.82,263.88,,
2020-04-12 22:17:12.700000,L8,241.43,224.04,,,,,,,,,,,,,192.94,220.42,240.85,249.18,249.86,246.73,253.62,253.71,245.76,,,,,,,,,,,,,,,,,,,,,,,,242.49,260.74,245.46,231.51,236.68,241.01,241.84,237.82,,,,,,,,194.10,271.66,265.24,259.91,251.92,254.45,254.36,263.20,,,356.69
2020-04-28 22:17:04.952000,L8,238.49,,,,,,,,,,,,,,180.13,216.09,230.57,248.55,246.88,247.78,249.23,252.57,183.15,,,,,,,,,,,,,,,,,,,,,,,,,258.37,239.22,229.27,196.12,,,,,,,,,,,,235.77,264.69,251.36,253.88,254.59,255.57,262.32,267.67,,
2020-08-02 22:17:33.048000,L8,,,,,,,,,,,,,,,,215.13,225.91,244.44,240.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.30,226.45,197.37,200.91,,,,,,
2020-09-03 22:17:46.393000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.42,264.20
2020-09-19 22:17:52.015000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.65,,,,,,,,,,,
2021-01-25 22:17:44.203000,L8,362.20,350.85,368.96,365.40,273.30,337.06,306.03,331.71,276.19,278.37,304.40,308.21,291.27,261.03,294.42,247.47,322.04,330.83,340.69,333.06,308.62,270.80,264.71,249.86,255.64,276.17,334.82,215.03,,253.63,215.97,258.35,258.38,272.37,285.12,285.82,311.44,269.76,257.67,214.07,257.94,,225.96,245.15,303.45,305.10,298.05,292.56,281.24,276.57,274.78,276.31,279.96,296.41,287.25,283.66,280.17,225.26,234.60,253.10,453.58,275.37,318.87,322.98,303.71,286.17,293.02,303.13,337.53,316.91,293.49,317.51
2021-03-30 22:17:22.624000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.05,253.37,265.08,,
