dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
2003-12-03 21:51:55.424000,L5,303.71,310.91,314.88,314.05,304.10,301.64,303.45,305.03,300.18,299.57,292.31,281.06,283.62,279.81,285.52,280.52,280.83,279.90,289.95,290.47,289.16,290.76,287.23,290.42,287.26,288.05,280.57,278.01,279.23,279.72,280.23,280.18,278.85,279.72,273.11,241.21,196.38,176.40,174.73,177.33
2003-12-10 21:58:05.829000,L5,299.53,312.60,306.03,306.73,292.29,289.51,292.23,303.34,301.88,299.97,297.50,294.25,294.71,294.02,301.67,284.64,280.96,280.79,277.18,275.02,274.07,273.23,275.16,292.13,284.17,288.06,290.04,291.56,289.89,288.96,291.92,281.12,281.13,277.70,269.49,240.29,194.29,,,
2004-01-04 21:52:10.021000,L5,340.55,340.06,323.35,321.69,321.44,311.32,313.34,308.12,304.55,307.21,319.13,324.64,347.98,342.05,356.76,334.72,330.33,314.45,306.73,309.20,296.88,295.10,294.49,296.20,298.34,295.63,298.12,302.40,305.64,303.02,303.28,305.18,310.17,301.58,294.66,284.89,306.54,309.73,316.96,310.54
2004-02-05 21:52:16.959000,L5,304.74,314.53,311.37,309.41,308.40,302.92,296.35,286.10,252.26,256.14,277.53,276.83,284.06,279.34,282.92,281.32,281.83,282.03,284.28,281.93,281.13,281.18,277.22,275.94,279.29,278.94,275.36,277.73,280.43,282.18,284.99,282.82,284.42,282.27,275.95,244.46,204.69,193.16,187.48,183.63
2004-04-25 21:53:23.341000,L5,,,263.28,265.95,264.98,262.13,251.01,,258.33,252.48,224.29,,,240.09,249.94,255.74,254.77,254.54,253.94,253.26,251.19,249.20,252.41,248.09,242.47,237.38,229.79,230.69,256.41,249.45,249.35,249.42,249.17,244.77,240.83,210.47,167.43,,,
2004-05-18 22:00:14.650000,L5,,,250.52,272.85,276.45,273.22,193.82,,,,,,247.23,243.96,252.22,254.42,254.00,254.88,253.62,252.98,249.33,250.83,254.08,256.06,252.80,239.08,234.19,242.35,254.23,238.40,251.03,251.46,254.42,247.11,228.35,191.19,,,,
2004-06-12 21:54:47.510000,L5,,,,273.84,269.40,270.22,258.69,,,,,,,255.91,261.61,264.06,267.13,260.99,242.10,243.74,236.05,244.21,248.82,253.53,255.36,255.76,259.03,260.28,263.60,262.92,253.20,256.75,263.68,261.98,256.04,226.45,192.27,,,
2004-08-22 22:02:48.429000,L5,,,273.04,264.30,270.20,267.16,254.36,,217.52,247.90,228.68,,,,254.82,257.96,258.35,259.49,263.39,262.88,251.04,253.13,250.01,247.68,247.83,247.77,,227.35,259.88,261.23,248.41,252.35,262.23,257.20,253.02,226.01,182.97,,,
2004-10-02 21:57:38.853000,L5,311.81,322.58,320.72,314.26,310.69,296.17,295.10,297.26,296.14,290.81,291.45,290.04,291.94,288.71,292.73,290.82,288.78,288.40,288.86,282.45,279.98,275.03,275.50,280.27,280.95,278.93,279.27,281.96,291.83,292.07,294.07,291.60,291.35,288.58,280.55,261.29,216.53,191.51,182.23,183.53
2004-11-10 22:04:35.857000,L5,304.52,311.75,303.81,309.33,309.74,303.59,300.97,302.67,297.42,299.77,296.22,285.99,285.12,282.98,283.72,283.73,281.18,280.57,281.75,285.41,289.09,288.97,289.42,288.80,289.34,290.78,289.01,283.17,280.68,280.68,281.60,280.36,281.57,278.70,274.33,250.78,214.85,195.76,191.55,195.23
