dates,satname,nzd0515-0000,nzd0515-0001,nzd0515-0002,nzd0515-0003,nzd0515-0004,nzd0515-0005,nzd0515-0006,nzd0515-0007,nzd0515-0008,nzd0515-0009,nzd0515-0010,nzd0515-0011,nzd0515-0012,nzd0515-0013,nzd0515-0014,nzd0515-0015,nzd0515-0016,nzd0515-0017,nzd0515-0018,nzd0515-0019,nzd0515-0020,nzd0515-0021,nzd0515-0022,nzd0515-0023,nzd0515-0024,nzd0515-0025,nzd0515-0026,nzd0515-0027,nzd0515-0043,nzd0515-0044,nzd0515-0028,nzd0515-0029,nzd0515-0030,nzd0515-0031,nzd0515-0032,nzd0515-0033,nzd0515-0034,nzd0515-0035,nzd0515-0036,nzd0515-0037,nzd0515-0038,nzd0515-0039,nzd0515-0040,nzd0515-0041,nzd0515-0042
2002-09-10 22:08:43.416000,L7,297.32,304.46,302.12,292.79,288.75,288.52,291.97,303.41,322.76,306.07,287.08,283.56,291.50,263.62,282.01,284.85,298.91,301.79,318.88,318.15,313.35,305.97,317.21,321.37,305.61,293.04,280.44,265.29,,,290.10,292.04,293.71,299.07,289.95,283.34,270.31,,,,,,,,
2002-11-29 22:09:01.492000,L7,,,,316.48,322.50,329.74,327.77,,,334.23,333.54,339.87,331.58,324.69,325.49,331.71,338.40,344.66,356.55,355.69,334.97,371.25,,,,313.74,317.80,321.81,288.02,293.68,332.24,342.06,349.57,340.15,344.94,331.26,320.14,311.06,278.80,310.19,333.72,342.81,323.23,305.06,304.45
2003-02-01 22:09:21.746000,L7,,,,321.17,327.63,295.90,333.37,340.54,336.58,338.58,341.33,346.27,343.44,337.19,330.86,283.85,334.27,349.18,359.62,362.41,367.46,306.99,342.14,385.13,396.33,346.56,349.30,349.80,270.87,278.56,356.85,367.09,372.89,370.62,367.61,357.06,351.79,352.01,347.26,356.70,364.04,368.94,358.93,339.02,354.19
2003-08-13 21:51:32.649000,L5,367.93,342.38,340.01,337.42,332.48,334.72,330.99,347.35,342.76,355.37,330.85,328.70,338.51,308.45,314.70,331.57,342.10,346.53,357.56,359.46,366.77,339.31,357.50,351.21,332.85,323.55,319.46,305.26,303.36,310.99,302.76,331.94,331.71,338.24,332.66,318.25,317.87,300.59,286.17,284.18,326.53,322.74,306.34,284.86,283.76
2003-08-29 21:51:49.928000,L5,,341.17,349.17,332.20,337.68,326.38,341.92,344.71,353.74,354.59,341.64,327.27,338.11,319.53,324.00,321.94,350.51,351.21,361.18,361.53,357.93,337.66,349.99,361.80,331.61,324.37,314.20,302.29,297.00,304.37,300.50,329.75,335.26,341.21,334.70,322.44,310.08,295.76,284.60,274.26,322.79,324.59,308.02,276.76,288.31
2003-10-07 21:58:35.519000,L5,,338.83,335.73,329.14,334.77,327.31,335.31,346.05,352.02,351.46,331.10,313.37,321.01,302.92,305.82,318.03,331.63,338.07,355.90,360.98,357.17,342.90,353.31,350.73,332.94,320.78,310.04,300.09,292.41,306.91,285.40,320.25,328.13,325.68,325.87,309.84,308.54,300.55,292.59,282.36,321.88,322.02,301.67,280.91,
2003-11-17 21:52:57.120000,L5,358.64,334.23,332.99,325.54,331.69,325.87,329.82,337.96,349.09,358.95,354.92,346.12,351.47,338.37,337.25,351.81,348.35,349.95,358.51,371.16,362.89,355.16,349.02,345.51,340.53,346.09,337.26,335.25,327.59,336.86,335.33,356.68,356.63,347.77,340.24,333.05,322.33,318.29,304.02,300.12,352.34,359.30,344.12,323.79,319.94
2003-12-26 21:59:30.091000,L5,330.40,336.88,336.32,331.62,335.79,340.16,336.84,351.87,354.16,355.53,335.27,319.88,322.30,301.49,314.43,320.57,332.97,335.57,359.56,364.48,372.82,345.28,352.65,357.28,334.11,339.97,312.46,308.18,299.00,305.57,295.98,329.25,332.02,331.55,332.08,338.64,333.08,324.90,312.73,311.78,349.55,347.24,310.43,287.76,289.60
2004-01-27 21:59:38.149000,L5,357.30,342.37,346.99,330.74,336.55,335.67,340.34,337.57,345.16,345.99,327.65,328.78,326.07,309.90,326.99,339.94,350.95,350.55,366.09,369.88,376.68,351.91,342.77,342.24,325.93,333.17,322.75,316.92,307.70,327.30,300.11,343.04,345.21,349.86,342.30,339.17,327.20,321.89,308.87,291.20,336.65,333.98,320.24,299.09,295.33
2004-03-31 21:59:59.745000,L5,354.96,346.63,348.16,344.39,347.26,349.55,353.51,362.34,355.95,355.71,343.71,344.54,340.80,334.41,336.20,343.58,366.43,372.18,376.44,383.66,390.88,375.20,372.49,359.35,333.32,329.83,328.99,321.76,317.81,339.64,322.15,341.69,353.05,356.19,368.82,355.20,341.15,345.25,320.12,326.78,349.80,359.60,354.25,314.69,316.88
2004-04-25 21:54:35.260000,L5,321.68,324.60,325.62,313.60,312.99,314.17,310.18,330.86,329.86,334.19,323.62,315.58,323.68,297.17,309.89,317.36,326.99,309.17,332.97,342.75,351.35,336.83,336.79,335.10,314.39,308.53,294.48,289.10,,,,,,,,,,,,,,,,,
2004-05-18 22:01:26.569000,L5,,338.28,342.55,321.05,327.52,320.24,329.01,342.74,348.61,356.20,333.49,330.57,325.51,313.31,317.91,328.63,336.09,343.82,353.23,357.79,364.41,339.74,353.34,348.73,336.51,322.89,318.95,303.58,303.34,312.37,302.36,333.94,334.34,335.18,335.46,323.41,315.69,306.98,293.17,297.08,337.98,333.97,316.90,296.74,291.33
2004-06-12 21:55:59.429000,L5,,,,,,,,,,,,,,245.73,262.14,285.46,305.50,293.26,314.59,298.78,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-30 21:57:15.668000,L5,364.62,345.19,343.95,341.23,332.21,337.76,340.98,351.95,354.95,361.13,345.41,335.29,331.37,322.72,322.37,338.66,354.89,348.78,365.49,364.90,371.38,352.17,366.38,357.54,339.18,323.31,318.10,314.36,304.79,328.37,307.28,338.85,342.40,342.03,341.33,324.74,316.27,306.25,289.37,295.55,334.71,335.96,330.21,297.11,292.11
2004-10-18 21:59:11.702000,L5,365.89,351.12,347.39,336.53,339.79,340.87,338.57,354.93,350.85,355.76,326.46,329.43,327.14,312.70,311.18,329.56,349.69,359.11,366.23,370.49,373.70,355.08,367.94,364.90,330.44,323.65,318.84,311.23,305.26,314.85,297.84,333.21,335.96,341.87,340.36,325.62,318.07,311.45,300.43,290.12,335.05,334.74,312.96,292.66,295.49
2004-11-10 22:05:47.634000,L5,345.34,347.61,344.76,337.22,349.03,353.51,354.30,343.86,337.51,345.05,329.61,325.06,338.25,332.02,334.09,346.78,353.70,353.79,364.21,371.05,372.34,358.93,360.16,346.99,324.43,332.68,321.36,312.51,302.33,319.58,297.29,332.86,346.35,346.70,348.27,329.52,327.10,316.42,307.75,297.56,331.32,328.15,311.69,291.89,292.41
2005-01-13 22:06:52.927000,L5,359.54,331.11,331.49,322.08,321.81,318.46,331.28,352.03,361.18,357.76,340.38,337.15,343.96,320.17,319.65,313.94,368.68,338.42,352.68,353.79,357.90,338.31,360.31,373.63,341.11,342.30,331.53,322.91,309.00,308.77,318.80,328.74,329.60,331.31,326.06,319.43,307.93,299.56,308.46,305.57,347.55,347.77,333.76,305.37,302.67
2005-01-22 22:00:50.292000,L5,298.62,300.29,303.27,300.71,307.05,305.78,311.37,316.72,327.17,323.59,296.01,283.10,280.33,269.09,280.30,281.12,295.21,284.23,324.54,330.40,342.11,318.99,324.13,318.76,309.17,298.21,288.45,287.31,,,,,,,,,,,,,,,,,
2005-02-14 22:07:21.106000,L5,,354.67,356.07,347.28,356.14,354.17,362.48,365.80,378.84,,379.49,375.40,366.06,351.33,360.89,356.70,368.78,373.59,384.77,381.35,380.75,373.08,366.25,367.63,357.82,357.05,350.88,350.08,348.04,,350.82,367.04,364.81,355.58,360.53,356.34,343.62,342.88,326.94,344.16,359.37,364.77,356.31,336.40,337.80
2005-03-11 22:01:31.683000,L5,360.25,343.26,341.71,329.50,330.29,331.25,337.29,342.60,350.23,349.99,334.91,327.34,339.13,317.37,320.87,335.13,353.97,345.58,360.57,358.76,370.21,347.58,356.66,359.71,333.72,333.57,324.87,322.61,305.16,318.47,310.91,335.94,341.33,339.79,340.27,327.60,371.86,,,,,,324.75,300.80,296.68
2005-05-14 22:01:54.308000,L5,273.87,291.65,300.12,280.55,283.64,,266.96,279.81,301.95,294.37,279.99,280.14,275.23,266.91,282.10,292.67,311.05,311.87,324.26,322.11,325.67,310.99,317.72,310.79,290.60,284.25,,,263.59,270.29,,292.00,294.77,303.96,297.91,294.26,283.07,272.73,,,,,,,
2005-06-15 22:02:10.206000,L5,303.62,305.58,320.75,298.53,290.81,,,,314.88,310.70,281.26,294.65,298.91,269.73,292.07,308.16,317.76,319.48,332.87,328.61,338.17,314.16,329.94,323.23,301.43,293.50,287.51,280.38,273.93,282.18,273.35,302.91,300.95,319.61,299.42,307.79,295.30,282.37,,,,,,,
2005-06-22 22:08:22.866000,L5,371.62,339.70,333.69,326.15,332.32,329.56,332.41,352.22,353.46,359.51,329.48,335.00,345.95,323.65,337.80,340.28,357.25,347.60,355.95,351.34,361.22,342.96,357.08,354.76,326.64,331.93,329.60,317.73,317.43,323.91,325.63,341.32,338.60,351.09,345.58,326.57,311.91,310.86,295.06,295.54,337.44,338.90,324.16,302.08,301.85
2005-08-09 22:08:46.932000,L5,374.92,345.90,347.42,325.09,326.04,321.41,327.86,339.07,345.73,342.99,324.35,325.51,343.36,311.06,326.95,332.36,348.57,341.22,358.44,347.28,350.01,336.70,341.01,345.97,316.93,314.24,314.75,315.51,312.26,318.33,306.49,336.71,344.27,344.46,340.09,311.26,303.77,291.94,285.77,278.19,325.59,320.65,311.42,297.26,294.36
2005-08-25 22:08:52.862000,L5,348.05,341.43,342.75,333.13,339.85,338.06,343.88,357.10,364.48,362.19,349.58,343.44,344.70,331.26,338.08,339.07,345.39,346.42,362.98,361.41,369.34,349.02,349.72,350.46,331.77,329.79,324.62,324.66,326.30,334.22,323.88,342.20,343.16,348.60,357.54,333.51,331.93,315.49,308.35,314.78,346.64,343.13,334.84,314.97,307.65
2005-09-10 22:08:55.708000,L5,346.67,338.02,336.11,323.96,326.80,323.84,328.93,338.03,339.60,350.41,333.88,326.47,329.76,308.53,316.93,328.96,338.17,343.46,351.27,347.12,354.43,334.34,340.94,335.59,321.75,322.07,319.95,311.23,303.39,313.83,298.40,332.02,333.99,336.91,327.80,307.11,302.70,298.35,281.98,273.76,316.61,331.91,312.58,290.30,291.37
2005-09-19 22:02:44.739000,L5,,358.47,350.13,360.05,346.68,340.69,349.56,354.52,360.73,361.41,343.22,334.92,340.41,312.74,320.17,321.14,346.79,346.28,362.51,363.67,361.77,342.59,352.82,352.35,328.62,325.07,323.90,311.57,309.07,312.20,298.80,331.46,331.50,339.07,333.82,322.80,310.04,308.39,302.89,298.92,337.27,336.49,321.53,294.16,296.95
2005-11-06 22:02:46.848000,L5,335.72,336.72,345.46,337.57,341.42,339.19,345.05,349.56,356.62,355.24,327.79,319.74,322.34,296.82,309.14,318.35,330.55,340.48,365.17,364.11,375.60,351.68,358.09,358.49,336.64,326.46,317.58,310.43,295.66,307.19,295.47,327.77,332.37,328.31,338.39,330.64,326.48,319.45,309.02,303.78,342.27,336.25,306.68,286.40,285.32
2005-11-13 22:09:08.414000,L5,,,,,,,,,,,,,278.35,314.78,330.13,334.83,337.51,355.59,358.06,363.26,364.36,335.35,333.97,335.31,318.81,313.02,305.16,298.41,308.25,317.86,266.71,333.95,335.38,339.75,336.64,321.84,309.20,297.71,283.73,277.81,324.28,323.11,305.83,284.83,295.24
2006-02-01 22:11:01.629000,L5,367.42,341.79,342.58,327.26,331.05,326.55,332.35,340.26,345.27,342.49,328.16,324.88,332.51,313.43,329.37,334.63,344.91,348.75,358.90,369.43,378.27,351.55,360.30,362.46,338.72,333.90,325.92,310.28,296.11,305.10,292.24,336.55,337.36,343.65,339.58,332.49,314.71,311.94,295.76,292.90,330.13,332.05,316.38,289.75,289.10
2006-02-17 22:11:22.491000,L5,372.51,339.47,337.64,324.88,329.84,326.29,332.98,338.32,348.31,344.96,335.27,330.04,334.92,314.11,326.73,331.04,348.05,344.30,353.32,361.56,361.07,347.31,347.96,345.74,330.86,336.62,323.51,318.79,306.98,317.06,307.37,338.57,339.91,342.58,337.81,330.46,320.16,312.36,297.81,291.29,333.82,339.97,320.53,299.15,296.33
2006-03-14 22:05:42.635000,L5,322.41,320.95,326.25,313.50,324.77,322.87,323.33,346.18,346.66,351.67,352.23,347.64,341.99,316.42,321.15,305.55,306.30,323.42,335.21,349.57,351.10,335.42,349.27,313.13,,,,295.29,302.12,302.70,322.76,323.76,319.69,318.87,320.10,311.58,281.99,310.13,293.80,292.04,320.22,329.87,328.11,300.15,295.56
2006-04-15 22:06:18.610000,L5,369.63,342.37,339.39,332.07,334.13,326.82,334.55,343.00,350.89,346.45,337.41,332.10,331.41,317.59,324.06,338.65,347.73,346.29,358.00,358.24,366.58,344.51,347.55,346.89,329.05,332.85,326.61,316.74,304.84,318.64,310.58,338.29,341.41,340.43,337.81,326.98,320.94,312.86,298.48,294.32,336.41,337.65,322.96,296.03,295.02
2006-06-25 22:13:31.961000,L5,,,351.79,331.89,343.45,328.14,335.42,349.53,351.99,358.88,336.33,337.96,341.93,312.59,326.94,343.03,354.31,362.20,361.09,360.85,370.00,343.19,354.57,354.34,329.01,323.27,330.84,318.62,318.85,323.31,322.94,342.35,341.62,344.84,337.17,320.74,319.06,316.12,297.64,298.87,332.41,333.87,330.11,316.94,309.61
2006-07-27 22:13:58.731000,L5,,345.65,342.34,331.06,334.80,328.90,339.03,345.80,355.87,354.75,340.43,330.03,341.46,316.00,328.44,328.83,345.27,355.84,357.24,358.38,361.35,353.97,355.25,343.01,338.14,333.76,321.14,315.87,307.92,323.46,313.34,335.01,339.30,331.63,333.09,315.92,313.70,312.30,296.50,291.08,331.89,334.99,326.31,304.96,299.81
2006-08-05 22:07:55.109000,L5,352.52,344.71,344.32,332.34,337.89,337.44,333.85,350.93,350.18,355.82,337.32,333.68,339.94,322.78,327.42,333.76,355.25,358.03,361.51,369.99,368.24,350.19,354.02,349.76,331.07,334.30,323.17,315.41,306.11,319.90,311.03,337.85,337.59,345.81,337.51,331.20,322.61,319.10,299.86,303.04,337.15,345.15,322.36,295.78,298.74
2006-08-21 22:08:07.440000,L5,,,,,,,,,307.89,274.15,287.14,288.24,274.63,256.42,,,,,,252.83,300.36,308.15,321.74,315.36,303.62,296.97,287.70,274.60,,,,,,,,,,,,,,,,,
