dates,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017,nzd0028-0018,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037,satname
2002-06-22 22:06:03.573,,513.48,506.29,,,,513.2,539.04,364.68,,230.34,353.99,,221.82,349.11,354.61,237.01,,,331.38,,367.35,371.16,375.39,367.96,369.0,358.94,370.34,363.64,354.89,367.97,298.92,377.85,369.225,361.43,347.445,365.85,365.39,L7
2002-10-28 22:05:22.323,406.95,505.24,,,338.85,,505.555,,364.68,,,353.99,,237.0,349.11,354.61,239.87,,,,277.35,367.35,371.16,375.39,367.96,369.0,367.48,370.34,363.64,374.52,367.97,,377.85,387.62,375.17,364.75,365.85,365.39,L7
2002-11-13 22:05:30.425,406.95,492.645,,,348.94500000000005,356.58,505.555,,366.96000000000004,,,362.58500000000004,,237.0,351.59499999999997,355.265,239.87,359.62,,328.32,277.35,367.07000000000005,368.58000000000004,375.39,367.96,369.0,367.48,370.34,363.64,374.52,370.96000000000004,,378.755,385.91499999999996,374.495,364.21500000000003,365.915,363.46,L7
2003-01-16 22:06:02.914,406.95,491.255,500.48,,348.94500000000005,356.58,509.81000000000006,,369.24,,,371.18,,237.0,354.08,355.92,239.87,364.89,368.41,343.67499999999995,277.35,366.79,366.0,,,,,,,,373.95,,379.66,384.21,373.82,363.68,351.115,361.53,L7
2003-04-06 22:06:21.012,406.95,491.255,500.48,,348.94500000000005,356.58,416.8533333333333,,369.24,,,371.18,,237.0,354.08,355.92,239.87,364.89,368.41,343.67499999999995,267.885,366.79,366.0,,,,,,,,373.95,,379.66,384.21,373.82,363.68,351.115,361.53,L7
2003-04-22 22:06:19.091,406.95,508.1233333333333,505.425,,348.94500000000005,356.58,377.125,,344.65,264.44,226.91,371.18,,239.37,354.08,355.92,238.42999999999998,364.89,305.015,343.67499999999995,269.44666666666666,366.79,366.0,,,,344.8,,,,373.95,305.17,379.66,384.21,357.41999999999996,346.735,347.85999999999996,361.53,L7
2003-05-08 22:06:20.773,,508.1233333333333,505.425,356.14,348.78499999999997,344.21,314.2275,351.24,337.33666666666664,267.35,240.39999999999998,371.18,,241.74,354.08,355.92,236.45999999999998,337.74333333333334,284.35333333333335,343.67499999999995,271.09,366.79,366.0,,,,344.8,,,,366.315,301.655,373.135,375.66999999999996,357.2166666666667,342.9666666666667,348.6875,350.845,L7
2003-05-24 22:06:17.162,,522.16,518.66,356.14,341.575,341.07,305.476,354.03,329.69666666666666,267.35,240.39999999999998,340.38,366.99,241.74,343.16,351.57,236.45999999999998,315.59666666666664,276.84000000000003,342.905,271.09,359.33,362.28,367.36,366.87,363.7,351.815,356.53,360.19,363.89,359.725,320.7966666666667,369.69,372.425,355.8500000000001,341.11999999999995,342.92333333333335,340.16,L7
2003-09-05 21:54:56.069,,541.86,459.32666666666665,337.33,338.2,341.07,251.71800000000002,316.1066666666666,330.5125,279.41,233.94666666666663,297.11,301.11,226.88,284.385,296.125,234.5333333333333,279.27,247.14,301.87,280.55,345.105,344.025,351.71000000000004,352.19,346.44,345.5366666666667,345.24,344.37,353.27,355.19666666666666,323.41499999999996,352.41333333333336,365.76666666666665,353.73,340.005,342.6366666666667,334.61,L5
2003-10-23 21:55:36.755,,,405.3,339.71666666666664,339.185,340.9633333333333,253.4125,300.985,339.54,304.3666666666666,241.59,281.2033333333333,270.24666666666667,204.91500000000002,264.38666666666666,276.83,242.39333333333332,278.2075,253.51000000000002,298.44666666666666,306.9066666666667,344.24,344.11999999999995,351.8533333333333,352.2266666666667,346.47333333333336,349.11666666666673,347.47666666666663,346.6566666666667,350.39000000000004,354.8925,325.52,346.03,367.53,358.6875,341.83500000000004,343.58,336.41333333333336,L5
