dates,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0054,nzd0474-0055,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072,satname
2002-12-08 22:02:27+00:00,304.36,316.44999999999993,287.4,310.5133333333334,296.945,287.84000000000003,282.57,298.86,284.2,285.38,298.055,289.9775,284.79999999999995,291.135,279.78,278.57500000000005,287.55,277.9275,283.53,276.47,275.8566666666666,278.0066666666667,267.53499999999997,263.7125,283.3325,267.97,290.1625,292.83,299.1533333333333,302.34,314.23,315.44,,307.25,,256.57,266.45,291.5,280.34000000000003,269.4775,268.03499999999997,274.8333333333333,268.19,288.19500000000005,246.94000000000003,242.73,290.84000000000003,280.615,285.715,285.07,300.67,313.635,288.55,300.12,296.78,305.95,304.15,304.86,,,312.19499999999994,323.95,333.1233333333334,332.895,,318.595,328.235,329.47,235.62,331.16499999999996,328.9549999999999,315.63000000000005,,L7
2002-12-24 22:02:33+00:00,304.36,316.44999999999993,287.4,314.27000000000004,299.28666666666663,290.52333333333337,282.57,298.86,284.2,285.38,299.06666666666666,292.5566666666667,290.3533333333333,296.7,287.15,277.94000000000005,294.37500000000006,271.3875,275.32,267.08250000000004,264.7366666666667,264.91333333333336,262.10999999999996,261.17,282.9033333333333,259.515,281.9225,287.8966666666667,295.735,302.34,314.23,315.44,,307.25,,256.57,266.45,291.5,282.92,265.2875,268.53999999999996,271.73,266.6,285.3,233.35666666666668,229.85,286.42,282.57,283.0733333333333,293.83,300.67,313.635,288.55,300.12,296.78,305.95,304.15,304.86,,,313.89,323.95,333.855,332.895,,326.43,328.94,,,326.83,324.27,317.39500000000004,,L7
2003-08-13 21:51:08+00:00,322.0,347.64,339.66,347.04,344.02,333.51,,335.45,334.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-10-16 21:52:08+00:00,318.82,336.88,321.37,328.145,326.655,314.32,296.35,317.365,317.47,302.9,316.76,310.11,310.72,325.52,320.25,306.08,299.94,294.57,303.08,294.15,291.39,293.46,292.14,290.11,295.62,298.39,293.06,293.68,309.89,320.16,333.87,329.0,303.6,316.66,313.8,,306.18,319.805,307.75,301.81,295.91,289.59,299.2,296.29,213.77,216.73,,,261.94,304.0,303.03,,,,,303.09,308.31,294.72,307.69,304.14,315.23,325.88,336.2,,,315.97,345.97,346.48,,,,326.2,330.11,L5
2003-11-17 21:52:33+00:00,319.02,334.7966666666667,313.6466666666667,325.69,325.4533333333333,313.90000000000003,303.875,310.88666666666666,311.77,302.385,316.355,310.84000000000003,308.81,320.205,314.87,308.53,303.24,301.65999999999997,311.15,298.895,283.4,287.745,289.83,286.32,293.675,292.78499999999997,293.12,295.115,310.12,315.72,327.765,324.895,303.6,323.515,307.09000000000003,,307.545,316.33,308.475,296.53,289.755,291.395,301.105,285.115,217.385,222.095,299.97,306.49,289.83500000000004,282.775,302.22,287.17,310.67,310.7,306.63,304.715,314.615,294.72,304.655,304.46500000000003,315.485,326.53999999999996,329.875,327.84,,328.70500000000004,345.97,346.48,261.97,,321.04,335.71000000000004,302.68,L5
2004-06-12 21:55:35+00:00,,,,300.24,294.52,291.08,288.18,288.74,292.08,291.15,301.52,291.93,283.74,291.82,283.73,,274.21,277.42,289.96,281.32,275.02,274.81,262.9,263.48,280.2,262.25,271.91,282.12,293.49,298.38,306.9,291.0,289.7,305.12,284.26,265.24,,,287.64,272.75,263.33,278.4,285.65,283.83,288.15,285.49,265.17,269.31,284.72,275.75,288.56,,,,,273.49,306.55,286.53,297.45,312.22,324.68,332.21,324.27,320.82,239.2,,312.33,329.24,,333.48,,,311.9,L5
2004-07-30 21:56:51+00:00,,336.83,314.13,317.12,312.90999999999997,304.595,288.18,302.57,310.525,316.14,323.455,315.01,283.74,291.82,307.745,,274.21,277.42,289.96,281.32,275.02,274.81,262.9,263.48,280.2,262.25,271.91,282.12,293.49,298.38,306.9,291.0,289.7,305.12,284.26,265.24,,,287.64,272.75,263.33,278.4,285.65,283.83,288.15,285.49,265.17,269.31,284.72,275.75,288.56,,,,,273.49,306.55,286.53,297.45,312.22,324.68,332.21,324.27,320.82,239.2,,312.33,329.24,,333.48,,,311.9,L5
2004-08-15 21:57:13+00:00,311.57,335.245,312.495,321.55333333333334,318.1766666666667,308.4866666666667,304.305,309.90000000000003,315.58,323.06666666666666,323.455,321.98333333333335,283.74,291.82,307.745,,274.21,277.42,289.96,281.32,275.02,274.81,262.9,263.48,280.2,262.25,271.91,282.12,293.49,298.38,306.9,291.0,289.7,305.12,284.26,265.24,,,287.64,272.75,263.33,278.4,285.65,283.83,288.15,285.49,265.17,269.31,284.72,275.75,288.56,,,,,273.49,306.55,286.53,297.45,312.22,324.68,332.21,324.27,320.82,239.2,,312.33,329.24,,333.48,,,311.9,L5
2004-10-18 21:58:47+00:00,312.49,331.08,307.76666666666665,319.295,316.6225,306.14,302.4666666666667,308.0175,313.8525,321.485,324.3633333333333,321.90250000000003,300.07500000000005,309.47,312.29,295.36,285.9,287.4,297.185,289.71000000000004,284.5,289.405,282.225,281.79,280.2,262.25,286.745,294.735,307.95500000000004,298.38,306.9,291.0,289.7,305.12,297.90999999999997,286.01,293.65,287.73,292.91499999999996,288.26,282.245,278.4,292.135,287.705,280.78499999999997,280.475,272.20000000000005,276.28999999999996,282.06,279.15,291.775,,298.37,,295.89,284.37,306.55,286.53,302.895,312.22,310.49,318.755,324.27,320.82,239.2,,312.33,329.24,,333.48,327.5,332.84,322.325,L5
2005-02-23 22:00:55+00:00,310.745,319.565,290.305,311.78499999999997,313.67499999999995,301.45000000000005,301.475,301.565,306.56,311.57,327.67,322.56,317.295,327.52,320.015,295.695,294.97,296.48,302.25,297.6,293.175,298.0,297.4,295.36,295.85,293.57,295.54499999999996,308.19500000000005,322.765,,,,316.28,,312.735,304.195,296.705,292.20500000000004,298.77,299.025,298.0,297.76,298.62,290.46500000000003,274.94,275.9,281.13,284.845,282.48,282.5,293.895,318.51,300.875,299.02,293.85,300.08500000000004,315.36,,308.34,,296.3,305.3,,,,,,,,,327.5,332.84,332.75,L5
