dates,nzd0036-0000,nzd0036-0001,nzd0036-0002,nzd0036-0003,nzd0036-0004,nzd0036-0005,nzd0036-0006,nzd0036-0007,nzd0036-0008,nzd0036-0009,nzd0036-0010,nzd0036-0011
2016-06-04 22:17:16+00:00,330.3575,325.27142857142854,319.09857142857146,284.102,313.0928571428571,312.5828571428571,323.905,318.288,328.08166666666665,322.62800000000004,249.47000000000003,324.87857142857143
2016-06-13 22:11:06+00:00,322.7475,318.55,309.3471428571429,269.896,302.0571428571429,306.51714285714286,313.9325,311.21,328.13,320.9475,249.47000000000003,326.34833333333336
2016-06-29 22:11:15+00:00,322.7475,310.9533333333333,295.42142857142863,260.17600000000004,288.6616666666667,300.3016666666667,301.8333333333333,296.85249999999996,317.91999999999996,317.18,235.69,324.37
2016-07-15 22:11:22+00:00,322.12,304.514,280.49857142857144,258.465,274.01500000000004,289.56333333333333,282.2566666666667,286.4275,312.1875,304.935,235.69,323.3975
2016-08-07 22:17:37+00:00,322.8433333333333,309.07666666666665,281.42125,259.97285714285715,277.06142857142856,289.87285714285713,284.74,288.46999999999997,312.1875,304.935,224.745,318.716
2016-08-16 22:11:29+00:00,324.73285714285714,309.42285714285714,280.80333333333334,264.485,280.46000000000004,291.11,288.054,291.41333333333336,312.846,308.31,223.76999999999998,317.245
2016-09-24 22:17:49+00:00,324.9542857142857,314.28428571428566,268.35125,267.105,277.25125,287.56125,291.8733333333334,293.61999999999995,304.96999999999997,308.65333333333336,230.34666666666666,305.845
2016-10-10 22:17:54+00:00,326.52625,317.72249999999997,272.73777777777775,272.40555555555557,282.0133333333333,290.31888888888886,295.07428571428574,296.86285714285714,308.366,309.74,236.505,306.946
2016-10-19 22:11:45+00:00,326.52625,322.0411111111111,277.813,278.256,287.756,295.27,301.23875,303.2025,315.78,317.986,236.505,310.36
2016-11-20 22:11:45+00:00,326.16555555555556,320.515,277.813,279.77909090909094,289.22545454545457,295.7181818181818,301.23875,303.5022222222222,315.8971428571428,317.75333333333333,239.26,310.48285714285714
2016-12-22 22:11:39+00:00,330.2642857142857,323.45125,283.68857142857144,289.33000000000004,298.8644444444444,302.0233333333333,304.08,305.29777777777775,315.5475,317.3757142857143,241.58166666666668,310.74125000000004
2017-01-30 22:17:38+00:00,332.03999999999996,330.9525,306.26000000000005,306.77,315.4475,310.80999999999995,316.77500000000003,316.42625,325.5214285714286,322.43,241.58166666666668,312.3242857142858
2017-03-03 22:17:25+00:00,335.19,335.58714285714285,321.42,316.5785714285715,320.8671428571429,316.5285714285714,325.96400000000006,321.4971428571429,327.65285714285716,323.17571428571426,256.08000000000004,316.2033333333333
2017-03-28 22:11:00+00:00,334.7475,337.86285714285714,329.922,322.4785714285714,327.6685714285714,321.93571428571425,333.804,327.69999999999993,329.4433333333333,329.15,256.245,317.445
2017-04-13 22:10:53+00:00,333.82,337.2083333333333,334.996,326.55000000000007,331.67999999999995,326.09857142857146,338.246,329.59666666666664,330.942,331.84166666666664,256.6666666666667,319.07
2017-04-20 22:16:59+00:00,334.31,334.59166666666664,330.796,323.84000000000003,328.28142857142853,321.61285714285714,331.332,323.79833333333335,323.32800000000003,324.7383333333333,255.2025,316.20666666666665
2017-05-06 22:16:55+00:00,335.606,335.4871428571428,326.55833333333334,322.51,327.02625,320.21375,328.105,322.48857142857145,322.595,322.8157142857143,254.39000000000001,315.9614285714286
2017-06-07 22:17:15+00:00,336.61,338.90857142857146,321.19,321.72249999999997,325.84375,319.4825,323.42285714285714,321.69,320.30333333333334,319.82714285714286,255.41750000000002,316.75166666666667
2017-06-16 22:11:07+00:00,337.06666666666666,335.87375,316.0725,318.7966666666666,323.4433333333333,317.1977777777778,320.41,319.53249999999997,319.03428571428566,318.99625,247.448,315.70285714285717
2017-07-09 22:17:23+00:00,336.2766666666667,338.25375,313.09666666666664,315.97777777777776,322.22222222222223,316.3311111111111,316.7322222222222,316.5475,314.4785714285714,319.5514285714285,246.0125,316.22833333333335
2017-07-25 22:17:30+00:00,334.71571428571434,336.9855555555556,310.338,311.221,318.957,313.717,316.7322222222222,312.1677777777778,314.4785714285714,319.5514285714285,246.0125,316.22833333333335
2017-08-10 22:17:37+00:00,333.37375000000003,334.1822222222222,305.086,303.675,313.65299999999996,308.8190000000001,314.135,304.8322222222222,309.9316666666666,317.0783333333333,246.0125,316.22833333333335
2017-09-11 22:17:42+00:00,330.58,331.74111111111114,300.187,299.846,310.331,305.23699999999997,309.84375,300.7844444444445,303.4633333333333,316.438,235.83499999999998,315.30800000000005
2018-01-10 22:11:30+00:00,328.10249999999996,321.7625,281.7425,280.13750000000005,293.0575,290.96500000000003,295.95,285.70250000000004,303.35,314.29,237.04,312.82
2018-01-26 22:11:21+00:00,328.39,317.37750000000005,278.425,286.60249999999996,296.2025,293.1675,297.62333333333333,293.175,306.96999999999997,315.375,237.60666666666665,312.525
2018-03-31 22:10:51+00:00,325.9033333333333,306.7633333333334,267.3666666666667,294.66999999999996,302.91999999999996,295.05,302.265,307.31500000000005,314.65999999999997,315.375,243.49999999999997,312.525
2018-04-07 22:16:59+00:00,335.05499999999995,318.39750000000004,285.95,309.8233333333333,314.06,305.6625,316.5933333333333,320.30333333333334,325.5533333333333,325.01,279.59666666666664,322.1033333333333
2018-05-02 22:10:33+00:00,335.05499999999995,325.084,297.038,316.81,323.47,312.76599999999996,322.8125,329.1775,332.7125,333.8925,296.5575,323.3275
2018-05-09 22:16:40+00:00,335.05499999999995,325.084,305.5783333333333,323.372,329.066,318.02666666666664,326.828,333.29200000000003,336.77799999999996,338.18199999999996,307.32,323.3275
2018-05-25 22:16:28+00:00,334.01599999999996,326.3616666666667,303.7557142857143,319.84499999999997,325.25,315.2114285714286,322.365,327.67,336.77799999999996,338.18199999999996,307.32,323.3275
2018-06-26 22:16:36+00:00,333.335,327.37142857142857,302.755,317.6242857142857,321.6471428571428,313.14375,318.9814285714286,323.7514285714286,331.5833333333333,331.32666666666665,307.32,323.3275
2018-08-06 22:10:46+00:00,335.038,330.6166666666667,308.5357142857143,322.09,325.17499999999995,315.5157142857143,322.02500000000003,326.69166666666666,334.934,335.12199999999996,335.24,327.25
