dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2002-12-24 22:00:09+00:00,355.53,296.86,277.4433333333333,263.4433333333333,315.725,249.18666666666664,279.3366666666667,360.03666666666663,325.00166666666667,310.15999999999997,335.19,348.2525,361.666,350.4466666666667,335.84666666666664,274.33000000000004,276.59400000000005,281.16999999999996,276.842,292.178,298.618,306.5833333333333,322.77750000000003,348.69,,309.62,332.22749999999996
2003-01-18 21:54:06+00:00,338.29,301.78,289.7766666666667,280.33,309.49,244.76,284.37500000000006,347.48749999999995,333.3016666666667,318.152,326.42999999999995,338.346,354.065,342.04,335.875,290.01200000000006,293.288,299.758,287.46000000000004,310.604,315.32,318.17833333333334,340.65500000000003,349.375,,317.0875,333.066
2003-01-25 22:00:18+00:00,338.29,301.78,299.51250000000005,292.5075,309.215,244.76,294.55,338.044,330.32428571428574,318.745,325.764,336.0683333333333,348.2357142857143,336.836,342.14199999999994,290.01200000000006,293.288,304.31333333333333,295.95,316.68333333333334,315.32,321.65999999999997,341.192,351.944,,317.0875,333.066
2003-03-23 21:54:16+00:00,,336.55,325.42,326.05333333333334,303.67,303.44,309.9066666666667,333.762,338.6116666666666,326.364,319.3725,333.37,340.475,331.942,334.608,311.74,314.775,314.316,309.1233333333333,325.946,324.40999999999997,337.10333333333335,340.024,355.67600000000004,,339.165,335.8666666666666
2003-03-30 22:00:31+00:00,344.72,336.55,325.42,326.05333333333334,311.474,319.975,309.9066666666667,333.762,338.6116666666666,326.364,319.3725,320.99666666666667,332.1257142857143,324.755,322.7633333333333,297.91999999999996,301.48400000000004,299.835,290.26,312.24666666666667,308.802,337.10333333333335,328.2083333333333,355.67600000000004,295.15,339.165,335.8666666666666
2003-04-24 21:54:22+00:00,344.72,336.55,325.42,326.05333333333334,314.87249999999995,319.975,313.365,325.7575,324.4275,307.7733333333333,310.48333333333335,316.06000000000006,320.848,319.098,319.148,292.03499999999997,295.76250000000005,296.024,278.1166666666667,306.96,301.62,338.072,325.456,357.64,295.15,340.8633333333334,335.8666666666666
2003-05-10 21:54:22+00:00,344.72,336.55,325.42,326.05333333333334,314.87249999999995,319.975,313.365,325.7575,324.4275,307.7733333333333,310.48333333333335,316.06000000000006,320.848,319.098,319.148,292.03499999999997,295.76250000000005,296.024,278.1166666666667,306.96,301.62,338.072,325.456,360.9466666666667,295.15,340.8633333333334,335.8666666666666
2003-05-26 21:54:19+00:00,352.235,330.34000000000003,330.6325,322.96500000000003,318.938,314.0733333333333,309.9866666666667,322.3,318.0,302.7875,306.97749999999996,307.84,314.71,305.9433333333333,319.148,292.03499999999997,295.76250000000005,280.13666666666666,272.8725,299.40333333333336,295.882,326.55,325.456,353.9428571428572,295.15,341.1125,334.7
2003-07-21 21:42:09+00:00,352.235,330.34000000000003,334.49333333333334,325.05,324.41749999999996,314.0733333333333,297.5225,308.2966666666667,303.81666666666666,290.53,292.07,282.784,292.966,288.71999999999997,297.6375,255.39333333333332,255.35,248.58799999999997,263.12,270.89399999999995,258.1375,309.32,301.0675,343.32666666666665,291.125,318.66,313.23333333333335
2003-08-06 21:42:27+00:00,352.235,330.34000000000003,337.38,307.05333333333334,329.76,314.0733333333333,285.9575,312.31,299.495,273.655,273.8025,268.06,283.444,281.848,272.9475,255.41499999999996,252.695,229.73399999999998,243.35399999999998,248.144,254.802,293.038,283.2475,331.4266666666667,291.21666666666664,305.685,301.85
