dates,nzd0355-0000,nzd0355-0001,nzd0355-0002,nzd0355-0003,nzd0355-0004,nzd0355-0005,nzd0355-0006,nzd0355-0007,nzd0355-0008,nzd0355-0009,nzd0355-0010,nzd0355-0011,nzd0355-0012,nzd0355-0013,nzd0355-0014,nzd0355-0015,nzd0355-0016,nzd0355-0017,nzd0355-0018,nzd0355-0019,nzd0355-0020,nzd0355-0021,nzd0355-0022,nzd0355-0023,nzd0355-0024,nzd0355-0025,nzd0355-0026,nzd0355-0027,nzd0355-0028,nzd0355-0029,nzd0355-0030,nzd0355-0031,nzd0355-0032,nzd0355-0033,nzd0355-0034,nzd0355-0035,nzd0355-0036,nzd0355-0037,nzd0355-0038,nzd0355-0039,nzd0355-0040,nzd0355-0041,nzd0355-0042,nzd0355-0043,nzd0355-0044,nzd0355-0045,nzd0355-0046,nzd0355-0047,nzd0355-0048,nzd0355-0049,nzd0355-0050,nzd0355-0051,nzd0355-0052,nzd0355-0053,nzd0355-0054,nzd0355-0055,nzd0355-0056,nzd0355-0057,nzd0355-0058,nzd0355-0059,nzd0355-0060,nzd0355-0061,nzd0355-0062,nzd0355-0063,nzd0355-0064,nzd0355-0065,nzd0355-0066,nzd0355-0067,nzd0355-0068,nzd0355-0069,nzd0355-0070,nzd0355-0071,nzd0355-0072,nzd0355-0073,nzd0355-0074,nzd0355-0075,nzd0355-0076,nzd0355-0077,nzd0355-0078,nzd0355-0079,nzd0355-0080,nzd0355-0081,nzd0355-0082,nzd0355-0083,nzd0355-0084,nzd0355-0096,nzd0355-0097,nzd0355-0098,nzd0355-0099,nzd0355-0100,nzd0355-0101,nzd0355-0102,nzd0355-0085,nzd0355-0086,nzd0355-0087,nzd0355-0088,nzd0355-0089,nzd0355-0090,nzd0355-0091,nzd0355-0092,nzd0355-0093,nzd0355-0094,nzd0355-0095,satname
2023-11-17 22:07:27.133,357.45,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,476.61,519.9499999999999,514.6933333333334,498.34833333333336,513.668,513.7614285714286,511.97875,487.98545454545456,487.47583333333336,475.69499999999994,471.4766666666667,469.5108333333333,458.2583333333334,448.4608333333333,445.0016666666667,439.9691666666667,430.81,424.90916666666664,420.47083333333336,414.66916666666674,410.2516666666666,406.97416666666663,402.7608333333333,390.96750000000003,380.76500000000004,373.1325,366.76,373.61,366.184,353.87999999999994,349.78,343.6922222222222,343.3744444444444,344.12777777777774,339.6388888888889,342.1411111111111,338.25888888888886,322.11777777777775,298.2441666666667,289.8575,279.65333333333336,281.42699999999996,265.37916666666666,257.61333333333334,253.9333333333333,256.602,243.86583333333337,240.94500000000002,242.52166666666668,241.59333333333333,242.19916666666668,233.01333333333332,215.74333333333334,202.5616666666667,195.14499999999998,189.28555555555556,187.39555555555555,182.60666666666665,184.05333333333334,185.61666666666667,187.01000000000002,176.2783333333333,176.1533333333333,208.22400000000002,218.71800000000002,205.464,,,,,,,300.75,322.8966666666666,,,,,,,,,,,,L8
2023-11-25 22:07:32.484,437.97,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,476.61,519.9499999999999,514.6933333333334,498.34833333333336,513.668,513.7614285714286,511.97875,487.98545454545456,487.47583333333336,475.69499999999994,471.4766666666667,469.5108333333333,458.2583333333334,448.4608333333333,445.0016666666667,439.9691666666667,430.81,424.90916666666664,420.47083333333336,414.66916666666674,410.2516666666666,406.97416666666663,402.7608333333333,390.96750000000003,384.14153846153846,375.8061538461539,369.52000000000004,375.68000000000006,367.25636363636363,355.897,350.886,345.04200000000003,344.504,345.61499999999995,341.726,343.36199999999997,339.606,323.735,300.2146153846154,291.9676923076923,282.1692307692308,283.3672727272727,267.4146153846154,259.30538461538464,255.82692307692307,258.23545454545456,246.17384615384617,243.1976923076923,244.1076923076923,243.38846153846154,244.1446153846154,234.33692307692306,218.03923076923078,204.8876923076923,195.14499999999998,191.641,189.414,184.173,185.942,187.921,187.01000000000002,177.85285714285715,176.1533333333333,211.95833333333334,218.71800000000002,205.464,,,212.4,315.18,318.76,,300.75,321.66999999999996,,244.83,196.59,,,,,,,,210.85,L9
2023-12-19 22:07:27.073,465.29333333333335,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,476.61,519.8824999999999,514.2325000000001,495.19166666666666,507.96000000000004,512.26,510.87428571428575,483.76899999999995,484.1054545454546,471.2054545454545,467.82272727272726,465.9927272727273,454.80818181818177,445.6372727272728,439.9,434.99090909090916,427.61727272727273,422.21636363636367,416.42454545454547,411.16,405.7927272727273,403.1045454545454,399.55909090909086,388.08,381.81916666666666,372.97499999999997,366.8541666666667,373.82,364.773,355.50555555555553,349.46,343.34,342.1644444444444,341.62666666666667,339.0911111111111,339.3211111111111,336.0811111111111,321.6122222222223,296.2425,287.29833333333335,279.87666666666667,282.108,265.5408333333333,258.1358333333333,254.64583333333334,257.428,244.57499999999996,241.76250000000002,242.13583333333335,241.3975,241.21916666666667,230.67500000000004,214.08666666666667,202.035,192.6788888888889,189.75,186.11111111111111,181.1477777777778,181.69,184.17444444444445,182.8625,175.17800000000003,171.005,214.67749999999998,218.10666666666668,200.52999999999997,,,212.4,315.18,318.76,,300.75,321.66999999999996,,244.83,196.59,,,,,,,,210.85,L8
2024-01-12 22:07:30.793,478.04,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,494.0333333333333,519.668,513.6800000000001,496.7957142857143,506.81000000000006,511.5614285714286,509.83250000000004,484.3472727272727,483.915,472.49499999999995,468.1891666666667,465.2508333333333,454.98999999999995,445.74583333333334,440.0783333333333,435.89000000000004,428.2675,422.62083333333334,417.51833333333326,412.21166666666664,406.30833333333334,403.5408333333333,400.2825,388.945,382.50461538461536,373.61538461538464,367.83076923076925,372.7318181818182,363.26181818181817,354.73199999999997,348.678,342.35900000000004,342.20500000000004,340.45500000000004,337.914,338.881,335.092,320.97200000000004,296.21153846153845,287.54692307692306,281.0930769230769,281.66181818181815,266.0338461538462,258.04076923076923,254.9923076923077,257.1363636363636,244.30846153846153,241.62846153846155,243.03384615384616,241.40692307692308,240.60384615384615,230.4946153846154,215.29615384615383,202.55076923076925,192.268,188.772,184.356,180.56300000000002,180.674,183.215,182.29111111111112,174.16333333333333,171.038,210.16400000000004,214.6325,195.7975,,,212.4,315.18,318.76,,300.75,321.66999999999996,,244.83,196.59,,,,,,,,210.85,L9
2024-01-28 22:07:30.090,478.04,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,494.0333333333333,519.668,513.6800000000001,496.7957142857143,506.81000000000006,511.5614285714286,509.83250000000004,484.3472727272727,480.0427272727273,468.8127272727272,467.2718181818182,460.69,451.0681818181818,442.59363636363634,436.7681818181818,437.53416666666664,428.61833333333334,422.8966666666666,417.835,413.1575,407.395,404.10999999999996,401.0166666666667,389.7733333333333,382.95000000000005,374.12461538461537,368.67461538461544,372.1218181818182,364.73454545454547,356.713,350.721,344.137,342.55699999999996,339.101,336.27200000000005,337.71000000000004,335.21999999999997,320.86,296.5107692307692,288.44615384615383,281.5446153846154,282.5327272727273,266.7153846153846,259.3146153846154,256.79538461538465,258.8509090909091,245.78538461538463,243.14230769230772,244.2976923076923,242.90230769230766,242.20538461538462,231.85615384615386,215.68538461538463,203.21384615384616,193.323,189.29500000000002,184.73499999999999,181.11599999999999,180.75,185.226,184.37333333333333,176.00714285714284,173.22500000000002,211.705,214.31800000000004,195.152,,,212.4,344.13,331.055,,285.26,320.97249999999997,,244.83,196.59,,,,,,,253.05,210.85,L9
2024-02-05 22:07:19.904,483.48,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,494.0333333333333,519.668,513.6800000000001,496.7957142857143,506.81000000000006,509.3833333333334,507.0185714285714,481.116,477.317,465.599,464.13200000000006,457.5799999999999,449.233,439.49300000000005,434.06000000000006,440.07750000000004,431.0975,424.9883333333334,419.5833333333333,415.0016666666667,409.4541666666667,405.6141666666667,402.73583333333335,391.4683333333333,383.6730769230769,375.1515384615384,369.7261538461538,374.2127272727273,367.08363636363634,359.58000000000004,352.616,346.0,344.523,341.46899999999994,338.53900000000004,338.666,335.84499999999997,322.971,298.13076923076926,290.16230769230765,281.9676923076923,282.9081818181818,267.6376923076923,260.09999999999997,257.07153846153847,258.7081818181818,245.60999999999999,243.68846153846155,245.88615384615383,244.6623076923077,243.9023076923077,233.2923076923077,216.78615384615387,204.85461538461539,194.863,190.824,187.378,183.584,183.17199999999997,187.80900000000003,186.63444444444445,179.81714285714287,172.40400000000002,213.07,215.29750000000004,196.445,226.69,232.2,212.4,361.70666666666665,344.97,,285.26,332.352,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L8
2024-02-13 22:07:29.811,489.46333333333337,485.54,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,499.66333333333336,502.895,496.695,491.445,484.54499999999985,483.605,485.405,483.65,501.5425,517.7479999999999,512.826,495.78428571428566,506.24799999999993,508.99500000000006,507.5171428571429,480.39699999999993,476.73300000000006,465.442,462.60699999999997,457.04200000000003,448.841,438.88199999999995,433.33600000000007,440.1418181818182,430.78272727272724,424.3963636363637,419.17181818181814,414.6236363636364,408.9263636363637,405.0372727272727,401.8281818181818,390.48333333333335,382.5092307692308,374.1753846153846,369.14846153846156,373.36272727272734,367.35800000000006,358.90299999999996,351.40500000000003,344.93399999999997,344.7088888888889,340.43399999999997,337.95799999999997,337.863,334.82399999999996,321.32599999999996,297.54615384615386,288.7476923076923,281.19384615384615,282.41727272727275,266.7484615384615,259.4838461538462,256.32153846153847,257.0390909090909,244.46692307692308,242.62923076923076,244.91461538461542,244.09153846153842,243.36076923076928,231.83076923076925,215.6330769230769,203.86846153846153,193.442,189.353,185.699,182.23499999999999,182.423,187.191,186.21444444444444,181.13833333333332,173.2375,216.7525,216.5566666666667,197.8133333333333,226.69,232.2,212.4,361.70666666666665,344.97,,285.26,342.3875,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L9
2024-02-21 22:07:17.333,489.46333333333337,494.555,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,504.53749999999997,504.99,498.5133333333333,493.1666666666667,486.4199999999999,484.74666666666667,486.46999999999997,495.11999999999995,501.924,509.51666666666665,504.84666666666664,495.78428571428566,506.24799999999993,508.99500000000006,504.90500000000003,476.72999999999996,473.64666666666676,463.49555555555554,458.3544444444444,452.86555555555555,447.5611111111111,437.0433333333333,430.3633333333334,438.183,428.991,422.62399999999997,417.341,412.2580000000001,405.747,401.665,398.90299999999996,388.1363636363636,381.2708333333333,373.80833333333334,368.59083333333336,373.8570000000001,368.18555555555554,359.25,350.6422222222222,345.52666666666664,345.34999999999997,339.02777777777777,337.87333333333333,338.0188888888889,335.69444444444446,322.6022222222222,297.1791666666667,287.59,280.19083333333333,282.8,263.0338461538461,255.20692307692303,252.4830769230769,251.81454545454545,240.02307692307693,240.33615384615385,242.79538461538462,241.78307692307692,240.9592307692308,230.19923076923075,213.7753846153846,200.2823076923077,189.974,185.86100000000002,186.1533333333333,182.84777777777776,183.02777777777777,187.84444444444446,186.15125,183.144,176.16333333333333,216.7525,216.5566666666667,197.8133333333333,226.69,232.2,212.4,361.70666666666665,344.97,,285.26,342.3875,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L8
2024-02-29 22:07:23.348,493.2714285714286,494.555,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,504.53749999999997,504.99,498.5133333333333,493.1666666666667,486.4199999999999,484.74666666666667,486.46999999999997,495.11999999999995,501.924,509.51666666666665,504.84666666666664,495.78428571428566,508.9783333333333,506.8416666666667,504.56666666666666,478.0733333333333,473.0533333333333,463.5566666666667,456.1455555555556,452.21555555555557,446.1622222222222,437.6933333333334,430.94888888888886,435.95,429.6,422.817,416.675,412.058,404.192,399.16600000000005,398.34499999999997,388.8163636363637,380.7,372.25250000000005,367.3516666666667,372.948,368.3577777777778,359.93666666666667,350.9922222222222,343.81777777777774,345.08125,339.2677777777778,337.77222222222224,337.8211111111111,334.40666666666664,321.18,296.40166666666664,286.43833333333333,279.38416666666666,281.8,261.1691666666666,252.69416666666666,250.28083333333333,250.16454545454545,238.5476923076923,239.44923076923075,242.00307692307692,240.72615384615386,239.65153846153845,228.71846153846155,213.53615384615384,200.04384615384612,189.238,184.652,184.86333333333334,181.60000000000002,182.50444444444443,186.6377777777778,185.17249999999999,186.86249999999998,177.66500000000002,214.04999999999998,208.63500000000005,187.08499999999998,226.69,232.2,212.4,361.70666666666665,344.97,,,347.96000000000004,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L9
2024-03-08 22:07:05.574,493.2714285714286,497.8966666666667,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,506.9719999999999,506.375,499.5225,494.0475,487.47249999999997,484.85,486.85499999999996,492.12249999999995,497.6716666666667,500.92,496.41333333333336,493.20666666666665,508.85,507.146,505.48400000000004,475.14375,469.85875,461.2,452.75500000000005,449.87625,444.04875000000004,434.7975,428.79499999999996,434.4533333333333,427.18666666666667,420.2033333333333,414.69888888888886,411.08666666666664,403.05888888888893,397.9766666666667,396.7944444444444,387.33000000000004,379.7518181818181,371.85090909090917,366.19818181818187,374.05555555555554,370.63,361.745,352.06125,344.81874999999997,341.83625,340.39375,338.78625,338.3,330.97444444444443,316.78000000000003,295.58181818181816,285.4036363636364,276.26,278.37899999999996,258.7775,249.74249999999998,247.48833333333334,247.7318181818182,235.9223076923077,237.64769230769232,239.78692307692307,238.73538461538462,237.7069230769231,226.25538461538463,211.37461538461537,198.28615384615387,187.15,182.679,185.12125,182.36125,183.70499999999998,187.35500000000002,186.1242857142857,186.86249999999998,177.66500000000002,214.04999999999998,208.63500000000005,187.08499999999998,226.69,232.2,212.4,361.70666666666665,344.97,,,347.96000000000004,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L8
2024-03-16 22:07:23.404,494.8525,497.8966666666667,529.47,528.21,528.88,529.76,522.35,513.16,514.9,507.23,506.9719999999999,506.375,499.5225,494.0475,487.47249999999997,484.85,486.85499999999996,492.12249999999995,497.6716666666667,500.92,496.41333333333336,496.5057142857143,510.2033333333334,507.2283333333333,506.25500000000005,477.71000000000004,473.5533333333334,464.37888888888887,455.9933333333333,452.4888888888889,449.22111111111116,439.9977777777778,433.43333333333334,437.503,428.16099999999994,421.427,416.43899999999996,412.87199999999996,405.446,400.568,400.443,389.6718181818182,381.2341666666667,373.7658333333334,367.24499999999995,373.648,370.02555555555557,361.2088888888889,352.0133333333333,346.0055555555556,342.11777777777775,339.7888888888889,338.78444444444443,338.9622222222222,331.73199999999997,316.51300000000003,296.9008333333333,286.9941666666667,276.26,278.23818181818183,259.43,249.74249999999998,247.96846153846155,247.79666666666665,235.9223076923077,238.00071428571428,240.42714285714285,239.05714285714288,238.28,226.54857142857145,212.01642857142858,198.75428571428571,187.86999999999998,182.87727272727273,183.62333333333333,181.66666666666666,182.79888888888888,186.34,185.43625,186.86249999999998,177.66500000000002,214.04999999999998,208.63500000000005,187.08499999999998,226.69,232.2,212.4,361.70666666666665,344.97,,,347.96000000000004,223.0,250.51,203.41,164.84,,204.58,185.05,264.21,236.95,244.98000000000002,210.85,L9
