dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021
2015-06-27 22:10:46.339000,L8,334.52,341.60,311.96,267.49,,,,,,,,,,,279.26,,309.08,297.74,,,
2015-07-04 22:17:02.361000,L8,383.76,382.83,349.65,341.04,390.74,,,,,,,,,,,,,,,,
2015-07-29 22:11:01.897000,L8,358.11,354.76,334.13,312.20,359.06,218.79,,,,,,,,,,250.81,,,,,
2015-08-14 22:11:07.472000,L8,357.80,358.34,345.73,323.14,375.97,378.65,,,,352.94,376.37,378.19,374.51,,,324.73,,,,,
2015-09-06 22:17:26.976000,L8,,,,,,,375.20,370.73,345.73,,,,,,,,,,,386.25,
2015-10-08 22:17:36.852000,L8,,,,,,364.13,374.53,365.13,336.00,379.66,391.60,373.55,335.20,322.92,336.34,358.64,344.43,297.05,241.93,381.64,
2015-10-24 22:17:40.820000,L8,,,,,,365.36,367.78,352.12,333.51,379.56,,,,,,344.95,,,,372.93,
2015-12-11 22:17:42.627000,L8,402.39,397.59,378.59,363.46,401.85,372.89,368.68,357.83,,381.98,,,,,,358.10,,,,380.13,
2015-12-20 22:11:33.546000,L8,355.52,352.08,340.29,323.81,369.88,375.07,,,,362.21,377.14,377.14,373.23,,,329.24,,,,,
2015-12-27 22:17:43.409000,L8,405.92,397.51,378.86,362.61,399.33,394.22,,,,340.58,391.82,,,,,354.31,,,,,
2016-01-12 22:17:40.472000,L8,,,,362.68,399.79,391.12,,281.64,329.24,341.74,387.78,,,,,345.91,,,,,
2016-02-22 22:11:18.630000,L8,359.71,350.47,330.65,317.48,356.12,324.96,,,,307.09,285.06,324.27,334.57,347.02,341.44,264.91,339.99,322.11,274.65,,
2016-03-25 22:11:08.402000,L8,361.07,355.59,342.97,320.92,368.99,369.69,346.51,348.29,,324.11,372.01,374.02,366.98,369.44,,318.00,,,,425.81,
