dates,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0062,nzd0121-0063,nzd0121-0065,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0020,nzd0121-0021,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0064,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0009,nzd0121-0128,nzd0121-0129,nzd0121-0138,nzd0121-0139,nzd0121-0010,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0083,nzd0121-0089,nzd0121-0105,nzd0121-0106,nzd0121-0112,nzd0121-0113,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0016,nzd0121-0019,nzd0121-0022,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0017,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0174,nzd0121-0175,nzd0121-0040,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0061,nzd0121-0093,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0023,nzd0121-0055,nzd0121-0056,nzd0121-0069,nzd0121-0179,nzd0121-0100,nzd0121-0027,nzd0121-0028,nzd0121-0111,nzd0121-0030,nzd0121-0043,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054,satname
2002-04-12 22:00:37+00:00,,,,69.37,65.66,90.55,327.24,302.68,209.47,,,,,137.49,109.47,105.89,100.31,109.05,119.77,,,,146.48,,,69.91,76.12,86.73,97.81,111.0,123.42,131.37,132.18,142.2,156.69,146.5,,,,,,,,,,,,,,,,77.255,,66.485,115.18,43.8,178.15,201.1,152.31,287.17,281.94,248.95,224.98000000000002,286.87,,,189.98000000000002,151.34,188.13,,195.65,136.7,202.095,,184.29,,111.44,121.78,113.68,127.85,134.32,152.64,165.67,,,,89.68,118.3,,,,,256.45,232.6,,,220.32,206.04,184.42,,,,149.52,170.4,,,265.42,261.56,86.88,173.73,188.8,199.67,,211.2,214.85,220.15,,225.61,238.66,,,,128.85,,,,,,,,204.11,260.47,280.81,,,246.48,,,,,,23.75,201.76,,217.67,225.28,219.68,,,33.86,,,,,,233.41,,,,,,11.4,,,,L7
2002-07-17 22:00:08+00:00,,,,47.1,68.64,,,244.34,234.41,,,197.94,,,,88.71,97.25,108.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18,36.05,,,,,183.25,,231.29,278.62,206.29,192.49,190.88,179.26,172.91,,184.61,,157.74,159.55,171.26,,,,,,,,,,,,,,,179.89,185.54,261.43,,261.9,,,216.79,200.05,184.42,,,108.2,,,263.21,293.01,277.39,,,,,,,,,,,,,,,,,,,,,,,243.46,,196.9,,224.86,227.73,,,,,,,37.31,238.96,,237.85,230.07,216.66,,,,93.59,,,,,243.42,,,,,,,,,,L7
2002-08-02 22:00:01+00:00,,,,47.1,68.64,,,256.57,237.695,257.14,,197.94,,159.12,,88.71,97.25,108.75,,,,,102.12,95.89,,,,,,103.85,116.96,,,170.32,,,,,,,,,,,,,,,,,,,,,35.18,36.05,,,,283.53,197.195,212.88,212.88,276.66333333333336,209.695,204.73000000000002,190.88,179.26,172.91,,184.61,182.06,145.48666666666668,174.525,170.71666666666667,,,157.92,153.34,163.73,131.9,128.0,137.94,,,,130.25,148.89,,179.89,185.54,261.43,243.85,263.79999999999995,,,217.075,203.68,184.42,,,108.2,,,263.21,293.01,277.39,234.59,,202.81,,,,,,,,,,,,,,,,,,,,259.34000000000003,230.14,208.505,281.83,235.04500000000002,227.73,,,,,,,37.31,253.33499999999998,182.22,213.16,215.89499999999998,225.155,,,,93.59,,238.69,,,243.42,,,,,,,,,,L7
2002-10-21 21:59:36+00:00,,,,47.1,68.64,,,256.57,237.695,257.14,,197.94,,159.12,,88.71,97.25,108.75,,,,,102.12,95.89,,,,,73.02,103.85,96.96,85.5,84.78,135.32,92.54,,,,,,,,,,,,,,,,,,,,35.18,36.05,,,,283.53,197.195,212.88,212.88,271.56,209.695,204.73000000000002,190.88,179.26,172.91,,184.61,182.06,121.25000000000001,174.525,163.93,,,157.92,153.34,163.73,131.9,128.0,137.94,,,,130.25,148.89,,179.89,185.54,261.43,243.85,263.79999999999995,,,217.075,203.68,,,,108.2,,,263.21,293.01,277.39,234.59,,202.81,,123.18,,,,,,,,,,,,,,,,,,259.34000000000003,230.14,208.505,281.83,235.04500000000002,227.73,,,,,,,37.31,253.33499999999998,182.22,213.16,215.89499999999998,225.155,,,,93.59,,238.69,,,243.42,,,,,,,,,,L7
2002-12-24 22:00:09+00:00,,,,47.1,68.64,,,256.57,237.695,249.14999999999998,,197.94,,159.12,,88.71,77.85,90.66499999999999,86.51,,79.36,,100.045,95.89,,,,,73.02,103.85,96.96,85.5,84.78,135.32,92.54,,,,,,,,,,,,,,,,,,2.86,44.82,51.905,36.05,,,,283.53,197.195,212.88,212.88,271.56,209.695,204.73000000000002,190.88,179.26,172.91,,184.61,182.06,121.25000000000001,174.525,163.93,,,157.92,153.34,163.73,131.9,128.0,137.94,,,,130.25,148.89,,179.89,185.54,261.43,243.85,263.79999999999995,176.4,,217.075,203.68,,,,108.2,,,263.21,293.01,277.39,234.59,,202.81,,123.18,,,,,,,,,,,,,,,,,,259.34000000000003,234.225,211.46,252.95999999999998,232.17,224.8,,,,,48.37,26.87,67.96000000000001,253.33499999999998,179.39,206.4433333333333,215.89499999999998,225.155,,,,93.59,,258.615,,,243.42,,,85.43,65.94,15.9,21.43,29.47,45.47,97.83,L7
2003-01-25 22:00:18+00:00,,,,,,,315.63,257.94,240.98,238.15,,222.3,230.6,157.82,,,58.45,89.43,105.67500000000001,129.92,97.45,127.28,109.90333333333335,113.35,,,61.78,72.09,79.94999999999999,101.925,96.24666666666667,92.75999999999999,95.715,128.03,100.95,,,,,,,,,,,,,,,,,,2.86,44.82,68.63,,180.57,203.75,,298.09,211.14,212.88,194.47,272.75,197.245,216.97,227.93,,209.55,225.81,,163.45,125.66499999999999,161.435,169.63,108.98,101.26,157.92,153.34,131.20499999999998,113.26,128.0,112.86,,106.42,,116.84,144.51999999999998,,259.23,,,250.195,265.7,176.4,254.8,209.76,203.01,,,,144.27,159.44,176.79,,253.5,248.66,234.10500000000002,93.53,166.435,146.72,128.28,154.98,166.52,176.09,185.71,179.92,,,,,,72.3,112.24,,215.73,,200.04,,275.28,223.03333333333333,217.54,239.10666666666665,230.0233333333333,225.26999999999998,,,,,48.37,26.87,98.61,283.36,208.85333333333332,187.70666666666662,183.16,210.22500000000002,,,,146.31,235.29,258.615,,,200.68,,,85.43,65.94,15.9,21.43,29.47,45.47,97.83,L7
2004-07-14 21:54:07+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.49,84.32,100.82,102.83,101.27,120.3,128.33,132.8,143.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.53,149.16,160.27,169.39,188.14,187.42,204.22,211.87,209.92,210.57,231.13,,,,,,,253.83,,,,,,,,,,235.65,247.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-09-16 21:55:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.49,84.32,100.82,102.83,101.27,120.3,128.33,132.8,143.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.53,149.16,160.27,169.39,166.915,169.135,204.22,211.87,180.44,180.035,231.13,,,,,,,222.35000000000002,171.58,198.49,,,,,,,,198.59,213.345,,,,,,,,,,,,,,,234.44,,,,,,,,,,,,,,L5
2004-10-18 21:56:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.49,84.32,100.82,102.83,101.27,120.3,128.33,132.8,143.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.53,149.16,160.27,169.39,166.915,169.135,204.22,211.87,162.50666666666666,164.85999999999999,231.13,,,,,,,201.80333333333337,164.5,173.87,,,,,,,,182.51666666666665,197.5666666666667,,,,,,,,,,,,,,,181.26,,,,,,,,,,,,,,L5
2005-07-17 21:59:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,130.27,,,,,,,,,,,,,,L5
2005-09-03 21:59:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.73,154.55,137.5,,,,,,,,139.11,162.74,,,,,,,,,,,,,,,134.7,,,,,,,,,,,,,,L5
2005-11-22 22:00:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.82,157.485,140.64666666666668,,,,,,,,139.28500000000003,156.85000000000002,,,,,,,,,,,,,,,135.83666666666667,,,,,,,,,,,,,,L5
2008-10-29 21:55:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,67.85,68.36,81.75,85.61,103.62,111.63,115.33,117.39,134.06,141.9,134.28,139.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.08,148.42,165.45,167.7,180.93,188.99,196.15,199.26,136.47,136.62,,,,,,,,,,,,,,,,,,169.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2011-01-07 22:01:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.64,139.4,,,153.18,,,130.57,130.85,,,,,,,,158.35,161.85,159.1,,,,,,,,143.18,154.82,,,,,,,,,,,,,,,167.44,,,,,,,,,,,,,,L5
2011-04-13 22:01:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.64,139.4,,,153.18,,,130.57,130.85,,,,,,,,157.89999999999998,155.33499999999998,150.54,,,,,,,,138.445,154.39,,,,,,,,,,,,,,,167.14499999999998,,,,,,,,,,,,,,L5
2011-09-04 22:00:27+00:00,,,,,,,,,,,,,,,,,,,,,,,,,72.63,71.48,85.51,96.77,105.38,110.44,116.16,120.21,137.76,145.09,152.11,153.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.03,161.75,167.63,180.08,187.06,194.89,208.38,221.91,,,235.11,,,,,,,157.45,148.82,141.98,,,,,,,,133.71,153.96,,,,,,,,,,,,,,,166.85,,,,,,,,,,,,,,L5
2013-05-20 22:13:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.67,169.28,178.76,147.2,198.22,228.61,,168.3,167.09,157.95,,,,,,,209.15,,191.79,,,,,,,,181.24,197.23,,,,,,,,,,,,,,,203.56,,,,,,,,,,,,,,L8
2013-06-05 22:13:51+00:00,,,,,,,,,,,,,,,61.32,64.4,69.72,74.44,87.92,91.53,90.84,99.33,107.37,118.07,120.67,128.05,,136.24,143.39,148.62,160.69,,176.81,184.32,195.61,132.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.99,212.87,182.72,,,,,,,,,,,,,,,,,,,,,,,,178.41,,,,,,,,,,,,,,148.67,169.28,178.76,147.2,198.22,228.61,,168.3,167.09,157.95,,,,,,,209.15,,191.79,,,,,,258.31,263.66,181.24,197.23,,,,,,,256.13,,,,,,,,203.56,271.3,,,,,,,,,,,,,L8
2013-10-27 22:13:31+00:00,,,,,,,,,,,,,,70.51,66.0,70.45500000000001,75.1,79.195,91.445,94.33500000000001,95.475,102.39,106.89500000000001,116.955,122.195,132.99,,140.645,145.095,151.67000000000002,162.13,,177.615,187.185,195.54500000000002,132.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.99,212.87,182.72,,,,104.25,132.46,160.01,156.37,,,,,,,65.28,,60.72,,,,,,,,178.41,,,,,,,,,,,,,,148.67,169.28,178.76,147.2,198.22,228.61,,168.3,167.09,157.95,,,,,,,209.15,,191.79,,,,,,258.31,263.66,181.24,197.23,,,,,,,256.13,,,,,,,,203.56,271.3,,,,,,,,,,,,,L8
2013-11-12 22:13:32+00:00,,,,,,,,,,,,,,62.095,64.59,69.09666666666668,73.68333333333334,76.82333333333334,92.61,93.44666666666667,94.86,101.23,100.58666666666666,105.03333333333335,111.61666666666667,129.54666666666665,72.06,140.645,158.53666666666666,156.27333333333334,161.88333333333333,115.96,168.22,176.53333333333333,196.28666666666666,132.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.99,212.87,182.72,,,,104.25,132.46,160.01,156.37,,,,,,,65.28,,60.72,,,,,,,,178.41,,,,,,,,,,,,,,148.67,169.28,178.76,147.2,198.22,228.61,,168.3,167.09,157.95,,,,,,,209.15,,191.79,,,,,,258.31,263.66,181.24,197.23,,,,,,,256.13,,,,,,,,203.56,271.3,,,,,,,,,,,,,L8
2013-11-28 22:13:25+00:00,,,,,,,,,,,,,,62.095,64.59,69.09666666666668,73.68333333333334,76.82333333333334,92.61,93.44666666666667,94.86,101.23,100.58666666666666,105.03333333333335,111.61666666666667,119.95,70.81,140.645,158.53666666666666,156.27333333333334,161.88333333333333,116.81,158.0725,166.055,196.28666666666666,135.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.99,212.87,182.72,,,,104.25,132.46,160.01,156.37,,,,,,,65.28,,60.72,,,,,,,,178.41,,,,,,,,,,,,,125.24,152.78,170.43,143.52,,213.29,225.58,225.75,196.86,,161.58,,,,,,,213.1,,196.22,,,,,,258.31,263.66,181.66,197.39,,,,,,,256.13,,,,,,,,210.53,271.3,,,,,,,,,,,,,L8
2013-12-30 22:13:13+00:00,,,,,,,,,,,,,,62.095,66.22500000000001,71.44500000000001,75.665,78.015,94.95499999999998,94.40500000000002,96.86999999999999,102.18,97.195,98.51500000000001,107.09,117.25,70.81,145.05,166.11,160.1,162.48,116.81,151.82666666666665,159.96666666666667,196.625,131.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.25,132.46,160.01,156.37,,,,,,,65.28,,60.72,,,,,,,,,,,,,,,,,,,,,122.09,150.26,166.115,140.97500000000002,146.33,191.70499999999998,225.58,198.76,183.745,168.12,158.315,,,,,,,207.66,167.03,190.775,,,,,,,,177.865,185.885,,,,,,,,,,,,,,,196.45499999999998,,,,,,,,,,,,,,L8
2014-01-31 22:12:52+00:00,,,,,,,,,,,,,,62.095,66.22500000000001,71.44500000000001,75.665,78.015,94.95499999999998,94.40500000000002,96.86999999999999,102.18,97.195,98.51500000000001,107.09,117.25,70.81,145.05,166.11,160.1,162.48,112.45666666666666,142.93,151.7275,196.625,131.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.25,132.46,160.01,156.37,,,,,,,65.28,,60.72,,,,,,,,,,,,,,,,,,,,,120.31,148.94000000000003,166.04,140.29,147.12,184.25333333333333,220.55,189.56000000000003,180.11,168.41,154.9766666666667,,,,,,,206.04,168.23000000000002,189.04999999999998,,,,,,,,177.99666666666667,187.5,,,,,,,,,,,,,,,193.56333333333336,,,,,,,,,,,,,,L8
