dates,satname,nzd0360-0000,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0019,nzd0360-0043,nzd0360-0004,nzd0360-0005,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0010,nzd0360-0044,nzd0360-0045,nzd0360-0018,nzd0360-0017,nzd0360-0006,nzd0360-0046,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0060,nzd0360-0061
2002-01-15 21:55:59.365000,L7,354.76,,349.91,360.97,363.48,369.77,394.81,403.80,399.61,390.03,387.70,374.60,370.96,366.04,359.77,366.45,354.43,342.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:56:06.046000,L7,,434.83,428.29,444.97,423.26,417.65,400.78,404.27,400.29,395.84,397.72,382.57,377.09,379.52,373.86,373.90,354.87,349.55,342.75,349.22,342.14,338.05,341.17,320.66,,,,,,,449.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04 21:56:09.860000,L7,,425.59,338.60,458.99,448.83,433.18,423.87,423.87,414.77,411.07,407.38,395.83,398.06,388.38,382.61,384.49,372.58,382.22,349.82,350.44,366.58,350.47,344.51,326.36,,,,,,,428.55,307.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07 21:56:03.729000,L7,,419.09,416.08,420.90,414.61,403.83,423.74,421.17,406.24,398.64,396.64,382.71,378.01,377.37,367.79,374.88,363.02,345.80,,,,,,,,,397.49,,,,418.86,,368.50,389.68,,330.59,409.32,374.05,,,367.30,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:55:12.096000,L7,,343.82,335.32,456.83,454.11,465.02,455.61,438.38,409.64,396.17,384.45,386.09,380.05,370.62,405.10,384.64,403.03,368.24,401.82,395.40,386.03,393.91,377.57,318.99,,,,,,,365.64,,,,,,,,,,,,,432.98,,,,,,,,,,,,,,,,,,
2002-09-12 21:55:07.575000,L7,,,,,,,,,,,,,434.62,428.06,420.87,420.19,412.51,398.70,412.66,413.03,406.83,399.38,402.39,362.63,,,,,,,,352.72,,,,,,,,,,346.18,351.26,,,,332.65,,,,,,,305.33,,,,,,,,
2002-10-14 21:54:55.882000,L7,,348.29,414.25,413.44,461.72,444.96,438.91,431.16,419.12,413.87,430.15,426.20,401.66,388.05,387.28,392.92,377.91,370.76,390.87,369.95,372.14,360.73,350.89,329.89,,,,,,,406.90,310.27,,,,,,,,,,307.40,,,,,,,,,,,,,,,,,,,,
2002-10-30 21:55:01.471000,L7,,420.18,417.83,414.29,,451.85,442.14,428.62,419.65,417.55,414.48,404.49,397.29,392.42,390.76,389.34,378.14,377.01,363.66,367.34,360.25,352.23,340.42,340.29,,,,,,,418.84,313.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02 21:55:34.113000,L7,,424.03,413.58,413.79,407.57,396.17,433.43,418.12,446.40,418.33,404.92,416.30,409.32,375.85,404.40,419.43,420.29,400.37,412.44,377.25,342.20,340.63,341.48,314.57,,,,,,,428.14,303.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:55:42.118000,L7,,,448.28,445.36,440.92,439.46,426.63,414.54,404.42,393.42,393.24,385.79,382.65,380.71,380.03,412.01,383.12,374.51,386.68,380.43,383.94,365.12,345.68,326.76,,,,440.05,392.18,409.74,,311.19,,,,,,,,345.26,,308.51,,,,,,,,,,,,,,,,,,,,
2003-02-19 21:55:54.479000,L7,,424.11,417.05,416.71,460.89,448.40,441.29,434.98,431.21,419.24,416.48,411.79,398.56,401.96,407.08,393.25,386.56,374.68,373.07,374.02,370.04,376.20,368.15,357.50,,,,,,,422.55,330.83,,,,,,373.38,305.01,294.87,395.35,322.09,328.68,,,,310.47,,,,,,,,,,,,,,,
2003-03-07 21:55:58.558000,L7,363.97,431.57,415.63,359.91,422.49,452.36,440.10,419.64,410.52,414.88,414.36,410.59,380.31,397.09,411.07,400.61,358.94,350.45,370.71,350.86,344.56,354.31,344.13,329.86,358.28,403.97,405.13,,,,440.93,321.81,,,290.11,384.17,365.01,363.07,,,403.94,312.72,312.21,,,,,,,,,,,,,,,,,,,
2003-03-23 21:55:52.571000,L7,382.43,419.67,412.21,414.33,437.32,456.41,446.45,417.31,404.37,399.61,394.49,393.75,376.64,367.97,357.11,361.40,360.29,351.23,340.67,342.55,328.75,339.99,335.16,314.28,,,,320.52,310.25,398.39,418.72,,,,,380.75,391.13,366.98,304.35,302.92,385.80,,,,,,,,,,,,,,,,,,,,,
