dates,nzd0185-0000,nzd0185-0001,nzd0185-0002,nzd0185-0003,nzd0185-0004,nzd0185-0005,nzd0185-0006,satname
2016-05-14 21:59:24+00:00,330.71,329.26,320.855,301.75,288.865,284.935,284.9766666666667,L8
2016-05-21 22:05:14+00:00,330.71,329.26,320.855,301.75,288.865,284.935,290.3575,L8
2016-09-10 22:06:15+00:00,330.71,323.065,318.28499999999997,298.935,281.745,277.525,280.53666666666663,L8
2016-10-28 22:06:23+00:00,335.185,323.8933333333334,316.95,298.38,283.57,279.51,277.8975,L8
2017-01-16 22:05:47+00:00,339.66,327.69000000000005,322.79499999999996,302.29999999999995,288.69000000000005,284.215,280.3733333333333,L8
2017-03-05 22:05:50+00:00,339.66,334.99,322.79499999999996,302.29999999999995,288.69000000000005,284.215,281.39,L8
2017-05-08 22:05:23+00:00,324.21,328.595,294.94,,,,291.23,L8
2017-05-24 22:05:10+00:00,323.7,322.87666666666667,298.28499999999997,285.73,264.35,,291.23,L8
2017-06-25 22:05:23+00:00,325.04,320.47,300.94,286.95500000000004,265.71000000000004,268.93,281.78000000000003,L8
2017-07-11 22:05:26+00:00,325.475,318.946,302.1325,287.1666666666667,262.06,268.93,281.78000000000003,L8
2017-12-02 22:06:10+00:00,332.68333333333334,319.0366666666667,310.5733333333333,294.4433333333333,271.06,278.485,267.625,L8
2018-03-08 22:05:39+00:00,344.96500000000003,333.26,322.84000000000003,308.16499999999996,292.655,288.69500000000005,273.45,L8
2018-04-25 22:04:50+00:00,342.44,330.2966666666667,320.5,305.15333333333336,291.5566666666667,287.11,272.47666666666663,L8
2018-06-28 22:05:04+00:00,337.11333333333334,323.9866666666667,314.99333333333334,298.32666666666665,291.66,286.645,272.53,L8
2018-10-18 22:05:53+00:00,335.03000000000003,320.52666666666664,311.96999999999997,295.6933333333333,288.195,284.065,270.35,L8
2019-01-06 22:05:29+00:00,343.93,326.86,316.185,301.615,287.1,284.41999999999996,272.45000000000005,L8
2019-01-22 22:05:50+00:00,343.5466666666666,327.4266666666667,315.93666666666667,301.23333333333335,287.44666666666666,284.1933333333333,272.9766666666667,L8
2019-04-12 22:05:06+00:00,342.53499999999997,328.2875,317.37,301.39750000000004,288.6,284.90999999999997,273.2575,L8
2019-09-19 22:06:20+00:00,339.5,335.12,325.79,306.75,295.47,288.7,281.18,L8
2019-11-06 22:06:24+00:00,339.94,334.39,325.0,309.22,295.5,288.265,280.74,L8
2019-11-22 22:05:57+00:00,340.145,330.26,321.43,306.99333333333334,293.58,286.71666666666664,278.07,L8
2020-01-09 22:05:49+00:00,334.99,330.26,321.43,301.7925,288.675,282.96,268.14,L8
2020-01-25 22:06:09+00:00,334.99,330.26,321.43,309.728,288.675,291.74,274.608,L8
2020-02-10 22:06:04+00:00,339.8,330.56,321.5575,309.3016666666667,289.57399999999996,291.015,274.66,L8
2020-03-13 22:05:54+00:00,341.59000000000003,332.928,322.086,310.99000000000007,292.8983333333333,292.58,275.7857142857143,L8
2020-09-21 22:05:54+00:00,,,,,329.6,314.79,303.46,L8
2021-02-12 22:06:07+00:00,358.53,351.93,331.99,318.9,323.665,305.23,293.065,L8
2021-04-01 22:05:48+00:00,358.53,351.93,331.245,318.46,312.53,304.70000000000005,284.235,L8
2021-05-03 22:05:08+00:00,348.78999999999996,340.63,327.25,312.74333333333334,305.75333333333333,298.9866666666667,280.34999999999997,L8
2021-05-19 22:05:16+00:00,341.5133333333333,330.3966666666667,320.7675,306.0025,294.26,291.09000000000003,274.765,L8
2021-06-29 21:59:44+00:00,340.555,330.3966666666667,320.534,304.33599999999996,292.51599999999996,288.38,273.508,L8
2021-09-24 22:06:20+00:00,334.56333333333333,319.63,317.67,303.852,289.686,289.034,274.084,L8
2022-01-22 22:05:54+00:00,,,,316.48,303.58,298.94,290.15999999999997,L9
2022-01-30 22:06:10+00:00,,326.56,314.44,309.0,296.48,291.99,284.7133333333333,L8
2022-02-23 22:05:44+00:00,,326.56,314.44,309.0,305.0,300.03000000000003,289.1575,L9
2022-03-11 22:05:39+00:00,340.09,327.83500000000004,316.08000000000004,306.0933333333333,300.945,296.8225,285.864,L9
2022-04-13 21:59:41+00:00,346.48,331.9166666666667,320.9666666666667,304.77,299.415,294.98249999999996,284.48400000000004,L8
2022-06-07 22:05:43+00:00,339.8433333333333,326.7075,320.9666666666667,304.77,299.415,294.98249999999996,284.48400000000004,L8
2022-07-01 22:05:54+00:00,336.6375,323.404,320.9666666666667,304.77,299.415,294.98249999999996,284.48400000000004,L9
2022-07-02 22:00:06+00:00,336.648,323.0316666666667,317.4975,304.77,299.415,294.98249999999996,284.48400000000004,L8
2022-07-09 22:06:16+00:00,336.22499999999997,323.00714285714287,316.942,302.5175,296.07800000000003,291.68,281.90833333333336,L8
2022-08-03 22:00:18+00:00,336.5657142857143,322.51000000000005,317.57399999999996,302.02,294.82399999999996,290.38800000000003,278.91400000000004,L8
2022-08-10 22:06:32+00:00,335.53,320.74,313.61833333333334,298.842,288.4866666666667,285.82166666666666,275.59833333333336,L8
2022-08-27 22:00:05+00:00,335.53,320.74,313.61833333333334,298.842,281.776,286.045,275.04999999999995,L9
