dates,satname,nzd0124-0000,nzd0124-0001,nzd0124-0002,nzd0124-0003,nzd0124-0004,nzd0124-0005,nzd0124-0006,nzd0124-0007,nzd0124-0008,nzd0124-0009,nzd0124-0010,nzd0124-0011,nzd0124-0012,nzd0124-0013,nzd0124-0014,nzd0124-0015,nzd0124-0016,nzd0124-0017,nzd0124-0018,nzd0124-0019,nzd0124-0020,nzd0124-0021,nzd0124-0022,nzd0124-0023,nzd0124-0024,nzd0124-0025,nzd0124-0026,nzd0124-0027,nzd0124-0028,nzd0124-0029,nzd0124-0030,nzd0124-0031,nzd0124-0032,nzd0124-0033,nzd0124-0034,nzd0124-0035,nzd0124-0036,nzd0124-0037,nzd0124-0038,nzd0124-0039,nzd0124-0040
2001-03-24 22:01:59.719000,L7,485.39,476.62,480.09,469.13,460.11,419.40,440.70,,223.80,270.38,251.40,316.69,223.90,306.91,278.08,250.25,276.42,254.63,273.15,312.39,294.65,289.24,294.72,296.25,292.26,299.68,301.08,306.11,304.78,317.46,296.50,313.35,314.65,317.89,308.85,313.20,310.37,306.59,297.07,286.85,281.53
2001-05-20 21:55:29.073000,L7,,319.84,309.77,312.26,313.97,297.12,304.05,288.04,235.35,264.47,208.15,318.05,299.79,324.33,304.62,235.47,192.45,260.95,284.17,313.63,303.75,295.83,303.40,302.64,303.39,310.95,296.89,301.63,304.82,319.28,293.21,299.02,316.05,317.94,312.49,311.27,306.49,300.36,,,437.22
2001-06-05 21:55:16.607000,L7,516.67,480.72,457.71,458.35,402.64,403.91,408.57,371.89,402.63,383.08,381.20,388.85,376.83,373.07,356.30,360.48,362.33,362.87,369.06,361.76,320.59,345.16,336.93,342.12,347.97,350.52,344.72,352.99,353.90,357.35,353.03,353.56,358.72,359.18,527.41,412.41,398.59,373.82,359.34,346.50,349.08
2001-09-09 21:54:12.928000,L7,493.13,412.25,460.04,458.86,454.27,452.47,470.23,453.41,441.02,436.14,430.83,423.77,421.46,412.56,401.52,396.16,396.31,406.49,392.62,410.89,384.79,374.75,368.87,374.81,380.59,381.71,378.46,378.33,320.01,324.73,312.31,317.39,320.86,322.54,318.28,318.81,315.07,312.13,302.83,295.60,315.47
2001-09-25 21:54:04.740000,L7,527.43,497.70,477.44,468.62,450.91,452.37,454.94,453.83,443.46,442.73,440.17,427.54,417.89,414.93,406.96,412.58,397.76,400.07,398.40,398.99,386.15,378.27,376.94,378.30,370.26,351.71,372.85,376.03,320.39,323.42,370.43,384.54,377.09,323.72,321.83,322.17,313.37,364.23,352.65,341.30,302.25
2001-10-02 22:00:04.650000,L7,479.02,426.27,446.97,444.04,,287.20,174.07,,214.05,273.69,234.16,324.31,226.37,289.94,279.62,237.35,236.69,,271.84,298.45,244.99,278.11,288.99,295.13,284.12,290.79,299.99,299.77,309.63,310.59,290.30,311.14,201.27,270.82,274.45,258.08,217.43,199.45,287.87,,
2001-10-11 21:53:46.024000,L7,526.26,466.34,467.54,462.28,461.61,457.89,482.47,473.97,459.66,438.92,429.36,427.72,415.79,441.27,404.24,366.52,365.12,370.14,393.43,393.18,387.02,383.01,381.99,380.17,376.85,377.37,349.69,384.94,388.73,382.18,373.22,375.77,376.37,377.02,353.05,369.57,371.61,335.21,360.97,352.14,338.01
2001-11-03 22:00:10.954000,L7,,,316.80,311.12,302.22,285.84,307.09,,,,,,,288.18,270.37,236.64,247.73,248.03,,,,244.85,238.65,246.21,258.52,279.55,297.77,294.19,294.66,309.89,289.99,306.52,308.00,309.60,305.50,305.67,295.24,297.40,266.83,271.61,272.63
2002-01-06 22:00:31.992000,L7,,,,539.62,524.77,512.91,455.60,419.90,190.38,,,163.33,206.58,293.59,433.71,532.65,525.48,176.53,246.73,252.88,293.27,286.89,295.69,297.43,274.92,296.13,304.14,305.25,309.66,316.52,304.31,314.16,309.14,315.80,316.33,315.12,306.55,306.72,296.06,287.31,282.75
2002-01-22 22:00:40.906000,L7,504.45,468.40,462.35,433.16,462.66,457.90,460.16,458.91,454.32,449.07,438.10,434.97,430.44,413.49,403.98,371.11,374.18,404.10,378.01,401.29,404.36,388.72,385.60,381.73,298.07,301.27,302.75,306.69,312.40,317.45,305.12,314.45,314.18,319.24,315.34,314.46,307.14,305.40,297.02,285.75,282.59
2002-01-31 21:54:26.647000,L7,253.63,168.36,218.88,319.50,303.39,186.58,448.50,456.07,442.88,425.47,441.06,446.18,418.05,417.57,290.67,253.89,396.19,382.50,274.37,313.67,300.37,294.03,302.09,301.76,298.30,303.26,305.45,308.99,312.21,317.48,301.14,311.83,311.86,321.17,305.64,289.25,305.99,303.35,295.90,288.60,285.41
2002-02-23 22:00:43.620000,L7,455.51,469.08,299.89,278.82,460.10,444.28,289.48,441.17,215.24,268.47,261.24,318.74,288.55,300.32,276.42,250.87,275.57,252.62,270.71,313.67,297.70,286.26,292.17,300.40,292.42,306.79,303.05,305.72,307.39,317.50,305.21,310.51,311.28,322.89,340.27,187.84,,,,,
2002-03-27 22:00:37.575000,L7,252.21,183.39,312.64,427.70,292.16,281.52,312.45,284.13,223.59,305.78,262.12,316.90,290.20,300.20,278.21,249.08,273.97,251.95,259.75,304.04,292.38,288.06,293.78,294.68,280.47,289.63,300.18,303.01,304.48,312.32,297.62,309.51,305.44,311.87,311.55,308.03,303.31,303.31,294.18,285.01,284.30
2002-04-12 22:00:37.812000,L7,292.52,264.69,311.01,306.40,297.30,286.39,318.85,442.64,434.99,419.22,416.62,418.66,418.92,404.94,398.29,404.43,282.56,254.73,271.55,312.35,299.35,290.81,294.65,300.33,297.78,327.53,161.43,,275.32,314.91,307.78,315.34,314.16,318.62,316.98,317.52,309.75,304.77,297.75,281.56,282.41
2002-05-23 21:54:18.991000,L7,504.26,427.89,444.12,325.04,318.74,440.56,438.36,445.09,343.27,338.77,346.34,334.58,303.13,328.12,320.26,301.48,298.91,265.72,307.43,324.84,311.31,299.63,308.58,305.43,304.78,312.14,310.18,310.68,314.48,323.32,312.55,323.55,322.97,322.83,327.85,309.24,312.79,305.67,300.72,296.28,295.02
2002-06-15 22:00:19.658000,L7,311.05,319.83,286.45,317.28,308.23,283.62,308.30,,,,,,285.39,322.81,,,,,,,183.43,295.30,302.00,303.04,275.67,301.78,306.16,307.11,295.97,317.93,308.87,314.78,314.84,316.73,317.38,315.25,312.22,305.94,295.28,287.33,286.43
2002-07-01 22:00:15.186000,L7,311.85,322.66,331.39,323.55,321.78,302.40,318.95,282.67,203.35,234.48,320.88,328.30,306.99,325.04,318.87,299.20,266.47,312.93,301.30,322.29,304.80,299.52,305.93,309.78,303.24,316.38,311.58,316.82,322.69,321.93,311.08,314.70,201.84,,233.32,320.81,313.46,308.24,301.46,289.75,299.16
2002-07-17 22:00:08.747000,L7,305.50,533.80,311.36,315.56,304.94,285.85,312.61,,,,,,,307.99,269.78,,,,,,295.91,287.04,294.61,287.83,261.47,292.07,296.11,302.76,305.83,279.66,,309.85,296.43,312.24,300.33,301.96,298.17,293.89,256.34,,
2002-08-02 22:00:01.321000,L7,397.17,335.65,331.01,438.76,454.26,435.79,359.84,348.40,355.83,352.89,329.02,335.62,327.38,329.00,321.93,302.61,307.96,315.86,320.01,318.18,319.27,302.15,319.62,318.80,321.81,328.92,323.01,328.79,326.55,322.86,323.07,324.53,333.69,328.83,327.85,320.07,319.19,308.43,303.43,306.56,305.78
2002-08-18 21:59:57.690000,L7,490.39,447.58,448.91,449.20,446.88,441.17,440.40,433.43,430.40,431.31,426.01,424.94,411.06,400.60,384.70,393.32,290.50,253.43,270.27,311.84,297.12,289.60,297.94,299.35,297.08,305.05,307.09,306.21,313.98,316.62,300.27,312.32,312.94,316.63,312.97,309.46,309.39,302.94,294.92,287.85,295.02
2002-08-27 21:53:36.267000,L7,,,,,298.54,270.50,316.36,288.97,234.50,271.02,260.29,326.50,298.29,309.65,281.26,251.01,273.12,261.23,278.40,306.67,208.45,265.87,246.03,296.02,,,304.72,304.26,311.01,318.33,296.22,240.37,275.21,315.18,303.24,310.35,302.55,304.07,294.51,282.04,277.79
2002-09-12 21:53:31.762000,L7,474.69,441.21,442.07,277.47,260.76,293.02,317.59,287.94,236.96,325.57,263.00,326.28,291.91,302.93,295.17,245.52,275.30,253.51,275.06,307.07,298.93,282.94,289.85,168.13,225.31,236.31,229.38,278.60,257.95,278.07,258.47,249.53,310.61,313.22,311.26,304.88,304.05,296.67,293.18,409.78,475.58
2002-09-19 21:59:35.083000,L7,,321.00,331.43,317.97,279.99,291.04,309.26,286.88,234.02,270.47,321.49,323.76,224.65,302.91,283.47,240.90,264.92,254.27,263.15,252.22,294.17,278.77,269.83,290.51,261.77,293.69,295.01,292.81,299.77,312.31,282.33,310.49,287.58,313.08,302.01,296.11,300.76,300.88,276.53,,264.79
2002-10-14 21:53:19.813000,L7,440.26,459.73,460.41,457.92,470.02,414.41,419.84,467.15,453.99,440.27,401.03,406.37,435.91,423.56,385.16,413.10,373.97,414.23,374.26,416.25,409.73,417.94,406.08,389.63,237.82,203.03,195.19,408.67,412.33,393.20,384.51,395.41,401.20,404.78,403.33,400.86,349.99,343.49,337.80,372.36,365.28
2002-10-21 21:59:36.443000,L7,,,317.20,316.68,309.69,292.13,312.57,286.91,224.33,268.02,251.40,324.16,286.03,289.74,279.64,237.48,263.18,202.49,258.68,,,,,,,282.32,295.74,294.32,299.77,310.71,293.60,245.28,296.34,258.78,302.44,305.29,301.27,300.25,276.44,283.29,268.42
2002-10-30 21:53:25.867000,L7,307.99,318.03,293.26,181.83,304.08,287.76,314.47,280.30,325.61,322.51,262.43,322.02,291.79,305.48,284.56,240.78,272.94,248.85,259.18,306.76,290.69,287.86,291.22,294.01,188.28,203.59,190.33,206.21,214.03,236.30,176.75,172.03,310.70,313.45,312.47,314.12,305.91,299.83,294.20,286.94,282.37
2002-12-01 21:53:52.985000,L7,314.57,324.05,327.78,379.37,313.02,298.04,327.58,424.90,416.50,412.85,330.00,329.98,329.54,311.97,284.10,251.89,281.96,285.65,269.69,324.73,308.68,303.64,308.80,310.29,310.87,316.95,314.79,325.01,325.54,327.73,308.18,320.83,321.73,322.99,322.47,320.94,313.65,312.89,303.82,294.20,292.61
2002-12-24 22:00:09.147000,L7,481.54,446.20,282.92,274.55,448.27,439.30,443.82,299.44,283.53,433.63,429.85,428.80,419.91,409.69,406.55,390.20,396.17,399.80,394.78,395.78,166.69,256.32,258.66,253.47,380.27,379.67,379.61,362.78,323.83,324.13,313.01,319.29,321.66,323.74,322.69,323.81,314.51,312.02,304.74,293.22,292.91
2003-01-18 21:54:06.301000,L7,316.33,321.57,324.64,321.62,302.39,290.94,321.01,307.30,288.41,328.29,310.16,327.58,300.86,306.07,290.01,256.76,283.34,256.33,272.85,306.79,300.08,293.73,302.70,305.61,304.29,310.25,308.96,308.52,313.98,317.91,303.30,312.25,315.51,316.30,316.40,311.79,302.61,302.31,301.09,289.52,286.68
2003-01-25 22:00:18.779000,L7,311.26,317.26,319.21,315.33,299.43,287.31,318.59,282.19,297.23,321.39,261.03,263.80,292.57,434.16,406.17,418.61,275.55,252.76,266.28,297.36,294.95,257.60,206.05,247.69,185.59,226.87,226.49,308.85,309.92,317.66,304.40,314.09,314.69,314.71,314.00,313.56,306.72,303.17,298.97,290.61,287.85
2003-03-23 21:54:16.760000,L7,307.13,315.53,316.88,315.58,295.73,286.02,315.38,299.33,298.57,271.83,262.41,320.22,293.61,310.87,275.57,247.39,283.59,251.72,264.32,247.62,250.64,222.43,212.09,256.87,289.20,296.74,301.34,305.92,305.60,316.27,297.67,311.50,314.07,315.47,310.20,309.82,305.14,301.96,297.46,290.11,284.51
2003-03-30 22:00:31.029000,L7,303.48,306.25,,,,,,,,,243.83,233.57,263.06,287.89,270.59,237.23,262.27,,,,,,,,232.37,282.11,293.04,293.93,297.35,307.29,191.57,309.47,307.52,306.38,312.62,306.04,297.43,298.62,288.03,283.15,260.55
2003-04-24 21:54:22.477000,L7,307.84,318.09,317.58,277.20,268.65,286.67,201.94,313.89,,279.23,284.13,323.15,299.27,310.07,286.31,240.16,190.37,233.18,280.44,311.14,290.60,288.50,301.02,296.68,286.91,303.77,304.67,303.99,303.44,316.76,308.32,312.65,322.36,309.89,310.86,311.01,303.52,298.69,294.09,287.04,281.48
