dates,nzd0319-0000,nzd0319-0001,nzd0319-0002,nzd0319-0003,nzd0319-0004,nzd0319-0005,nzd0319-0006,nzd0319-0007,nzd0319-0008,nzd0319-0009,nzd0319-0010,nzd0319-0011,nzd0319-0012,nzd0319-0013,nzd0319-0014,nzd0319-0015,nzd0319-0016,nzd0319-0017,nzd0319-0018,nzd0319-0019,nzd0319-0020,nzd0319-0021,nzd0319-0022,nzd0319-0023,nzd0319-0024,nzd0319-0025,nzd0319-0026,nzd0319-0027,nzd0319-0028,nzd0319-0029,nzd0319-0030,nzd0319-0031,nzd0319-0032,nzd0319-0033,nzd0319-0034,nzd0319-0035,nzd0319-0036,nzd0319-0037,nzd0319-0038,satname
2023-05-24 22:12:29.077,489.5233333333333,299.6033333333334,276.398,294.89230769230767,306.67214285714283,289.7470588235294,292.37947368421055,308.8,297.116,290.4973684210526,285.38894736842104,278.88421052631577,234.11125,275.40666666666664,232.168,223.35909090909092,270.44705882352946,288.1105555555556,299.995,324.41150000000005,313.4485,299.2257142857143,311.3978571428571,306.7522222222222,310.13761904761907,319.5284210526316,333.7338888888889,348.4605555555556,340.3772222222222,330.25149999999996,293.3035,292.57190476190476,293.6657142857143,288.6823809523809,250.48625,338.7573684210526,312.79846153846154,286.8884210526316,292.8625,L9
2023-06-01 22:12:19.164,491.36249999999995,299.6033333333334,272.5833333333333,294.90928571428566,306.1093333333334,290.07166666666666,292.51550000000003,309.2255,297.93095238095236,291.2015,286.0465,279.21899999999994,235.7194117647059,276.0263157894737,232.804375,223.34916666666666,272.8155555555556,289.2821052631579,300.36466666666666,324.41150000000005,314.41761904761904,299.9386666666667,312.27733333333333,307.3178947368421,310.54636363636365,319.787,334.90736842105264,349.10315789473685,341.0289473684211,330.76190476190476,294.82380952380953,292.8381818181818,294.0822727272727,289.6086363636363,251.51176470588234,339.68549999999993,312.6014285714286,287.7635,293.21142857142854,L8
2023-06-08 22:18:36.190,491.36249999999995,299.6033333333334,272.5833333333333,294.27333333333337,305.22625000000005,290.05105263157895,292.1142857142857,308.7371428571429,297.73409090909087,291.0338095238095,285.9657142857143,279.15238095238095,235.71611111111113,276.134,232.86882352941177,221.53538461538463,272.6642105263158,288.86600000000004,299.81375,324.41150000000005,315.21772727272725,299.9386666666667,312.27733333333333,307.3178947368421,310.6504347826087,319.5585714285714,335.26349999999996,349.66549999999995,341.467,331.37136363636364,294.6227272727273,292.52521739130435,294.22043478260866,289.78521739130434,252.17388888888888,340.16523809523807,312.19733333333335,287.88380952380953,293.2540909090909,L8
2023-06-09 22:12:24.777,496.27799999999996,299.6033333333334,272.5833333333333,294.346875,304.8870588235294,290.54,292.1227272727273,308.8272727272727,297.9747826086956,291.33954545454543,286.22272727272724,279.3054545454545,235.80263157894737,276.43619047619046,233.3011111111111,220.19714285714286,272.873,288.93,299.81375,326.90333333333336,316.5030434782609,300.09875,312.55875,307.3405,311.0133333333334,319.8481818181818,335.80380952380955,350.3180952380952,342.0157142857143,331.91043478260866,295.7265217391304,293.03041666666667,294.5516666666667,290.1225,252.8684210526316,341.8131818181818,315.4325,288.29954545454547,293.4486956521739,L9
2023-06-16 22:18:30.825,496.27799999999996,299.6033333333334,272.5833333333333,294.1823529411765,304.5911111111111,290.78523809523807,291.9913043478261,309.3291304347826,298.5045833333333,291.8434782608696,286.82217391304346,280.52478260869566,237.0235,276.7195454545454,234.1284210526316,220.47533333333334,273.11047619047616,289.1395454545455,299.7423529411765,326.8854545454546,317.25875,300.7835294117647,313.02294117647057,307.96809523809526,311.4216,320.51217391304345,336.92681818181813,350.8068181818182,342.5486363636364,332.4825,297.4275,294.32439999999997,295.7072,290.6016,253.74450000000002,342.8117391304348,317.26882352941175,289.62695652173915,293.9420833333333,L9
2023-06-17 22:12:28.933,496.27799999999996,299.6033333333334,272.5833333333333,294.1823529411765,303.7705263157895,290.68545454545455,291.9066666666667,309.2091666666667,299.2104,291.94083333333333,286.8495833333333,280.73875,238.27809523809523,277.1091304347826,235.1105,221.313125,273.65227272727276,289.3817391304348,299.86055555555555,327.0273913043478,317.61400000000003,301.24388888888893,312.9188888888889,308.53136363636366,311.67615384615385,320.83166666666665,337.2960869565217,351.00217391304346,342.86826086956523,332.56919999999997,298.2768,295.14576923076925,296.3007692307692,290.99269230769227,254.6557142857143,343.1370833333333,317.5577777777778,290.39958333333334,294.2596,L8
2023-07-03 22:12:39.306,496.27799999999996,299.6033333333334,272.5833333333333,294.09222222222223,303.774,291.21304347826083,291.89439999999996,309.0268,299.24423076923074,292.11,286.8104,280.914,238.51409090909092,277.4745833333333,235.2238095238095,220.17352941176472,273.49782608695654,289.2416666666667,300.31894736842105,326.80125000000004,317.58884615384613,301.0478947368421,312.4431578947368,308.1804347826087,311.9769230769231,321.0595833333333,337.70565217391305,351.61652173913046,343.58521739130435,333.43799999999993,300.0004,295.7492307692308,296.43346153846153,290.02653846153845,255.37045454545452,343.62875,318.45,291.66249999999997,294.7448,L8
2023-07-18 22:18:47.957,500.9,299.6033333333334,268.636,290.38,300.223,292.15409090909094,288.89260869565214,307.66434782608695,296.5566666666667,289.2565217391304,285.30608695652177,280.3695652173913,240.5038095238095,278.02500000000003,236.25050000000002,213.57470588235293,274.34818181818184,288.0618181818182,300.545,327.36045454545456,318.61291666666665,301.8972222222222,312.8855555555556,309.39571428571423,313.0254166666667,322.70454545454544,340.44190476190477,353.90523809523813,345.4980952380952,335.9426086956522,302.2241666666667,296.40333333333336,296.9795833333333,291.10541666666666,257.96761904761905,347.7877272727273,319.7555555555556,293.56652173913045,295.66391304347826,L9
2023-07-27 22:12:38.836,500.9,299.6033333333334,268.636,290.2121052631579,299.97809523809525,292.65272727272725,288.97521739130434,307.95565217391305,296.92249999999996,289.58782608695657,285.6530434782608,280.9304347826087,240.75523809523813,279.02,236.708,212.58666666666667,274.59999999999997,288.16636363636366,300.5061111111111,327.81545454545454,319.2616666666667,300.32842105263154,312.8855555555556,310.062,313.44000000000005,323.3727272727273,341.8152380952381,355.0080952380952,346.40000000000003,336.9586956521739,303.16041666666666,296.9891666666667,297.52,291.8645833333333,259.60714285714283,352.55454545454546,322.0978947368421,294.4691304347826,296.384347826087,L9
2023-08-03 22:18:55.648,500.9,299.6033333333334,268.636,290.151,299.8372727272727,292.64652173913043,288.90500000000003,307.7858333333333,296.8376,289.5879166666667,285.73541666666665,281.0854166666667,241.63227272727275,279.17478260869564,236.91809523809522,211.80894736842106,274.4178260869565,288.2591304347826,300.4221052631579,327.5217391304348,319.7036,300.6775,312.80947368421056,309.9814285714286,313.6120833333334,323.8378260869565,342.50772727272727,355.4327272727273,347.01363636363635,337.89416666666665,305.0532,297.296,297.572,291.81160000000006,259.74454545454546,353.04434782608695,323.316,295.11375,296.9025,L9
