dates,satname,nzd0521-0000,nzd0521-0010,nzd0521-0011,nzd0521-0012,nzd0521-0013,nzd0521-0014,nzd0521-0015,nzd0521-0016,nzd0521-0026,nzd0521-0027,nzd0521-0028,nzd0521-0029,nzd0521-0030,nzd0521-0031,nzd0521-0032,nzd0521-0033,nzd0521-0034,nzd0521-0035,nzd0521-0036,nzd0521-0037,nzd0521-0038,nzd0521-0039,nzd0521-0041,nzd0521-0042,nzd0521-0043,nzd0521-0044,nzd0521-0045,nzd0521-0046,nzd0521-0047,nzd0521-0048,nzd0521-0049,nzd0521-0050,nzd0521-0051,nzd0521-0052,nzd0521-0053,nzd0521-0054,nzd0521-0055,nzd0521-0056,nzd0521-0057,nzd0521-0058,nzd0521-0059,nzd0521-0060,nzd0521-0061,nzd0521-0062,nzd0521-0063,nzd0521-0064,nzd0521-0065,nzd0521-0069,nzd0521-0070,nzd0521-0071,nzd0521-0078,nzd0521-0079,nzd0521-0080,nzd0521-0081,nzd0521-0082,nzd0521-0083,nzd0521-0084,nzd0521-0085,nzd0521-0086,nzd0521-0087,nzd0521-0089,nzd0521-0090,nzd0521-0091,nzd0521-0092,nzd0521-0093,nzd0521-0094,nzd0521-0095,nzd0521-0096,nzd0521-0097,nzd0521-0098,nzd0521-0099,nzd0521-0100,nzd0521-0066,nzd0521-0067,nzd0521-0068,nzd0521-0072,nzd0521-0073,nzd0521-0074,nzd0521-0075,nzd0521-0076,nzd0521-0077,nzd0521-0001,nzd0521-0020,nzd0521-0021,nzd0521-0022,nzd0521-0023,nzd0521-0003,nzd0521-0004,nzd0521-0005,nzd0521-0006,nzd0521-0007,nzd0521-0008,nzd0521-0009,nzd0521-0017,nzd0521-0018,nzd0521-0019,nzd0521-0025,nzd0521-0040,nzd0521-0088,nzd0521-0002,nzd0521-0024
2002-04-12 22:03:25.302000,L7,,365.31,330.66,328.64,357.19,370.68,373.18,374.50,,,363.80,357.15,382.89,373.16,374.70,361.15,357.23,357.29,357.96,364.72,351.69,351.48,345.25,,,,,,,324.88,330.85,332.21,340.63,347.71,352.58,345.50,346.52,331.27,303.59,297.92,350.66,355.73,309.55,350.83,346.76,,,,,,369.70,327.03,377.35,373.91,367.66,408.98,396.27,401.10,408.36,,,,379.39,394.48,404.22,431.02,457.07,468.14,,,,,,,,,338.90,328.16,329.26,304.74,379.43,,,,,,329.27,346.39,340.87,349.92,350.89,353.67,371.05,,,,,336.32,,,
2002-05-05 22:09:37.985000,L7,,359.28,280.36,313.04,338.50,356.37,360.64,362.15,349.51,350.90,349.54,345.68,338.38,331.37,326.76,314.46,307.56,281.56,303.77,323.32,320.52,317.47,310.54,322.73,328.28,317.44,322.16,320.64,316.39,316.57,299.07,304.80,304.57,319.18,318.92,314.09,272.14,277.22,290.10,291.22,310.80,318.75,299.98,314.42,343.83,342.60,,,,,306.07,314.13,323.07,320.78,372.92,356.24,377.04,369.41,376.07,382.95,353.76,357.66,354.00,367.27,376.91,407.53,422.58,424.15,438.98,428.80,416.19,414.72,,,,,,,,,,,349.71,350.67,348.40,,311.76,334.25,334.68,339.23,341.42,346.09,362.54,351.73,347.28,345.17,,332.28,376.05,,
2002-05-14 22:03:19.418000,L7,,363.42,387.10,,,,,,,,,,,,,,,,,,,,,,,,347.40,335.76,330.06,346.86,333.48,345.76,362.11,358.15,368.30,371.17,358.96,330.18,,,,342.19,348.08,354.40,352.27,337.44,342.96,386.66,384.95,387.40,404.96,392.31,383.68,385.58,403.27,405.21,431.51,414.53,,,,,431.82,429.00,443.31,473.57,,,,,,,354.97,381.23,412.23,356.96,363.45,368.52,363.52,365.10,405.38,,,,,,329.49,341.58,338.98,347.83,347.49,361.44,367.14,,,,,,,,
2002-06-15 22:03:07.576000,L7,,,,,,,,,,,,,,,396.72,360.84,358.31,302.54,374.39,381.66,373.13,367.62,332.00,325.23,334.39,376.61,361.71,390.63,316.22,387.26,389.59,373.61,314.76,316.49,319.94,316.44,272.05,298.83,265.33,297.58,310.88,369.69,352.34,363.69,356.21,356.54,383.28,,,,319.77,332.62,342.72,331.10,364.08,378.12,375.13,372.28,381.97,392.96,418.29,414.66,359.99,367.58,374.91,419.99,,,,,,,324.27,326.33,,,,,343.89,344.12,324.04,,,,,,,,,,,,,,,,,375.35,373.09,,
2002-08-09 22:08:57.725000,L7,,355.79,277.92,315.91,336.92,353.46,360.46,359.89,353.11,356.02,350.77,347.97,330.08,333.80,319.72,315.93,324.17,270.76,297.46,314.44,319.57,315.86,308.17,312.32,315.00,315.91,315.50,307.52,306.69,293.02,293.17,292.48,298.10,308.29,311.47,289.31,271.17,287.13,296.93,302.95,311.89,313.30,295.79,300.38,302.92,291.38,320.25,389.06,389.53,376.59,430.42,393.39,382.49,370.58,396.23,365.23,396.28,398.54,406.63,404.77,429.19,424.20,420.48,435.01,452.78,453.00,472.50,427.69,429.28,426.50,412.66,409.19,385.75,,417.72,368.24,351.30,,,,407.50,,348.78,343.46,341.84,,312.48,335.01,333.72,337.01,341.15,347.48,362.23,349.30,350.53,342.31,,307.53,424.98,,
2002-09-10 22:08:43.416000,L7,,358.31,372.86,320.45,344.04,357.91,369.38,361.77,350.24,351.83,343.36,392.95,376.75,366.92,355.40,343.15,345.82,351.66,347.27,355.92,348.56,346.04,332.36,345.93,347.24,348.03,347.41,344.58,344.30,338.23,342.03,346.93,352.88,354.67,356.80,354.41,352.78,350.41,343.70,349.92,352.60,362.37,360.82,342.22,348.81,354.04,354.03,356.95,347.94,355.60,316.13,328.33,330.05,329.68,347.03,361.74,365.48,367.45,377.60,375.41,364.02,364.77,361.50,364.31,379.94,404.77,427.79,423.19,427.93,423.70,413.14,410.46,360.28,,366.37,306.98,319.94,,311.84,316.11,354.60,,354.41,354.54,347.73,352.48,318.57,340.32,337.00,342.78,347.32,351.40,369.21,357.90,351.14,347.22,,339.46,378.48,,
2002-11-29 22:09:01.492000,L7,,355.72,314.25,320.33,340.48,353.92,363.94,360.44,347.62,344.95,338.49,335.17,331.96,328.33,320.94,311.83,307.80,274.85,297.87,313.09,366.45,374.94,350.74,362.71,362.17,361.20,379.91,310.60,306.91,291.41,291.55,291.00,298.64,303.66,304.19,,,,266.89,289.39,311.63,310.98,302.32,302.88,293.93,,,347.82,402.11,378.87,353.25,406.24,,,,,,321.99,371.97,377.49,355.48,355.72,354.06,359.18,355.67,,,,,,,,405.73,420.51,417.30,399.13,371.03,308.58,302.49,338.20,402.65,,350.43,346.19,341.37,348.34,310.71,336.44,337.24,340.53,345.05,351.48,360.79,353.90,348.70,341.52,346.96,361.33,367.52,,
2002-12-24 22:02:57.022000,L7,,,,356.87,382.90,375.97,388.39,,,,,,,,,,,298.03,332.95,345.03,334.34,328.47,,,,334.83,334.32,334.16,327.80,327.29,325.81,331.21,338.89,339.37,344.56,340.82,328.28,312.49,301.01,301.11,322.44,325.70,325.85,345.34,354.20,343.78,328.19,,,,332.23,350.59,345.32,342.83,340.82,369.88,379.78,386.96,392.26,387.38,391.53,390.57,360.42,392.35,396.74,,,,,,,,353.06,362.04,,,,,,263.98,308.73,,,,,,389.52,365.98,336.07,359.55,,,,,,,,,391.15,,
2003-02-01 22:09:21.746000,L7,,386.23,370.90,391.67,351.13,364.66,370.89,367.95,,356.98,353.03,354.10,343.82,339.45,327.74,317.52,321.33,282.41,308.12,322.31,322.74,322.14,312.56,321.74,325.03,325.16,319.06,315.75,313.79,301.42,298.06,300.36,308.59,310.82,316.94,300.50,283.83,288.24,318.02,325.48,322.31,317.35,337.37,344.45,375.96,357.61,332.62,,,,392.49,389.56,377.25,371.47,397.52,396.63,392.26,400.56,403.35,409.29,405.95,392.81,363.44,399.54,399.06,,,450.82,455.77,461.03,454.26,426.00,354.21,325.02,,,,,,,323.32,,353.39,353.53,353.25,,325.30,343.68,343.74,345.57,348.14,354.44,366.85,361.78,355.75,351.39,,318.64,373.23,,
2003-08-13 21:51:32.649000,L5,,,,,,,,,,,371.56,370.37,374.45,353.37,343.95,338.23,325.62,299.56,330.46,339.60,341.77,347.02,335.25,353.47,349.23,346.22,347.01,349.56,330.72,327.95,321.82,330.96,329.49,337.42,337.32,306.87,300.99,293.08,291.11,321.78,345.88,341.33,344.68,340.54,329.99,326.52,306.01,,,,347.64,351.28,352.10,358.77,377.23,391.87,391.57,401.99,392.35,400.57,390.10,396.06,392.48,390.56,407.07,423.05,454.96,462.87,461.64,454.74,450.70,443.89,,,,,,,,,308.98,,,,,,,,,,,,,,,,,335.37,398.44,,
2003-08-29 21:51:49.928000,L5,,,,,,,,,,,368.26,361.59,360.92,358.60,343.63,337.71,325.44,309.81,325.35,343.97,339.09,341.60,332.85,344.89,343.41,346.05,343.08,342.86,338.07,325.79,323.05,321.83,327.75,333.28,330.25,296.27,286.51,286.27,291.12,317.01,333.96,339.51,340.04,340.09,328.21,328.11,304.92,,,,339.08,341.17,349.27,352.65,375.63,389.11,393.61,397.48,397.55,397.02,393.91,391.76,393.30,393.01,404.94,420.71,451.06,455.06,466.24,450.74,448.04,,,,,,,,,,,,,,,,,,,,,,,,,,,337.51,396.71,,
2003-10-07 21:58:35.519000,L5,,,,,,,,,,,364.76,361.68,357.05,349.74,341.46,334.79,328.23,310.13,332.13,350.04,343.52,343.31,336.20,354.02,351.95,345.34,340.96,340.70,333.77,329.09,318.28,319.02,320.43,321.03,332.88,282.90,294.38,302.46,293.13,327.90,346.24,348.39,341.94,341.59,330.66,325.31,306.15,,,,340.64,342.26,351.14,350.28,375.72,387.64,391.46,398.13,400.51,403.41,398.58,396.62,395.40,402.59,411.33,421.24,451.40,453.82,461.97,454.53,445.47,442.04,,,,,,,,,,,,,,,,,,,,,,,,,,344.20,402.25,,
2003-11-17 21:52:57.120000,L5,,376.68,332.09,342.62,361.91,368.94,383.24,376.50,,,368.19,362.23,355.20,348.04,343.39,331.47,330.04,308.20,323.36,341.89,344.74,346.95,343.32,357.67,356.89,353.75,352.44,350.53,345.48,323.71,318.97,318.92,320.91,328.55,326.46,302.51,291.13,293.61,305.10,333.84,348.19,350.86,346.16,346.40,339.55,332.49,305.25,,,,353.07,356.75,348.46,348.17,373.31,385.78,393.17,395.62,397.04,400.01,404.63,402.31,398.24,405.40,417.78,433.60,461.68,457.36,459.04,451.65,444.69,443.51,,,,,,,,,320.74,,,,,,,,,,,,,,,,,343.95,404.99,,
2003-12-26 21:59:30.091000,L5,,,,,,,,,,,366.55,365.19,357.69,351.50,344.74,333.26,334.99,320.04,343.04,360.19,356.85,354.56,348.71,362.56,362.92,359.58,346.89,348.06,337.74,325.28,319.64,322.06,322.48,332.77,334.21,327.05,310.71,309.97,311.50,340.67,353.11,354.93,350.62,347.40,327.39,319.38,303.29,,,,338.33,351.45,350.16,357.64,377.76,390.02,398.19,411.71,415.01,413.94,409.63,409.44,408.38,411.43,423.97,427.28,453.75,461.96,465.88,457.76,450.43,446.24,,,,,,,,,314.24,,,,,,361.55,383.06,365.95,375.80,379.38,383.73,,,,,,354.24,420.27,,
2004-01-20 21:53:24.777000,L5,,,,,,,,,,,378.92,369.22,347.19,347.94,341.44,340.33,339.72,305.51,260.98,310.98,348.64,339.27,337.57,343.70,339.22,336.03,340.26,342.33,339.95,331.43,323.90,317.35,311.78,330.67,325.02,331.87,302.72,297.24,296.42,329.84,353.50,342.57,340.47,339.59,338.85,334.28,311.94,,,,353.89,362.76,365.48,366.49,389.44,398.89,409.54,411.91,405.08,403.57,404.29,397.76,396.07,397.80,409.83,431.10,465.61,470.72,474.19,465.41,,,,,,,,,,,311.17,,,,,,297.71,355.29,358.78,322.38,293.09,376.30,,,,,,333.17,404.96,,
2004-01-27 21:59:38.149000,L5,,380.94,312.19,338.71,352.37,377.58,382.86,379.66,,,324.39,337.68,327.03,334.43,329.01,313.62,305.62,281.02,312.16,320.05,,,322.90,331.59,333.29,324.54,323.02,309.66,319.31,309.83,304.49,307.81,306.30,326.21,318.53,278.87,280.06,281.25,282.07,302.70,323.19,327.13,319.61,323.43,314.04,309.42,290.27,,,,323.47,332.77,339.31,345.86,371.56,382.02,389.30,392.96,394.14,397.69,395.48,384.25,380.29,382.47,395.69,410.76,443.75,442.94,453.11,448.73,440.08,437.43,,,,,,,,,,,357.24,355.90,335.55,343.96,,349.99,353.10,362.46,367.95,379.01,387.17,,361.90,352.48,,316.44,398.76,,307.43
2004-03-31 21:59:59.745000,L5,,,,,,,,,,,370.09,370.25,368.62,358.28,349.76,343.29,334.56,312.90,337.66,353.53,352.24,348.65,346.88,350.49,350.95,347.68,344.39,346.41,339.55,329.03,325.05,324.51,328.52,344.02,345.77,327.09,309.57,311.08,305.35,330.51,349.23,340.55,340.76,336.96,334.47,327.34,310.55,,,,337.93,353.71,354.86,358.77,381.71,405.00,407.39,410.44,413.80,412.39,409.00,402.60,402.00,394.41,401.77,424.44,450.31,462.55,464.21,457.86,451.02,,,,,,,,,,308.50,,,,,,,,,,,,,,,,,347.14,416.77,,
2004-05-02 22:00:57.398000,L5,,,,,,,,,,,379.03,367.51,365.37,361.75,347.53,340.02,334.14,316.95,337.99,355.01,354.71,354.52,347.22,356.87,358.17,353.18,357.92,347.74,342.09,331.10,327.19,333.97,333.67,343.68,340.98,330.20,318.32,312.17,312.20,334.71,348.53,349.65,344.37,345.44,340.27,322.19,304.85,,,,346.12,355.26,357.00,356.71,379.96,396.46,398.73,405.67,408.39,412.30,400.01,397.80,400.08,405.53,408.93,430.04,443.28,452.27,457.43,457.43,449.65,445.69,,,,,,,,,337.24,,,,,,,,,,,,,,,,,350.83,414.86,,
2004-05-18 22:01:26.569000,L5,,,,,,,,,,,371.11,366.36,363.89,355.07,340.96,330.60,328.43,310.02,337.34,350.15,350.86,346.80,343.58,357.10,356.25,352.59,352.21,351.61,346.79,331.14,325.20,332.41,328.85,340.64,339.42,326.78,305.46,303.67,301.14,326.29,344.94,345.56,343.61,343.22,338.78,331.66,316.49,,,,343.34,357.47,353.34,358.80,375.78,391.95,398.52,401.51,405.09,405.24,399.83,397.64,395.62,401.62,407.35,429.34,454.58,456.59,454.22,458.45,447.74,444.24,,,,,,,,,329.05,,,,,,,,,,,,,,,,,348.04,405.84,,
2004-06-12 21:55:59.429000,L5,,,,,,,,,,363.79,365.21,372.33,359.70,352.42,335.62,331.96,321.81,308.68,338.15,347.14,352.32,351.03,347.58,358.63,357.90,353.66,351.54,352.24,337.91,332.57,331.42,323.27,329.94,345.04,339.65,313.64,300.75,301.96,298.75,331.06,345.98,342.97,337.41,345.31,337.14,331.11,306.98,,,,344.37,361.83,357.77,363.10,383.00,397.60,398.71,403.42,408.52,405.17,403.52,399.86,398.38,402.36,402.81,432.22,452.56,454.16,463.19,455.93,450.98,443.01,,,,,,,,,319.93,,,,,,,,,,,,,,,,,345.32,412.47,,
