dates,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052,satname
2001-01-14 21:44:57+00:00,309.485,288.5175,302.93666666666667,291.6616666666667,285.8428571428571,265.555,257.41,269.385,270.385,276.40999999999997,288.12166666666667,280.722,288.5216666666667,274.71625,271.4585714285714,266.34000000000003,240.70857142857145,279.5025,273.575,,260.38,312.805,227.995,276.425,269.04,260.88166666666666,269.25666666666666,264.32399999999996,260.66333333333336,262.71,263.16833333333335,235.058,256.46500000000003,309.62600000000003,317.07,315.202,313.3475,293.33,270.90375,267.71,276.755,283.9875,275.92285714285714,283.21166666666664,281.805,274.48499999999996,265.615,258.658,291.245,295.914,246.05999999999997,243.45666666666668,297.93600000000004,L7
2001-01-21 21:50:46+00:00,309.485,288.5175,302.93666666666667,291.6616666666667,285.8428571428571,265.555,257.41,269.385,270.385,276.40999999999997,288.12166666666667,280.722,288.5216666666667,274.71625,271.4585714285714,266.34000000000003,240.70857142857145,279.5025,273.575,,260.38,312.805,227.995,276.425,269.04,260.88166666666666,269.25666666666666,264.32399999999996,260.66333333333336,262.71,263.16833333333335,235.058,256.46500000000003,309.62600000000003,317.07,315.202,313.3475,293.33,277.3133333333333,274.2675,281.3611111111111,288.0333333333333,280.50875,285.1328571428572,283.58000000000004,276.3885714285714,265.84285714285716,263.53000000000003,290.74,295.914,246.05999999999997,243.45666666666668,297.93600000000004,L7
2001-04-04 21:44:30+00:00,309.505,290.695,291.9425,292.51,285.536,266.9,256.15,265.49,271.95,280.3775,293.824,290.1366666666667,302.4525,295.98,290.3325,276.314,252.14749999999998,273.745,285.71,206.93,260.38,294.62399999999997,210.58,288.16833333333335,279.64,272.2925,276.61,270.1766666666667,269.17333333333335,277.3566666666666,282.49,247.32,238.715,318.4175,319.744,317.306,304.7525,293.33,299.6816666666667,293.352,305.62666666666667,312.23499999999996,301.63599999999997,295.794,294.354,289.0875,281.0125,279.75333333333333,290.49666666666667,312.76,251.28,276.63,313.015,L7
2001-04-20 21:44:34+00:00,311.5,278.79333333333335,291.9425,286.654,284.81166666666667,266.32666666666665,260.69666666666666,266.3666666666667,270.0133333333333,277.332,289.86,287.3825,293.926,292.0783333333333,282.076,270.9866666666667,249.58199999999997,265.526,274.4016666666667,206.93,260.38,294.62399999999997,210.58,288.16833333333335,279.64,272.2925,276.61,270.1766666666667,269.17333333333335,273.1125,276.8175,239.89333333333335,235.95333333333335,318.4175,312.27833333333336,310.0883333333333,299.056,293.33,290.71714285714285,285.8283333333333,295.94571428571425,304.5185714285714,293.16166666666663,289.32166666666666,288.5783333333333,283.002,275.76599999999996,279.75333333333333,290.49666666666667,312.76,251.28,276.63,305.8333333333333,L7
2001-04-27 21:50:43+00:00,311.5,265.6475,280.656,278.0,284.8342857142857,268.2575,261.47,266.87,267.57,275.19166666666666,285.61,285.21400000000006,287.99833333333333,288.34714285714284,277.08666666666664,267.18857142857144,247.67499999999998,263.135,270.2383333333333,226.17000000000002,260.38,276.098,217.56000000000003,282.76166666666666,272.856,267.55,269.07,267.3675,264.5675,269.89,275.564,241.165,243.07999999999998,318.4175,305.8985714285714,304.3771428571428,294.41833333333335,293.33,286.88125,280.18142857142857,289.8075,290.38428571428574,286.7342857142857,280.3285714285714,284.0057142857143,278.75166666666667,272.455,275.5,290.49666666666667,300.1566666666667,251.28,296.34000000000003,305.8333333333333,L7
2001-05-22 21:44:18+00:00,313.6725,265.6475,286.24,278.0,284.8342857142857,268.2575,261.47,266.87,269.84000000000003,274.31,285.61,285.21400000000006,287.99833333333333,288.34714285714284,277.08666666666664,267.18857142857144,247.67499999999998,263.135,269.95142857142855,238.32333333333335,257.85,267.6933333333333,224.215,280.0242857142857,271.68,267.55,269.07,267.3675,264.5675,270.6716666666667,275.285,246.07600000000002,248.254,311.424,302.575,307.57875,294.41833333333335,308.03999999999996,284.90666666666664,277.90749999999997,289.8075,288.67,284.44124999999997,279.39625,281.89625,277.06142857142856,270.87857142857143,273.134,290.49666666666667,300.1566666666667,251.28,296.34000000000003,305.8333333333333,L7
2001-07-25 21:43:42+00:00,315.25666666666666,256.14666666666665,277.6125,255.07666666666668,283.0325,273.3625,270.73,269.71750000000003,269.40999999999997,264.524,263.9725,277.34250000000003,260.955,268.255,251.045,246.995,241.82,245.33249999999998,252.046,241.2575,255.32,213.81,227.4225,256.245,258.11,248.2733333333333,231.45666666666668,260.2266666666667,255.48333333333335,264.51800000000003,269.91400000000004,248.82600000000002,249.88600000000002,273.2,274.3775,285.59000000000003,272.8633333333333,322.75,256.878,248.81599999999997,239.1525,259.77799999999996,254.75799999999998,254.522,261.38,260.592,255.346,272.4525,277.43,274.95,251.28,296.0,297.55,L7
2001-08-26 21:43:13+00:00,315.25666666666666,256.14666666666665,277.6125,255.07666666666668,283.0325,273.3625,270.73,269.71750000000003,269.40999999999997,264.524,263.9725,277.34250000000003,260.955,268.255,251.045,246.995,241.82,245.33249999999998,252.046,241.2575,255.32,213.81,227.4225,256.245,258.11,248.2733333333333,231.45666666666668,253.7375,255.48333333333335,264.51800000000003,269.91400000000004,248.82600000000002,249.88600000000002,273.2,274.3775,285.59000000000003,272.8633333333333,322.75,256.878,248.81599999999997,239.1525,259.77799999999996,254.75799999999998,254.522,261.38,260.592,255.346,272.4525,277.43,274.95,251.28,296.0,310.07750000000004,L7
2001-09-11 21:43:02+00:00,315.25666666666666,256.14666666666665,283.698,255.07666666666668,283.0325,276.962,270.73,269.71750000000003,269.40999999999997,264.524,263.9725,277.34250000000003,260.955,268.255,251.045,246.995,241.82,245.33249999999998,252.046,241.2575,255.32,215.57799999999997,233.948,258.64,260.23,252.6175,238.0475,257.65200000000004,259.1625,267.11333333333334,271.86,252.54666666666665,249.88600000000002,273.2,274.3775,293.77799999999996,272.8633333333333,322.75,256.878,248.81599999999997,239.1525,259.77799999999996,254.75799999999998,254.522,261.38,260.592,255.346,272.4525,277.43,274.95,251.28,296.0,310.07750000000004,L7
2001-09-18 21:49:05+00:00,316.9275,256.14666666666665,287.4766666666667,255.07666666666668,284.55,277.13166666666666,272.098,271.68600000000004,271.31333333333333,265.2133333333333,265.204,278.392,261.514,268.938,252.88000000000002,249.13199999999998,241.82,254.56599999999997,255.3066666666667,240.478,255.32,215.20666666666668,236.165,258.4216666666667,260.27833333333336,253.756,240.276,258.4983333333334,259.754,267.4585714285714,271.7057142857143,253.53714285714287,252.5233333333333,274.24,282.596,296.69666666666666,272.8633333333333,318.935,256.878,248.81599999999997,239.1525,259.77799999999996,254.75799999999998,254.522,261.38,260.592,255.346,272.4525,277.43,274.95,251.28,296.0,310.07750000000004,L7
