dates,nzd0290-0000,nzd0290-0004,nzd0290-0005,nzd0290-0001,nzd0290-0002,nzd0290-0003
2019-08-27 22:00:26+00:00,264.525,317.37166666666667,326.11333333333334,284.71750000000003,283.01166666666666,318.65333333333336
2019-10-07 21:54:27+00:00,264.1975,315.61333333333334,327.54,282.81,282.8883333333333,317.11333333333334
2019-12-26 21:54:19+00:00,277.4275,316.02250000000004,332.55,291.65666666666664,291.4225,320.2525
2020-01-11 21:54:15+00:00,282.778,319.66,335.32500000000005,294.69,300.22249999999997,326.10249999999996
2020-01-27 21:54:11+00:00,282.705,318.56800000000004,331.586,292.36199999999997,296.70599999999996,325.532
2020-02-19 22:00:16+00:00,285.17833333333334,319.976,327.25800000000004,293.97799999999995,300.65599999999995,326.866
2020-04-16 21:53:39+00:00,293.732,321.578,326.162,295.422,300.55799999999994,327.818
2020-05-09 21:59:38+00:00,290.065,319.43333333333334,324.205,293.18833333333333,297.4783333333333,327.66333333333336
2020-06-03 21:53:36+00:00,290.065,319.54857142857145,326.74285714285713,291.6842857142857,296.2142857142857,327.08
2020-06-10 21:59:51+00:00,290.065,320.1925,329.0125,292.0775,297.59999999999997,327.79249999999996
2020-07-28 22:00:11+00:00,282.73333333333335,316.9916666666666,326.30833333333334,289.57599999999996,292.35999999999996,322.84999999999997
2020-08-29 22:00:23+00:00,269.98333333333335,315.688,322.6933333333333,288.8175,289.776,321.54200000000003
2020-10-16 22:00:35+00:00,272.27666666666664,315.3,321.73333333333335,289.52,290.446,320.98999999999995
2020-10-25 21:54:24+00:00,279.5775,316.7816666666667,322.01142857142855,291.136,293.24,321.9316666666667
2020-11-26 21:54:24+00:00,288.7475,319.4216666666667,323.53714285714284,295.064,296.86333333333334,321.88333333333327
2020-12-03 22:00:36+00:00,292.78000000000003,320.3,321.9371428571429,299.452,299.5466666666667,323.405
2020-12-12 21:54:25+00:00,295.2316666666666,319.7316666666666,318.84999999999997,300.576,298.7666666666667,322.97666666666663
2020-12-19 22:00:35+00:00,297.8457142857143,320.49571428571426,319.9475,301.95166666666665,299.99142857142857,324.3514285714286
2021-01-13 21:54:15+00:00,298.61625,321.54875,320.01222222222225,302.0028571428571,299.44,324.88874999999996
2021-02-21 22:00:17+00:00,297.06111111111113,324.77,322.0855555555556,301.28875,302.4,329.08500000000004
2021-03-25 22:00:03+00:00,298.56888888888886,324.77,324.90500000000003,301.28875,298.06888888888886,329.08500000000004
2021-04-03 21:53:50+00:00,296.94899999999996,324.93333333333334,325.6088888888889,300.2477777777778,298.429,329.40000000000003
2021-05-05 21:53:33+00:00,294.57666666666665,325.575,327.88875,299.50125,297.7722222222222,329.68249999999995
2021-07-08 21:53:58+00:00,282.57,325.88199999999995,333.112,293.188,294.73333333333335,329.79599999999994
2021-07-24 21:54:04+00:00,277.21000000000004,321.45199999999994,331.572,287.85600000000005,289.8916666666667,324.348
2021-07-31 22:00:18+00:00,266.63,318.43833333333333,328.1283333333334,287.85600000000005,286.62857142857143,317.03000000000003
2021-08-09 21:54:11+00:00,265.16833333333335,317.8957142857143,327.8828571428572,287.0366666666667,285.76750000000004,317.03000000000003
2021-08-25 21:54:16+00:00,264.64,316.49285714285713,328.8985714285714,285.175,284.795,314.67400000000004
2021-09-01 22:00:29+00:00,263.64714285714285,313.65625,325.63375,285.175,282.51444444444445,303.22
2021-09-10 21:54:20+00:00,265.3225,314.51,324.37444444444446,285.14,282.508,306.76714285714286
2021-10-12 21:54:29+00:00,266.2214285714286,313.9877777777778,322.9422222222222,284.7914285714286,284.2244444444444,306.0842857142857
